task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt	flip1	flip2	flip3	flip4
2	2	1	12	11	0.450	1	1	1	0.497	1882273.383	1882273.842	1882274.382	1882274.387
2	2	2	16	4	0.100	1	1	1	0.482	1882277.415	1882277.488	1882278.391	1882278.395
2	2	3	20	10	0.850	1	1	1	0.430	1882281.404	1882282.248	1882282.395	1882282.400
2	2	4	24	12	0.900	2	2	1	0.343	1882285.399	1882286.302	1882286.387	1882286.392
2	2	5	28	8	0.250	1	1	1	0.431	1882289.418	1882289.644	1882290.387	1882290.391
2	2	6	32	3	0.650	2	2	1	0.377	1882293.411	1882294.054	1882294.388	1882294.392
2	2	7	36	1	0.600	1	1	1	0.521	1882297.406	1882297.996	1882298.391	1882298.413
2	2	8	40	13	0.650	1	1	1	0.460	1882301.403	1882302.046	1882302.393	1882302.397
2	2	9	44	6	0.300	2	2	1	0.479	1882305.408	1882305.688	1882306.387	1882306.391
2	2	10	48	7	0.400	1	1	1	0.519	1882309.406	1882309.790	1882310.386	1882310.391
2	2	11	52	2	0.650	2	2	1	0.348	1882313.403	1882314.046	1882314.386	1882314.408
2	2	12	56	5	0.600	1	1	1	0.452	1882317.402	1882317.990	1882318.403	1882318.406
2	2	13	60	NaN	NaN	NaN	NaN	NaN	NaN	1882321.395	NaN	NaN	NaN
2	2	14	64	9	0.250	2	2	1	0.354	1882325.384	1882325.663	1882326.389	1882326.393
2	2	15	68	8	0.400	2	2	1	0.325	1882329.427	1882329.791	1882330.390	1882330.394
2	2	16	72	6	0.400	2	2	1	0.343	1882333.407	1882333.794	1882334.401	1882334.404
2	2	17	76	7	0.400	2	2	1	0.454	1882337.424	1882337.806	1882338.386	1882338.405
2	2	18	80	11	0.450	1	1	1	0.451	1882341.402	1882341.840	1882342.393	1882342.397
2	2	19	84	NaN	NaN	NaN	NaN	NaN	NaN	1882345.389	NaN	NaN	NaN
2	2	20	88	13	0.300	2	2	1	0.406	1882349.381	1882349.694	1882350.388	1882350.393
2	2	21	92	9	0.250	1	1	1	0.460	1882353.412	1882353.637	1882354.391	1882354.397
2	2	22	96	NaN	NaN	NaN	NaN	NaN	NaN	1882357.413	NaN	NaN	NaN
