task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt	flip1	flip2	flip3	flip4
1	3	1	12	6	0.400	2	2	1	0.420	1880441.881	1880442.286	1880442.888	1880442.892
1	3	2	16	4	0.550	1	1	1	0.447	1880445.899	1880446.444	1880446.880	1880446.884
1	3	3	20	NaN	NaN	NaN	NaN	NaN	NaN	1880449.885	NaN	NaN	NaN
1	3	4	24	7	0.900	1	1	1	0.395	1880453.881	1880454.792	1880454.886	1880454.891
1	3	5	28	12	0.700	1	1	1	0.430	1880457.906	1880458.586	1880458.889	1880458.893
1	3	6	32	13	0.800	2	2	1	0.343	1880461.898	1880462.688	1880462.896	1880462.901
1	3	7	36	10	0.900	1	1	1	0.488	1880465.913	1880466.793	1880466.898	1880466.903
1	3	8	40	3	0.700	1	1	1	0.424	1880469.911	1880470.588	1880470.898	1880470.903
1	3	9	44	9	0.900	2	2	1	0.393	1880473.916	1880474.809	1880474.882	1880474.886
1	3	10	48	2	0.550	1	1	1	0.422	1880477.900	1880478.454	1880478.887	1880478.890
1	3	11	52	1	0.550	1	1	1	0.453	1880481.900	1880482.455	1880482.888	1880482.892
1	3	12	56	8	0.900	1	1	1	0.502	1880485.894	1880486.803	1880486.884	1880486.888
1	3	13	60	5	0.750	2	2	1	0.448	1880489.896	1880490.644	1880490.887	1880490.891
1	3	14	64	NaN	NaN	NaN	NaN	NaN	NaN	1880493.890	NaN	NaN	NaN
1	3	15	68	11	0.800	2	2	1	0.355	1880497.890	1880498.701	1880498.879	1880498.883
1	3	16	72	5	0.350	1	1	1	0.418	1880501.898	1880502.258	1880502.888	1880502.909
1	3	17	76	13	0.400	2	2	1	0.334	1880505.899	1880506.305	1880506.882	1880506.886
1	3	18	80	NaN	NaN	NaN	NaN	NaN	NaN	1880509.893	NaN	NaN	NaN
1	3	19	84	10	0.550	1	1	1	0.372	1880513.879	1880514.463	1880514.881	1880514.901
1	3	20	88	3	0.750	1	1	1	0.459	1880517.919	1880518.650	1880518.884	1880518.888
1	3	21	92	NaN	NaN	NaN	NaN	NaN	NaN	1880521.886	NaN	NaN	NaN
1	3	22	96	4	0.550	2	2	1	0.622	1880525.887	1880526.442	1880526.887	1880526.908
1	3	23	100	12	0.550	1	1	1	0.465	1880529.922	1880530.439	1880530.885	1880530.888
1	3	24	104	2	0.600	1	1	1	0.441	1880533.918	1880534.487	1880534.890	1880534.895
1	3	25	108	6	0.900	1	1	1	0.494	1880537.897	1880538.786	1880538.882	1880538.887
1	3	26	112	1	0.300	2	2	1	0.469	1880541.912	1880542.204	1880542.887	1880542.890
1	3	27	116	8	0.300	1	1	1	0.495	1880545.904	1880546.191	1880546.881	1880546.904
1	3	28	120	7	0.100	1	1	1	0.516	1880549.917	1880549.991	1880550.880	1880550.883
1	3	29	124	11	0.850	2	2	1	0.351	1880553.900	1880554.734	1880554.888	1880554.892
1	3	30	128	9	0.100	2	2	1	0.439	1880557.912	1880557.987	1880558.887	1880558.895
1	3	31	132	4	0.700	1	1	1	0.441	1880561.916	1880562.584	1880562.882	1880562.886
1	3	32	136	3	0.250	1	1	1	0.425	1880565.900	1880566.136	1880566.883	1880566.887
1	3	33	140	NaN	NaN	NaN	NaN	NaN	NaN	1880569.895	NaN	NaN	NaN
1	3	34	144	9	0.200	2	2	1	0.390	1880573.896	1880574.084	1880574.880	1880574.883
1	3	35	148	2	0.700	2	2	1	0.339	1880577.895	1880578.600	1880578.882	1880578.886
1	3	36	152	1	0.600	2	2	1	0.320	1880581.894	1880582.491	1880582.884	1880582.906
1	3	37	156	NaN	NaN	NaN	NaN	NaN	NaN	1880585.886	NaN	NaN	NaN
1	3	38	160	12	0.450	1	1	1	0.362	1880589.878	1880590.349	1880590.884	1880590.888
1	3	39	164	5	0.100	1	1	1	0.466	1880593.903	1880593.992	1880594.882	1880594.887
1	3	40	168	8	0.300	1	1	1	0.517	1880597.901	1880598.191	1880598.896	1880598.901
1	3	41	172	13	0.300	2	2	1	0.417	1880601.905	1880602.192	1880602.891	1880602.894
1	3	42	176	10	0.450	2	2	1	0.363	1880605.900	1880606.341	1880606.883	1880606.888
1	3	43	180	7	0.100	1	1	1	0.488	1880609.895	1880609.999	1880610.883	1880610.888
1	3	44	184	6	0.600	2	2	1	0.413	1880613.900	1880614.499	1880614.905	1880614.908
1	3	45	188	NaN	NaN	NaN	NaN	NaN	NaN	1880617.881	NaN	NaN	NaN
1	3	46	192	11	0.100	2	2	1	0.954	1880621.897	1880621.984	1880622.898	1880622.903
1	3	47	196	9	0.900	1	1	1	0.424	1880625.900	1880626.799	1880626.881	1880626.885
1	3	48	200	11	0.850	2	2	1	0.421	1880629.912	1880630.738	1880630.884	1880630.888
1	3	49	204	NaN	NaN	NaN	NaN	NaN	NaN	1880633.887	NaN	NaN	NaN
1	3	50	208	8	0.700	2	2	1	0.323	1880637.886	1880638.588	1880638.883	1880638.887
1	3	51	212	NaN	NaN	NaN	NaN	NaN	NaN	1880641.897	NaN	NaN	NaN
1	3	52	216	NaN	NaN	NaN	NaN	NaN	NaN	1880645.881	NaN	NaN	NaN
1	3	53	220	NaN	NaN	NaN	NaN	NaN	NaN	1880649.889	NaN	NaN	NaN
1	3	54	224	NaN	NaN	NaN	NaN	NaN	NaN	1880653.886	NaN	NaN	NaN
1	3	55	228	2	0.450	1	1	1	0.452	1880657.880	1880658.333	1880658.896	1880658.900
1	3	56	232	1	0.900	2	2	1	0.382	1880661.899	1880662.798	1880662.880	1880662.883
1	3	57	236	7	0.650	2	2	1	0.297	1880665.896	1880666.541	1880666.890	1880666.893
1	3	58	240	5	0.800	2	2	1	0.306	1880669.901	1880670.692	1880670.881	1880670.884
1	3	59	244	10	0.850	2	2	1	0.394	1880673.899	1880674.732	1880674.880	1880674.884
1	3	60	248	NaN	NaN	NaN	NaN	NaN	NaN	1880677.884	NaN	NaN	NaN
1	3	61	252	6	0.250	1	1	1	0.419	1880681.897	1880682.138	1880682.879	1880682.882
1	3	62	256	12	0.900	2	2	1	0.428	1880685.895	1880686.797	1880686.880	1880686.885
1	3	63	260	13	0.900	2	2	1	0.382	1880689.903	1880690.807	1880690.880	1880690.883
1	3	64	264	3	0.850	2	2	1	0.325	1880693.898	1880694.741	1880694.885	1880694.893
1	3	65	268	4	0.200	1	1	1	0.486	1880697.897	1880698.087	1880698.879	1880698.883
