onset	duration	node	response_time	accuracy
12	1	11	0.443	1
16	1	4	0.515	1
20	1	10	0.472	1
24	1	12	0.383	1
28	1	8	0.524	1
32	1	3	0.392	1
36	1	1	0.502	1
40	1	13	0.423	1
44	1	6	0.436	1
48	1	7	0.462	1
52	1	2	0.426	1
56	1	5	0.425	1
64	1	9	0.306	1
68	1	8	0.429	1
72	1	6	0.367	1
76	1	7	0.360	1
80	1	11	0.414	1
88	1	13	0.358	1
92	1	9	0.557	1
108	1	2	0.535	1
116	1	10	0.349	1
120	1	5	0.417	1
124	1	12	0.407	1
128	1	3	0.607	1
132	1	1	0.480	1
136	1	4	0.442	1
148	1	8	0.531	1
156	1	2	0.610	1
164	1	5	0.502	1
168	1	7	0.471	1
172	1	11	0.490	1
176	1	13	0.416	1
188	1	12	0.558	1
192	1	1	0.484	1
196	1	6	0.389	1
200	1	10	0.489	1
204	1	4	0.531	1
208	1	3	0.384	1
212	1	9	0.484	1
216	1	12	0.439	1
220	1	2	0.399	1
224	1	7	0.531	1
228	1	10	0.427	1
232	1	1	0.390	1
236	1	8	0.508	1
240	1	6	0.511	1
244	1	5	0.438	1
248	1	9	0.492	1
252	1	3	0.362	1
256	1	4	0.406	1
260	1	11	0.529	1
264	1	13	0.420	1
