task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt	flip1	flip2	flip3	flip4
1	1	1	12	3	0.650	1	1	1	0.543	1879765.557	1879766.240	1879766.555	1879766.560
1	1	2	16	13	0.850	2	2	1	0.317	1879769.624	1879770.434	1879770.552	1879770.555
1	1	3	20	9	0.400	2	2	1	0.370	1879773.584	1879773.956	1879774.556	1879774.560
1	1	4	24	NaN	NaN	NaN	NaN	NaN	NaN	1879777.583	NaN	NaN	NaN
1	1	5	28	8	0.350	2	2	1	0.450	1879781.565	1879781.930	1879782.560	1879782.582
1	1	6	32	11	0.800	1	1	1	0.402	1879785.583	1879786.367	1879786.555	1879786.559
1	1	7	36	7	0.400	1	1	1	0.517	1879789.583	1879789.967	1879790.551	1879790.555
1	1	8	40	4	0.750	2	2	1	0.422	1879793.580	1879794.312	1879794.570	1879794.575
1	1	9	44	2	0.900	2	2	1	0.467	1879797.578	1879798.473	1879798.552	1879798.555
1	1	10	48	12	0.450	1	1	1	0.555	1879801.578	1879802.004	1879802.550	1879802.554
1	1	11	52	NaN	NaN	NaN	NaN	NaN	NaN	1879805.555	NaN	NaN	NaN
1	1	12	56	5	0.200	1	1	1	0.566	1879809.551	1879809.758	1879810.560	1879810.564
1	1	13	60	1	0.400	1	1	1	0.456	1879813.596	1879813.958	1879814.553	1879814.558
1	1	14	64	6	0.800	2	2	1	0.361	1879817.590	1879818.355	1879818.559	1879818.562
1	1	15	68	10	0.450	1	1	1	0.452	1879821.574	1879822.014	1879822.557	1879822.562
1	1	16	72	7	0.100	2	2	1	0.483	1879825.577	1879825.653	1879826.551	1879826.574
1	1	17	76	NaN	NaN	NaN	NaN	NaN	NaN	1879829.561	NaN	NaN	NaN
1	1	18	80	2	0.250	2	2	1	0.531	1879833.548	1879833.817	1879834.553	1879834.557
1	1	19	84	10	0.400	2	2	1	0.462	1879837.580	1879837.955	1879838.555	1879838.559
1	1	20	88	NaN	NaN	NaN	NaN	NaN	NaN	1879841.553	NaN	NaN	NaN
1	1	21	92	13	0.750	2	2	1	0.456	1879845.549	1879846.321	1879846.550	1879846.554
1	1	22	96	12	0.800	2	2	1	0.398	1879849.583	1879850.365	1879850.550	1879850.554
1	1	23	100	11	0.100	2	2	1	0.553	1879853.570	1879853.676	1879854.558	1879854.562
1	1	24	104	4	0.850	1	1	1	0.519	1879857.567	1879858.411	1879858.556	1879858.569
1	1	25	108	6	0.850	2	2	1	0.392	1879861.577	1879862.413	1879862.556	1879862.561
1	1	26	112	8	0.350	1	1	1	0.531	1879865.568	1879865.911	1879866.559	1879866.563
1	1	27	116	1	0.350	2	2	1	0.352	1879869.587	1879869.908	1879870.557	1879870.562
1	1	28	120	3	0.900	2	2	1	0.385	1879873.566	1879874.459	1879874.561	1879874.564
1	1	29	124	9	0.400	2	2	1	0.340	1879877.575	1879877.958	1879878.559	1879878.563
1	1	30	128	5	0.300	2	2	1	0.428	1879881.591	1879881.852	1879882.555	1879882.559
1	1	31	132	NaN	NaN	NaN	NaN	NaN	NaN	1879885.576	NaN	NaN	NaN
1	1	32	136	NaN	NaN	NaN	NaN	NaN	NaN	1879889.570	NaN	NaN	NaN
1	1	33	140	6	0.850	1	1	1	0.503	1879893.550	1879894.404	1879894.549	1879894.553
1	1	34	144	2	0.300	1	1	1	0.511	1879897.583	1879897.857	1879898.556	1879898.578
1	1	35	148	9	0.150	1	1	1	0.522	1879901.575	1879901.721	1879902.552	1879902.557
1	1	36	152	11	0.450	1	1	1	0.524	1879905.570	1879906.009	1879906.555	1879906.558
1	1	37	156	12	0.300	1	1	1	0.475	1879909.574	1879909.860	1879910.551	1879910.555
1	1	38	160	NaN	NaN	NaN	NaN	NaN	NaN	1879913.563	NaN	NaN	NaN
1	1	39	164	4	0.500	1	1	1	0.467	1879917.550	1879918.053	1879918.555	1879918.562
1	1	40	168	7	0.800	1	1	1	0.478	1879921.583	1879922.355	1879922.568	1879922.573
1	1	41	172	5	0.900	2	2	1	0.386	1879925.586	1879926.460	1879926.554	1879926.576
1	1	42	176	8	0.750	1	1	1	0.505	1879929.566	1879930.308	1879930.561	1879930.565
