task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt	flip1	flip2	flip3	flip4
1	2	1	12	11	0.450	1	1	1	0.443	1880106.903	1880107.346	1880107.888	1880107.891
1	2	2	16	4	0.100	1	1	1	0.515	1880110.914	1880110.994	1880111.893	1880111.898
1	2	3	20	10	0.850	1	1	1	0.472	1880114.906	1880115.742	1880115.890	1880115.895
1	2	4	24	12	0.900	2	2	1	0.383	1880118.903	1880119.798	1880119.892	1880119.915
1	2	5	28	8	0.250	1	1	1	0.524	1880122.909	1880123.158	1880123.898	1880123.902
1	2	6	32	3	0.650	2	2	1	0.392	1880126.907	1880127.550	1880127.890	1880127.894
1	2	7	36	1	0.600	1	1	1	0.502	1880130.900	1880131.496	1880131.893	1880131.916
1	2	8	40	13	0.650	1	1	1	0.423	1880134.908	1880135.561	1880135.886	1880135.890
1	2	9	44	6	0.300	2	2	1	0.436	1880138.905	1880139.196	1880139.904	1880139.909
1	2	10	48	7	0.400	1	1	1	0.462	1880142.923	1880143.296	1880143.894	1880143.897
1	2	11	52	2	0.650	2	2	1	0.426	1880146.922	1880147.544	1880147.894	1880147.898
1	2	12	56	5	0.600	1	1	1	0.425	1880150.902	1880151.493	1880151.890	1880151.894
1	2	13	60	NaN	NaN	NaN	NaN	NaN	NaN	1880154.894	NaN	NaN	NaN
1	2	14	64	9	0.250	2	2	1	0.306	1880158.896	1880159.149	1880159.893	1880159.914
1	2	15	68	8	0.400	2	2	1	0.429	1880162.908	1880163.292	1880163.891	1880163.913
1	2	16	72	6	0.400	2	2	1	0.367	1880166.913	1880167.297	1880167.912	1880167.915
1	2	17	76	7	0.400	2	2	1	0.360	1880170.909	1880171.315	1880171.904	1880171.908
1	2	18	80	11	0.450	1	1	1	0.414	1880174.905	1880175.340	1880175.887	1880175.891
1	2	19	84	NaN	NaN	NaN	NaN	NaN	NaN	1880178.916	NaN	NaN	NaN
1	2	20	88	13	0.300	2	2	1	0.358	1880182.885	1880183.205	1880183.886	1880183.889
1	2	21	92	9	0.250	1	1	1	0.557	1880186.903	1880187.140	1880187.889	1880187.893
1	2	22	96	NaN	NaN	NaN	NaN	NaN	NaN	1880190.891	NaN	NaN	NaN
1	2	23	100	NaN	NaN	NaN	NaN	NaN	NaN	1880194.887	NaN	NaN	NaN
1	2	24	104	NaN	NaN	NaN	NaN	NaN	NaN	1880198.885	NaN	NaN	NaN
1	2	25	108	2	0.100	1	1	1	0.535	1880202.886	1880202.994	1880203.893	1880203.901
1	2	26	112	NaN	NaN	NaN	NaN	NaN	NaN	1880206.894	NaN	NaN	NaN
1	2	27	116	10	0.200	2	2	1	0.349	1880210.885	1880211.093	1880211.888	1880211.892
1	2	28	120	5	0.650	2	2	1	0.417	1880214.908	1880215.560	1880215.895	1880215.915
1	2	29	124	12	0.850	1	1	1	0.407	1880218.917	1880219.748	1880219.893	1880219.898
1	2	30	128	3	0.650	2	2	1	0.607	1880222.911	1880223.544	1880223.887	1880223.892
1	2	31	132	1	0.200	1	1	1	0.480	1880226.907	1880227.094	1880227.886	1880227.908
1	2	32	136	4	0.200	1	1	1	0.442	1880230.902	1880231.109	1880231.900	1880231.905
1	2	33	140	NaN	NaN	NaN	NaN	NaN	NaN	1880234.897	NaN	NaN	NaN
1	2	34	144	NaN	NaN	NaN	NaN	NaN	NaN	1880238.893	NaN	NaN	NaN
1	2	35	148	8	0.750	1	1	1	0.531	1880242.891	1880243.647	1880243.902	1880243.907
1	2	36	152	NaN	NaN	NaN	NaN	NaN	NaN	1880246.911	NaN	NaN	NaN
1	2	37	156	2	0.100	1	1	1	0.610	1880250.897	1880250.998	1880251.893	1880251.914
1	2	38	160	NaN	NaN	NaN	NaN	NaN	NaN	1880254.902	NaN	NaN	NaN
1	2	39	164	5	0.200	1	1	1	0.502	1880258.884	1880259.098	1880259.914	1880259.918
1	2	40	168	7	0.650	1	1	1	0.471	1880262.907	1880263.541	1880263.893	1880263.899
1	2	41	172	11	0.600	2	2	1	0.490	1880266.921	1880267.506	1880267.890	1880267.895
1	2	42	176	13	0.200	2	2	1	0.416	1880270.899	1880271.105	1880271.887	1880271.891
1	2	43	180	NaN	NaN	NaN	NaN	NaN	NaN	1880274.896	NaN	NaN	NaN
1	2	44	184	NaN	NaN	NaN	NaN	NaN	NaN	1880278.892	NaN	NaN	NaN
1	2	45	188	12	0.650	2	2	1	0.558	1880282.885	1880283.550	1880283.899	1880283.903
1	2	46	192	1	0.850	1	1	1	0.484	1880286.902	1880287.743	1880287.901	1880287.905
1	2	47	196	6	0.800	2	2	1	0.389	1880290.905	1880291.691	1880291.894	1880291.916
1	2	48	200	10	0.150	1	1	1	0.489	1880294.903	1880295.041	1880295.886	1880295.891
