onset	duration	node	response_time	accuracy
12	1	6	0.420	1
16	1	4	0.447	1
24	1	7	0.395	1
28	1	12	0.430	1
32	1	13	0.343	1
36	1	10	0.488	1
40	1	3	0.424	1
44	1	9	0.393	1
48	1	2	0.422	1
52	1	1	0.453	1
56	1	8	0.502	1
60	1	5	0.448	1
68	1	11	0.355	1
72	1	5	0.418	1
76	1	13	0.334	1
84	1	10	0.372	1
88	1	3	0.459	1
96	1	4	0.622	1
100	1	12	0.465	1
104	1	2	0.441	1
108	1	6	0.494	1
112	1	1	0.469	1
116	1	8	0.495	1
120	1	7	0.516	1
124	1	11	0.351	1
128	1	9	0.439	1
132	1	4	0.441	1
136	1	3	0.425	1
144	1	9	0.390	1
148	1	2	0.339	1
152	1	1	0.320	1
160	1	12	0.362	1
164	1	5	0.466	1
168	1	8	0.517	1
172	1	13	0.417	1
176	1	10	0.363	1
180	1	7	0.488	1
184	1	6	0.413	1
192	1	11	0.954	1
196	1	9	0.424	1
200	1	11	0.421	1
208	1	8	0.323	1
228	1	2	0.452	1
232	1	1	0.382	1
236	1	7	0.297	1
240	1	5	0.306	1
244	1	10	0.394	1
252	1	6	0.419	1
256	1	12	0.428	1
260	1	13	0.382	1
264	1	3	0.325	1
268	1	4	0.486	1
