global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
10051.845107158844	n/a	n/a	101039590.0583132	10434.460369922495	n/a	n/a	108877963.2114831	7115.790109968082	n/a	50634468.88911957	n/a	7527.271620366851	11149.817412934324	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0224803	n/a	n/a	0.00050536388809	0.0176509	n/a	0.00031155427081	n/a	0.0711051	n/a	n/a	0.00505593524601	0.000105073	n/a	1.1040335329e-08	n/a	-0.0	n/a	0.0	n/a	0.000437053	n/a	1.91015324809e-07	n/a
9985.614604047149	-66.23050311169573	4386.4795424283375	99712499.0205597	10130.397521161898	-304.06284876059726	92454.21599640984	102624953.93676312	7109.896373345064	-5.8937366230184125	50550626.43970529	34.73613138150848	7477.613404643115	10959.120247312225	1.151101	46.908489	0.081669295	0.0467115	-0.0311936627	0.0387103285	-0.0789196545	0.0163390669	-0.2038749596	0.0411195285	-0.1882184238	0.0196315964	0.0412597792	-0.0091120576	0.0979586239	-0.1725300663	0.0271809023	-0.1807215701	0.0592365079	-0.1239093864	0.0383867187	-0.0456663822	0.0315358284	-0.1967120048	0.2286868593	-0.1138140336	0.029037056	-0.0312469987	0.1276996282	-0.1630409771	-0.1017771123	0.0189247237	-0.2138219314	0.1566525961	-0.0837667598	0.1837413414	-0.0542849424	0.0034478068	-0.0799912898	0.0304824351	-0.1481669229	0.0765114783	-0.2206732258	0.0683510162	-0.0359458785	0.0575766405	-0.0212736208	0.0937059296	-0.0574140773	-0.0441337185	0.0128196061	-0.0280265291	0.1388234695	-0.0472134817	0.0535222213	-0.0805572172	0.0200468391	-0.0883269413	0.1532402648	-0.0787879595	0.0349436317	-0.0135548179	-0.0849536524	0.1833701925	-0.1060272019	0.1194665779	0.0953378875	-0.0896709388	0.0367567045	0.0945951425	-0.1019721625	-0.0267594329	-0.0916347933	0.0553630685	0.0829410599	-0.1352632193	-0.0181707259	-0.0566348121	0.0418555893	0.0342118021	0.0313434013	0.0587369356	-0.1358010989	-0.0978304153	0.0769785082	0.0526667057	0.030304688	-0.1842729386	-0.0044351149	-0.0976646952	0.085267776	0.0571899241	0.0093265189	-0.0617709944	-0.0584962795	-0.0503174517	0.0066722333	0.0211080321	0.0369909032	0.0727285754	-0.0507693256	0.0272893459	0.0760288056	-0.00054549	0.0477274891	-0.1467000537	0.0112538371	-0.1034884373	0.0477620591	-0.0826590918	0.0321509809	-0.0034241282	0.0631474101	-0.1309979014	0.0847706309	-0.0740781191	0.0705570793	-0.1145156623	0.0089658385	-0.1902056791	-0.0667214859	0.0196386803	0.1115849479	-0.1488984118	0.1256626767	-0.1459487554	-0.0267690385	0.0814392542	0.0041188731	-0.2454700188	-0.0697602721	0.0799452079	0.0074590146	0.0044272296	0.0585818831	-0.0610187087	-0.1136018718	0.1393944331	0.0549861007	-0.1096410853	-0.0193912919	-0.1116123161	0.0508200343	0.0275974483	0.0896242804	-0.1224031198	-0.0267112183	-0.0109207529	-0.0637878164	0.0162010048	0.016618564	0.0002291736	0.1588678735	-0.0942977024	-0.0212318533	-0.0025484071	0.0352174417	-0.0986311497	0.0997518122	-0.1149888583	-0.1716014237	0.1249725281	-0.203739025	0.0642723423	-0.0499052012	0.0617054887	-0.1426689314	0.0707108353	-0.0406533712	0.0072289352	-0.0720465186	0.1136974053	-0.1806005514	-0.076544162	0.0157128113	-0.0128621116	0.1760387775	-0.1545279071	0.1209659547	0.12355153	0.1235248834	0.1234804767	0.0	0.0234712	0.0009908999999999	9.81882809999999e-07	0.00055089722944	0.0447977	0.0271468	0.00200683392529	0.00073694875024	0.107964	0.0368589	0.00135857850921	0.011656225296	-5.39029e-05	-0.0001589759	2.90552262841e-09	2.5273336780810004e-08	9.7243e-05	9.7243e-05	9.456201049e-09	9.456201049e-09	0.000514288	7.723499999999999e-05	2.64492146944e-07	5.965245224999998e-09
9942.000483172364	-43.61412087478493	1902.1915396803504	98843373.60739952	10027.717655770935	-102.67986539096272	10543.154756706226	100555121.38386014	7105.830277444992	-4.066095900071559	50492823.93185397	16.533135868578743	7462.4501067746	10801.71922994814	1.067971	43.520836	0.062066645	0.0375829	0.0400819171	-0.044924838	0.0679577696	0.0399296523	0.1251786687	0.1062501317	-0.2630489534	-0.0475430453	0.0375207791	0.0127747871	-0.1209586853	-0.0907111201	-0.2218938098	0.084884366	-0.0484027466	-0.0645500475	0.034639881	0.0184919957	0.1232219314	-0.1626561733	0.1541370988	-0.0913268732	-0.1313251601	-0.0152710948	0.0922867093	-0.1389884908	-0.0056231849	-0.0353405729	-0.0530928671	0.0344082807	-0.063713936	0.0108658707	-0.0276870822	0.0678462216	0.0072216868	0.026861077	0.0564203955	-0.0432429788	-0.0179083949	0.0923574061	0.2345266116	0.1128733909	-0.0676465731	0.1562291386	-0.0494628809	-0.2651437923	-0.0724824394	-0.1615268043	0.0894089148	0.0050288643	0.0009102423	-0.1852965831	-0.0960507305	-0.1045993989	-0.0805245048	-0.1934960367	0.0985243647	0.0629943741	-0.1167419319	0.0734980611	-0.1016720082	0.0763557514	0.1774879931	0.041160741	0.0145740673	-0.1373660585	-0.0976837842	-0.1176529491	-0.0868384538	0.065410594	-0.0414760905	-0.0862496937	-0.0091373217	-0.0986669484	0.1205965527	-0.1027548525	0.1240079497	-0.013447481	0.0654280153	0.0820858615	-0.050316251	-0.0200131042	0.0137857373	0.0116367921	-0.004572082	-0.0302551141	0.030817903	0.0454824657	0.0434494681	0.0013652694	-0.0400086182	-0.0531811681	-0.1414695428	-0.071856604	0.0610893731	0.1657833356	-0.0542683595	0.1093271281	0.1600811467	-0.1180999752	-0.1436317359	0.1701909048	0.0177490918	-0.2008497664	-0.0877099465	-0.1061509431	0.0237819044	0.042596081	0.030048119	-0.0686274147	0.1257752225	-0.1876019871	0.1302023177	-0.0192826908	-0.1263068574	-0.1120037301	-0.1573612225	0.05621621	-0.0776896482	-0.095694317	-0.0069343805	-0.0785812846	-0.0298518115	0.0686362564	0.0719199166	-0.0824371458	-0.012439394	0.1504521232	-0.0684231421	-0.0948521099	0.1150402046	0.0298404905	-0.1324454506	-0.0791209065	0.0536400601	-0.2522392904	-0.0292056616	0.0094460743	-0.0209538215	-0.0051266594	-0.1025503991	-0.0213141349	-0.0767210071	0.1030847624	-0.0521246776	-0.0275361555	0.0290297752	0.0373109008	0.0256709763	-0.0347807846	0.1041833915	0.0628689347	0.0799142246	-0.1740709418	-0.137351883	-0.0784939073	-0.0630091411	0.1789317263	-0.1310874639	0.2005510109	-0.2271230752	0.1430554923	-0.0902572961	0.0091682534	0.0495106619	-0.1434308494	0.0156983641	0.0584180442	-0.058646946	0.0599008027	-0.0197144469	-0.0942781449	0.0619317913	0.112005608	-0.172188142	0.1234804767	0.1232407722	0.1228416094	0.0	0.024162	0.0006907999999999	4.772046399999977e-07	0.000583802244	0.0109635	-0.0338342	0.0001201983322499	0.00114475308964	0.107773	-0.000191	3.648100000000405e-08	0.0116150195289999	0.000256711	0.0003106139	6.5900537521e-08	9.648099487321003e-08	-8.953479999999998e-24	-9.7243e-05	8.016480411039997e-47	9.456201049e-09	0.000653444	0.0001391559999999	4.26989061136e-07	1.9364392335999997e-08
9909.586579795454	-32.41390337690973	1050.66113212764	98199906.18246216	9990.401246086893	-37.31640968404281	1392.514431707324	99808117.05781454	7099.440102233228	-6.390175211764472	50402049.765197344	40.83433923704912	7457.449199485879	10571.652569131023	1.094402	44.597946	0.0410534999999999	0.0254876	-0.0007884728	0.0589589807	0.2001842768	0.0185101008	0.0136137179	-0.2477990522	-0.1535696982	-0.0432477659	0.014625962	0.0757161659	-0.1940495496	-0.1543397275	0.145611659	0.1084035128	-0.0587199915	0.0562892543	0.034423898	-0.0028359909	-0.1256814487	-0.1040250088	0.148130398	0.0989330625	-0.0207025649	0.197365807	0.1619566822	-0.0023309097	0.1832647778	0.0826852919	0.0418594025	-0.2466935083	-0.0590260656	-0.1804849784	0.0144974492	0.0575574691	-0.0286839114	0.0658086053	-0.0892441735	0.0973535838	-0.047620218	0.0748888423	0.0789905243	0.170347219	0.0413043319	0.171562491	-0.180855179	0.0071722652	0.0167409651	0.1149971847	-0.0957379536	-0.1693954683	0.036539688	0.0740040068	-0.0189792776	0.1462420719	-0.2230592012	0.0428129217	0.0244307523	-0.1089637251	-0.1484534474	0.0253182143	0.0378348769	-0.0799943813	-0.0748286678	0.2193774899	0.0565559735	-0.0894463067	0.0153624519	-0.2579094125	0.1680081762	0.1277680194	-0.0428452333	0.0795933784	0.0017104907	-0.0791286985	-0.018672789	0.1601563687	0.0168551961	-0.1629893268	0.0194398837	0.0379217068	-0.0922471886	0.0425021092	-0.0309817788	-0.0010494549	0.0996096658	0.0338653966	-0.0813016696	0.0257340566	0.0661119838	-0.1081873755	0.0476845233	0.0273902007	0.0031240635	-0.0775650676	0.020581164	0.1705054574	-0.016639544	0.0165179067	0.2852684948	0.1275537909	0.0947401914	0.1672040565	0.0585945611	0.1106817534	0.134912214	-0.1138795836	0.0166095904	0.0033354262	-0.0754954203	0.0735980592	0.0280976909	0.2044385751	-0.0527908704	0.0141024241	-0.0352610864	0.1257525175	-0.1939973942	-0.1040655254	-0.0723720811	-0.0247958003	0.053684449	-0.0025053495	-0.0990284423	-0.2048547231	0.039451755	-0.0187150331	-0.0465446676	0.1793021656	0.0132283794	0.0464704995	0.0810874008	0.06093932	-0.093710778	-0.1767128369	0.0785309148	0.1357003946	-0.0197071778	0.135627248	-0.0566907453	0.1619838149	-0.0590837673	-0.1313508708	-0.0483644909	-0.0279444841	0.001688201	-0.1078576337	0.0068596691	0.0165175594	-0.0956836133	0.1805692998	-0.0195890113	0.0271725022	0.0205600344	-0.2162006004	0.0464497969	-0.1201339693	-0.0237179117	-0.0040625491	-0.0586593617	0.0485858037	0.0569028573	0.2371578536	-0.0024178085	-0.2340379132	-0.0934003276	-0.0057817169	0.1038997521	-0.0845672877	0.0352161411	0.0387623525	-0.0221587084	-0.0036182701	0.0238408981	-0.1930358224	-0.1927415766	0.1233384109	0.1226732033	0.1215671803	0.0	0.0196451	-0.0045169	2.0402385610000008e-05	0.0003859299540099	0.0342268	0.0232633	0.00117147383824	0.00054118112689	0.104455	-0.0033179999999999	1.100912399999992e-05	0.010910847025	0.0004062	0.000149489	1.6499844000000001e-07	2.2346961121e-08	5.29395e-23	6.189298000000001e-23	2.8025906602499998e-45	3.8307409732804e-45	0.000703061	4.9617000000000064e-05	4.942947697210001e-07	2.461846689000006e-09
9899.768085488104	-9.818494307350193	96.40283046346812	98005408.1464488	9983.865005051375	-6.536241035517378	42.72244687438128	99677560.43908948	7086.699593331849	-12.740508901378234	50221311.1261298	162.32056706609802	7450.911284536716	10509.14463665444	1.110934	45.271618	0.0552712499999999	0.0318524	0.0540604169	-0.0040231122	0.271600665	-0.1204427871	-0.2247728145	0.1513802383	-0.0242815657	0.0640621875	-0.0214643349	0.0071746757	-0.2203842953	0.1186370579	0.0128863271	-0.2344383303	0.17989704	-0.020630246	0.1195484543	-0.0451250986	-0.0376407044	-0.1693966755	0.0380195931	0.0218122606	0.1358349592	0.1093817472	-0.0079679061	-0.0131599604	-0.0194964592	-0.0260318189	0.0190899247	-0.0575769584	0.0994394799	0.1563281153	0.0891373214	0.1191113131	-0.1801513321	0.0273829006	-0.0584247563	-0.077809872	0.0081247871	-0.0856581965	-0.1475971159	0.0381401363	-0.0665805789	0.2527806999	0.0074707048	0.1731427193	0.1968469842	-0.1540206706	-0.0568770901	0.1162686607	-0.1610048354	0.0345670478	0.0863127023	0.1142009349	0.1336691246	-0.0465202486	0.0863369904	-0.1382863597	0.0703770265	0.0197338951	-0.050216461	-0.1109567993	-0.0114228091	-0.1079257294	-0.0994381328	0.0802174014	0.0596176328	-0.028232132	0.1432566306	0.0354398658	-0.0643394734	0.0152609273	0.1771832139	0.0258240971	0.0054139819	0.0017286427	-0.1551617203	0.0449746931	-0.0413250548	-0.026706989	-0.0065593252	0.0740584016	-0.1679851168	-0.090341188	0.1144416202	-0.0774094518	-0.1019355521	-0.1257815225	-0.0036538722	0.1005694705	0.1470172387	-0.027195904	-0.1038712183	0.1711972952	0.0491639015	-0.04690457	-0.0196512039	0.0153496072	0.0071492566	-0.2290069147	0.2803311123	-0.0504245592	0.02465047	-0.0591884421	0.142584381	-0.1987163111	0.1244105922	0.1160027401	-0.0895846042	0.0331409837	-0.1455223226	-0.0437922255	-0.0405495168	-0.1845363938	0.052519202	-0.0117484218	-0.0564871914	-0.0269776639	0.1359904205	0.0329320406	-0.0137770589	0.1388286345	0.0967650255	-0.0068489077	0.0248965005	0.060880393	-0.0606082698	-0.1746197034	-0.0029012029	0.1145843754	0.0857526467	-0.1407985259	-0.0441853658	0.0384687674	-0.19953427	0.1214745647	-0.0247768177	0.0455211861	0.0158428571	-0.0723109541	-0.005735723	-0.1070073542	-0.1576243242	-0.0074294839	0.0540361573	0.1265121273	0.0250283403	-0.0826071166	0.0894206583	-0.0167638586	-0.0374685606	-0.0484581153	0.1010684008	-0.2030357049	0.0290358763	-0.0190360409	-0.1394726888	0.1414991799	-0.1565661111	-0.0755735773	-0.0095395755	-0.2429878214	0.0589542629	-0.0831974323	-0.1851869246	-0.0050627533	-0.0532934286	0.0866504043	0.0339256865	-0.0702993331	0.144399319	0.0650453689	-0.0020798307	-0.0735921585	-0.0385190351	0.1231254143	0.1218234821	0.119663783	0.0	0.0194909	-0.0001542	2.3777640000000054e-08	0.0003798951828099	0.0629099	0.0286831	0.00395765551801	0.00082272022561	0.115349	0.0108939999999999	0.0001186792359999	0.0133053918009999	0.000445439	3.9239e-05	1.98415902721e-07	1.5396991209999995e-09	0.000198748	0.000198748	3.9500767504e-08	3.9500767504e-08	0.000630249	-7.281200000000001e-05	3.972138020010001e-07	5.301587344000001e-09
9911.833912476062	12.065826987958644	145.58418090335115	98244451.50851052	9993.155684745549	9.290679694173376	86.31672917972553	99863160.53956228	7082.981213695287	-3.7183796365625312	50168622.87356036	13.826347121602902	7446.020607600646	10540.451709218483	1.098074	44.747566	0.0607384999999999	0.0337296	0.0071181643	0.0514789046	0.2018033497	-0.0077631288	0.2329740823	0.1183515355	-0.0874352264	-0.0499440991	-0.0082290601	0.0717752747	-0.1117275805	0.1684923205	-0.0721908196	0.2095873794	0.1120117056	-0.0481004568	-0.0849820283	-0.1947888342	0.0795753913	-0.175182105	0.0145316227	-0.0470705616	0.0558936502	0.0723813439	-0.046319611	-0.030909579	-0.0796322587	-0.0422527622	-0.0373457065	0.0168747322	-0.0500149337	-0.011184624	-0.080602992	-0.0510098769	0.0787889966	0.1033516701	0.1460216509	-0.1426309827	0.0337501003	-0.0058886378	0.0631163613	0.0795398192	-0.1539486059	-0.0082728501	-0.0526290062	-0.0658717729	0.1532658396	0.0168227697	-0.1826824878	0.1874332745	0.0630318475	-0.0543664954	-0.2052030878	0.0006506651	-0.0609592956	0.0131905184	0.0380445506	0.0751744775	-0.0320295635	-0.1151460749	-0.1169922145	-0.207780553	0.0011281759	0.0707566708	0.1534961542	0.071689796	-0.0496348315	0.202726947	-0.0452575382	-0.0598981399	0.0421330147	-0.0641323118	-0.0958789906	-0.0550075655	-0.0941265635	-0.0102933402	-0.0555701551	-0.0729686539	0.0418996801	0.1696094443	0.0469409153	0.0148073737	0.07766325	-0.0207087564	0.0379390263	0.0544511533	-0.1283236757	-0.0055114644	-0.0150476219	0.0614451139	-0.0711096447	-0.0555982973	-0.0416646266	0.0959470999	-0.0064633022	-0.1675878335	0.1538073019	0.062752724	-0.0707389749	-0.0853060829	-0.0848694779	0.1879437081	0.116718	-0.1495727795	0.1069964445	-0.1078279289	-0.1008570791	-0.1742691426	-0.0368568413	0.0246313131	-0.1627520542	-0.1148815341	-0.1010270519	0.0440560937	-0.0100551702	0.056988733	0.1206834486	-0.2011618229	-0.0646337756	-0.1407675937	-0.1007190905	0.0338215488	-0.0416090232	0.0915235009	0.052289645	-0.1251450711	-0.0538513157	-0.0783767137	0.0489720049	-0.14723061	-0.0745543736	0.0260858953	0.0960464919	-0.1971103348	0.0314590191	0.0098301605	0.1316877363	-0.0742552043	0.0609887311	-0.0611337475	-0.0915922403	0.0660502302	-0.0258720905	-0.096941756	0.0163842838	0.1617694685	-0.1139617153	-0.0465127912	-0.1577336679	-0.0309916274	0.006389966	0.0582381697	0.056026811	-0.2111948816	-0.0189143876	-0.1171754376	0.0141035551	0.0628014399	0.1276867808	0.1216279759	-0.2356899406	-0.0518090968	0.0966259951	-0.0489298957	-0.1152862531	-0.1077753495	-0.1679487309	-0.0857351645	0.0523630435	-0.0536091416	-0.0599794479	-0.1014077083	-0.1387231668	0.0641594775	0.0728094359	0.1228416094	0.120693563	0.1171412655	0.0	0.0251536	0.0056627	3.2066171290000034e-05	0.00063270359296	0.0332164	-0.0296935	0.00110332922896	0.00088170394225	0.101146	-0.0142029999999999	0.0002017252089999	0.010230513316	0.000398897	-4.6542e-05	1.59118816609e-07	2.166157764e-09	0.000262091	6.334299999999999e-05	6.8691692281e-08	4.012335648999999e-09	0.0007439499999999	0.0001137009999998	5.534616024998512e-07	1.2927917400977246e-08
9921.240275352548	9.406362876485218	88.47966256411927	98431008.6012775	10001.69161043629	8.535925690741351	72.86202739785821	100033835.07027169	7095.677429495826	12.696215800538994	50348638.18345649	161.193895653856	7453.856857102347	10639.319559234202	1.114773	45.428082	0.0408506	0.0207286	0.0471085676	-0.0196632451	0.160822679	-0.0657589053	-0.1010868327	-0.1892559697	0.0498456438	-0.1264467347	-0.0254850397	0.0004199507	-0.0744143372	0.0675347991	0.0437949405	-0.0549081067	-0.1345489473	0.1751615267	-0.1446528167	-0.0818015397	-0.0792481632	-0.3375949536	0.0102621298	-0.087646019	0.0097276502	0.0626708075	0.0532639641	0.1295789624	-0.0117588059	0.0007485155	-0.0016738807	0.0081822986	0.0074070625	-0.1056549174	-0.0435497856	0.0936843623	0.031620748	-0.0796198271	-0.1322039364	-0.0146052784	0.0798992397	0.1151181692	-0.0322214067	0.0749354869	-0.0162584841	0.1124884028	-0.0218991726	0.1226823422	0.0690931272	0.1171001192	0.2608423068	-0.0114412575	0.0468203474	0.0370782769	-0.1305454262	0.1229946481	-0.0197226854	-0.0725821614	0.063425542	0.020879711	0.0196562253	-0.0788293942	-0.0240305021	0.0877575968	0.0894608215	-0.0169849692	-0.1144441344	0.1841468134	0.2651735264	-0.0560609703	-0.1567147572	-0.0614526584	0.051324704	0.1044124569	-0.0981023947	0.0847934643	-0.0972971059	0.0841421493	0.0172305866	-0.0967080269	-0.0192421502	-0.096138385	0.2767057611	0.0687035489	-0.0036029194	0.0879161991	0.0446519541	-0.0008335295	-0.0691149544	0.0916027262	-0.0169421779	0.0604585498	0.0387799705	0.0374099612	0.078971592	-0.1386567354	-0.0952159662	0.0011635567	0.0233316337	0.0036856223	0.010800549	-0.0074706432	-0.015470092	-0.0445483311	-0.2069890582	-0.0135022547	0.1510511783	-0.2202021472	-0.1496510727	-0.0403738432	-0.0456299391	-0.1515507342	0.0298367883	0.1004921225	0.0096658052	0.0910559102	0.1206314192	-0.1702355833	0.0320595368	-0.1592540045	-0.0591727065	-0.1310097334	-0.0118275581	-0.1204746441	0.0121975464	-0.0553946931	-0.1583122259	0.1341040921	0.1868595144	0.0122892976	-0.1840560244	0.0758482081	-0.1099693836	-0.062438194	0.064186612	0.0416335226	-0.0820289324	0.1984067439	-0.0866926038	-0.0213006609	0.0217484662	0.0660224965	-0.0525920603	-0.0676025014	0.1030696518	-0.1647379834	-0.1151319307	0.0327014907	0.1274669192	0.1684725705	-0.0321414285	0.0210385391	-0.0027182463	0.0059952153	0.0868921401	-0.1912161487	-0.0229274896	-0.0078814314	-0.1860756751	-0.051595744	-0.0389367491	-0.0585647687	0.0875793711	0.1947903109	0.0263592242	-0.1431938367	-0.1266588052	-0.0829413874	0.094803689	-0.008370142	0.0763271562	0.1528660982	-0.0320890321	0.1295130954	0.2310223301	0.1381447791	0.1439756014	0.1224871595	0.1192860448	0.1140126786	0.0	0.0234834	-0.0016702	2.7895680400000005e-06	0.00055147007556	0.0153275	-0.0178889	0.00023493225625	0.00032001274321	0.108485	0.0073389999999999	5.3860920999999975e-05	0.011768995225	0.000484578	8.5681e-05	2.34815838084e-07	7.341233760999998e-09	0.00017853	-8.356099999999998e-05	3.1872960900000006e-08	6.982440720999997e-09	0.000853758	0.0001098080000001	7.28902722564e-07	1.2057796864021972e-08
