global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	non_steady_state_outlier00	non_steady_state_outlier01	non_steady_state_outlier02	non_steady_state_outlier03	non_steady_state_outlier04	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01
9993.76937599404	n/a	n/a	99875426.3405563	10370.035403497548	n/a	n/a	107537634.26979256	7101.3439050708175	n/a	50429085.25808645	n/a	7528.516976111327	9414.132236143216	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0118296	n/a	n/a	0.00013993943616	0.0484592	n/a	0.00234829406464	n/a	0.0230613	n/a	n/a	0.00053182355769	-0.00107027	n/a	1.1454778728999997e-06	n/a	-0.0	n/a	0.0	n/a	0.00029851	n/a	8.910822009999999e-08	n/a	0.0	0.0
9957.009324420907	-36.76005157313193	1351.3013916593195	99142034.6866049	10135.383451875256	-234.65195162229247	55061.53840015069	102725997.71654676	7097.382479472258	-3.9614255985597993	50372838.059919775	15.692892772924864	7483.250339074194	9759.980856678383	1.193666	50.245502	0.0587490699999999	0.0309482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.00317158	-0.0086580199999999	7.496131032039998e-05	1.00589196964e-05	0.0723634999999999	0.0239042999999999	0.0052364761322499	0.0005714155584899	0.0088246	-0.0142367	0.00020268362689	7.787356516000001e-05	-0.00115265	-8.238000000000017e-05	1.3286020225000002e-06	6.7864644000000284e-09	-0.0	0.0	0.0	0.0	0.000455131	0.000156621	2.07144227161e-07	2.4530137641000004e-08	0.0	0.0
9951.412522470458	-5.596801950448935	31.324192072549	99030611.19238186	10037.653254160188	-97.73019771506732	9551.191545426153	100754482.85075262	7099.494148015651	2.1116685433935345	50402817.15770848	4.459144037157771	7467.479873607366	9945.897936054964	1.264174	53.213432	0.21407863	0.103779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	-0.0283974	-0.0315689799999999	0.0009966004982403	0.00080641232676	0.0643886	-0.0079748999999998	0.00414589180996	6.359903000999834e-05	-0.0261611	-0.0349857	0.00122399920449	0.00068440315321	0.00010996	0.00126261	1.20912016e-08	1.5941840121000004e-06	0.000349526	0.000349526	1.2216842467600004e-07	1.2216842467600004e-07	-0.0007237139999999	-0.0011788449999999	5.237619537958552e-07	1.3896755340247645e-06	0.0	0.0
9943.639596150148	-7.772926320310944	60.41838358098264	98875968.41812506	10079.35917003353	41.70591587334093	1739.3834188341907	101593481.278539	7079.4452382945365	-20.0489097211148	50118544.88201118	401.95878100541137	7456.797562078164	9330.3533689132	1.360797	57.280655	0.07595015	0.0422681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.0196211	0.0087763	7.702344169000002e-05	0.0003849875652099	0.0264271	-0.0379615	0.0006983916144099	0.00144107548225	-0.0231594	0.0030016999999999	9.010202889999996e-06	0.00053635780836	0.000309124	0.000199164	9.5557647376e-08	3.9666298896e-08	0.000543147	0.000193621	2.95008663609e-07	3.7489091641e-08	-0.000855142	-0.0001314280000001	7.312678401640001e-07	1.7273319184026293e-08	0.0	0.0
9939.409901575642	-4.229694574505629	17.890316193602356	98791869.19153991	10019.735551213218	-59.62361882031109	3554.9759212297554	100395100.51624604	7105.925990480177	26.480752185640085	50494184.18218168	701.2302363172821	7471.507050072015	9983.361929983645	1.351764	56.900433	0.0848295	0.0526482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0265256	-0.0069045	4.7672120250000014e-05	0.00070360745536	0.0732718	0.0468447	0.00536875667524	0.00219442591809	-0.0451709	-0.0220115	0.00048450613225	0.00204041020681	0.000236354	-7.276999999999997e-05	5.5863213316e-08	5.2954728999999965e-09	0.00051071	-3.243699999999996e-05	2.608247041000001e-07	1.0521589689999971e-09	-0.0007789729999999	7.616900000010003e-05	6.067989347288442e-07	5.801716561015238e-09	0.0	0.0
9921.02822668517	-18.381674890471917	337.8859717790056	98426801.07468387	10038.3285984351	18.593047221882443	345.7014049951504	100768041.05016	7102.774024201478	-3.1519662786986373	50449398.838871256	9.934891422053337	7474.954302778432	9443.963958357925	1.269575	53.440811	0.0552535	0.0273807	0.3387568465	-0.0382185134	0.1346848412	-0.0754723541	0.1501849189	-0.0684743056	0.1077126429	-0.0388311738	-0.1211378313	0.0689167211	-0.0820692671	0.1474872299	0.1222524692	-0.060742703	0.0414889003	-0.14873083	0.2135127946	-0.0509665634	0.098456411	-0.0911387904	0.1982321232	-0.0218680534	0.2177798626	-0.0810112614	0.0128722444	-0.1149283089	0.1056749531	-0.1569025032	0.040529183	-0.0172520674	0.0238475846	-0.0410637054	0.0271841275	-0.0062472863	0.0497519042	-0.1351566028	0.1643349707	-0.0440155676	-0.0371651005	-0.05016564	0.0598309147	-0.0243143609	0.1513503904	-0.1111465917	0.026731562	-0.0444941742	0.1025176192	-0.1525431266	0.1391149611	-0.010332418	0.1417516294	-0.1464498588	0.0456742008	-0.0337016574	0.0764717994	-0.0806056114	-0.0222025549	0.0602898409	-0.0819257176	0.013732794	0.1343631439	-0.0673837955	0.0434252444	0.0136659414	0.0567710586	-0.026841805	-0.0789254397	0.0761851456	0.0447730368	-0.1187629309	-0.0098041315	-0.0175500246	-0.0383591793	-0.0130996116	0.1205222219	0.0688123987	-0.0697468973	-0.0275273554	-0.0487931572	0.1319830271	0.0306321943	-0.0789329491	-0.0725921608	-0.0280739125	-0.0830165147	0.1996500762	0.0565190226	0.0719024914	0.0210681989	-0.04655012	-0.0383236917	-0.062714956	0.0885980402	0.0184905309	-0.0511203957	0.1422130532	-0.0656299518	0.042764612	-0.0056334501	0.0021926279	-0.2145788322	0.0241706933	-0.0989503178	0.1690375045	-0.1390741573	0.0524408719	-0.0958169185	0.0105646563	-0.0200241743	0.0330239814	-0.1122204724	0.0277386598	-0.125048752	-0.0320756387	0.0552850998	0.0609200685	-0.0659262436	-0.0422135481	0.0080945916	0.2453238385	-0.0661781688	-0.0377903159	0.0326773022	0.0635197127	-0.0543809139	-0.0297773373	-0.0112465647	-0.0419258162	-0.0718067061	0.0420853348	0.0929358271	-0.095959532	-0.0039377532	-0.1243776514	0.0461349087	0.0027692102	0.1633989093	-0.1161743245	-0.1213615121	0.0554444952	0.0076626276	0.0406063893	-0.0322653376	0.1733124904	-0.2030698655	-0.0211023913	0.0812853993	-0.2672265245	0.191227526	-0.0145629588	0.0032674265	-0.0907798451	0.0119958868	-0.0672311059	0.0365346291	-0.0087033486	0.0035615822	0.0121368858	-0.1580565657	0.1519801677	-0.007978287	0.1534244245	-0.030066306	0.071479736	-0.0481004367	0.1254815624	0.1254527679	0.0	0.0	0.0	0.0	0.0	-0.0321332	-0.0056076	3.1445177760000006e-05	0.00103254254224	0.0559395	-0.0173322999999999	0.00312922766025	0.0003004086232899	-0.0323122	0.0128587	0.00016534616569	0.0010440782688399	0.000556853	0.0003204989999999	3.100852636089999e-07	1.0271960900099994e-07	0.000444857	-6.585300000000005e-05	1.97897750449e-07	4.336617609000006e-09	-0.000776227	2.7459999999000133e-06	6.02528355529e-07	7.540515999450873e-12	0.0	0.0
9909.630157748268	-11.398068936901836	129.91597549036655	98200769.86335395	9998.12072714187	-40.20787129323071	1616.6729139330062	99962418.07450388	7096.719000551392	-6.055023650085786	50363420.57278715	36.6633114030982	7467.307543690544	9799.871828356503	1.191617	50.159275	0.03957285	0.0189056	0.3693678334	-0.0863746084	0.1100977683	-0.0768479625	-0.1335944974	-0.2269474909	0.0638136931	0.0852345366	-0.034556363	0.2036826638	0.041413126	0.0151650238	0.0199927013	0.0574584261	0.1210559865	-0.1403258534	0.0402040315	-0.0861700308	0.1684213182	-0.2555877545	0.1513409035	-0.0240474589	0.1568179235	-0.1003735686	-0.0551683178	-0.040365765	0.0098930824	0.0199667953	-0.0128163749	0.0160724778	0.0025887011	-0.0302168562	-0.1315520828	-0.0276738742	-0.1636861604	0.0230961633	0.1206290749	-0.0329895421	-0.01572138	-0.0058072405	-0.0380469293	-0.0494553789	0.1275033995	-0.1262911969	-0.0864234515	-0.189475536	0.2428533824	-0.1097584763	0.2923146246	0.1245108342	0.0633081744	-0.0363780589	-0.0747780617	0.0065568698	0.0292940781	0.0274467033	0.014214335	0.0463837995	-0.1838993891	-0.0734735321	-0.0549076655	0.0015937633	0.0921579418	0.0172182579	0.0501302376	-0.1096271732	0.0693972089	0.0588405898	0.0365960656	-0.1043935629	-0.0702698043	0.0913092161	0.0690545641	0.1573463789	-0.0050263749	-0.056177512	-0.0730773652	0.0793308766	0.0304852502	0.2030805576	-0.0988850286	0.0050012492	-0.0448039774	-0.047798985	-0.0300514531	-0.0087844437	-0.0421823763	-0.0675595456	-0.025961886	-0.0220969609	-0.0146007482	-0.112920302	-0.0342080722	-0.060235068	0.1050748515	0.020820441	-0.2557180265	0.1257945052	-0.1163105602	0.1284331034	-0.2680734585	-0.0259460248	0.0147022624	0.0970169216	0.0555057159	-0.0050557726	-0.140876412	-0.0224664458	-0.0298351486	0.1290563741	-0.1928983939	-0.2007490938	-0.0781975276	-0.0029547975	-0.0198878905	0.0890921005	-0.1874076367	-0.11030344	0.01659834	0.0551917541	-0.0852015051	-0.0199864781	-0.0699812433	-0.0775321826	-0.0205382045	-0.0207505153	0.1384244812	0.0693861818	0.203745866	-0.0833946232	0.0170157852	-0.0045185279	-0.0819227825	-0.0173977533	0.02214342	0.0787679677	0.0777804098	0.1421228411	0.0362138375	0.0618259278	-0.0369926538	0.0298374448	0.0029506752	0.2125834326	-0.2366245199	0.0856731456	-0.0405960662	-0.1850573488	-0.0427543554	0.1384352321	0.1045592573	-0.0815739809	0.1136627963	-0.0617437261	0.03922268	0.0313297874	-0.1384526521	-0.0782618453	-0.1722044401	0.0653341045	-0.0412507289	0.1686791232	-0.0008395293	-9.85227e-05	0.1877738784	0.125404782	0.125145764	0.0	0.0	0.0	0.0	0.0	-0.034548	-0.0024148	5.831259040000008e-06	0.001193564304	0.0516151	-0.0043244	0.00266411854801	1.870043536000005e-05	-0.0474474	-0.0151352	0.00022907427904	0.00225125576676	0.000695886	0.000139033	4.842573249960001e-07	1.9330175089000033e-08	0.000347893	-9.6964e-05	1.21029539449e-07	9.402017296e-09	-0.000894199	-0.000117972	7.995918516010001e-07	1.3917392784000012e-08	0.0	0.0
9853.21130149126	-56.41885625700888	3183.0873413490303	97085772.95183508	9949.631969305716	-48.48875783615404	2351.1596364931893	98995176.32463032	7095.794378720239	-0.9246218311527628	50350297.86507775	0.8549255306442881	7466.040210864209	8612.50632689563	1.365631	57.484127	0.0780249499999999	0.0495865	0.1532884375	-0.0613473066	0.0012375267	0.1098153831	0.0794412131	-0.2038684115	0.0714685345	-0.1522821141	0.0666161894	-0.0034865217	0.1369201167	0.0743849168	0.1121042154	-0.0475431173	0.0284000315	-0.1199226977	0.1204291099	-0.2007603354	-0.0219802563	-0.1231069612	0.1921397235	0.0418497717	0.083645889	0.0011739328	-0.0971319297	-0.122432684	-0.0042910852	0.0105099196	0.1018506674	0.1182599223	-0.0587789149	-0.1352444669	-0.0202362122	0.0575710414	-0.0135928149	-0.0854152169	0.0375747155	0.0195728684	-0.0459006437	0.032079326	-0.1102121191	0.0127560744	-0.0043893645	0.130685265	0.1555493945	-0.1898074224	-0.0555814359	-0.0512091285	-0.0006827366	0.0561073015	-0.0380571541	-0.025419502	-0.1797825014	-0.1069455831	-0.1142177255	0.0640152749	0.0161836213	0.0263525506	0.1171112699	-0.0364369864	0.077055619	-0.0162969804	0.0716068785	0.1020923666	0.157749331	-0.0661364698	-0.0412480721	-0.002869817	0.0289412787	0.0112751305	-0.0195211932	-0.030981589	0.2459180196	0.0081109632	-0.053108286	0.0766021429	-0.0468962899	-0.0213106077	-0.1358753832	0.0331506481	-0.1350578109	0.0600170484	0.0543637164	-0.0888357169	0.0489799699	-0.0287567787	0.1461373192	-0.0564688841	-0.0393654514	0.0052293142	-0.0425059946	-0.0688910003	-0.0127637362	-0.1296903286	-0.1403476754	-0.0280526103	-0.0819185371	-0.0484116867	0.1064209803	0.0861660323	0.0081203337	0.0955560842	-0.0474302762	0.145365616	-0.1236791882	0.0694772506	0.0373481052	-0.149949577	0.0309600256	-0.0174215831	-0.0481484752	-0.0714491385	0.0656494966	0.1974527565	-0.0957844775	0.063650389	-0.0524442841	-0.0835859182	0.1176868916	0.0137194616	-0.0566695283	-0.1520596376	3.3917e-05	0.0019259823	0.1359288091	-0.0127207472	-0.0814030236	-0.0088560238	0.1224024158	-0.0933432081	-0.0428560268	-0.0071742104	-0.0265809516	-0.0397669691	-0.1654701292	-0.1405154569	-0.0608188837	0.0472109319	0.058532155	-0.0114094545	0.0117532459	0.0351961981	-0.0122204832	0.128532414	-0.0461508742	-0.0551136696	-0.0987055492	-0.2057592433	0.1515227449	0.0586293265	0.163178111	-0.0900545551	-0.0044190563	0.0658400928	-0.0207298745	-0.0797158919	-0.0467464869	0.0729385327	-0.1269122947	-0.0470034044	-0.0595763441	0.0881337556	-0.0300879199	0.0085394135	0.0813525745	0.1252512683	0.1245325074	0.0	0.0	0.0	0.0	0.0	-0.0368221	-0.0022741	5.171530810000005e-06	0.00135586704841	0.0939493	0.0423342	0.00882647097049	0.00179218448964	-0.0219518	0.0254956	0.00065002561936	0.00048188152324	0.000695886	0.0	4.842573249960001e-07	0.0	0.000278119	-6.977399999999999e-05	7.735017816100001e-08	4.868411075999998e-09	-0.000982846	-8.864699999999986e-05	9.65986259716e-07	7.858290608999975e-09	0.0	0.0
9844.048061996466	-9.163239494793745	83.96495803894788	96905282.24689636	9952.8183138877	3.186344581983576	10.15279179513609	99058592.38925838	7091.538409697863	-4.255969022376121	50289917.0162201	18.113272319425157	7470.212111032284	8006.69157013634	1.118674	47.088837	0.04528425	0.0218381	0.0285652118	0.0049317005	0.0239759406	-0.1223234412	0.0896528609	0.0169575302	0.0642522414	-0.0673121464	0.0074581896	-0.0091248844	-0.1335643301	0.0500697754	-0.0132968522	0.0181967363	-0.0635041088	-0.0785382891	0.0661215094	0.0663407341	0.0739078635	-0.1265456492	0.1484521249	0.111337942	0.1517033216	-0.0136442776	-0.02846175	-0.0018722716	0.0184006979	0.0361195588	0.0457178349	-0.0060668581	-0.0536209379	0.0073348665	0.0208622099	-0.0232233507	0.0967939768	0.0895631845	-0.1663586973	0.0367861144	-0.0066590523	-0.0044565294	8.22613e-05	-0.0036976434	0.0249539181	-0.1028244857	0.1082378756	-0.061948981	-0.086697807	-0.0339816025	0.1418740689	0.034786715	-0.0360108589	0.1053186769	0.0125190952	0.1278733436	-0.0160204354	-0.1043072168	0.0158425957	-0.0296596422	0.1327077211	-0.1148209262	0.033648964	-0.1613782481	0.1154824276	0.0744234606	-0.055244883	-0.054097116	-0.0806186123	-0.0583302934	0.2109013153	-0.0150506485	0.2107568638	-0.0864610781	-0.0580820982	0.1451775855	0.0938555513	0.0324463075	0.0381359601	-0.003043095	-0.1508848247	-0.1770657532	-0.1020314223	-0.0095185194	0.1000594038	0.0238923785	0.1367792595	0.0302128722	0.0515457328	0.1271618232	0.1405024499	-0.1878550377	-0.0075218378	-0.0258372073	0.083396773	-0.0312884063	0.030293544	0.0754517747	0.0759452128	-0.0570131358	-0.0737323964	-0.0471029037	-0.1270237226	-0.0749258911	0.1048391945	0.1503396765	0.0085642473	0.0606044968	0.1687942548	-0.0421975423	0.0437286015	0.0111335647	-0.1319156255	0.0944003624	-0.0708507145	-0.0355519168	-0.0994240166	-0.0270749203	-0.1600740761	0.0907153782	0.0180978435	-0.1088520296	0.0216406608	-0.0646378703	0.0223197155	0.223431523	0.1765547095	-0.0014723003	-0.1335776607	-0.0728851676	0.003997008	0.0021009237	-0.0118159904	0.1476417737	-0.018654073	0.1068148022	-0.1209312206	-0.1502311336	0.0140427104	0.0101309117	-0.13666307	-0.0925225808	-0.0201607753	0.0286938097	0.0004563857	0.1175503569	-0.0651281749	0.0316004592	0.0481642006	-0.1535465074	-0.0172604941	0.0534082106	-0.1350121347	-0.1039441238	-0.0149213186	-0.0020999588	0.0073869541	0.0224949331	-0.0749040365	0.0425346864	-0.1427772223	0.0404785314	-0.0185429402	-0.1007646129	-0.1726275987	-0.0055617334	-0.0321306426	0.1250211152	0.1236144989	0.0	0.0	0.0	0.0	0.0	-0.0272894	0.0095327	9.08723692900001e-05	0.0007447113523599	0.0807854999999999	-0.0131638000000001	0.0065262970102499	0.00017328563044	-0.0182714	0.0036804	1.3545344160000003e-05	0.00033384405796	0.000972381	0.000276495	9.45524809161e-07	7.6449485025e-08	0.000322767	4.4648e-05	1.04178536289e-07	1.993443904e-09	-0.00103985	-5.700400000000004e-05	1.0812880224999998e-06	3.249456016000004e-09	0.0	0.0
