ev_001	ev_002	ev_003	ev_004	ev_005	ev_006	ev_007	ev_008	ev_009	ev_010	ev_011	ev_012
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003129446628324921	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10166949409504811	0.0	0.0
0.0	0.00031275991261394667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32738434923116577	0.0	0.0
0.0	0.10165746320011906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2755386129683143	0.0	0.0
0.0	0.3273786918246463	0.0	0.0	0.0	0.0	0.0	0.0003125751623954012	0.0	0.07782693710783446	0.0	0.0
0.0	0.2755472633877133	0.0	0.0	0.0	0.0	0.0	0.10164543230519	0.0	-0.05678854032537605	0.0	0.0
0.0	0.07783632277647809	0.0003123904121768432	0.0	0.0	0.0	0.0	0.32737303441812643	0.0	-0.09023937198825847	0.0	0.0
0.0	-0.05678447880868809	0.10163340141026095	0.0	0.0	0.0	0.0	0.2755559138071123	0.0	-0.06895199787566447	0.0	0.0
0.0	-0.09023951802724046	0.32736737701160695	0.00031220566195829734	0.0	0.0	0.0	0.0778457084451211	0.0	-0.03847921184818556	0.0	0.0
0.0	-0.0689535690200257	0.2755645642265113	0.1016213705153319	0.0	0.0	0.0	-0.056780417292000125	0.0	-0.017471424658345894	0.0	0.0
0.0	-0.03848057043155714	0.07785509411376411	0.3273617196050874	0.0	0.0	0.00031202091173975193	-0.09023966406622244	0.0	-0.006798583163558093	0.0	0.0
