global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04
9429.636480098878	n/a	n/a	88918044.14681154	8493.890614285188	n/a	72146177.76744202	n/a	6735.930367944143	n/a	n/a	45372757.92179211	6738.820317786454	10339.243318524224	n/a	n/a	n/a	n/a	-0.0148143219	-0.0718276182	0.0659168284	-0.0138076212	-0.1007243191	-0.0097600869	0.1201833138	-0.0756758326	0.1041131369	-0.0440912629	0.1808258565	-0.0417406687	0.1889079516	-0.0720346616	0.2826300636	-0.0508230668	0.037393877	-0.0297937716	0.1543571135	-0.0352482464	0.160165751	-0.137117636	0.1501861387	-0.0828540756	0.2715272162	-0.135440838	-0.0772315495	-0.0233596194	0.0166678599	-0.0348546391	0.0777155928	-0.017649362	0.099949989	-0.1500842823	0.2590087858	-0.1431333324	0.0365130501	-0.0776922435	0.0255442432	-0.078327724	0.113386868	-0.0903665139	0.0314309212	-0.0332614011	0.1414174114	-0.0773749915	0.0350377355	-0.0960406949	0.1017518347	-0.0569272495	0.0014371588	0.1644729299	-0.0046877111	0.0363001279	0.0181850666	-0.0182666533	-0.0553278014	0.1112483023	-0.0900928172	-0.0055729893	0.1043261501	0.027098631	-0.0112400288	-0.0821692914	0.0161174079	0.0655465067	-0.0581355301	-0.0056285749	0.060138232	0.0187888985	0.0067187607	0.0080203932	-0.1882533424	0.0704044454	0.0024096806	0.074495632	-0.130819284	-0.0101465174	-0.0066808867	-0.0022972659	0.1515513164	0.0733099927	-0.0991617437	-0.0693597041	0.0671331569	0.067345963	0.1280538823	-0.0722358839	-0.0940971667	0.0978234995	0.0876249841	0.0008200029	-0.0612730515	-0.0238455595	-0.0433365664	0.1572542151	0.0614426102	0.0246345918	-0.079195294	0.0051194809	-0.0322383757	0.112096273	-0.0264449244	0.1108266937	-0.0737331296	0.0168586527	-0.0543913749	0.1593232019	-0.0804238983	0.1384843299	-0.0592798269	0.0400053465	-0.1976263733	0.0526800207	-0.0425646055	0.1397199443	-0.1412943363	0.0570785787	-0.1050947534	0.0834306141	-0.0716268456	0.0719162956	-0.029579549	0.113866934	-0.0205686737	-0.0278557963	0.0385308286	-0.0684787449	-0.0224723216	0.1533338762	-0.0587912953	0.0388149484	0.0256238852	-0.0692986894	-0.0037717828	-0.0599186391	0.0817500472	0.0013139523	0.0812773411	-0.1586555566	0.0587453808	0.0043002509	-0.0528394199	-0.0025252125	-0.0708472081	-0.1397928053	0.0921841632	0.1226479634	-0.0726364252	-0.0065155061	-0.150980402	0.0019602911	0.0301776433	0.235276112	-0.0712604354	-0.1039965028	0.1221921687	0.0214328112	0.1212828246	-0.0114165497	-0.0230533976	-0.0108040263	-0.0644307389	0.1258882163	0.0306861598	-0.0610083774	-0.0497202702	0.0071225135	0.0018289307	-0.0568748485	0.0253629437	-0.0427705161	-0.0199812665	0.0048459278	-0.0371782534	0.0499750732	-0.0220539183	0.0846079021	-0.0362802772	0.1071929901	0.012074938	-0.1406690094	0.0133095822	-0.0066229908	0.0488146216	-0.0807995457	0.0270251718	-0.0608191908	0.0224785376	-0.0129741788	0.0549891788	-0.1545647284	0.1074854157	0.1056992146	0.105687005	0.1056666568	0.1056381715	0.0206056	n/a	n/a	0.00042459075136	0.0123743	n/a	n/a	0.0001531233004899	0.105058	n/a	n/a	0.011037183364	7.29196e-05	n/a	n/a	5.3172680641599995e-09	0.000255133	n/a	6.5092847689e-08	n/a	0.000211047	n/a	4.4540836209e-08	n/a	0.0	0.0	0.0	0.0	0.0
9393.756852498103	-35.879627600774256	1287.3476767702418	88242667.80385508	8237.810068354887	-256.080545930301	67861514.72228916	65577.246003961	6737.406888559889	1.4765206157462671	2.180113128723736	45392651.58201425	6734.517304020089	10246.987664160066	1.075571	42.971306	0.12626178	0.0617485	0.0046093378	-0.0647979832	0.0582675681	0.0503630526	-0.0778751481	0.0621372594	0.0061854562	0.1155456275	0.0966181339	0.1302921456	-0.1294904615	-0.0103328052	0.033085492	-0.0254274152	0.1259161778	-0.0794612019	-0.0023160446	-0.0101772792	0.0168925933	-0.0881891553	0.1478419709	-0.0344846035	0.0456596316	-0.0217377434	0.1419310684	-0.0729186404	-0.0809379355	0.0625825058	0.0243139485	0.0390269102	-0.0510224789	0.0235631133	0.0493956586	-0.0539083246	0.2992487247	0.0781111528	0.122408913	-0.0465506599	0.0148255124	0.0441054283	0.0235599346	-0.1945053062	0.2869362181	-0.0060972259	0.1406615823	-0.0799027673	-0.2178558514	-0.029451354	0.091226552	-0.0796412825	0.0784726336	0.0365767083	-0.0942036263	0.0729781471	0.0149763303	-0.1813823474	-0.1059895743	0.0611881914	-0.0607208666	0.1256771606	-0.0362923637	-0.0150448552	0.1626891239	-0.0532269489	0.0296193032	-0.0814763069	0.1904513507	-0.0519352053	-0.0145023734	-0.0406634594	0.0908373704	-0.1535638899	0.053813822	-0.0452956023	-0.1672809605	-0.0851671085	-0.0921899958	0.0579867469	0.063271374	0.03720998	0.1220236003	0.0452378455	-0.131161246	0.1060844315	-0.0719440429	-0.0090034659	0.0069400375	-0.0097636716	-0.0227064719	-0.1016701942	-0.0567193251	0.0463352675	0.0878099964	-0.017081533	-0.0050916677	0.0037227254	0.0778116992	0.1040299682	-0.0659408396	-0.071452142	-0.0056481318	0.0236587852	0.0436011832	0.2034407704	0.0191664385	-0.01472462	-0.1069070882	0.0694732279	0.1205824782	0.1610255788	0.0500393239	-0.1764620423	-0.2757945557	0.0357868634	0.0031154914	0.2083978629	-0.1320277758	-0.0051599474	-0.0526404205	-0.0049071882	0.2419694697	0.0954343388	0.0456072262	0.0188390511	0.0022878556	0.2091189212	0.0838396897	-0.2984535638	-0.0541779416	0.0085606757	0.0631089152	0.0169250133	0.002119193	0.0003113801	-0.0148045601	-0.0538967439	-0.030002257	-0.0397779527	-0.0659989135	0.0709000999	-0.1228280432	0.0665299037	0.0141269201	0.038367621	0.0029878864	0.0090851038	0.0439284767	0.0548728906	-0.1273575612	-0.0273588244	0.1551834898	0.0022561316	-0.0004461036	-0.0223912598	-0.0205419743	-0.0165363689	0.0653004464	-0.0910453561	0.1576001312	0.1711328635	0.0628820343	0.0670237621	-0.0072003822	-0.1622149115	0.0408691212	-0.0101946298	0.0548120795	-0.0228615263	-0.0565304362	-0.0433424719	-0.0042094678	-0.0532846751	-0.0545464392	0.0046724249	0.0336688988	-0.1217496153	-0.04743503	0.064880062	0.0400381923	0.1387766554	-0.0500168308	-0.1108651831	0.1060414297	0.0506424935	-0.0924923071	0.0941803889	0.0485522313	-0.1150517626	-0.0214902979	-0.1642301953	-0.0554955122	-0.1677804411	0.1004984413	0.1056666568	0.1055567991	0.1053737875	0.1051177489	0.0247705	0.0041648999999999	1.734639200999999e-05	0.00061357767025	0.0392858	0.0269115	0.00072422883225	0.00154337408164	0.060251	-0.044807	0.002007667249	0.003630183001	-0.000589401	-0.0006623206	4.3866857718436013e-07	3.4739353880100005e-07	-3.2651900000000004e-23	-0.000255133	1.0661465736100005e-45	6.5092847689e-08	0.000301161	9.0114e-05	9.0697947921e-08	8.120532996e-09	0.0	0.0	0.0	0.0	0.0
9370.689265305931	-23.06758719217214	532.1135788684642	87809817.30691981	8246.353326161703	8.543257806815745	68002343.17989819	72.98725395371818	6724.4667431659045	-12.940145393984494	167.44736281745813	45218452.97994427	6723.447700528656	10077.628274024866	1.070792	42.78035	0.1791343	0.0911179	0.0326741436	-0.0867538494	0.0892620933	0.0762669566	0.0613489461	0.0648157641	-0.0302858396	-0.0519335734	0.0333881449	0.0056761231	0.0228264637	0.1562365478	-0.0230826731	0.0108327774	0.0610795521	-0.0161050269	-0.0443238516	-0.1218853151	0.0227050847	-0.0895855386	0.0834056407	0.009890485	-0.0077940219	0.01597378	0.0014956976	-0.0446372591	-0.0553411802	-0.0113342245	0.1060395572	0.0203939826	0.0101354141	0.0044137374	0.0124431837	0.0541256671	0.0350825693	-0.0441767613	0.0194077241	-0.0777923397	-0.0091878265	0.1553675216	-0.1932886736	-0.0682752964	0.0158260555	0.064858226	0.0289179197	0.0185284285	0.1054895976	-0.0027888263	-0.1456304051	0.1410119691	0.0588132711	0.2105713033	-0.0572331054	0.0351951439	-0.0664236358	0.0597735456	0.0947860802	-0.0693233499	0.2675631779	0.0439032546	-0.2010566908	-0.0612847589	0.1073296024	-0.1130166644	0.0003498855	0.0208375023	0.0908344222	0.0023117427	-0.2324403167	-0.1509517044	0.0869617803	0.0430725334	0.122131924	-0.1768636244	0.0982977312	-0.2490107791	0.1601108769	-0.0942393386	0.0413561816	-0.0870819109	-0.0007882293	0.0370665003	-0.0250939813	0.2247512108	-0.0639658683	-0.0119138656	0.0440985274	0.0179503403	-0.0659233088	0.0163744299	0.0341989078	0.0245515156	-0.0060413272	-0.0789346378	-0.008063269	-0.065872994	-0.0012367053	-0.0168044954	-0.0525987591	-0.0259769322	0.1026255362	0.0092262864	-0.0212221881	0.0020895898	-0.0370514651	-0.0144737249	-0.0495025103	0.0163528016	0.0418650973	-0.0186659753	0.1726063507	-0.1026221054	0.0677460297	-0.1323161459	-0.199081489	0.1003929314	0.1383006403	-0.0907646428	-0.1219667212	-0.0016609962	-0.1072272068	0.041741994	0.0586055154	0.054192811	0.043201955	-0.0282611222	-0.0618747832	0.0155039239	0.1133160548	-0.2921898418	0.0990223195	0.1060819097	0.026970772	0.1340671224	-0.0157914634	-0.1660557467	-0.0649140677	0.0868553478	0.0131755563	0.0870902617	-0.044519488	0.1803191592	0.1138754845	0.1764091644	0.0113250506	0.2510128772	-0.03679821	-0.084199228	0.0244558278	-0.0307462796	-0.0831922304	0.0880262005	-0.16644684	0.0229487745	0.1366044491	0.1164797051	-0.0810127597	-0.0710274249	0.1607369922	0.1070291771	-0.0720216712	0.0573469058	-0.0142852118	-0.1184917514	0.0133898266	-0.019983998	-0.0493193818	0.0519824416	0.0861711362	-0.0452643492	0.0296905453	-0.0802346425	-0.0325895634	0.0634259781	-0.015497387	0.0299520793	0.1104272787	-0.0114088444	0.0233320448	0.1136230792	-0.0563011142	-0.0593067633	-0.0798826018	0.040188736	-0.0280884708	-0.0284991273	0.1049188488	0.0201933281	-0.126963481	0.052651488	-0.0419437221	-0.1195504156	-0.0651769621	0.1056015514	0.1052965477	0.1047888607	0.1040794675	0.0210615	-0.003709	1.3756681000000005e-05	0.00044358678225	-0.0325577	-0.0718435	0.00516148849225	0.00106000382929	0.108506	0.048255	0.002328545025	0.011773552036	-0.000105945	0.000483456	2.3372970393600007e-07	1.1224343025e-08	0.000321919	0.000321919	1.03631842561e-07	1.03631842561e-07	0.0	-0.000301161	0.0	9.0697947921e-08	0.0	0.0	0.0	0.0	0.0
9342.61135102454	-28.077914281391717	788.3692703931807	87284386.85629258	8231.627710753795	-14.725615407907751	67759694.76844977	216.84374914161023	6718.876091873129	-5.590651292775874	31.25538187741655	45143295.93794433	6716.049768234607	9939.863694504049	0.931989	37.234882	0.0779095999999999	0.0533383	0.0553132233	-0.1092725435	0.0674412374	0.0838000878	0.065339049	0.0367120479	-0.0140934954	-0.0483802017	0.0770347419	0.0321717306	-0.0388129429	0.0636401216	0.04444339	-0.0083474854	0.0770034459	-0.0301319222	0.0011504406	0.0137032682	-0.0560253231	-0.0356206484	-0.0173728988	0.0657549953	-0.0655671351	0.0693414393	0.0487026022	0.0498089272	-0.0191745822	-0.0265046947	0.106021285	0.0813059673	0.0052511236	0.0062711446	0.0839288434	0.0476597452	0.0675424239	0.0569357172	0.2206781233	-0.0982843733	-0.1577167277	0.1031845028	-0.2014260093	0.0589957578	-0.0408805718	0.0878052502	-0.0363792735	0.0538610358	0.0778478292	-0.1209055236	0.1421224726	0.113620872	0.0422009017	0.0943916892	-0.1195666375	0.1302080849	0.1170991571	0.0972374525	-0.1534938017	0.0489389368	-0.0089063911	-0.1212870205	0.0627712879	-0.1041896301	-0.1625641304	0.0979939376	-0.1382083353	0.0889457806	-0.0361481767	-0.0020019032	-0.0401718496	0.070488521	-0.0559201411	-0.2231056693	-0.0438565184	0.0621382803	0.2651376953	-0.0105491281	-0.0720366205	0.0491347741	-0.2736740636	0.0480493677	-0.0176275232	-0.1192052288	-0.0418191412	-0.0647345251	-0.0253868418	-0.0178966536	0.083478274	0.0221096365	0.0829741412	0.0748079988	0.0030536152	-0.1015183026	-0.0080443533	0.2018717383	0.0932811225	-0.0069184468	-0.1210695682	0.0156403858	-0.0178859243	-0.0196978664	0.1034448071	-0.0217421193	-0.0509938124	0.0563770485	-0.0476601326	-0.0457334853	-0.0839409918	0.0470388242	0.1495828217	-0.1114324334	0.1742819505	-0.0242268179	0.0190124458	-0.0321119622	0.0552716971	0.2058228567	0.0857814289	-0.0362711876	-0.0912202034	0.118457525	-0.0639057585	0.0295005939	-0.0175393477	0.0500549487	-0.1135854106	-0.1182432169	0.0215715679	0.0844045911	0.0205042623	-0.0253351758	0.0729970871	0.1773311004	0.0830199136	-0.0139091756	0.2339310125	0.2125175533	-0.062983712	-0.1524944392	0.0087129148	-0.0793301889	0.0633639967	-0.0457561466	-0.1976530745	-0.061140455	0.1376755139	-0.0419010032	-0.0394703192	-0.1704434026	-0.0117316794	-0.1490863262	-0.1569439696	0.0067200701	0.0559395679	-0.133688539	0.0921577564	-0.1193971637	0.2545419813	0.0411025781	-0.00842333	-0.0952740203	0.0101511564	0.1527123709	0.0037116673	0.1360155912	-0.0168254525	0.1112066064	-0.1170006555	-0.0589398411	-0.0658611717	-0.0409274638	0.0172513102	-0.1060951535	-0.0581035662	0.0338645592	0.028535715	0.0402226759	0.0908925397	0.010857597	0.0888630031	0.1096221155	-0.0442473298	-0.0699656133	-0.0305984156	0.0784082622	-0.0921092671	0.090768365	0.13171531	-0.0687907621	-0.0520940623	0.041514304	0.051767521	-0.0696092377	-0.0498041983	0.1055039182	0.1049065715	0.1039134975	0.1025284424	0.0148228	-0.0062387	3.892137769e-05	0.00021971539984	0.018786	0.0513437	0.00263617552969	0.000352913796	0.108695	0.0001889999999999	3.5720999999998014e-08	0.011814603025	-0.000300097	-0.0001941519999999	3.769499910399999e-08	9.0058209409e-08	0.000530531	0.000208612	2.81463141961e-07	4.3518966544e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9341.04480992355	-1.5665411009904346	2.454051021092323	87255118.14099967	8258.83830780609	27.21059705229527	68208410.19448537	740.41659194238	6704.891514395732	-13.98457747739667	195.5684072213102	44955570.219815895	6703.724038470144	9846.869253717054	0.92276	36.866173	0.043306586	0.0240985	0.0698656732	-0.1217378724	0.0461873302	0.052682667	0.081763021	0.0401938011	-0.0274466938	-0.0884448927	0.0659353194	0.0053494671	0.1099900379	0.0494128115	0.0190111468	0.0594252735	0.0122743857	-0.0184068286	0.0407705515	-0.0618930943	0.0602189412	-0.0259083578	-0.0506579392	0.0471034353	-0.0360639957	0.0747940934	-0.0433848068	-0.0213944341	0.0204062869	-0.0307007128	0.1411069642	0.0929517639	-0.0102235158	0.0122830871	-0.0424074585	-0.0460707231	-0.0250503307	-0.0113585388	0.1084316185	0.0150493363	0.0503222385	0.073147944	-0.3144411866	0.0250730232	0.2495907872	-0.02314641	-0.2032919754	0.0043827547	-0.1991465828	0.0891389065	-0.1759521439	-0.0717187611	-0.0475758833	-0.032208632	-0.0204050239	0.0466596976	0.0280112677	-0.2632352351	0.0202746978	-0.0753391074	-0.0576994038	-0.2025022488	0.0281820967	-0.0704238207	0.0231623896	-0.0773892081	-0.0037677417	-0.1521367228	-0.1310187273	-0.0554872989	0.1095186968	0.0349079932	-0.1002888286	0.0584355641	-0.0759140605	0.1814100807	-0.0257478725	0.1285123234	0.0148235386	-0.0105322464	0.0172593028	0.0755910516	-0.1583684909	-0.0488722913	0.1504777541	0.029443219	-0.1205502052	0.0142422806	0.0397279857	-0.1746625112	0.0480495905	0.1019981015	-0.0138512515	-0.0025159868	-0.0059304652	-0.0058964357	-0.0462826478	0.0155744031	0.1178400085	0.0136802406	0.0104597987	0.0002131961	0.1370358882	-0.0329736569	-0.0626231197	0.0396175738	-0.0317205506	0.0825224501	-0.0221616031	-0.0529431242	0.0232254663	-0.0279090474	0.1286969695	0.0091143555	-0.0132054982	-0.1092644366	-0.1371027975	0.237122209	0.1014105344	-0.0715466514	0.1343504057	-0.1880029195	0.1053971296	-0.0117640479	0.0074281245	-0.2351348586	-0.1863437208	0.0444757236	0.0256116293	-0.078623541	0.0274008704	-0.1066545252	-0.0474616733	-0.2314274306	-0.0002569378	-0.1682211618	-0.1082770149	0.0256952569	-0.0800773518	-0.0934345823	-0.0775538173	-0.1267152043	0.1596663193	-0.064901736	-0.0437305068	-0.0777219158	-0.0914959141	-0.1001216659	-0.1374620142	0.0511553465	0.0393403064	0.1682261286	0.0893747384	0.0630178838	0.0053650029	-0.0928075852	-0.120881445	-0.0475142927	-0.0164067777	0.0208635122	-0.0973423944	-0.0898401008	0.016665761	0.0400979776	-0.0760406199	0.0779629912	0.1273935387	-0.1482745998	0.044659845	0.0542508411	0.0779983013	-0.0341821737	0.0172738469	-0.1260294163	-0.0433453649	0.0226150064	-0.0026871734	0.0615011174	0.1048684555	-0.017158769	0.0367029911	0.1074684454	-0.0122596875	-0.0582360524	-0.0192467306	0.1050026133	0.0012347937	0.0179815259	0.087564974	-0.0847851837	-0.0949139663	0.0733476267	0.0490714814	-0.0856783161	-0.0483722233	0.1053737875	0.1043873508	0.1027501241	0.1004723146	0.0154106	0.0005877999999999	3.455088399999993e-07	0.00023748659236	-0.000959986	-0.019745986	0.0003899039631121	9.21573120196e-07	0.120334	0.0116389999999999	0.0001354663209999	0.0144802715559999	-0.000130869	0.0001692279999999	2.8638115983999993e-08	1.7126695161000003e-08	0.000587979	5.744799999999998e-05	3.45719304441e-07	3.300272703999998e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9344.058746409915	3.0139364863662195	9.083813143849552	87311433.85635965	8202.93294805639	-55.90535974970044	67288108.9503091	3125.409248743426	6700.955003050146	-3.936511345586041	15.496121573927622	44902797.95290278	6695.298756967617	9890.096256881476	0.953659	38.100666	0.049396676	0.0313638	0.0586423035	-0.1214985273	0.0177769779	0.0193092187	0.0607333782	0.0807813292	-0.0025696645	-0.0888962003	0.0610480429	0.0528737794	-0.1048659264	0.0132433633	0.0127630782	0.052531531	0.1100210566	0.0177864011	-0.1548641135	0.0616010796	-0.1407413327	0.0716983635	0.0368122873	0.0152775907	-0.0143436969	0.0710329399	0.0304704271	0.0389566903	0.0539340592	-0.1256697755	0.0679317349	0.0385937592	0.0224336753	0.0599968596	-0.0053835563	0.00157459	0.0732108899	0.0468179906	0.0825930313	-0.111246228	-0.2292731284	0.0829526393	-0.0212723544	0.0444223659	-0.0757058371	-0.1165366041	-0.0141253536	0.1290231422	0.0765173357	0.2046416878	0.1063575846	0.0571114563	-0.1374286569	0.086715739	0.1747578131	-0.1565866721	0.0584258456	0.0715975523	0.0530523116	0.093856209	0.0256027253	-0.0841664789	0.0873786636	-0.0055327755	0.0574584709	0.0295018162	0.072017071	0.0462308155	-0.1317415389	0.0410231937	0.0810895544	0.1195729734	0.0618271664	0.2559636265	0.0119817706	-0.114818236	-0.0780623444	-0.0464145366	0.0923429591	0.0239549381	0.0337715016	-0.1551669776	0.0794344209	-0.0941417128	-0.0119810048	0.0467531943	0.0841293098	-0.0224279484	0.0456959639	-0.04205923	-0.1019792728	0.0050451348	-0.1840931919	0.1711531559	0.100424886	0.1184273152	-0.0519077571	0.1410268747	0.1292605996	-0.1382315982	0.0328153309	0.0914967055	0.1390383052	-0.0447841753	-0.0443638757	0.0097496091	-0.0316415893	0.013079966	-0.0007250193	0.129323702	0.1107606215	0.0210728582	0.1810012302	0.0141818179	0.0703459357	0.068109608	0.1007106916	0.0915569049	0.006525211	0.0502538172	-0.1234240573	0.0792298054	-0.0452315107	-0.1893099134	-0.0794512519	0.021613762	-0.1325017276	-0.1075886782	-0.1008214841	0.2404377852	-0.0705075938	0.1144105478	-0.1910823065	0.0443502166	-0.0430632906	-0.1067375536	-0.0439187356	-0.1089826536	0.0720131346	0.0868690605	0.043314893	0.0409284079	0.0051971475	-0.060813397	0.0813371018	-0.0796366728	0.0312687414	0.0345199896	0.1869372141	0.0853732292	0.0835126461	0.0190464711	-0.0369954247	0.0288796804	0.1053925085	-0.037600082	0.0206375505	0.15610167	-0.1392111493	0.1876985963	0.0409302204	0.0201703739	0.1356416932	0.0325913252	0.1013217881	-0.241908834	-0.078482553	-0.1828956657	-0.002095114	-0.0011542396	0.0317291385	-0.0389780312	0.009099313	-0.1122705528	-0.0403391069	0.0039069286	0.0082239207	-0.0219541543	0.1028667099	0.0032294812	0.0593098996	0.1453076908	-0.0061078685	0.0027954184	-0.0529104699	0.0011051695	-0.0677577736	0.0510637292	0.0939190992	-0.138002501	-0.0076071695	0.0259327168	-0.0294691435	-0.0690133219	-0.0102652633	0.1052111993	0.1037395254	0.101301965	0.0979212136	0.0159467	0.0005361	2.874032100000013e-07	0.00025429724089	0.00512859	0.006088576	3.7070757707776e-05	2.63024353881e-05	0.0921997	-0.0281343	0.00079153883649	0.0085007846800899	-0.000419985	-0.0002891159999999	8.358806145599999e-08	1.76387400225e-07	0.000591617	3.6380000000000353e-06	3.50010674689e-07	1.3235044000000256e-11	5.293960000000001e-23	5.293960000000001e-23	2.802601248160001e-45	2.802601248160001e-45	0.0	0.0	0.0	0.0	0.0
