global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00
9428.25659241143	n/a	n/a	88892022.37234959	8570.473701002495	n/a	73453019.4595754	n/a	6716.989297484198	n/a	n/a	45117945.22251726	6716.19430928965	10240.47436962701	n/a	n/a	n/a	n/a	-0.0540699906	0.0626282706	-0.0629521383	0.0667004014	-0.0286989832	0.1906103812	-0.1487744289	0.0217849851	-0.0470879836	0.1566178977	-0.1318282332	-0.1095799532	0.2886083923	-0.0748987867	0.0114861944	-0.1225028226	0.2115097717	-0.1373026294	0.00543854	-0.0997976392	0.2033595337	-0.1986700534	0.1625770787	-0.0928633241	-0.1379377452	-0.0205112655	-0.1482325452	0.1679314113	-0.0564330772	0.0659573988	-0.0033951756	0.0800597631	-0.0132008766	-0.0361657818	0.0082235582	-0.0318200282	0.0522672378	-0.0065227064	0.0499829866	-0.0701216613	0.060321448	-0.1223969548	0.0377967429	-0.0648817645	0.0741186686	-0.095364597	0.0539235331	0.069623293	-0.1468467808	-0.0503348012	0.0381411166	0.1444829837	-0.0931908878	0.0268258806	0.0998476229	-0.021617879	-0.0188668338	-0.0988210097	0.0483275306	0.0423194212	0.122942307	-0.0218130873	-0.1668596722	0.1140952164	0.1668453216	-0.065907693	-0.0352255972	-0.0092702305	-0.1139474213	0.0359662496	0.0603249644	0.0057792389	0.0693544893	0.1197167171	-0.1308137194	-0.0329048396	0.1251561621	0.0402373523	0.0350880138	-0.1932603077	-0.0194440153	-0.1243871528	0.0466252667	0.0908596073	0.0167250109	0.0105709711	-0.0461454228	0.0861798973	-0.0395794401	0.1477950684	-0.1623014078	0.0550512081	-0.0894000773	0.0745573746	-0.0030106582	0.0891837811	-0.0038231632	0.0717789388	-0.0585813963	0.011420696	-0.0355748144	0.0127906987	-0.0100270774	0.1673002972	-0.0149207322	0.0672066087	-0.090741786	0.0745889344	-0.119346617	-0.011145982	0.1318751043	-0.1308638516	0.0890645232	0.0104776402	-0.0217759441	-0.0049512489	-0.0825884756	0.0407487819	0.0593113655	0.0015343564	-0.179219687	0.0158524679	0.1170375331	0.0167474554	-0.1072979203	-0.1067530826	0.1309791331	0.0241456038	0.0209159675	0.1895743235	-0.0492023082	-0.0963152033	-0.0747551195	0.0828916204	0.1270069101	0.0359669118	-0.1339211352	-0.0127169386	-0.1260970637	-0.1709503285	0.0478711071	0.0044850366	0.110601018	-0.1581111525	-0.0855325764	-0.008684873	-0.0556339951	0.1290677203	-0.0584156398	0.1764145355	-0.0993403949	0.105082932	-0.065817914	0.053816179	-0.0493375817	0.0626337876	-0.0987655615	0.1712896075	-0.0281991794	0.0527234065	-0.0719328966	0.0355165675	-0.0431160043	0.0230719443	-0.1558998719	0.0743554589	-0.0577804933	0.1563797902	-0.0060448459	0.0352363746	0.1186709048	0.1186491225	0.1186128217	-4.36377e-05	n/a	n/a	1.90424886129e-09	0.037426	n/a	n/a	0.001400705476	0.0519111	n/a	n/a	0.00269476230321	-0.000620571	n/a	n/a	3.85108366041e-07	0.000210315	n/a	4.4232399225e-08	n/a	0.0	n/a	0.0	n/a	0.0
9419.772644166453	-8.483948244977	71.97737782344832	88732116.66778664	8345.489154432378	-224.98454657011644	69647189.22674845	50618.04619536089	6718.057369410149	1.0680719259507896	1.140777639004229	45132294.81868601	6707.807854987802	10366.035010914438	1.046999	41.329662	0.0527771077	0.0291208	-0.0980656217	0.0813129791	0.0549941538	0.1878259901	-0.0101188128	0.0818558712	0.0130549417	0.1299301224	0.1565421187	0.0825991119	-0.0110949232	-0.0296325428	0.1576311079	0.0418088048	0.0646030812	-0.0565854222	0.1580802228	-0.1172921354	-0.1088035755	0.0144932377	-0.0215840001	-0.0207161209	0.0192837703	0.0853949061	-0.101995994	0.0336248772	-0.1996556059	0.1340766616	0.0317747616	-0.0134867821	-0.0612162703	-0.0447729197	-0.1984138003	-0.1601748731	0.0338358466	0.0318837602	0.0892259676	-0.0697100719	-0.1217308468	-0.0618472083	-0.0095860674	-0.2831847226	-0.2208767213	0.0347849195	0.1556199575	-0.1846204564	-0.2109927475	0.1792517182	-0.0508133988	-0.1482130336	0.097747923	-0.0318839764	0.0098811194	0.0450424904	0.089495281	-0.0029836754	0.0409878703	-0.0411817709	-0.0241494955	-0.1094384687	0.0721028885	0.0654213156	-0.0427878634	-0.0275367554	0.0232182241	0.0038136682	0.0149147641	-0.0489655956	0.0254075186	0.0537817432	0.0474911032	-0.1299630085	-0.0118408425	0.1209832461	0.0834676453	0.0797728494	0.0617274034	0.0487077545	0.0440930754	-0.0902842673	-0.0598606716	0.0754718408	-0.1606059172	-0.0432083349	-0.1558058751	-0.0553086045	0.0876803896	0.0680815192	0.0380951913	0.2035089044	-0.0831515729	-0.0906648227	0.0389970034	0.1589652593	-0.0358955406	0.1403923091	0.1679985258	0.0570352115	0.0830661543	0.1936537742	-0.0118819746	0.0272238003	0.0955012033	0.0777391718	-0.0328797775	0.07338653	-0.2910280547	0.0865967211	-0.0515663844	-0.0293486621	0.2474802226	0.1743577826	0.2334484929	0.1218485894	-0.0042310762	-0.0549408111	-0.0897650482	0.0121979831	-0.0977355015	0.0076973957	-0.0615365199	0.0001587812	0.1123646992	0.0029222848	-0.0122323586	-0.0108776742	0.0027007889	0.0187705013	-0.0285392421	-0.0097951014	0.0149365491	0.0545214693	-0.0718854877	-0.0659071143	-0.0503027249	0.1637125493	-0.0139637343	-0.0680026092	0.0706839504	0.0801240983	-0.0906987305	0.083421977	0.0889093731	-0.0301548739	0.0701056881	0.1158016172	-0.0581959697	0.1367081957	0.0024701874	0.1914891923	-0.2148141492	0.0858366248	0.0104694852	0.0432919698	0.0468617485	0.1130840469	-0.1195318665	-0.0363701954	-0.0934084402	0.0343785775	-0.1086752334	-0.0401146821	0.1878826071	-0.0656201293	-0.0733951708	0.0927146613	0.0111491068	0.0648808009	-0.05030355	0.14711533	0.1186128217	0.1184168613	0.1180905004	0.00279722	0.0028408577	8.070472471649289e-06	7.8244397284e-06	0.0292902	-0.0081358	6.619124164000003e-05	0.0008579158160399	0.0652311	0.0133199999999999	0.0001774223999999	0.00425509640721	-0.000122688	0.000497883	2.47887481689e-07	1.5052345344e-08	0.000138589	-7.172600000000001e-05	1.9206910921e-08	5.1446190760000015e-09	0.0	0.0	0.0	0.0	0.0
9418.491060397471	-1.2815837689813634	1.6424569569164766	88707973.85478708	8275.948500564795	-69.54065386758339	68491323.58400068	4835.902540331041	6727.236622035238	9.179252625089248	84.25867875520785	45255712.56885208	6717.960778006906	10408.180568730762	1.084586	42.813362	0.10804731	0.0642604	-0.1229446246	-0.1228479403	0.0593955388	0.1246505821	-0.0552054507	0.0360231518	0.1127935697	-0.0380422818	0.1020955453	-0.0889015542	-0.1389762481	-0.0013436001	0.1858665919	0.0131688541	-0.1388449277	0.0495231419	0.1081664237	-0.0772457332	-0.0870894976	0.0050154595	0.045406268	0.139083187	0.034844087	0.0668981599	-0.0200419444	-0.039226146	-0.2224427093	0.0362925476	0.0826408584	0.0915315233	-0.1093306294	-0.0687056589	-0.1947279932	0.1019131169	-0.148396098	-0.0977828136	-0.1608566064	-0.2218077802	-0.0876841473	0.150224485	-0.1685277992	0.0474404681	-0.0719381956	0.0127924894	-0.1424972391	-0.1273298918	-0.1718512033	0.0421340405	0.0833430926	0.0229350214	0.0038054033	-0.1612144867	-0.036266564	-0.1227560178	0.0334835704	-0.0400203309	0.0209821015	0.0293092816	0.0958533461	-0.1271673897	-0.0362906253	0.1593648101	0.0739812536	-0.1417434837	0.0909169009	-0.0027420282	-0.0894954747	0.0168375027	-0.1080576584	0.0208344113	-0.085731709	0.008700172	0.0965120208	0.0219153641	-0.0639270123	-0.1174904166	0.0100821577	0.0147352149	0.054028032	0.1514203201	0.0138063966	0.0779680083	-0.0682388608	-0.057427955	0.1540886451	0.0811142184	0.0196231103	-0.0943837634	0.0977560313	0.1974412885	-0.1564681657	-0.0298645399	-0.0106023439	-0.1330940471	-0.1713100823	0.1519165008	0.0232168876	-0.1652984712	0.0465332014	0.0974140776	-0.1141305415	-0.1707775325	0.1656776581	-0.1113576058	-0.0684447309	-0.0298353731	0.0449683893	0.0004757751	-0.0849191545	0.0490587333	-0.1290928156	0.186665318	0.179116492	0.0658489811	-0.0194302035	0.1256596204	0.0398450948	-0.1497674825	0.0052675429	0.0558198192	0.0501589392	0.1692366364	0.0298758011	-0.0495448947	-0.0731904353	-0.0590860976	-0.103715616	0.1103286675	-0.0947065657	-0.1003547828	-0.0490722745	0.0951694383	-0.0005208433	-0.0395852002	0.0089152334	-0.0582427263	0.1082146832	-0.0618648586	-0.0978135857	-0.0731981815	-0.0973027695	0.0426415157	-0.0578552888	0.2290952735	0.0205385224	-0.1251992399	-0.0783889095	0.1643721774	-0.0281911514	0.2237218048	0.0012844586	0.1829772084	-0.0046669014	-0.0701891407	0.0997106254	0.0587540591	-0.1260033315	0.0457580367	-0.0541607422	0.042162641	-0.0133058406	0.1038678761	-0.0516574769	0.0481154087	-0.0328719115	-0.0856822531	0.0004705934	-0.1161614601	0.1802871716	0.1727270619	0.118496684	0.1179527935	0.1170481578	0.00975663	0.00695941	4.843338754810001e-05	9.51918289569e-05	0.0872480999999999	0.0579578999999998	0.0033591181724099	0.0076122309536099	0.0444399	-0.0207912	0.00043227399744	0.00197490471201	-0.000540828	-0.00041814	1.748410596e-07	2.92494925584e-07	0.000109953	-2.8636e-05	1.2089662209e-08	8.20020496e-10	0.0	0.0	0.0	0.0	0.0
9403.026966777688	-15.464093619782943	239.13819148141152	88416916.13794841	8281.482674046567	5.534173481772086	68582955.28053348	30.627076126349376	6724.2813583264415	-2.9552637087963376	8.733583588528685	45215959.78593649	6716.141954537963	10326.96952827115	1.099685	43.409386	0.13568201	0.0636141	-0.1005528343	-0.0433362464	-0.1340387048	0.0789651899	-0.05346383	0.0494365615	-0.0823365757	-0.1104433359	0.0582946059	-0.0092978498	0.0199713729	-0.080128219	0.0206090717	-0.0772162369	0.1169862007	0.079667833	0.1678164845	-0.0131972123	-0.057075561	0.1443422661	-0.0801922912	0.0296565662	-0.0840479429	0.0336570897	-0.0241650011	-0.0906561965	-0.1420006947	0.0696580297	-0.0825509033	0.1325953874	-0.0924647432	0.0243793949	-0.1505076738	-0.0184226546	0.2017202699	-0.0379201514	0.0358845949	-0.0306824276	-0.1015859964	0.0118854083	-0.0998183712	0.0300099011	0.1554783298	-0.174754277	0.0128927676	0.1208264629	0.1061405884	-0.1795207077	-0.0173267464	0.0922636433	-0.0903050613	-0.0017958872	0.1566224211	-0.0803539428	-0.0776921598	-0.0841460223	-0.0721747565	0.0449032842	-0.0081606473	0.0112514194	-0.0033604924	-0.1760369778	-0.1399609166	-0.090149816	0.0810543908	-0.0520838178	0.236881644	0.2026267552	-0.1938763581	-0.050741832	-0.0398082451	-0.1112352504	0.0210290233	-0.0245741443	-0.0731215565	-0.0100173452	0.0300666621	0.0343732263	0.0489623521	0.0051013669	-0.0136877621	-0.100298782	0.0428061702	0.0378792561	-0.0117346874	0.0494630608	-0.1291116203	-0.0027685168	0.0374902346	0.0942291179	-0.1609055986	-0.0042584255	-0.0212950994	0.1936466761	-0.0592051361	0.0072369842	0.1586079473	-0.0421303726	0.0132797925	-0.0136838785	-0.0236233646	-0.0385609336	0.1883268586	0.0249060569	-0.0311208856	0.0703508016	0.1398720918	-0.0464254632	-0.0181009564	-0.0837852505	-0.1390852327	-0.1220770269	-0.2124104704	-0.2076021162	-0.0875076526	0.0508218937	0.1501318414	-0.1062979825	-0.0089814006	-0.0703122347	0.1035708633	-0.0357946657	0.101013329	0.006381932	0.1275373189	0.0119789916	0.0424949766	-0.0686781434	-0.0319519404	0.2365914192	0.070705645	-0.190188554	-0.0595509603	-0.0537474463	0.0718930474	0.0591969993	0.0430178664	-0.0240045976	-0.1124507536	-0.1230046042	-0.00456436	0.027964544	-0.072748417	0.0433126087	-0.1096964051	0.0017731315	-0.0685905357	0.1422677453	0.0338160752	0.1600077547	-0.1262032353	-0.0094338739	-0.0799872284	-0.1477674495	-0.0914415404	0.0931193479	-0.1338209616	-0.0318921084	-0.113138519	0.069964251	0.0593046696	-0.1768182486	0.1241618385	0.0448664675	-0.0005829779	-0.0525232632	0.0186586092	0.0104652183	0.0298917868	0.0083521518	0.1183225485	0.1172578276	0.115490384	0.00663263	-0.003124	9.759376000000006e-06	4.39917807169e-05	0.049909	-0.0373390999999998	0.0013942083888099	0.002490908281	0.0848176	0.0403777	0.00163035865729	0.00719402526976	4.20446e-05	0.0005828726	3.3974046783076e-07	1.76774838916e-09	-7.19026e-05	-0.0001818556	5.169983886760001e-09	3.3071459251360014e-08	0.000332096	0.000332096	1.1028775321599998e-07	1.1028775321599998e-07	0.0
9378.357454418829	-24.66951235885972	608.5848400239324	87953588.5428532	8282.591090809216	1.1084167626486303	68601315.1775522	1.2285877197204709	6723.357868712341	-0.9234896141006176	0.8528330673517074	45203541.03077615	6713.766430454192	10128.894945393373	1.122329	44.303261	0.047305893	0.0276021	-0.0169423602	0.05501939	-0.0033655975	0.1528994682	-0.1653414179	-0.0750376352	-0.0258533824	0.1137404778	0.1097687142	-0.1250025564	0.0174956405	0.0244586536	0.0695776978	-0.0500363103	0.0959188902	0.0461131901	0.0375908283	-0.1364151751	-0.0940457112	0.0756461253	0.0387776461	0.1390895155	-0.0225593867	-0.0630276125	0.0958459277	-0.0004373614	-0.1932788593	-0.0523005783	0.0126231843	-0.0264098911	-0.0841552552	-0.2044629981	-0.0704408533	-0.0856636386	0.0467500258	0.0696917523	0.1441310083	0.0998857544	-0.2245221029	0.2092134653	0.0405738019	-0.1868437027	0.0408033374	-0.1564145368	-0.0813344073	0.0989479283	-0.0641633942	-0.1831579977	0.1615388436	-0.0483530764	-0.1014640978	0.0321154811	0.0625180691	0.0137369832	-0.1276520626	0.0337707443	-0.0443168396	-0.1168050144	-0.0344115644	-0.0327900569	0.0716927873	0.0151666268	0.2466626621	0.2229941528	-0.037701658	-0.0793864445	-0.0087133492	0.0557986989	0.2154213999	0.0238061052	-0.0198347538	0.041234061	-0.0984839791	-0.1211009759	0.0121124966	0.0654971414	-0.0696999708	-0.0055507652	0.0635595478	0.0328242223	-0.0100242395	0.0200890629	-0.0266231475	0.005583885	0.083465211	-0.1509481021	0.0287178211	0.0704734457	0.1510910151	0.117560008	-0.047629495	-0.1398763688	0.0543156993	-0.0650065442	0.0690972585	0.0571070805	0.2318077924	0.0409986193	0.1396078737	0.1312681179	-0.1066333881	0.1742921543	0.1579391489	0.0578404217	-0.1146964176	0.0094745785	0.1800730994	0.0421039754	0.13759027	-0.0894065974	-0.0265885341	0.0630186991	-0.1098183204	-0.0063141847	-0.0519024546	-0.0927198905	0.0804403497	0.0515110802	-0.1990809834	0.1404877404	-0.1005772004	-0.1806361343	-0.068432063	-0.078062144	-0.0410657982	0.0222125076	-0.0555800334	-0.1277437721	0.1959485918	-0.1124148911	0.0915039376	0.0388624167	0.0932146665	-0.0206283363	-0.0227825833	-0.0338046577	0.0385412439	0.1676606564	0.111562222	0.0399427177	0.055945388	-0.0472096526	-0.0510849627	-0.0630173335	0.1058746077	-0.197688207	-0.0446741063	0.1464230987	-0.0397850993	0.1146035295	-0.059728262	0.1432543622	-0.1319071495	0.0542330384	0.0934492605	0.0707101564	0.0401961277	-0.0335918522	0.0152825693	0.0992424629	-0.0561533009	-0.1055102619	0.052933576	0.0489934022	0.09602838	0.0135867938	-0.108386386	0.0375581822	0.0113272277	0.0486557151	0.1180905004	0.1163333239	0.1134240387	0.000232362	-0.006400268	4.0963430471824e-05	5.3992099044000006e-08	0.0739361	0.0240271	0.00057730153441	0.00546654688321	0.083305	-0.0015126	2.2879587600000087e-06	0.006939723025	0.000211665	0.0001696204	2.877108009616e-08	4.480207222499999e-08	-5.49005e-05	1.7002100000000004e-05	3.01406490025e-09	2.8907140441000016e-10	0.0002114	-0.000120696	4.468995999999999e-08	1.4567524416e-08	0.0
9366.309208301143	-12.048246117685268	145.1602345123181	87727748.18550679	8242.164032584742	-40.42705822447351	67933267.94003357	1634.3470366849715	6724.695073454484	1.3372047421435127	1.7881165224110982	45221523.83094301	6716.373150427911	9957.515832179906	1.113809	43.966923	0.072390813	0.0327992	0.0106031255	-0.1007969649	-0.0060478877	-0.0139963569	-0.1768406274	0.0323129908	0.08264667	-0.0848409058	-0.0232130345	-0.0800437742	-0.0597543505	-0.1162573308	0.0535427669	-0.0963329147	0.0599239418	0.0637861547	-0.0425518087	0.119335552	-0.0789795545	-0.003056766	-0.0496970035	0.0909790294	0.0468115735	-0.0251747069	-0.1655922785	-0.0459561454	-0.1730259652	0.0199855733	0.0329307449	0.0503263591	-0.1781561077	0.0796958183	-0.0006624954	0.0553224594	-0.2013892164	-0.1335767151	-0.0932343607	-0.083131128	0.0276201537	-0.0903492153	0.2454350601	0.0492990886	0.1583876015	0.1065188196	-0.0417960311	-0.0293451563	0.0909240105	0.0364346685	-0.0629004629	-0.1814329632	-0.1735826625	0.0117557801	0.1689846265	0.0091161156	0.0601692566	-0.1279080304	-0.0479497612	-0.1399543001	0.0331858347	0.0391515513	-0.0044061347	0.0245600125	-0.1092325983	-0.1281106748	-0.0707747675	0.0818087047	-0.2078711824	-0.0092380744	0.1987530454	-0.1068978332	-0.0275185739	-0.0028846076	-0.0153931363	-0.0842407217	0.0480430437	0.0784251698	0.002564189	-0.0873039529	-0.0378253484	0.0836037801	-0.0294491367	-0.0591022091	0.1517478154	0.0705563525	-0.0790476903	0.065399125	-0.0337343614	-0.1001976227	0.1053932591	0.0910424869	-0.1375396907	0.1165186138	0.041196629	0.0321910188	-0.1722273286	0.1580698841	-0.0912071563	-0.1171189409	-0.1393680894	0.0946146625	0.0123208984	-0.0733462827	-0.1545767733	0.0690203947	0.0137533447	-0.0215555161	0.0087150757	0.0403636032	-0.0990536014	0.1104555437	0.0811174742	-0.0107898904	-0.2084103319	-0.2114781336	0.003199305	0.0183603434	-0.019733927	-0.0129631506	-0.0260307547	-0.2049032379	0.0180347606	0.1865654247	-0.0962401328	-0.0808217656	-0.0855479306	-0.107033492	0.0634556693	-0.058667657	0.1265447205	-0.2399117962	-0.0467638996	0.0338741266	-0.0011209207	0.097948958	-0.1035845749	-0.0453235363	-0.088209285	0.0420845325	0.0355136569	-0.0088018239	0.1080936755	-0.046705505	0.0354897511	-0.1104900623	0.0557415891	0.1375729321	-0.036341484	0.0910103407	-0.0355840301	0.1615249819	-0.112398114	0.0068044483	-0.0379061429	-0.1976661326	0.0065210642	-0.0163253262	-0.0525605603	0.0010514252	-0.0091342677	0.1370719558	-0.1261322801	0.0185910022	0.0809712221	0.1033382596	0.0971315617	-0.0109364543	0.2287253129	-0.0533426065	0.0387262899	-0.1986486435	0.1178006533	0.1151810923	0.1108582214	0.00921505	0.008982688	8.068868370534402e-05	8.491714650250002e-05	0.0828085999999999	0.0088724999999998	7.872125624999813e-05	0.0068572642339599	0.105338	0.0220329999999999	0.0004854530889999	0.011096094244	-0.000101911	-0.000313576	9.832990777599998e-08	1.0385851920999998e-08	-0.000242073	-0.0001871725	5.8599337329000003e-08	3.503354475625e-08	0.000360704	0.000149304	1.30107375616e-07	2.2291684416000003e-08	0.0
9377.551424019444	11.24221571830094	126.38741425681272	87938470.71012911	8342.084198144064	99.9201655593224	69590368.76892489	9984.039485402402	6722.896738521237	-1.7983349332471334	3.234008532136972	45197340.55681949	6716.8285968776245	10026.37960869996	1.164673	45.974758	0.118969685	0.0782308	0.0171199229	0.0436930541	-0.0879591041	0.0973368187	-0.2018043291	0.0126843713	-0.106948866	0.0156435887	0.05922352	-0.0361958914	0.0712562317	0.0489580624	0.2515398575	-0.1037522657	-0.1247783024	0.0285210648	-0.1402043904	0.014760248	-0.1219563281	0.1413908679	0.0145780609	0.0149221012	-0.0593392904	-0.0092029581	-0.0148543973	-0.0498786034	-0.2436703665	0.0501058853	-0.0887612701	-0.002295546	-0.2454627706	0.0424736751	-0.2037062194	0.1508894959	-0.0763191203	0.1363374454	0.0357049315	0.1450220718	0.436947567	0.0519939683	0.0726175024	0.0840817822	-0.0067889269	0.1377125859	0.0337883539	0.1726531605	0.0394121787	-0.0184341803	0.0008828824	-0.0012298946	0.0096326543	-0.0003745041	-0.1110543119	0.1070111171	0.0129570723	0.1335761794	0.0504505089	0.1631133428	-0.0608983282	-0.0427558606	-0.0123585599	-0.0832630804	0.0666081792	-0.0250435969	-0.0421130243	0.1172968408	0.0509436844	0.0080786979	0.06704682	-0.064735452	0.0522958453	0.063835316	-0.1190509352	0.044993452	0.1188675439	-0.0142990049	-0.1132722166	0.0739678457	-0.0464007064	0.0300355132	0.0835734782	0.0897520577	0.0287754575	0.0494033579	-0.0326307185	-0.0953305186	-0.0540552375	0.0763583284	0.119953666	0.1153855698	-0.1974862461	-0.1343130738	0.0906309766	-0.065262689	-0.3140056616	0.0347268084	0.0798612406	0.1776879211	-0.1102418481	-0.3115339823	-0.1217980238	-0.0497827582	-0.2865429604	0.0509094498	0.0208474094	-0.2041021403	-0.0250061411	-0.0588600537	0.0964963645	-0.0169063752	0.0228431767	0.0597669855	-0.0665596504	0.0118571937	0.1014243327	-0.081995138	-0.0223848189	0.0527039241	0.1229820079	-0.0179090777	0.1132707301	-0.0676914151	0.0554049798	0.0399530422	0.1485852292	0.1025704655	-0.0437710508	-0.0513865233	-0.0155028861	-0.0127213744	-0.0082917908	0.0633681721	0.0544561949	0.0025752986	-0.0522524883	-0.1256529118	-0.019393181	-0.0724469716	0.0234860652	0.1870053399	-0.0384343032	0.0335169479	-0.0715010227	-0.0229362936	-0.0607350944	0.0114948109	-0.0581894742	0.15214294	-0.0411906596	0.1742082778	-0.1265667656	0.2124272503	-0.0398893358	0.0488258491	-0.0431424034	0.0207236453	0.0118326488	-0.0059237832	0.2140110946	-0.0990177409	0.0382809752	0.0798609974	-0.2341813756	-0.1608922845	0.0915929012	-0.0076645773	-0.1196719863	-0.0143214108	-0.2572495738	-0.1799204927	0.117453149	0.1138033884	0.1078042307	0.0125293	0.0033142499999999	1.0984253062499995e-05	0.00015698335849	0.0382215	-0.0445870999999999	0.0019880094864099	0.00146088306225	0.041329	-0.064009	0.004097152081	0.0017080862409999	-4.29533e-05	5.895769999999999e-05	3.476010389289999e-09	1.8449859808899997e-09	-0.000233695	8.37800000000002e-06	5.4613353025e-08	7.019088400000035e-11	0.000286853	-7.3851e-05	8.2284643609e-08	5.453970200999999e-09	0.0
