onset	duration	node	response_time	accuracy
12	1	11	0.394	1
16	1	2	0.321	1
20	1	9	0.360	1
24	1	1	0.264	1
28	1	4	0.308	1
32	1	10	0.392	1
36	1	3	0.251	1
40	1	8	0.293	1
44	1	7	0.389	1
48	1	5	0.403	1
52	1	12	0.370	1
56	1	13	0.337	1
60	1	6	0.267	1
64	1	1	0.331	1
68	1	3	0.426	1
72	1	5	0.241	1
76	1	7	0.412	1
80	1	9	0.345	1
84	1	12	0.350	1
88	1	6	0.345	1
92	1	10	0.362	1
96	1	4	0.410	1
108	1	11	0.354	1
112	1	8	0.316	1
116	1	2	0.318	1
124	1	13	0.324	1
132	1	8	0.369	1
136	1	13	0.431	1
140	1	2	0.324	1
148	1	3	0.281	1
152	1	1	0.488	1
156	1	9	0.403	1
160	1	5	0.388	1
168	1	12	0.317	1
176	1	6	0.374	1
180	1	11	0.338	1
184	1	4	0.402	1
188	1	10	0.415	1
192	1	7	0.376	1
204	1	8	0.378	1
208	1	13	0.376	1
212	1	11	0.379	1
220	1	1	0.410	1
224	1	3	0.313	1
228	1	10	0.380	1
236	1	4	0.378	1
240	1	7	0.392	1
244	1	9	0.390	1
248	1	6	0.317	1
256	1	12	0.392	1
260	1	2	0.409	1
268	1	5	0.402	1
