global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00
10044.320492838338	n/a	n/a	100888374.1628522	7170.154941880222	n/a	n/a	51411121.890569374	6159.421343802551	n/a	37938471.29049042	n/a	6146.207788916088	13909.121274223717	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.00717016	n/a	n/a	5.14111944256e-05	0.016354	n/a	n/a	0.000267453316	0.0675253	n/a	0.00455966614009	n/a	0.000601297	n/a	3.61558082209e-07	n/a	-0.000314768	n/a	9.9078893824e-08	n/a	0.000568802	n/a	3.23535715204e-07	n/a	0.0
9980.644351037818	-63.67614180052078	4054.65103460003	99613261.6619031	7055.365180382361	-114.78976149786104	13176.68934473582	49778177.82855183	6141.520433767459	-17.900910035092238	37718273.23838323	320.442580084466	6128.091751117274	13753.96394211141	1.285784	48.629021	0.10001376	0.0586841	-0.2318519572	0.0216896163	0.1312626828	0.0991039437	0.0430655533	0.1373965788	-0.0574440906	0.2772420907	-0.0239558503	0.0474813632	-0.09064514	0.0285685261	-0.1103670456	0.1163970587	-0.1405542686	0.0205141054	-0.2476203071	0.104213693	-0.1122270324	0.0973388857	-0.0710373052	-0.0554721963	0.1131256738	-0.1151574724	0.0821918165	-0.0655349195	0.0025224672	-0.0639331403	0.0164532392	-0.0066477545	0.0709782798	-0.1373629409	0.0633858563	-0.1047202335	0.0273806497	-0.0365769541	0.0850918015	-0.0245320159	0.0869263963	-0.0299496579	0.0798161307	-0.0136289795	0.0261489665	-0.011878012	-0.0232781885	0.0626242929	-0.0838293778	0.0366333307	-0.0398003299	-0.047504769	0.0096370286	0.0066528484	0.0207914672	-0.0418814474	0.0042722341	0.0201945512	0.1275313134	-0.1210453917	0.0731728888	0.0732576915	-0.1020768908	-0.0016273987	-0.01205315	-0.0579641429	0.0740543089	0.0073536367	-0.0378463763	-0.0751579609	0.1557065272	0.0180881842	0.0355049758	0.0190215714	-0.0025176443	-0.0464612672	-0.059330602	0.0237960379	0.1155155366	-0.0675321367	-0.0039696001	-0.0067565528	-0.1012844406	0.0247762327	0.032974117	-0.056147377	-0.1169692423	0.0901569505	-0.1109978197	0.1101716744	-0.0892525279	0.026776627	-0.0198129688	0.1074730504	-0.0268568683	-0.1244621769	0.0621411486	-0.0360787891	0.0119774972	-0.0662451501	0.0942764569	-0.0263242041	0.055422782	-0.0968005545	0.0081103038	-0.0154408534	0.0304451964	-0.0209632368	0.0521296685	-0.0173639996	-0.1250228074	0.0969070207	-0.005141901	-0.0637593031	0.0140770229	0.0597794211	-0.0421400968	-0.0464431131	0.0494388339	-0.0721052197	-0.0082989533	-0.1101649576	0.1073764544	0.0555399891	-0.0335671859	-0.0088201509	-0.0916157592	0.1306552605	-0.0593002152	-0.0053300596	-0.0360333753	-0.1469559793	0.0238061977	0.0189814331	0.0274094705	0.0086974982	-0.0799677207	-0.0337421604	-0.0376672476	0.0578940773	0.0182825884	0.0195592203	-0.0032147134	-0.0544190581	-0.1178768592	0.043096809	0.139011093	-0.2300540895	0.113309294	0.0909717331	-0.0776579434	0.1034254752	-0.0926695283	0.0617885466	-0.0679874955	0.0478519537	-0.0092843949	0.1335249693	-0.0903344075	0.0078758198	-0.0747727417	0.097570574	-0.0935679071	0.0985966801	-0.0059791974	0.178793719	-0.2821311496	0.1024621444	-0.1368089677	-0.1136603508	-0.2577278281	0.1087809597	0.1087668631	0.1087433701	0.1087104829	0.0	-0.0276664	-0.03483656	0.0012135859126336	0.00076542968896	0.0289621	0.0126081	0.00015896418561	0.00083880323641	0.0733025999999999	0.0057772999999999	0.0053732711667599	3.337719528999887e-05	0.000639882	3.858500000000005e-05	4.094489739240001e-07	1.4888022250000039e-09	0.000579129	0.0008938969999999	3.35390398641e-07	7.990518466089999e-07	0.000572156	3.354000000000009e-06	3.27362488336e-07	1.1249316000000059e-11	0.0
9957.12019975368	-23.524151284138497	553.3856936390349	99144242.67234276	6970.120258177593	-85.24492220476805	7266.696761696956	48582576.41345768	6135.912456828347	-5.6079769391117225	37649421.67786128	31.449405349608885	6122.0226413296505	13607.423664230218	1.211042	45.802231	0.0820533499999999	0.0466738	-0.240340873	0.0494223785	0.0882343189	-0.0057760751	0.0670040949	0.1625907284	0.0565870994	-0.0322813389	-0.1150828171	0.174321676	0.1494578492	0.0682618509	0.1250906945	0.0665148657	-0.1419936893	-0.0284786436	0.0234958647	0.1048307322	-0.0090099407	0.1353136243	-0.0292548972	-0.0581213733	0.1499655546	-0.1875589141	0.0882239803	-0.1019932315	0.1116780503	0.1336469395	0.0618054677	0.0777148448	0.025270632	-0.1496625152	0.0480118243	-0.0181639308	-0.1059425602	-0.0429919326	0.0726559113	0.021777966	-0.0015174393	0.0114223802	0.0418917799	-0.0895930598	-0.0347089144	-0.0429825235	-0.0297754666	0.0051460231	-0.0876935999	0.1159193945	-0.0561357965	0.0862748274	0.0559014859	-0.0247334261	-0.1947907316	0.0185075666	-0.0803054334	0.052379306	0.072413394	0.028020928	0.0142260801	0.106250356	-0.0057798603	-0.0407848512	0.0437634057	0.083355778	-0.0027096262	0.0625272501	0.1399421225	0.0113743398	0.0836061415	0.0158547798	0.0065598469	0.0247677822	-0.0503789633	0.0846012955	-0.225048603	0.0191831337	-0.05653105	0.0843900154	0.0052730516	-0.0312534935	-0.0603917858	0.0740915024	0.0058108743	-0.0588214143	-0.1759523688	0.0179681219	-0.1306858583	0.0772199662	-0.1797112483	-0.1351574688	-0.0293444243	-0.0719022614	-0.044855708	-0.1455348673	0.1461922468	0.0046341001	0.1013779174	0.0399339042	-0.0294688768	-0.0227302587	0.0506121916	-0.0439895289	0.0208848676	-0.0626293853	-0.0008741128	-0.0234182257	0.0623707512	-0.0138122067	-0.1186705577	0.007808885	0.0244888919	0.1195045957	0.0704102095	-0.0584283724	-0.0899438377	-0.1128969861	-0.1196077961	0.0124914961	0.0412651903	-0.027877666	0.0620493284	-0.0477747197	-0.0935840931	0.0474959006	-0.0902756531	-0.1098081252	-0.0709023432	-0.0331244387	-0.0483119518	-0.0731047463	-0.0098264627	-0.0397158464	-0.0875748757	-0.0246675052	-0.204648175	0.1205846752	0.0261721139	-0.0329544183	0.1021225489	-0.0504129533	0.0398830881	0.0265480293	0.0288753928	0.0100886604	0.0348085536	-0.2437135083	0.114817601	0.0810323902	-0.1031768112	0.035391798	-0.037273622	-0.0541875627	0.0582155429	-0.1289921719	0.0435111787	0.1823085128	-0.0731447708	0.0207239493	-0.0210035351	0.0032897067	0.0425146765	0.1364108754	0.0689715517	0.06619732	-0.0286804703	0.1574260244	-0.0475825821	-0.0408527185	0.072137261	0.1087433701	0.1086165375	0.1084052593	0.1081096999	0.0	-0.0108118	0.0168546	0.00028407754116	0.00011689501924	-0.01252	-0.0414821	0.00172076462041	0.0001567504	0.0674332	-0.0058693999999999	0.00454723646224	3.4449856359998825e-05	0.0008405949999999	0.0002007129999998	7.065999540248319e-07	4.028570836895984e-08	0.000495265	-8.38639999999999e-05	2.452874202250001e-07	7.0331704959999835e-09	0.000499788	-7.236799999999995e-05	2.49788044944e-07	5.237127423999994e-09	0.0
9938.483455652828	-18.6367441008515	347.3282306806232	98773453.39828496	6993.057260590159	22.93700241256556	526.1060796740384	48902849.849892735	6128.998168872326	-6.914287956021326	37564618.55404032	47.80737793878156	6114.4672919167615	13466.194097970238	1.130791	42.767105	0.1185194	0.0734511999999999	-0.2312100031	0.0524142734	0.061164662	0.0774492838	-0.0101180441	0.0735020731	0.0690673303	0.0930073181	0.0604218423	-0.0880929998	0.2603924151	-0.0095707805	0.0643288876	0.0040149748	-0.1473270742	0.0457228839	0.0420054894	-0.0257254319	0.0124153725	0.0730823773	0.1248318393	-0.0587001236	0.1381461048	-0.1842798637	0.1440972557	-0.0942673286	-0.0007665436	0.0516834935	-0.0057948054	-0.0868531471	-0.086181581	-0.076214698	-0.070034227	0.0527105883	-0.0476530761	-0.0646730722	0.0473103784	0.1724283989	-0.0840541287	-0.0579993785	-0.0248419447	0.1398130437	0.0152299207	-0.0260742572	-0.0666616823	-0.0650552114	0.0250967496	0.0387729334	0.0601983999	-0.000762326	-0.066140378	0.0243659091	-0.0113944666	0.0533434275	-0.0707774537	-0.0172104158	-0.1189195647	0.0411513391	-0.0177411495	0.0365986106	0.0560757604	0.0049995415	0.0019216016	-0.0594915345	0.085986141	0.0461648831	0.0128773854	0.2086743669	-0.0300896659	0.0099897314	-0.0211274996	0.1356547805	-0.0070520763	0.1853867204	0.0935325751	0.077943646	-0.063171833	-0.1495535844	-0.0518580091	0.001240274	0.0211141276	0.0805975639	-0.0394590888	-0.0589955396	-0.1488427886	0.113338565	-0.1552722359	0.1074176978	-0.0440908373	-0.1046582153	0.0282870654	-0.0089682895	0.169041192	-0.0402835731	0.0447456366	0.0186371648	0.0897246116	-0.0410463312	-0.0799834318	0.0056250795	-0.0861517942	0.1097414454	0.0354157555	0.0962834145	-0.0560853478	0.1617972094	0.0487511458	0.0453818126	-0.0275000699	-0.025071763	-0.0088744397	0.0069132954	-0.0766327853	0.0273317623	0.10331789	-0.0194599324	-0.0901787432	0.0569841454	0.0119639698	0.0570346897	0.0179553923	-0.0370868238	-0.0150509388	-0.0143025104	-0.075449244	-0.081180275	0.1042006989	-0.0760622595	0.0905307274	0.138766305	0.1004957536	-0.1084439919	-0.0101803134	0.1165751834	0.06934978	-0.0775651764	-0.1008122883	-0.0952913019	-0.0636282961	0.1304329468	0.1174841833	0.1441873763	-0.0804724346	0.0273762918	-0.0754943223	-0.2365258685	0.1202190066	0.0776882707	-0.0634852559	0.0853143066	-0.0379596288	0.1051626201	-0.1492033982	-0.0067098873	-0.0040816269	0.1536378112	-0.0562975123	-0.0588668233	-0.0263009299	0.0310599081	-0.0024272613	0.1061730544	0.0733636622	-0.0095111017	-0.0188629139	0.0397004043	-0.0084023541	0.0060544526	-0.1260573679	0.1086682041	0.1083160941	0.1077300889	0.1069114541	0.0	-0.0100197	0.0007921	6.274224100000007e-07	0.0001003943880899	0.0545007	0.0670207	0.00449177422849	0.0029703263004899	0.0868916	0.0194584	0.00755015015056	0.00037862933056	0.000607224	-0.0002333709999999	3.68720986176e-07	5.446202364095336e-08	0.000145153	-0.000350112	2.1069393409e-08	1.225784125440001e-07	0.000458307	-4.148100000000006e-05	2.1004530624900002e-07	1.720673361000005e-09	0.0
9972.876596820934	34.39314116810601	1182.8881594092686	99458267.61541867	6838.762343857315	-154.29491673284429	23806.921329595352	46768670.39576079	6134.76063715959	5.76246828726471	37635288.07524274	33.20604076173148	6119.6816225638295	13540.710544461454	1.161152	43.915344	0.0995686899999999	0.0566762	-0.241158821	0.0454176684	0.1034760889	-0.1159266807	-0.0329876521	0.2207346914	0.1133663507	0.0518377638	-0.0288545357	0.1032951428	-0.0927550578	0.2020995571	0.1464290093	0.1173859245	0.0539184443	-0.0050947439	0.1653523673	-0.0043081465	-0.2064342322	-0.0892974919	0.1559253589	-0.0596002532	0.209241816	-0.1781899787	0.0443931029	-0.0266585904	0.0046070333	-0.0561725144	-0.0077609501	-0.1049136489	0.1264880263	-0.0411362084	0.0099472888	0.0257374069	0.1099200957	0.0012521029	0.0319434435	-0.064330674	0.0308772467	-0.0202191287	0.022782346	-0.0128350085	0.0667199678	-0.0033372808	0.0051223174	-0.0892785648	0.0645345465	-0.1983831074	0.0403375537	-0.0620405499	-0.0472008289	-0.022994855	0.0206786791	-0.0589032308	0.0393553606	0.0613629003	0.1417523687	0.0737241379	-0.0808188257	-0.0408276138	-0.0325812934	0.1556716613	0.0226109621	-0.027846572	0.0872765548	-0.111331756	-0.0736499599	0.0219135049	0.0702423255	0.1279225761	-0.0565629766	0.0228803531	0.0704045512	0.0687037444	-0.1712759654	0.0367529788	0.0701604965	-0.0080639678	-0.0700039568	0.0529109798	0.0359349643	-0.1593729395	0.0324530897	-0.060773306	-0.2302921666	0.0331350635	-0.0557310377	0.1133274681	-0.108893722	0.0197592727	0.0288740733	0.1768616585	-0.0115205632	-0.002447476	-0.0254833974	0.005260925	-0.0614789193	-0.0493531443	-0.0144679687	0.0329772095	0.1053008448	-0.092012949	0.0463301333	0.0985799186	0.0447432819	0.0711034448	0.0198792609	0.0274486981	0.115966277	-0.0969522097	0.0012679957	-0.0201434989	0.0703355527	0.1157704667	0.007096238	0.0190445196	-0.010294906	0.0641464588	-0.1622259642	-0.0230023795	-0.0204846511	-0.0307023304	0.1041581274	0.0148841863	-0.083710571	0.1122240808	-0.0574562512	0.0316581478	0.0157455402	0.0072833925	-0.1333963547	-0.1414082052	0.0422782212	0.1898708178	-0.0376529748	-0.06403203	0.0631566577	-0.059145843	0.0837037577	0.053762565	-0.0626024188	-0.0054535042	0.0155234077	0.0769213148	0.0615330846	-0.2402876267	0.1081313899	0.0643016782	-0.0826196066	-0.0216767852	-0.0390301627	-0.022660428	0.0636943329	-0.000400956	0.0217656871	0.1997105422	-0.0465719977	-0.1583663266	0.007571549	0.0112008581	-0.0198581105	0.1002639385	0.1363443732	-0.1062764048	-0.0078819088	-0.1070789245	-0.0491880263	0.036054346	0.0083547083	0.1085554875	0.1078659481	0.1067199583	0.1051223675	0.0	-0.00138034	0.0086393599999999	7.463854120959998e-05	1.9053385156000005e-06	0.00533084	-0.0491698599999999	0.0024176751324196	2.84178551056e-05	0.0735354	-0.0133561999999999	0.00540745505316	0.0001783880784399	0.00101494	0.000407716	1.0301032036e-06	1.6623233665600002e-07	2.12196e-05	-0.0001239334	4.5027142416e-10	1.5359487635560004e-08	0.000421891	-3.6416e-05	1.7799201588099997e-07	1.3261250559999998e-09	0.0
10006.805748725224	33.92915190429085	1151.187348944443	100136161.2927202	6964.203322637649	125.44097878033426	15735.439157368271	48500127.91903727	6154.020233528354	19.2595963687636	37871965.03467637	370.9320522876919	6137.137178593192	13813.536200491046	1.192654	45.106785	0.10546277	0.0566191	-0.2474744021	0.0130340307	0.1614790171	0.0108822632	0.0693248349	0.1289970954	0.010684292	0.0931393208	-0.1294628009	0.0832928343	0.151116015	-0.0035296696	0.2047233723	-0.0191310073	0.0770356636	-0.006174648	-0.1291654177	0.0813010614	0.0306667842	-0.0698848089	0.0521314789	-0.0378759061	0.0730117893	-0.1404285811	0.0593281221	-0.0385641091	0.0796377556	0.0135200697	0.1013248374	-0.0628486885	-0.094359782	0.1625435671	0.1420503032	0.049209285	0.0124405594	-0.0782252875	0.1380321308	0.1118877148	0.1354492316	-0.0729835303	0.0020085138	-0.0384542877	0.110181743	-0.0252449458	0.0222275983	0.1276428742	0.0902641786	-0.0679216608	-0.0078977813	-0.0648926051	0.1109922644	0.1661903194	-0.0605828715	-0.0286996699	0.0715277822	0.0853176718	0.0066481758	-0.0557370227	-0.0164943615	-0.0839022396	-0.0128685878	-0.054451592	0.0543236125	0.1574703011	-0.1365156309	-0.0950485916	0.2218090092	-0.0002685769	-0.1745491982	0.0292635376	0.0754808	-0.1202000418	-0.0025844292	0.0385598162	0.0707482792	0.1147885223	0.0582151875	0.0253466905	-0.0603360283	0.1067588787	0.0371938011	-0.1094097232	-0.0562109969	-0.040900868	-0.122085698	0.03990042	-0.1307506035	0.0358937597	-0.0758674973	-0.0197259386	-0.0703550765	-0.0550876828	-0.0094959738	-0.0289833171	-0.1811810616	-0.1429865803	0.0731280659	-0.0807074317	-0.044135925	-0.0981445123	-0.0722946301	-0.0919558503	0.0398750267	0.157710005	0.0582569415	-0.0593048893	0.0911260311	-0.1110877899	0.1224850942	0.0219567346	-0.1366684581	-0.0615076535	-0.0518187619	-0.018684988	-0.0894983861	-0.0310445298	0.1577225644	0.0601313273	0.0704349311	-0.1012676088	-0.094055004	-0.0656409804	0.0402914996	0.0160991542	0.1947841233	-0.3037241263	-0.0471988109	0.0101590374	-0.0273635488	-0.0452411277	-0.1148550152	-0.0127178366	-0.1680145286	-0.0133065643	0.0480434801	-0.0333482762	-0.0053081113	0.0246165225	0.1281959681	-0.0268831497	-0.0473490655	0.0611167335	0.0494734057	0.0401040678	-0.0515589114	-0.2254876116	0.1139283104	0.0710394326	-0.0088270097	0.0597758386	0.0073338093	-0.004437858	-0.0057529094	-0.1717055692	-0.0632755355	0.0073102012	-0.0768137634	-0.104600214	-0.0547067806	-0.1110024733	-0.034802277	-0.1239585001	0.0562462182	-0.066513409	0.1783494095	-0.0983632255	0.0669478219	0.1003948924	0.1953936824	0.1084052593	0.1072667217	0.1053780081	0.1027523275	0.0	0.00417874	0.00555908	3.09033704464e-05	1.7461867987600002e-05	0.0539418	0.0486109599999999	0.0023630254321215	0.00290971778724	0.0920763	0.0185409	0.00847804502169	0.0003437649728099	0.00109467	7.973000000000008e-05	1.1983024089e-06	6.356872900000013e-09	-0.000132196	-0.0001534156	1.7475782416000003e-08	2.353634632336e-08	0.0	-0.000421891	0.0	1.7799201588099997e-07	0.0
9976.598314121831	-30.207434603393267	912.489105318281	99532513.92133856	6950.961079300541	-13.24224333710754	175.357008599169	48315859.925950944	6154.964818350617	0.9445848222630956	37883591.91513384	0.8922404864498041	6141.580926780447	13870.90152768969	1.181955	44.702156	0.073474869	0.0399961	-0.2396667036	0.0211562988	0.154092695	0.0473196309	0.0587299882	0.0970006825	0.1571244935	0.2754949599	-0.0194976563	-0.1128460451	0.1741413832	-0.2191349234	0.0756982891	0.0845217038	0.0116433165	-0.0816241958	0.1618523423	-0.0863905916	0.06699807	-0.0410635701	0.0119377738	-0.0341016365	0.1207960927	-0.1557838235	0.0636732422	-0.1592383672	0.0466266818	-0.0463173344	-0.0269211312	0.001423166	0.1822493403	-0.0400583622	-0.0983396851	-0.0302414062	-0.0127142557	-0.0049424602	0.0619396832	0.1164133836	0.0022840508	0.0096956042	-0.0950970627	0.049008746	0.0412764328	-0.0106001616	0.1068112131	0.0491338463	-0.0999900417	0.131587294	0.1045348165	0.0740903281	-0.0127363595	0.0541449266	0.0651804857	-0.0018113398	-0.0182700251	0.0590556943	-0.0690877132	-0.0076520259	-0.0192565514	-0.1258961143	0.08802126	-0.0427920924	-0.1594567861	-0.1625118365	0.0245300449	0.0684602338	-0.024583485	-0.032234397	0.0372684587	-0.1871654182	0.0199374852	-0.0769567623	-0.1125262183	-0.1269297753	0.1714402884	-0.1586884382	0.035394692	0.1103277757	0.1738043607	-0.0215590597	0.0548416693	-0.0995804147	-0.062202671	-0.0341977205	-0.1451017778	0.0266062382	-0.1104231018	0.1603685464	-0.1653367983	0.0119758815	-0.0020297101	0.1108247925	-0.0156153142	0.0025049224	0.1499303229	0.0428598588	0.081341373	-0.0790812052	-0.0243872322	-0.0066004534	-0.1702897746	0.1522663979	-0.0201590223	0.0164692868	-0.0804610187	-0.1303217399	-0.1354972432	0.0882448225	-0.1089004849	-0.0092566743	0.1049606643	-0.0026199561	-0.1168835056	-0.0117804755	0.0564786021	-0.0757526493	0.1336932636	-0.0019063423	-0.0979549581	0.0240815574	-0.0239358071	0.0303263672	0.0049260172	-0.0097646784	0.1017907926	0.0568610993	0.0648377668	-0.0756323259	0.0287678814	0.0317320862	0.2083987764	0.1402339606	0.1218426397	-0.088054024	0.2001392546	0.0565151698	0.0213342116	0.0711190263	-0.0993903907	-0.0657975175	-0.0432361624	-0.0539344866	0.1450567453	-0.0160274299	-0.052294963	-0.2347296713	0.1079055045	0.0524185484	-0.0148139809	0.0170042289	-0.0283196419	-0.0427188634	0.0700559953	0.0858660687	-0.0395230755	-0.0162031052	-0.0751683312	0.0200573674	-0.0564199912	0.0527529837	0.0084111781	-0.1880188701	-0.2281087378	0.0283850873	0.1315672615	-0.0298278585	0.1256685042	-0.1545819155	0.1002090207	0.1082175714	0.106519243	0.1037084109	0.0998144319	0.0	0.0008854709999999	-0.0032932690000001	1.084562070636166e-05	7.840588918408229e-07	0.0188127	-0.0351290999999999	0.0012340536668099	0.00035391768129	0.0790789999999999	-0.0129973000000001	0.0062534882409999	0.00016892980729	0.00120957	0.0001149	1.4630595849000002e-06	1.3202010000000006e-08	-0.000241468	-0.000109272	5.8306795024e-08	1.1940369983999998e-08	0.000216932	0.000216932	4.7059492624e-08	4.7059492624e-08	0.0
