global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02
9707.475256783047	n/a	n/a	94235075.86105508	7000.647463612348	n/a	n/a	49009064.90978199	6125.456051288027	n/a	37521211.83626111	n/a	6115.617584635195	11353.213427632736	n/a	n/a	n/a	n/a	-0.2275154745	0.0074225523	0.0753237345	-0.0254395919	-0.0858486679	0.1754240015	-0.1270018642	0.0315101999	-0.0236054034	0.2382977081	-0.05311975	0.0999262944	-0.0648086211	0.081925352	-0.0033559135	0.0195199889	-0.09933226	0.0202238964	-0.0009686593	-0.1570644204	-0.0472114054	0.2147761978	0.092883334	-0.0076871519	0.0904963722	-0.0774776034	0.0040967518	-0.0021353023	0.0053585283	-0.0174552037	0.048765733	-0.1084860497	0.043964957	-0.0245783467	0.0547551958	-0.0406835755	0.0024859116	-0.0755375748	0.0357379074	-0.1153992453	0.0464393956	-0.0454767637	0.0914105176	-0.0080136875	-0.006019078	-0.0932422862	0.1486652657	-0.0405613459	-0.0762163431	0.0125758783	0.0461533416	-0.0602193371	-0.0308965966	-0.087133383	0.1046708824	0.0194939877	0.0791374879	-0.068239	-0.1372930804	0.0765353609	0.0044008582	0.0018578704	0.0256809891	-0.0384167675	-0.0181850821	-0.0773906516	0.0195762516	0.0674898955	-0.0640234546	-0.1049421071	-0.0475578257	-0.0301409099	0.1451560754	0.0814284189	0.0301233025	-0.0360725483	-0.009621852	-0.055813496	0.0754033649	-0.2268039581	0.0751902544	-0.0567338025	0.0566479642	-0.0087170798	0.0476791861	-0.0130089515	0.0042895451	-0.1404946554	0.0072341216	-0.033973544	0.0699470968	-0.0103086565	0.0031151891	-0.0348968804	0.0654051185	-0.0578830507	0.036879623	-0.0328092644	0.0172032864	-0.05608257	0.0912534639	0.0674148611	-0.0363684874	0.097113696	0.0855205032	0.0817778149	-0.0730787176	0.0508946503	0.0205014289	-0.1472608038	-0.0047248646	-0.0056082042	-0.0640886053	0.077951862	-0.0830257546	-0.0353415939	-0.1037228417	0.027465902	0.1848641176	-0.0377417006	-0.0235370776	-0.0466790759	-0.0811850972	0.1447970465	0.0047459845	0.0813056905	-0.070149197	-0.022184431	-0.0248358591	-0.0035091707	0.1442583071	0.0476913188	-0.0928658983	-0.0465376647	-0.0414516731	-0.0283197877	-0.2238253737	0.0576521889	-0.0983450278	0.0001186788	-0.0564101176	0.0062948078	-0.0099071415	0.0194904624	-0.0236387584	0.0208809824	-0.0834128071	0.0327954759	-0.0100422851	0.0332927325	-0.0425931055	0.0170018652	-0.0856608491	0.195623913	-0.1010624818	-0.0424774176	0.0361652727	0.2825175534	0.0513374733	-0.0717439512	0.1186709048	0.1186491225	0.1186128217	-0.00702128	n/a	n/a	4.929837283840001e-05	-0.0451142	n/a	n/a	0.00203529104164	0.0825117999999999	n/a	0.0068081971392399	n/a	-0.0008425289999999	n/a	7.098551158408315e-07	n/a	1.05879e-22	n/a	1.1210362640999999e-44	n/a	0.000875923	n/a	7.672411019290001e-07	n/a	0.0	0.0	0.0
9675.575736256407	-31.89952052664012	1017.579409829534	93616765.82803372	6929.687198106986	-70.96026550536135	5035.359280591376	48020564.66360785	6125.953130629235	0.4970793412076091	37527301.75866612	0.2470878714553906	6113.281717316496	11177.377189435523	1.16291	46.046658	0.06395232	0.0368092	-0.2534786762	-0.0113675353	0.1553755665	-0.073385546	-0.1546522256	0.1450270332	-0.1358690467	0.1984402985	0.0406816472	-0.0927629774	-0.0836772236	0.0399012174	-0.0838342385	-0.067488355	0.1225197653	-0.1406470718	0.0928288492	0.095063087	0.1065408531	-0.0918143986	-0.0426174451	0.2421614292	0.1532581368	-0.0503595245	0.0300369971	-0.0454532468	-0.0326606296	-0.0308131268	0.1125060329	-0.0521066529	0.0723017049	-0.0566193018	0.0736310658	-0.1122860435	-0.0350999593	-0.0101875449	0.0592667803	-0.0845198104	-0.043384235	0.009104621	0.0082177921	-0.016365828	0.1160983492	-0.044063369	0.0279437962	-0.0274057878	-0.0453967216	-0.083463297	0.0032310721	0.1203289294	0.0914470956	-0.0753864852	-0.0173507846	0.0192981482	0.0347881346	-0.0335270257	0.193468951	-0.2046034389	0.0019139126	-0.0871089615	-0.0249186929	-0.0388224536	-0.050206634	-0.030991757	0.0639996258	-0.019678274	0.0080340669	0.0237550411	-0.0236432042	-0.0650448332	-0.1413834371	-0.0298888839	0.0061829954	-0.0405083947	-0.2089405441	0.0105484187	0.0072715803	-0.0096555789	0.0710342868	-0.2513845613	0.1208715982	0.0218431611	0.038750309	-0.0095992327	0.0537447936	-0.0124959076	-0.0969695761	-0.1409095152	-0.0016980016	0.0015509899	-0.0632251119	0.033997828	0.0865455264	0.0196607756	0.0169506223	-0.0788186553	0.0510887585	-0.0971281557	-0.06141809	-0.0483502177	-0.0219858687	0.0680298038	-0.114724038	-0.0160633496	0.0761350395	0.132757874	-0.0417312019	-0.0269582929	0.0480278819	-0.0321479634	-0.1465982068	0.0887145846	-0.0061098308	0.0109108814	-0.0673981596	0.1545104555	0.0687231663	0.0460761728	0.0162588792	0.1137961895	-0.1360045632	-0.0516494879	-0.0592185196	-0.0500928646	0.0240943983	0.0349174234	-0.0210565756	-0.0029808218	-0.1235474007	-0.1219848116	0.0599422212	-0.0448244164	0.1144636946	-0.0624443469	-0.111165269	0.0414677613	-0.2524901701	0.0665284357	-0.147188778	-0.0316439562	-0.0924983585	-0.0582753367	-0.0123124939	-0.0363693571	0.0344188962	0.0597165822	0.0219758632	0.0548533656	0.0431067176	-0.0049157234	0.0552078478	0.0037180707	-0.0424119731	0.1356042426	-0.1247155338	-0.0502242333	0.068905006	0.2104969507	0.0977833628	-0.0491924046	0.1186128217	0.1184168613	0.1180905004	-0.0124865	-0.0054652199999999	2.9868629648399987e-05	0.0001559126822499	-0.0452795	-0.0001653	2.7324090000000056e-08	0.00205023312025	0.0935152	0.0110034000000001	0.00874509263104	0.00012107481156	-0.00134585	-0.0005033210000001	1.8113122225e-06	2.533320290411007e-07	2.86007e-22	1.80128e-22	8.180000404899999e-44	3.2446096384e-44	0.00131897	0.000443047	1.7396818609e-06	1.96290644209e-07	0.0	0.0	0.0
9651.649722426177	-23.92601383023066	572.4541378043888	93154342.3644093	6841.606361297972	-88.08083680901382	7758.233812976124	46807577.60295288	6118.704090706119	-7.249039923115561	37438539.7496238	52.54857980692326	6103.418823167492	11086.651209952495	1.025037	40.587425	0.0385423	0.0202988	-0.2426688717	-0.0148037672	0.1799229438	-0.0862075476	-0.0667976112	0.2233938388	-0.0018777312	0.1059630745	0.0218643513	0.1291938801	0.0988090539	0.132451791	0.0413135528	-0.0006487159	-0.1105886944	0.0539521873	0.0029706926	0.0521105883	-0.0228438585	0.0418190139	-0.0286449309	0.2149870488	0.1607228697	-0.0417280439	-0.0302438648	-0.0358083044	-0.0076008538	-0.0855181448	-0.0045795063	0.039721351	-0.0013649586	0.0117883338	-0.0773198482	0.0843662817	-0.0632417714	0.0984122178	-0.017697882	0.1125953829	-0.0330784584	-0.1052776521	0.0663263579	-0.1431088962	-0.023910014	0.161661927	-0.0071512936	-0.1509695819	-0.2107601701	-0.0274792689	-0.0326539545	0.092940855	0.1295154979	0.0483013791	0.0985395521	0.025202986	0.0005360598	0.1182926421	-0.0877370511	0.0953818408	0.112555778	-0.0969475791	0.050320044	0.0016055652	-0.0392126499	-0.1183775382	-0.1049297604	-0.0150409686	0.0620365119	0.0621179902	0.004708186	-0.0774172804	0.0668312584	-0.0479065529	0.0435298524	-0.0320464022	0.0068047034	0.0789092988	0.0092100747	0.0308185189	0.0483718683	-0.2349495728	0.1339852639	0.0542765331	0.0387064671	0.037494159	0.0151792736	0.0940964025	0.0376381946	0.0099287621	0.0184154117	0.0324947698	-0.025640964	-0.0104909182	-0.0253333784	0.1711081815	-0.0160120404	0.114161609	0.0443438941	-0.0126992917	0.1055480076	0.1675868452	0.0506998457	-0.0174489718	0.0222021576	-0.0425718798	0.2362143076	-0.0441650857	-0.0024174277	-0.0208255137	0.0786078077	0.2268777069	-0.1231468493	0.0515756736	0.0267249185	0.0368876458	-0.0113934678	0.0008195833	0.0459731125	-0.1853859352	-0.1426043817	-0.0135118065	0.0827615238	0.0046435517	-0.0281305843	0.1369713142	-0.0466342766	-0.0198685253	-0.0079521316	-0.0559581703	0.0209981121	0.085574421	0.0021951589	-0.0996707729	0.0091191027	-0.0194205628	0.0987080791	-0.0674469124	-0.2484712115	0.0639873316	-0.156083041	-0.0518183867	-0.0945826227	-0.0752740499	-0.0096325587	0.0687873159	-0.0313684366	0.0020475256	-0.026545668	0.0278111227	0.0087944301	0.002304901	-0.024826412	-0.01477271	-0.0851283336	0.1038352347	-0.1087998783	-0.0702799407	0.0139002624	0.177517519	0.0799706793	-0.0104688526	0.118496684	0.1179527935	0.1170481578	-0.0147179	-0.0022314	4.979145960000006e-06	0.00021661658041	-0.0611479	-0.0158683999999999	0.0002518061185599	0.00373906567441	0.0973567	0.0038414999999999	0.00947832703489	1.4757122249999982e-05	-0.00151955	-0.0001736999999999	2.3090322025e-06	3.017168999999998e-08	-1.0318e-22	-3.89187e-22	1.0646112399999998e-44	1.5146652096899998e-43	0.00147729	0.00015832	2.1823857441e-06	2.50652224e-08	0.0	0.0	0.0
9667.951471330787	16.301748904610577	265.7470173489721	93469285.65200712	6863.485056964525	21.87869566655263	478.67732406962887	47107427.12717533	6116.026592283767	-2.677498422352073	37405781.27752219	7.1689978016978415	6101.1363321967765	11144.35240593278	1.057107	41.857269	0.0451186	0.026447	-0.2528456665	-0.0160267551	0.1589156701	-0.0689200577	-0.0597527603	0.1186208896	-0.1852919853	0.0872266847	-0.2044191526	0.0591531883	0.0072955468	0.0097995336	-0.0397166502	-0.0761962233	-0.10573049	-0.112699136	0.1443681402	0.002257302	0.0425749822	-0.0536599728	-0.0247383916	0.2376198525	0.1539396243	0.0056372607	-0.023965682	-0.0148879313	0.0259948582	-0.0387122632	0.0093997142	-0.0915160334	0.0075227615	-0.1282599467	-0.0934001789	0.0472856177	0.0786216746	-0.0467222733	0.0675311784	-0.0098161479	-0.0102704507	0.0294794973	0.0309045376	-0.0559267819	-0.0135913376	-0.0260626023	-0.1119547869	0.0859372638	-0.1028914021	-0.1127514202	0.0861638316	0.0409984002	-0.0835250856	0.1179049911	-0.0482241564	-0.0813463725	-0.0041212154	-0.0395490132	-0.1495955352	0.0220186991	0.0214066825	-0.0675575469	-0.0376015435	0.0401992786	0.052485797	-0.1303373928	-0.0057797854	-0.0543901983	0.2348801024	0.0657083324	0.0464701856	0.0647765348	0.0030461602	0.0483418868	0.0927907187	-0.0790567766	0.2347919919	-0.1209430002	-0.0374797603	-0.0219909541	0.0452648568	-0.2568232367	0.1492113197	-0.012924674	-0.0188029492	0.0315965821	-0.0061712641	0.0301662547	-0.0608217019	-0.0194840575	0.0092603117	-0.1296599264	0.0242905778	-0.1426287312	-0.0630479989	0.0108563497	-0.0684501435	-0.0578246887	0.0546610199	-0.1122379338	-0.0084398792	0.0444070905	0.0129227467	0.0161727109	0.0069452346	-0.0679470057	-0.0324886356	0.0392302847	-0.0853510988	-0.109430663	-0.1903441345	0.1348978911	0.0863154934	0.0550770154	-0.0075921497	0.0669540673	0.1456813158	0.0433703524	0.0189060048	-0.0539592005	-0.0121439462	-0.0231163781	0.0993079456	-0.0463708577	0.0645034769	0.1963417118	-0.040773416	-0.1910567538	0.0465398391	0.1018008337	-0.025435501	0.0363680755	-0.0676463495	0.1326764956	-0.155587915	0.0195968723	0.1979516718	0.0816172014	-0.2586552468	0.0697238983	-0.1523000357	-0.0443105018	-0.1005824212	-0.0739347056	-0.0828742588	-0.0758245848	-0.0029276976	0.0216344908	0.0236478452	0.0043107115	-0.0258562737	0.0138551611	0.0610681918	0.0016114088	-0.0206312084	0.0151388578	0.0155698033	-0.066507067	0.0766516175	0.0490961135	0.0188530611	-0.0453902424	0.1183225485	0.1172578276	0.115490384	-0.0061879	0.00853	7.276090000000002e-05	3.829010641e-05	-0.0670277	-0.0058797999999999	3.457204803999997e-05	0.0044927125672899	0.0757039	-0.0216528	0.00573108047521	0.00046884374784	-0.00134585	0.0001736999999999	1.8113122225e-06	3.017168999999998e-08	4.23516e-22	5.26696e-22	1.7936580225599999e-43	2.77408676416e-43	0.00146987	-7.419999999999953e-06	2.1605178169e-06	5.5056399999999294e-11	0.0	0.0	0.0
9672.443669922546	4.492198591759006	20.1798481878016	93556166.54782474	6826.970254966463	-36.51480199806247	1333.3307649577066	46607522.86219685	6115.142956051324	-0.8836362324427682	37394973.37294413	0.78081299128565	6100.163252178209	11389.266629183996	1.089674	43.146786	0.0549854	0.0292353	-0.2889334729	0.0065630397	0.1449546321	-0.1292725289	-0.1533576355	0.2041755381	0.0091840232	0.1137270431	-0.0880696941	0.0656920733	0.185179508	0.1196289261	-0.0057375771	-0.0984509383	-0.0889913815	0.015229643	-0.0107221524	-0.0709458588	-0.111799513	0.1621491369	-0.0010501874	0.2328770714	0.1440652567	0.0369603926	-0.031055846	-0.0243264897	-0.0679602963	-0.050970172	0.1084000112	0.0157013237	-0.036236817	-0.0147039655	0.0269043716	0.0541669081	0.0427322091	-0.0430146409	0.1160034617	0.0909415549	0.0679062371	0.0343661186	-0.1874385926	-0.0032417805	-0.214517669	0.0542248672	0.0316065957	0.1454124656	0.0136329091	0.0580607304	0.0744828598	-0.1011172979	-0.0064465403	0.0724046256	-0.225552913	0.0041976691	-0.044958497	0.0154256051	-0.0161592433	0.105621611	-0.053732011	0.0110547989	-0.0624131715	0.0096359957	0.1703956022	0.0065183283	-0.1234440995	-0.0587002129	-0.0500066915	-0.1162732385	0.0100106919	0.025430553	-0.0809078701	-0.0652683843	-0.0153511983	-0.0922891157	0.0675322742	0.1649492302	-0.1879934895	0.0715599991	0.0203018918	-0.2631789408	0.1048858489	0.0934798745	-0.0585553256	-0.0174655532	0.0773070977	0.0231799477	-0.0801671083	0.0121164368	0.0321934435	0.024517766	0.0548475523	0.0375318932	0.0031094837	0.0117089063	-0.1571516966	0.0327171519	-0.0358538183	0.1278471545	-0.1062045263	0.1019514535	-0.0454492745	0.0248695084	0.129583357	-0.018899697	-0.1548003806	-0.149282012	0.1196688816	0.0471674212	0.0161397565	0.0465853508	0.2452594131	-0.0156477867	-0.0044644219	0.0375909104	0.0571380721	0.0929410613	-0.0542654925	0.0895976664	-0.0531919115	-0.1465243939	0.0846701155	0.0135725444	-0.0619870049	-0.0250209614	0.0526116281	-0.028318805	0.1709157522	-0.0183956088	-0.0442700394	0.0006303009	0.116804696	-0.118756097	-0.1344239662	-0.1026701343	-0.0729101278	0.0106600253	-0.2592835962	0.0599040533	-0.1584733878	-0.0213973221	-0.0887057673	-0.0961162828	0.0699969363	0.0362335984	0.0257421063	0.0203899952	0.0643988133	-0.0269597408	0.0255715781	0.0227331405	-0.0457099874	0.0511033247	0.1242028395	-0.211635287	0.1067977018	0.1403013228	-0.1310928223	-0.3166344935	-0.060552934	0.0494230338	0.1180905004	0.1163333239	0.1134240387	-0.0028119	0.0033759999999999	1.1397375999999998e-05	7.90678161e-06	-0.0454423	0.0215853999999999	0.0004659294931599	0.0020650026292899	0.0635317	-0.0121722	0.00403627690489	0.00014816245284	-0.00134585	0.0	1.8113122225e-06	0.0	-0.000301616	-0.000301616	9.0972211456e-08	9.0972211456e-08	0.00141445	-5.542000000000004e-05	2.0006688025e-06	3.071376400000004e-09	0.0	0.0	0.0
9718.976271038384	46.53260111583768	2165.282966605658	94458499.75700717	6862.302764647985	35.332509681522424	1248.3862403948758	47091199.23369538	6138.43590652459	23.29295047326559	37680395.37851036	542.5615417500037	6122.533600907563	11604.685696028377	1.12202	44.42757	0.044242313	0.023178	-0.3105673468	0.0110669375	0.0969078934	-0.13317637	-0.0147950092	0.2510055823	-0.1402274282	0.0567804221	-0.0543141054	0.0653108198	0.1029990665	-0.0255585962	0.0934693643	0.0099553342	-0.0688624468	-0.0352479997	-0.0785737154	-0.0254435488	0.1281242624	-0.0516953962	-0.0623170856	0.2015524163	0.1501912557	0.0417714613	0.055739126	0.0010000404	-0.0120678887	-0.0753441142	0.1819206958	-0.0544278481	-0.0852269359	0.0689053071	0.0621834648	0.2652878758	0.0440833837	-0.0149885024	0.148369302	-0.0422304394	0.0090767115	0.0202540012	-0.0883882963	0.0921752866	0.1054968797	0.0367564469	-0.0668993909	0.0334100767	-0.0588464345	0.0344633231	-0.0532115145	-0.0686185363	-0.0327162947	-0.1529296271	0.1376031198	0.0188916752	0.0613566115	-0.0355282467	-0.1001100138	-0.0159912762	-0.0565183075	0.2187616307	0.0297303256	-0.0597400344	-0.097101468	0.1023269331	0.1158422653	0.0778422733	-0.1073411474	-0.0901843042	0.0418465002	0.0016533788	0.0425520513	0.0485121714	-0.0386143128	0.0665767923	-0.0845590842	0.0223180007	0.030898482	0.0240259755	0.0781153889	-0.233637983	0.1512884954	-0.0635788401	0.0314189233	-0.0487827372	0.0164757746	0.041294121	-0.2414460926	0.1425876546	-0.0623127044	0.0469655405	0.1708189079	0.1332511991	-0.0571726556	0.1316964962	-0.0840566209	-0.0174723759	-0.0665592481	0.0249361377	-0.1156818589	-0.0581886345	-0.0244572889	-0.1195078846	0.0339224845	-0.0397253457	0.0771864803	-0.0258228632	0.0391263716	-0.0341838246	0.0402239251	-0.1552483583	-0.0409126233	-0.092683972	-0.0136814036	-0.1470517852	0.129930896	-0.1422166195	-0.1156883966	0.0502187646	0.0776528134	0.0693398136	-0.0741910146	0.0518427833	0.0662637479	-0.1361396317	0.0123936283	0.049365189	-0.0922214173	0.0398708668	0.0420652068	-0.0183225044	-0.0683671806	0.0174862511	0.0898988386	0.0178348166	-0.1126488671	-0.1028057822	-0.2623191659	0.0641689306	-0.1493909083	-0.0242533589	-0.08556437	-0.057670569	-0.0534349593	0.038021334	-0.0383701659	-0.0943431318	-0.0160121005	-0.1124119162	-0.0815903827	0.0775822631	0.0893449464	-0.0147242619	0.0999523106	-0.2902531331	0.3178452857	0.0966202395	0.0169366365	-0.3276213489	-0.2557292646	0.0374976278	0.1178006533	0.1151810923	0.1108582214	0.000628263	0.003440163	1.1834721466569e-05	3.94714397169e-07	-0.0322032	0.0132390999999999	0.0001752737688099	0.00103704609024	0.0581158	-0.0054158999999999	0.00337744620964	2.9331972809999935e-05	-0.0012896	5.625000000000009e-05	1.6630681599999995e-06	3.1640625000000107e-09	-0.000651079	-0.000349463	4.239038642410001e-07	1.2212438836900002e-07	0.00137722	-3.723000000000008e-05	1.8967349284e-06	1.3860729000000054e-09	0.0	0.0	0.0
9670.173215474391	-48.80305556399253	2381.738232382142	93512250.01727831	6749.329346098273	-112.97341854971182	12762.993298808373	45553446.62210334	6117.664899866887	-20.771006657702856	37425823.82706333	431.43471757433633	6103.035726564359	11353.99600879161	1.234743	48.890965	0.0700259869999999	0.0363061	-0.2330114495	0.0167025967	0.0100458508	-0.0614392188	-0.0691040292	0.1608635425	-0.1111816056	0.1189820024	-0.0657096713	-0.323557649	0.1957301504	-0.0109362684	-0.1981091402	-0.1166179568	0.014864771	-0.0635663928	-0.0030845559	0.0891358179	-0.1075165653	0.0907076701	-0.005161682	0.1994396231	0.0854267394	0.0282590777	-0.026979731	0.0139909336	-0.0776996109	-0.0686605124	0.1092467238	-0.0058618736	0.0044024913	0.1712148635	-0.0520507842	-0.2497894094	0.0754222703	0.0171393129	-0.1052826369	-0.2711667058	-0.1108631518	-0.028182377	0.029587859	-0.0336510298	-0.0654198972	-0.123511172	-0.0020454683	0.0718983649	0.1258904923	0.0432533957	0.0947090168	-0.1362375766	0.0346985551	-0.0158129191	0.1123752868	0.1286650076	-0.0053574264	-0.025020547	0.0792647109	0.0325836183	0.1046176631	-0.1587545292	0.0176548971	-0.0301362058	0.0293006524	0.0776679142	0.0136949039	0.1620077551	-0.1596742333	-0.0535268718	-0.0502634282	0.1815805162	0.0520610077	0.0194008854	-0.0646227326	0.1767296033	-0.0774622245	0.0059776593	0.0743475792	-0.0629406072	0.0210955351	-0.2110675716	0.0461266478	0.0538156065	-0.0787924583	-0.0671117947	0.0640151975	0.0091757031	-0.0683529431	0.0160282641	-0.0006594387	0.0986301547	-0.2092771302	-0.0727966186	-0.0865693403	-0.189782631	0.2670865921	-0.1033318237	0.2127285764	0.009364311	-0.0449103029	-0.0150383639	-0.1304011966	-0.1035088664	-0.0277982724	0.0378442308	-0.1987420772	0.0670307154	0.0251660946	0.0797604443	-0.032026341	-0.0045058941	-0.1004951684	-0.1470239062	-0.042317071	-0.0731598417	-0.0945374803	0.0601690467	0.0943663343	0.0414616103	-0.1429040417	0.0220739723	0.0487297042	-0.0285826506	0.0085459517	-0.1719078184	0.0410469091	0.0915878009	0.0340603798	-0.0030772103	0.1134522373	0.0622080133	-0.0757509849	0.1304173546	0.1084921567	0.036588026	-0.0252189969	0.0388606409	-0.2301050078	0.0446914062	-0.099975706	0.0117544656	0.0095541495	-0.0133246899	0.0105020725	-0.0540425044	0.0532889178	-0.0448531685	0.025391055	0.0479598882	0.0293631802	-0.1118082729	-0.1395483458	0.0369375875	0.0995629147	0.068591789	-0.1062951196	0.0689616122	-0.0990246248	0.053771002	0.1529045063	0.0544457029	0.117453149	0.1138033884	0.1078042307	0.0154802	0.0148519369999999	0.0002205800326519	0.0002396365920399	-0.0369815	-0.0047782999999999	2.2832150889999992e-05	0.00136763134225	0.0610114	0.0028955999999999	0.00372239092996	8.38449935999999e-06	-0.000680425	0.0006091749999999	4.6297818062500004e-07	3.710941806249999e-07	-0.000507561	0.000143518	2.576181687210001e-07	2.0597416324000008e-08	0.00117991	-0.00019731	1.3921876080999998e-06	3.893123610000001e-08	0.0	0.0	0.0
