global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02
9870.61091229682	n/a	n/a	97428959.78195304	6918.214599109087	n/a	47861693.23932611	n/a	6059.274415367677	n/a	n/a	36714806.4407293	6048.872791436448	9170.470893248885	n/a	n/a	n/a	n/a	-0.0888856826	-0.0744126524	0.0965423562	-0.1471680169	0.041438087	-0.0928521493	-0.0450405243	-0.1351086358	0.0099666267	-0.0019250942	0.2364503038	-0.0130030129	0.0293589967	-0.1898200699	0.0483229381	-0.0032817935	0.0692305305	-0.0205345161	0.0493643623	-0.0876992436	0.0574068395	-0.0554156496	0.0406706258	-0.1538423675	-0.0381006205	0.0554176673	-0.1027234795	0.0009582034	-0.1336844353	0.033034009	-0.0374279921	0.0210584331	-0.0057371191	0.0332858354	-0.1114684639	0.0123002866	-0.1069500023	0.0655727136	-0.1675973818	0.0161076275	-0.0935014394	0.027048365	-0.0416072563	0.026093102	-0.023662526	-0.1027571837	0.0187891366	0.002439231	-0.0702948111	0.0452848901	0.0066179884	0.0386818269	-0.0816446533	0.0042014003	0.0291740633	0.0012285611	-0.0571269822	-0.0032267635	-0.0666521305	0.1253338173	0.002631811	-0.0786948274	-0.0193291678	-0.0005430553	-0.0087661748	-3.24951e-05	0.0260393783	0.0019149882	0.014279609	-0.1658707754	-0.0676956851	0.0306168257	0.0977284463	-0.0609064344	-0.0487572142	-0.0190710942	-0.0224949821	-0.0205304457	0.017419308	0.1036143845	-0.0731872821	-0.0165365163	-0.0394712316	-0.0424425419	-0.0210009594	0.0744347361	-0.1635697101	0.0202557639	-0.0261133511	0.0033424158	-0.0311554268	0.0201013188	-0.0147652828	0.0861104061	-0.0748477094	0.1392888551	-0.079702205	0.0003386393	-0.0182431419	0.0267949495	-0.1685645933	0.0425317654	0.0461517927	-0.0426624683	0.0250129349	0.0022386251	0.03581111	-0.0293184158	-0.0288946863	0.1024479203	-0.061021104	0.0477167095	0.0573447954	0.0343111111	0.0699511019	-0.0549564197	-0.0571391463	0.0951903688	-0.0022129107	-0.0105192316	-0.0156725018	-0.0071433448	-0.0050134209	-0.0319991084	0.0415014103	0.1062918844	-0.1020268897	-0.0884761295	0.0009239148	0.0593227454	0.0384980408	-0.0750482413	-0.0024184605	-0.0663350354	-0.0034820616	0.0274390468	0.0657782081	0.0039099871	0.0761529123	0.0862643434	-0.1776464794	0.0126042815	-0.0285082267	0.1068732864	-0.0527877453	0.053170614	-0.0399140495	0.0456953417	-0.0326459273	0.0080188772	-0.0354387809	0.0047669928	-0.074545984	0.0857059303	-0.2585970024	0.0149646903	-0.1459500676	0.068396624	-0.0600104217	-0.0376115204	0.1458456192	-0.0479649358	0.1914604245	-0.0214186172	0.1186709048	0.1186491225	0.1186128217	-0.0166755	n/a	n/a	0.0002780723002499	0.0131883	n/a	n/a	0.00017393125689	0.0742015	n/a	0.00550586260225	n/a	-0.000343699	n/a	1.18129002601e-07	n/a	-0.0	n/a	0.0	n/a	0.000585239	n/a	n/a	3.42504687121e-07	0.0	0.0	0.0
9855.184008417087	-15.42690387973198	237.98936331448965	97124651.83975989	6839.149549140305	-79.06504996878266	46773966.55550604	6251.282126566099	6057.599376292125	-1.6750390755514672	2.805755904624314	36694510.20365474	6044.22016533709	9028.84409482005	1.005834	39.368317	0.0784274199999999	0.0553471	-0.0736003069	-0.0918237292	0.0686536915	-0.1583460095	0.0688219433	-0.1422938096	0.0439301702	-0.1823052125	-0.0535832106	0.1733647878	0.100321001	0.086239173	0.1406514013	-0.055505182	0.0492122875	-0.0009095781	0.0824519564	-0.048880872	0.0799164712	-0.1677643377	0.0576280362	0.0237481994	-0.1109375406	-0.0152473203	-0.059461359	0.1243076633	-0.1209819836	0.0573707292	-0.1868916052	0.0552508758	0.0724950526	-0.0169001217	-0.108957112	0.0182425051	-0.1368194934	-0.0860122764	0.0462307085	0.1829693717	0.0198624007	0.0476421097	-0.079162939	0.0897427398	-0.0969280955	0.1359163656	-0.1430257689	0.0443505483	0.2110136718	-0.102489261	0.0049530611	0.0475792578	0.0655924658	-0.1512041588	-0.0313827539	-0.0120676258	-0.0891948592	-0.0375062274	0.1128033349	0.0526660644	-0.0039404294	0.1156216365	0.064642558	0.0398789651	0.1396868141	-0.0056920405	0.0305075135	0.1182846002	0.0542482694	0.0488156764	0.0146534062	0.0413679193	0.0216689799	-0.0439510103	-0.0588351465	-0.1300667294	0.0138300372	0.0720559534	-0.0358077587	0.0639097514	0.009427517	0.0940689938	0.0541139144	-0.064772215	-0.0605362796	-0.1183912772	-0.0939336757	0.0708132278	-0.1924145642	0.0804787245	0.0040816589	0.0709282262	0.0729218396	0.0585707123	-0.0359908614	0.0507514686	-0.1778859252	-0.083396482	0.0422749218	0.0469553849	-0.0514262905	0.0161771795	-0.1708483074	0.09630534	-0.0063564783	0.2655385433	-0.0880778229	0.1084341854	0.0136454548	0.0553815152	0.0289656079	0.0161731669	-0.0024118025	0.094330117	0.1084840093	-0.1586776803	-0.0667810082	-0.0669316206	-0.017362552	-0.0463789791	0.0226391271	0.0778893563	0.0318028782	0.0058326631	-0.0471903305	0.0153185171	-0.1492963747	0.047957657	-0.016062234	-0.0313250714	-0.0729821446	-0.0682626051	-0.0499181767	-0.1987450579	-0.0425605093	-0.0190693955	0.103157527	-0.0643205382	0.0486864447	-0.1025815746	0.0005654896	-0.0030250203	-0.1589463094	-0.0418249922	-0.0510512813	0.1768999837	-0.1059566026	0.1026127969	0.0368739785	0.2236087256	-0.0566209411	0.0110751288	-0.0644645632	0.0393794339	-0.1617113871	0.0318013794	-0.3887518217	-0.0788118538	-0.1935187826	0.021034121	-0.0083705617	0.1239812642	0.0934439025	0.0544029468	-0.0390265628	0.1626243134	0.1186128217	0.1184168613	0.1180905004	-0.00985373	0.00682177	4.653654593289999e-05	9.70959949129e-05	0.0262023	0.013014	0.000169364196	0.00068656052529	0.127389	0.0531875	0.016227957321	0.00282891015625	-0.000342331	1.367999999999964e-06	1.1719051356100003e-07	1.871423999999901e-12	-0.0	0.0	0.0	0.0	0.000478524	-0.000106715	1.1388091225000002e-08	2.28985218576e-07	0.0	0.0	0.0
9879.38878067923	24.2047722621428	585.8710002621973	97602322.67981064	6831.86886796795	-7.280681172354889	46674432.22910968	53.00831833348296	6069.250605710933	11.651229418807816	135.7511469696927	36835802.91492253	6055.315914839586	9226.56276630376	1.081977	42.348534	0.13538491	0.0815855	-0.1290555956	-0.1157103578	0.1299263187	0.0036058992	0.087511469	-0.0429701321	-0.1328631812	-0.0509277997	-0.0253600116	-0.0244052443	0.0605220397	0.0086835703	-0.0518866612	-0.0720471784	0.0230888783	0.0187753365	0.0734391479	-0.105271379	0.0165014567	0.1059828876	0.0039486125	-0.0072696244	-0.1151329441	-0.0464278317	-0.0491381189	0.0628444032	-0.0923814233	-0.1052916469	-0.1757533178	-0.1763696977	-0.0589554077	-0.1916296591	0.0881914974	-0.0116597942	0.174433432	0.0587941469	-0.0137601099	0.1166843299	-0.0004369153	-0.0070720719	0.1130279622	0.040901378	0.0687813803	0.0505162811	-0.1422547814	-0.0427993809	0.1409823129	-0.0759519433	0.0574660272	0.0975087496	0.0262353424	-0.0827164419	-0.067971224	-0.1041941174	-0.0471823517	-0.1354887388	0.0338009648	-0.0175393461	0.02586662	0.088594932	-0.0171278523	-0.0189242173	0.0325372976	0.014520972	-0.0056656325	-0.1026752685	-0.0162386463	-0.0159731376	0.0311763055	0.1564656588	0.1289016568	0.0397781118	0.1284626648	-0.1030170172	0.1457430885	-0.0147944302	0.0238131241	0.0230350287	0.0136374301	-0.1049287934	-0.0759072628	0.0836372922	-0.0484764993	-0.0945068337	0.1143916384	0.0356965696	-0.1550987355	-0.06481196	0.0677074625	-0.2111732368	0.1050382749	0.1535607621	-0.0432642135	-0.1823381019	-0.0039034986	0.0934707062	0.1345938683	0.0184884696	-0.0904668872	0.0086099942	-0.0082771924	0.0819895175	-0.1876777342	0.1689021745	-0.0279439542	0.080260055	0.0148003303	-0.0552426194	0.0184400178	0.0367758384	-0.0171022809	0.0677644267	-0.0149191119	-0.0966421132	-0.0384270927	-0.0789678785	0.0384737295	-0.0310255424	-0.0867860374	0.1359837025	-0.0168001332	-0.0387073406	-0.1181660587	0.0557425961	0.0420051111	-0.0516152771	0.1672357319	0.1058057855	0.0559709112	-0.0475424761	-0.0096692461	0.0814209207	0.0362996235	-0.1137817111	0.0147757099	-0.0841202666	-0.1262652637	0.2248656989	0.0392684693	-0.014200077	-0.1893906211	0.0283537399	0.0862171048	0.1045796422	0.1055512021	0.09730338	-0.0195729967	0.039021315	0.0578470742	0.1362718603	-0.0102439607	0.039749707	0.0603530652	0.1696715243	-0.2817236651	-0.0311017251	-0.0959305157	0.0275910219	0.1067513677	-0.1377001635	0.1043721943	-0.0496370862	0.0027341072	-0.1828321287	0.118496684	0.1179527935	0.1170481578	-0.00519418	0.00465955	2.17114062025e-05	2.69795058724e-05	-0.0373566	-0.0635589	0.00403973376921	0.0013955155635599	0.0785649999999999	-0.0488240000000001	0.0061724592249999	0.002383782976	-0.000174428	0.000167903	3.0425127183999995e-08	2.819141740900001e-08	6.94562e-05	6.94562e-05	4.824163718439999e-09	4.824163718439999e-09	0.000608014	0.00012949	1.6767660100000017e-08	3.696810241960001e-07	0.0	0.0	0.0
9851.225972516446	-28.16280816278413	793.1437636137805	97046653.1615826	6797.073959850874	-34.794908117075465	46200214.415682845	1210.6856308757242	6064.772998996754	-4.477606714179274	20.048961886863317	36781471.52936008	6052.875637591754	9203.627660805429	1.055047	41.294491	0.10435423	0.058414	-0.123308368	0.0548358197	0.1922147962	0.0077310217	0.0056379204	-0.0317789845	-0.0685622626	0.0546160411	0.1365150404	0.0832501543	-0.0061256534	0.1510121049	-0.1312532765	-0.0596457559	0.0491944014	-0.058884117	-0.1333573298	0.0194863752	-0.0518221901	-0.0430817833	-0.0751813067	0.0702119471	0.0129988591	-0.1741335898	-0.0506555478	-0.1136591088	-0.0840600256	-0.0644911881	0.021642087	0.0320685096	-0.0301122765	-0.0630360258	0.0453656033	0.0859727835	0.0003242382	0.0500777836	-0.054837234	0.0559305404	0.0410076232	0.0708258851	0.0034834149	0.146231729	-0.0204596626	-0.113230559	0.0226545373	-0.0024258675	-0.0248442633	-0.0168438527	-0.2050091421	0.0265646915	0.0394936122	0.0700471023	0.1202918305	0.0002730447	0.1019723943	-0.0528086357	-0.0806873156	0.0586788773	-0.0357841431	0.0579756837	-0.0180173256	-0.1035738935	-0.0234390564	-0.0240255712	0.0697435982	-0.0474215363	0.013330134	-0.0212925979	-0.1349140652	-0.0880956817	0.0534221809	-0.0585351993	0.0398982433	-0.1292389776	-0.0366725555	0.1508863692	0.0484127124	-0.1700167443	0.1607680809	0.0721047202	0.0657763274	0.0642448604	-0.0523605096	0.0831919085	0.1154314138	0.0814530844	-0.0046306079	0.0384417195	-0.0031448888	-0.0611817263	-0.0183952135	0.0165191344	0.1006119446	-0.0346440591	-0.1188710526	0.0470546122	-0.0181188627	-0.0500774523	0.073571907	-0.1284540306	0.0118358638	-0.0092393419	0.0250786484	-0.0947954941	0.0377973523	0.0859136103	0.0329216184	0.0562902646	-0.1443683826	0.0357080621	-0.0629567086	0.1118002354	-0.0080406462	-0.0939940758	0.0570066732	0.0793983194	-0.0784961849	0.0840348142	0.0151765884	-0.1071805773	0.0350922752	0.0190745709	0.0267966413	0.03608243	0.0383927538	0.0542331102	-0.0430516459	0.0557071569	-0.0084668048	-0.0333963847	0.1042491735	0.1156022879	-0.1481350492	0.0892501122	0.163702251	-0.1910090826	0.0218482363	0.0315753865	0.0200376528	0.0545019123	-0.2037789772	0.084856115	-0.0566958395	-0.0739916907	0.070384279	0.0366355501	0.0039683936	0.0201377002	0.077299225	-0.0736432662	-0.0059613957	-0.0054240032	-0.0050967554	0.0560422614	-0.0972851794	0.122444744	-0.0430770415	-0.0337949721	-0.0106350617	-0.0330130501	-0.0580909938	0.0415678224	-0.0796723813	0.0599893953	0.1183225485	0.1172578276	0.115490384	-0.0178487	-0.0126545199999999	0.0001601368764303	0.0003185760916899	0.0134997	0.0508562999999999	0.0025863632496899	0.00018224190009	0.0549086	-0.0236563999999998	0.00301495435396	0.0005596252609599	-0.000436884	-0.000262456	1.9086762945600002e-07	6.8883151936e-08	-3.36017e-23	-6.94562e-05	1.1290742428899998e-45	4.824163718439999e-09	0.000619842	1.1827999999999969e-05	1.3990158399999926e-10	3.84204104964e-07	0.0	0.0	0.0
9852.468240205346	1.2422676889000286	1.5432290108850182	97071130.42425504	6769.5560415299215	-27.51791832095296	45826888.99941426	757.2358287186385	6073.201443061795	8.428444065040821	71.03866935752184	36883775.76800787	6060.429666682829	9130.101515079492	1.018897	39.879608	0.1168316	0.0877072	-0.1108380234	0.0580619352	0.1797918925	-0.0429394187	0.0003805109	-0.0851049426	-0.0137321315	0.043560898	0.0857829854	-0.0346705508	-0.1057563177	-0.0133792353	0.0174854603	-0.1511957956	0.091184331	0.0094651023	0.1024364916	0.0645135004	-0.0268661846	-0.0211451622	-0.116724981	0.1008220954	0.0329563855	0.1050344821	-0.0596582946	-0.1499379242	-0.1317046652	0.0133152866	-0.0241983279	-0.0720778155	0.1009073148	0.0948512144	-0.0064503642	0.017892238	-0.0150243955	-0.2248460077	0.0118177607	-0.1019990089	0.2063068549	-0.0264146972	-0.0231997833	-0.0008531611	0.0178203172	-0.1479088938	-0.0618612125	0.0867409468	-0.0687384532	-0.0030838732	0.0474306782	0.1218627006	0.128564648	0.1421755747	0.0699116154	0.0590871477	0.0608394723	0.000789718	0.1734395229	-0.0226194108	-0.0004819799	-0.1574060047	-0.0943194778	-0.0288890544	0.0037736998	0.0395933104	-0.0200847738	-0.0581888109	0.029774827	-0.0857425435	0.0747696011	0.008871118	-0.0325475383	-0.2092343044	-0.1203975455	0.1112424991	-0.0550289071	0.1015004034	0.0352669141	0.0410792775	0.1198413631	0.0564796188	0.0135689941	-0.1500186338	-0.0589654057	0.1315054144	0.0184016402	0.1473358012	-0.0417726197	0.0169889913	0.148951669	0.0228798442	0.0558670925	-0.1782244522	-0.0345533328	0.0415790498	-0.0214704758	-0.1394114813	-0.073007989	-0.1560651707	0.0659077614	-0.0158767982	0.1558984236	-0.1300756337	-0.059980193	0.1278247515	0.0531840524	0.0252708827	0.1417250768	0.0502922235	-0.0925048993	0.0249772398	0.0982938087	0.1306916364	-0.100632218	0.1094558379	-0.0486072515	0.098670651	0.1683138106	-0.0234639015	0.0697934636	-0.0301497874	0.0339508667	-0.0471681951	-0.0080377084	-0.0848780994	0.0409961989	0.0047037018	-0.0457053761	0.0264888063	-0.0028964347	-0.0655076136	-0.1345974727	0.0079506284	0.0397402605	0.1154429872	-0.1258886018	-0.1365470204	0.1436329002	-0.0628003321	-0.0828784826	-0.0120192811	-0.1906051192	0.0817945993	-0.2182474923	-0.0162264581	-0.01998511	-0.1492497051	-0.0029043839	0.0068403531	-0.1176416572	-0.0792322484	-0.0405205723	0.0329871342	-0.0701405803	-0.2423800842	-0.0594431604	0.0448388562	0.0236573779	0.0679883979	-0.0449616895	-0.0332686023	-0.0216508621	-0.0295990376	-0.0053761641	-0.0565652125	0.1180905004	0.1163333239	0.1134240387	-0.0244669	-0.0066182	4.380057124000001e-05	0.00059862919561	0.100111	0.0866113	0.00750151728769	0.010022212321	0.0608598	0.0059511999999999	0.00370391525604	3.541678143999996e-05	-0.000508388	-7.150400000000001e-05	2.58458358544e-07	5.112822016000002e-09	-0.000102567	-0.000102567	1.0519989489e-08	1.0519989489e-08	0.000440895	-0.000178947	3.2022028809e-08	1.9438840102500002e-07	0.0	0.0	0.0
9897.00263854295	44.534398337604216	1983.3126352924053	97950661.22732612	6787.735116427062	18.17907489714071	46073348.0107771	330.47876411585145	6081.4872519003375	8.285808838542835	68.65462810887456	36984487.19502632	6069.108408088498	9322.26972156924	1.042268	40.794334	0.18955894	0.145248	-0.1768906452	0.0557129243	0.143446413	-0.0161731075	-0.0413576618	-0.0348221885	0.0110614753	-0.0244403771	0.1471997787	-0.0147279604	0.0198170384	0.0360586007	-0.0544504332	-0.1053707357	0.0176585958	-0.0155910497	0.0896428587	-0.1301909117	-0.1560412307	0.0453671558	0.0231600372	-0.0875508607	0.0137142215	-0.0252912662	-0.0755783486	-0.1369054163	-0.1532788424	0.0356348309	-0.1135515941	0.0824446808	-0.038846341	0.0097155975	0.0676618987	-0.1062219977	0.1510096933	-0.0567457341	-0.0800094396	-0.0114546716	0.0137731571	-0.1777139487	0.0452292588	-0.0615462538	0.0226715704	0.2448937765	0.1304936813	-0.0207585094	-0.018966884	0.2353425415	-0.1025641644	0.0477332727	-0.045382976	-0.0186269543	0.0806872876	0.0066616549	0.0789701335	-0.088935918	0.0487188096	-0.106414568	-0.2021759347	-0.0745630132	0.0840961505	-0.1454171875	-0.0432096828	-0.0898887727	0.001147732	0.1399854737	-0.0797228467	0.0542118379	0.0101806956	-0.0881393278	0.0495068496	0.0851077851	0.0640859291	-0.0684478056	0.0066874788	-0.2017917774	0.0850956222	0.1617678085	-0.038081905	0.055756704	0.0006429932	-0.0317219643	-0.0750075782	0.1347338985	0.0012447578	0.1679733614	-0.1253037109	0.0242640521	-0.0537383756	-0.0902042965	-0.0338840601	0.0052331024	-0.1007807511	-0.0347366125	-0.0090672731	-0.0354133832	0.0628174605	-0.0561865703	-0.2313386186	0.0508515499	0.105165815	-0.0391219843	0.0732333368	-0.1719166488	-0.0449702894	-0.1437975152	0.1405735712	-0.1998950931	-0.0315121586	-0.0187470773	0.0380598021	0.0819673507	0.0070548787	-0.0804050093	-0.1698372464	-0.1032634038	-0.0898756553	0.0882195466	-0.0401387116	-0.0889085253	0.1194166778	-0.0383364484	0.1168312033	0.150015089	0.0587071172	0.000338628	-0.0374446746	-0.0348338846	-0.0571187105	-0.0215815298	0.0941897801	-0.1067319635	0.0882202856	-0.1730850412	0.0547403522	0.0786816305	0.0103804845	0.0446763648	0.0827477106	0.0538809546	-0.2201221655	0.0756391336	0.0409022538	-0.0712499591	0.0267803822	0.076354424	-0.0594983267	-0.011284111	0.1538584856	0.0271983777	-0.001883745	0.0080797411	0.1075978052	-0.0522317788	-0.0257077672	0.0479952734	0.1064118474	0.0493598352	0.0460618818	-0.1273877449	-0.1818207005	0.248342276	0.0564473592	-0.1073405548	0.1178006533	0.1151810923	0.1108582214	-0.00779686	0.01667004	0.0002778902336016	6.07910258596e-05	-0.0429314	-0.1430424	0.02046112819776	0.00184310510596	0.0444545	-0.0164052999999999	0.00197620257025	0.0002691338680899	-0.000502037	6.3510000000000346e-06	2.52041149369e-07	4.033520100000044e-11	-0.0	0.000102567	0.0	1.0519989489e-08	0.000600801	0.0001599059999999	2.5569928835999993e-08	3.60961841601e-07	0.0	0.0	0.0
9881.071246523854	-15.931392019096164	253.80925166612096	97635568.97888048	6805.786852727171	18.05173630010904	46318734.684754014	325.8651834486745	6068.320307315546	-13.166944584791054	173.3684296989585	36824511.352178246	6055.519763203357	9780.204021101825	1.209112	47.324593	0.0824175799999999	0.0508539	-0.1961669956	-0.1521802322	0.1756454639	-0.1576918194	-0.0421613825	0.1323766467	-0.1464317236	-0.0778610606	0.0066020004	-0.1497217198	-0.0218551591	0.0345379814	-0.2148976065	0.0598063373	0.092577517	0.0580734749	6.4284e-05	0.014801801	-0.3028377529	0.0955062462	0.1767395423	0.0592408716	0.0316678587	0.0461570883	-0.0465261983	0.0388545427	-0.1053384458	0.0249642452	-0.1243338559	-0.1495330961	0.0197907592	0.0666931093	-0.006334253	0.0520504439	-0.1414547755	-0.0198248099	-0.0055427207	0.0940097642	-0.0860490346	0.0515952632	-0.1463443003	-0.0326934474	0.0929371633	0.1140824098	0.0776222264	0.1402288053	0.0629726631	0.0492646732	-0.1340613798	-0.2108468194	-0.0032663514	0.0295772449	0.1252804897	0.1991300882	0.0744140503	-0.0374774024	-0.0906848534	-0.0295678852	0.1306997817	-0.0580250628	0.0192021314	0.0433044053	-0.0645984731	-0.0259934306	0.0674028641	-0.0483535608	0.0658216413	0.0895849398	0.0304811025	0.0282604313	0.0571558322	0.1565251792	-0.2022253456	0.0575717177	-0.0152173365	0.0692586545	0.1160236988	-0.0598900922	-0.0323972508	0.0081222038	-0.0100168128	0.1201529432	-0.0481287307	-0.0399927994	-0.0451041304	0.1036470272	-0.1667746416	-0.0581413578	0.1480478112	-0.0112858767	0.0329891248	-0.0291199155	-0.0274927289	0.1529014341	-0.0364544908	0.0413508489	-0.0037988165	0.1034985581	-0.1262998069	0.0982113423	0.0110416079	0.0218692584	0.1715680676	-0.1531699259	-0.1091767803	0.049862042	0.0161004166	0.2551637627	-0.0945343942	-0.1415504143	-0.0621961156	-0.1084029465	-0.0105809527	-0.0573510585	0.0461507949	0.1467896797	0.0170800741	-0.004220947	0.026057206	-0.092457819	-0.027076355	-0.0042950885	0.0121719524	-0.070709697	-0.0538606587	0.0145368151	0.0767859205	-0.0534327555	0.1459391095	-0.0624972017	0.029939003	-0.0757067758	0.0466989704	0.1274756352	0.0020026034	0.2064263509	-0.0403137108	-0.0251917414	0.0545028326	-0.0048536901	-0.2433032756	0.1328867511	0.0342812383	0.0774199142	-0.0111048713	-0.1226371082	0.1606195676	-0.1846708304	0.2529690818	0.0043650366	0.1340243732	0.0258995002	0.07956269	0.2436903833	0.2302158692	-0.0948741809	0.4410669696	0.3758274481	-0.1050213577	0.2654586196	0.1824268513	-0.0200209376	0.0350611506	0.1252282126	0.117453149	0.1138033884	0.1078042307	-0.0166785	-0.00888164	7.88835290896e-05	0.0002781723622499	0.00442349	0.04735489	0.0022424856069121	1.9567263780100004e-05	0.0300646	-0.0143899	0.00090388017316	0.00020706922201	-0.000684911	-0.0001828739999999	4.69103077921e-07	3.3442899875999986e-08	1.12338e-22	1.12338e-22	1.2619826243999998e-44	1.2619826243999998e-44	0.000547852	-5.294899999999994e-05	2.8035966009999942e-09	3.0014181390400004e-07	0.0	0.0	0.0
