global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	c_comp_cor_38	c_comp_cor_39	c_comp_cor_40	c_comp_cor_41	c_comp_cor_42	c_comp_cor_43	c_comp_cor_44	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
563.9362046459933	n/a	n/a	318024.0429105276	840.5487601675059	n/a	n/a	706522.2182191312	532.941965548587	n/a	n/a	284027.13864279125	566.3914870299111	559.240970151212	n/a	n/a	n/a	n/a	-0.0871213119	0.0123989741	0.1602540813	-0.2654853601	-0.1717658754	-0.0020963511	0.0554458607	-0.4712942953	0.1173834222	-0.1431348229	0.1343346416	-0.1803396417	0.0793387237	-0.0999167584	0.1747485005	-0.0777994635	0.0412278997	-0.0426168042	0.0838975055	-0.0658518258	0.1572894335	-0.0142833843	0.0269919266	-0.1758704665	0.1819930752	-0.0585836392	0.0348507142	0.0868232393	-0.0896068443	0.0676676408	-0.0216338462	-0.041144639	0.1643155988	-0.077463152	-0.0611573142	0.065904	0.0939145823	-0.0979488489	0.0063688336	0.076691575	-0.0411255651	-0.0490499818	-0.0247056885	0.0817279617	0.0640103394	-0.063890371	-0.066086035	0.0381060307	0.0553051663	-0.1811449292	0.0361553661	-0.0706752435	0.1771305581	-0.067805608	0.0543378574	-0.0015889374	0.0824098291	-0.0822874745	0.0780236611	-0.0591655596	0.1332874083	-0.0003655121	0.0645918679	-0.0572161183	0.0298006477	-0.0616433459	0.0444139128	-0.0873169939	0.0651090377	-0.0331185458	0.0564955653	0.0070916446	0.0491608448	-0.0355992669	-0.0058094105	0.0687614397	-0.0254915338	-0.0661319624	0.0193249114	0.0026077082	0.0270737535	-0.0363847033	-0.0130498423	-0.0526455301	0.0475346832	0.0398857903	-0.0552800046	-0.0679287572	-0.0185176485	0.0646966428	0.0008859988	0.0248145633	-0.1161052546	-0.1606727306	0.0516975098	0.0155368978	0.0170405739	0.0089757374	0.0112327614	-0.0678240206	-0.0069129927	-0.0124644526	-0.0646156173	0.0648803501	0.0119026926	-0.0347003667	-0.0061480513	-0.0474663291	0.0031680609	0.0332677132	0.0012254785	0.0100289814	-0.2037295417	0.015310184	-0.1125289208	0.2051977559	-0.1309114329	-0.0594291287	0.0092956072	-0.1888632687	0.0638680793	-0.0897725762	0.0745157454	-0.0204956339	0.0781704336	-0.1392083679	0.0244794776	-0.0729128482	0.0587205933	-0.0918203678	0.0253059798	-0.033019206	0.0598230439	-0.027153575	0.0693356922	0.0358618378	-0.0480143837	-0.0760472941	0.0872892989	-0.042924559	-0.0023280879	-0.0119823501	-0.0583663111	0.0626153484	-0.0258129684	-0.0125525776	-0.0409747296	0.1638794585	-0.0047812001	-0.0388144672	-0.053001014	-0.0688463941	0.141157514	0.019872513	0.0016404132	-0.0338297799	-0.1097558895	0.1313098815	0.052311198	0.0094465709	0.0390232658	-0.0232335953	-0.0038477172	-0.0560977704	-0.0895565582	0.0192355998	0.000323245	0.0749582428	-0.0404895406	-0.0251441813	-0.0342087062	-0.0633012122	0.0591133999	0.0077864424	-0.327100574	0.1258177017	-0.0056330472	0.0061024713	-0.0232903096	0.1082224156	-0.0291498186	0.0098908099	-0.0327532662	0.0992349165	-0.0454687618	0.1177695962	-0.1380297272	0.0110874795	-0.0221956032	0.0650371516	-0.130986898	0.1289202907	0.0497047318	-0.0035100521	0.1419347906	-0.0554525223	0.0832662014	-0.2183384754	0.1186709048	0.1186491225	0.1186128217	-0.0933733	n/a	n/a	0.00871857315289	-0.0793586	n/a	n/a	0.00629778739396	0.121386	n/a	0.0147345609959999	n/a	-0.00473218	n/a	2.23935275524e-05	n/a	-0.00196806	n/a	n/a	3.873260163600001e-06	-0.00213929	n/a	n/a	4.576561704099999e-06
563.0126494668624	-0.923555179130858	0.8529541688994313	316983.24345969607	828.6536337710414	-11.895126396464434	141.49403198786496	686666.8447619512	533.266645329365	0.3246797807780694	0.1054169600460952	284373.3150208348	565.5465238499366	524.7207262930676	1.107525	44.309757	0.1229166	0.0611999	-0.1193925226	0.0483860171	0.056069053	-0.3020178024	-0.0335582355	0.085115429	0.0130320203	-0.3297190519	0.1968659417	0.0892526063	-0.0416215266	-0.0142189796	0.0434871332	0.0338286471	-0.0121456924	0.0016973078	0.1135236222	0.007789147	0.0408817977	-0.0309526303	-0.0683362958	0.0356212824	0.0397815048	0.0664108456	0.0587221386	-0.0978949784	-0.0132352091	0.061183096	0.101768071	0.0025506017	-0.0838885836	0.0051806661	0.0040723708	-0.0079574075	0.0587177808	0.1017523143	0.0362417932	0.0896205013	-0.0786681657	0.1282437482	0.0070099001	0.1012758959	-0.1670424589	0.1261245863	-0.0049099117	0.0181634894	0.1490287807	-0.0668280127	0.1185321244	-0.2610845399	0.0385444548	-0.0686628242	0.1871338679	-0.0889944186	0.06932839	-0.1209924775	0.0808382089	0.0218615018	0.0524289148	-0.0256896592	0.0951869203	0.1468657665	-0.0006989801	-0.0574201051	0.008683664	0.1048752515	0.0437673843	-0.1033769103	-0.0115684991	-0.0372114662	0.0695722176	0.0017282334	0.0229555252	0.0105333217	-0.0969793665	-0.0600519017	-0.0014168733	0.0366214838	0.0181940141	0.0868977351	0.119268975	-0.0791375701	-0.1514816294	-0.0655479798	-0.010715365	-0.0116020087	-0.0793761906	-0.0164176607	-0.1055120849	-0.0086401573	0.056099794	0.0482631754	0.1692565905	-0.056448437	0.0286638328	0.0175225063	-0.0788583609	0.0901778321	0.0445743005	-0.0533405702	-0.1117794134	0.0178862108	-0.0128562866	-0.0271017997	0.006462558	-0.0114856986	0.0575921353	-0.0337029141	-0.0503736027	0.048317039	-0.0827718294	0.0043313289	-0.1839736632	-0.0235583224	-0.1622084729	0.1806515924	-0.1872161662	0.026654614	-0.0964429103	-0.1801878686	-0.0271616242	-0.0305677103	0.1551671203	-0.0105648691	0.0454782338	-0.1053066339	0.0729010165	0.0584521932	-0.0732894571	-0.0365394894	-0.1073614352	-0.0141575225	0.060325509	-0.0695338994	0.0836321305	0.0459299556	-0.0369577976	0.0283328145	-0.019383273	-0.0119441774	-0.0584440813	-0.0647895504	0.0823708454	-0.0558373058	0.053375589	-0.0079709571	-0.0083037236	0.1589061747	-0.0438205565	0.0179008692	0.0811463868	0.1288184334	0.0144150461	0.0372798499	-0.0212248401	0.0628075198	0.0132020749	-0.0163571262	0.0739910306	-0.0254147544	0.0259071732	0.0228595933	-0.0898982087	-0.0985604579	-0.0085618067	0.0366887705	0.1413926741	0.0864915318	0.07997696	-0.0264126143	-0.0525354362	-0.0102635518	-0.0425476229	0.034538536	-0.3232329301	0.1383077431	-0.0416708159	-0.0148247505	0.0256280751	0.0564221741	-0.025415219	0.0543936635	-0.002780756	0.115138426	-0.029021794	0.2005600127	-0.0252137389	-0.1956379664	-0.0716571421	-0.1350611611	-0.0155017886	-0.0111355534	0.0622979699	-0.0334184975	0.0731406625	-0.0889867114	0.046369639	0.1340635093	0.1186128217	0.1184168613	0.1180905004	-0.099875	-0.0065016999999999	4.227210288999999e-05	0.009975015625	-0.0523802	0.0269784	0.0007278340665599	0.00274368535204	0.133542	0.012156	0.017833465764	0.000147768336	-0.00378822	0.0009439599999999	1.43506107684e-05	8.910604815999995e-07	-0.00233277	-0.0003647099999999	1.330133840999999e-07	5.441815872900001e-06	-0.00237623	-0.00023694	5.614056360000007e-08	5.6464690129e-06
565.8684754859198	2.8558260190574174	8.155742251125336	320207.13154875906	826.0438234985297	-2.6098102725117087	6.81110965850764	682348.3983400702	533.5607609589545	0.2941156295894416	0.0865040035687936	284687.08563509857	565.1482344310695	524.8497298015428	1.109182	44.37606	0.1022559	0.0529532	-0.1052040004	0.0343200988	0.0509831067	-0.2585797072	-0.0008595037	0.0925567851	-0.0409092944	-0.1906855459	0.185153122	0.0112455155	0.0372807095	0.0164565381	-0.0427642896	0.0558423655	-0.0890137841	0.0297483877	-0.051318868	0.038882061	-0.0977779209	0.0580694632	-0.0606149226	0.001865765	-0.0410121553	0.0499455975	-0.0117006426	0.0765372447	-0.0512958795	0.0570685842	0.1749833009	0.0073097056	-0.0653167278	-0.0190945555	-0.1055613021	-0.1077825643	-0.0578957452	-0.0166256585	-0.098117905	-0.0108592142	-0.0387423248	-0.0944049436	0.0808441417	-0.0176254354	0.1731021248	0.0375056779	-0.0079687122	0.0387111647	0.0374045617	-0.00758664	-0.0583109262	-0.198422259	0.0218971241	-0.0220052417	0.1256953175	-0.1237849245	-0.0267011116	-0.0960592185	0.0500887707	-0.047348467	-0.0867373091	0.1121677632	-0.0980583472	0.0158462603	0.0795126192	0.1017946649	-0.0066040993	-0.0327711799	-0.1048857996	0.0642984181	0.0004314814	0.0891856903	0.0697305566	0.0580010931	0.0698899349	0.0211534728	0.091226892	-0.0680612128	-0.0363358941	0.1151870303	0.0311327692	-0.033542345	-0.0419486392	-0.0187272606	-0.0482236491	0.0649893888	-0.061436179	-0.1092376614	-0.0109445705	-0.0990236916	-0.0589135175	0.0553568234	0.0055874357	-0.0460911082	-0.015063175	0.0191795853	-0.0028231345	0.1421397859	-0.0234704635	-0.0237393707	0.0586222891	0.0934372594	0.01251806	-0.0081560177	0.1249437727	-0.0303658973	0.0063324507	0.0285233129	0.0601622189	0.1178858026	-0.0768782242	0.1438264845	0.0003105566	-0.0451110719	-0.1334740439	-0.0265866074	-0.1075296366	0.0925805967	-0.1810643667	0.0410196432	-0.046224032	0.035838628	0.0864593796	0.1182581727	0.0625126158	0.0153562101	-0.0124398943	0.0809627199	-0.0509630043	0.0847133468	0.0466121421	-0.0680423275	0.0176451036	-0.041168752	-0.0806407333	0.134745664	-0.0127180218	0.0082116343	-0.0099577852	0.0786501985	-0.0558420222	-0.0647669856	-0.0538966452	0.014223047	0.0703377491	-0.0470163051	-0.1425341217	-0.0901500516	0.0866170768	-0.0217311043	-0.0028724518	-0.0008610495	-0.0103619429	0.0659616511	0.0392018561	0.009695367	0.0544824183	0.074720238	-0.0542080428	-0.0813288389	-0.0140239119	-0.1529867749	-0.0002377959	0.0042338717	-0.0487557444	0.0796230918	0.0881005279	-0.0568051611	-0.0946537862	0.0066532944	0.0911429374	-0.1116602231	0.0896383024	0.0927321256	0.0109244725	0.0788498685	-0.2781221178	0.1184468988	-0.0199452611	-0.021209583	0.0376395736	-0.0554026826	-0.0266151415	0.0164386423	-0.0193003258	0.1717319816	-0.0909745621	0.1377834478	-0.0561579308	-0.0474207123	0.0121776787	-0.0087598867	-0.0614250276	-0.0212610638	-0.0364532433	0.0644965401	-0.116786477	0.1497099671	0.0448423534	-0.0832512755	0.118496684	0.1179527935	0.1170481578	-0.0835964	0.0162786	0.00026499281796	0.00698835809296	-0.093712	-0.0413318	0.00170831769124	0.008781938944	0.136715	0.003173	0.018690991225	1.0067929000000058e-05	-0.00382664	-3.841999999999995e-05	1.46431736896e-05	1.4760963999999959e-09	-0.00192166	0.00041111	1.690114321000001e-07	3.6927771556e-06	-0.00199631	0.00037992	1.4433920640000012e-07	3.985253616099999e-06
566.8898158757867	1.0213403898668505	1.0431361919733697	321364.0633436833	827.5018483444397	1.4580248459100176	2.1258364512909305	684759.3090134641	533.1476028956298	-0.4131580633246585	0.1706995852901825	284246.36647335615	564.8558089887524	544.4552977494337	1.077303	43.100632	0.1081156	0.0546907	-0.1290237945	0.0607487232	0.0772586481	-0.2538408128	0.0088613483	0.0894645488	-0.0616880692	-0.161663819	0.2047550436	0.0108519694	-0.0610138471	-0.079305009	-0.0785661279	0.0888982215	-0.0462055604	0.0437448648	0.0715762574	0.0515672649	-0.1062839737	0.0139176546	-0.1435179829	0.0071084622	-0.1142817215	-0.1035527685	4.6895e-05	0.0631043409	-0.0103539759	0.0150576692	0.1378585249	-0.2041757362	-0.0481516137	0.0633525167	-0.1666568151	0.0319067532	0.1322153	-0.1193475574	-0.047405093	0.0619930897	-0.0210418959	0.0430320249	-0.0541947658	-0.085844304	-0.01707397	0.0284681384	0.0086401713	0.0499175439	0.0135374623	-0.0029820796	-0.094285016	-0.1875063068	0.0782852991	-0.0401005578	0.1735537996	-0.0948350795	-0.0384724937	0.0312497741	0.1277599816	-0.0541238676	-0.0374928493	-0.0302831665	-0.1672412278	0.1522850143	0.115709996	0.0290986834	0.0017986051	-0.0417184021	-0.0273233054	0.0035332101	-0.0493219123	0.1292538482	0.0313678871	-0.0334256409	0.0252661859	0.0428339167	0.0045047173	-0.1578164205	-0.1486196575	-0.0863921007	0.0552483747	-0.0164061536	-0.022738064	-0.0678059404	-0.0032561611	-0.0205113887	0.0409546101	-0.0158787162	0.0771171028	0.0870364917	-0.0618059251	-0.1414895099	-0.0804345862	-0.0211437994	-0.0088659807	-0.0602433403	0.1380272288	-0.0100791356	0.0281996382	-0.0586347334	0.1312146914	0.0416123336	0.0096458556	-0.0321604497	-0.0078146659	0.0169837561	-0.0694183565	-0.0618433005	0.0104070519	-0.020957169	0.0052840495	0.0551671108	0.0109341334	0.0848082704	-0.1323049069	-0.0547169356	-0.1258195928	0.1389301425	-0.1730014232	0.0395078812	0.0542656847	-0.0566682639	-0.0232492565	0.1288927285	0.0979443555	-0.0208778401	-0.0688341343	0.1145722611	-0.0421689706	0.0887308341	-0.1462756476	-0.1818950521	0.0273328563	0.0616528645	-0.0927998205	0.1239575244	0.0288484044	0.0665233583	0.0163009461	-0.0073217235	-0.0456144664	-0.0455156527	0.0526174273	0.0616319119	-0.0956439764	-0.0492783135	-0.0621901555	-0.047016492	-0.0342592419	0.0312448209	0.0051461152	0.1121611392	-0.0681056487	0.0616965715	-0.00627193	0.0238885252	-0.0237280782	-0.1625770858	-0.0920580896	-0.0271035098	-0.0976540069	-0.02636138	0.1346914695	-0.1088732231	0.0182557234	0.0437516672	0.1673092923	0.0459254248	-0.042109953	0.0214487277	0.0606663656	0.0151099607	-0.0257103937	-0.002307364	0.0003060855	-0.1337171204	-0.2727228369	0.0587326161	-0.0204000413	-0.0517924248	0.0139928147	0.0095732832	0.0579115795	-0.0225161859	-0.1101266611	0.1086953692	-0.0265695505	0.1179871597	-0.0068323197	-0.1820295663	0.0138945253	-0.0480281116	-0.0344198474	-0.0802082112	-0.0615698263	-0.0344426166	0.0635745905	0.0023471475	-0.0524908713	0.1045829182	0.1183225485	0.1172578276	0.115490384	-0.0734188	0.0101775999999999	0.0001035835417599	0.00539032019344	-0.053211	0.040501	0.001640331001	0.002831410521	0.111667	-0.025048	0.012469518889	0.000627402304	-0.00353289	0.00029375	1.24813117521e-05	8.628906250000012e-08	-0.00207296	-0.0001513	2.289169000000001e-08	4.2971631616e-06	-0.00179358	0.0002027299999999	4.109945289999997e-08	3.2169292164e-06
566.1215396202692	-0.768276255517435	0.590248404791891	320493.59762202407	824.246345429767	-3.2555029146727748	10.598299227442933	679382.0379543267	532.1240096410455	-1.0235932545842843	1.0477431508304471	283155.9616364636	563.734119915334	569.7030419010426	1.286236	51.45961	0.1227348999999999	0.0560279	-0.0253872497	0.1280754607	0.1253984463	-0.2144503007	0.0407157231	0.0556644691	-0.1242515652	-0.0561047114	0.1457078835	-0.1138395618	-0.0043362031	0.0314028042	0.0025460046	0.1297945782	0.0103032419	-0.0545928058	0.0084095071	-0.1310856734	-0.0219874554	0.0246242099	-0.0424364817	0.0124064961	0.0651522378	0.1531229387	-0.1507252737	-0.0724687776	-0.0866944277	-0.1680706353	0.0444011572	-0.0207907292	0.2983191823	0.1996930727	-0.0758420261	0.1144703264	0.1012309403	-0.0617395669	0.0128231076	-0.1526236935	-0.0274200892	-0.1318605933	-0.0880788455	0.1186206578	0.0394539626	-0.0814099947	-0.0219931707	-0.0179843199	-0.0794555552	0.0282347275	0.0203307387	-0.1195352182	0.121454891	-0.0778310503	0.2161662512	-0.0555204301	-0.0062062857	-0.0471000591	-0.0885445465	0.0286853003	-0.1984503104	0.0327624998	0.0536098013	0.0783834392	0.0239715242	0.0881644073	-0.0468403824	0.0858789008	0.0160696029	-0.1000477374	-0.0158161037	-0.0310757121	0.01789714	-0.0344306859	0.0056107281	-0.0469008592	-0.089036883	-0.034307828	0.0434006727	-0.0082642956	0.044797801	-0.0625646993	-0.007149896	-0.0071995297	0.0913025524	-0.0017676354	-0.0113318465	0.1084487171	0.0952585807	0.1832079895	0.0599215115	-0.0336032632	0.0807045746	-0.0141841646	0.0112068353	0.2150514808	-0.101704368	-0.1465256622	0.0337503145	0.0393245737	-0.0322673376	0.0790616026	0.0334129425	-0.0503305261	-0.0422315709	-0.0917451354	0.0742340057	-0.0208888501	-0.1364487614	-0.1108769468	0.0098625834	-0.0873053788	0.2225850174	0.0099346345	-0.0702943967	-0.0905255798	-0.1135820781	0.201917341	-0.0975282486	-0.0074298238	-0.0232244743	0.0783874897	0.1123510412	0.0987981673	0.0020143735	-0.032181432	-0.0927135392	0.0200929392	0.1153200773	0.0980774074	0.0043936944	0.1268993915	-0.0215962728	0.0491199008	0.0025197734	-0.0529528503	0.0436962425	0.0277945394	0.0081951943	-0.0740733486	0.0228976886	-0.0231220774	-0.0329710895	0.0751103177	0.0269724515	0.0073007491	0.1128809503	0.0946045061	-0.0645478138	-0.1911557977	0.0824944121	0.0886510146	0.0557023997	-0.0125126713	-0.1939155278	-0.0740181762	0.0185054146	-0.0373966248	0.0455920887	0.0295752308	0.083562097	0.0236469355	-0.0458802851	-0.0061707285	0.1819206781	0.0677470467	0.0321874444	0.0555266339	0.0329582851	-0.2139632451	0.0094881492	0.1558208257	0.0531979045	0.0597182793	0.0395875642	0.0168309648	-0.2702404196	0.0524107045	-0.0546380792	0.0196572855	-0.0365548823	-0.0279976628	0.0434679108	-0.1313023313	-0.0800943028	-0.0526735949	0.0764540689	-0.0401345712	0.1439147875	0.0954723772	0.0911482361	0.1118137444	0.0191571042	-0.135092894	0.0546471842	0.0521090197	-0.1904728619	0.1014890933	-0.0278987492	0.1494862412	0.1180905004	0.1163333239	0.1134240387	-0.100639	-0.0272202	0.00074093928804	0.010128208321	-0.0778861	-0.0246751	0.0006088605600099	0.00606624457321	0.0838934	-0.0277735999999999	0.00703810256356	0.0007713728569599	-0.00319118	0.0003417099999999	1.01836297924e-05	1.167657240999999e-07	-0.00195068	0.00012228	1.4952398400000002e-08	3.8051524624e-06	-0.00219091	-0.00039733	1.578711289e-07	4.800086628099999e-06
565.5516704917693	-0.5698691284999313	0.3247508236172712	319848.6919960308	827.5337172945892	3.287371864822262	10.806813777624996	684812.0532594011	532.4386630641951	0.3146534231495934	0.0990067766997571	283490.9299255875	563.8503632054917	579.6587126975937	1.299457	51.988564	0.067249	0.0359547	0.0481892965	0.0398834784	0.2195571296	-0.200228784	0.0028945468	-0.0677422156	-0.1227503319	-0.1518985511	0.0508033004	-0.0967548913	-0.2314454257	-0.0572444259	-0.1005200031	-0.0353131505	-0.026039829	-0.0234169386	0.2129698234	-0.012638608	-0.0418103863	0.1225543769	0.1392355407	-0.0991933511	0.0406567942	0.2280043337	-0.0885103315	-0.0995075497	-0.0268894587	-0.1570795128	-0.3282976113	-0.0347664302	-0.0653904147	-0.0798061496	-0.0294635509	0.0754281908	-0.0524171776	-0.0569745447	-0.1548499945	0.030424817	0.0597679582	0.0037660934	-0.0406994939	0.0624201178	-0.0650780654	0.0575045047	0.0118864485	0.0472360217	-0.0158465334	0.0336279944	-0.0190165179	-0.1248522978	0.0359487243	-0.1692009417	0.2827861919	-0.0218891493	0.1483002547	-0.0120820871	-0.0284318086	0.0246786761	-0.0021096575	0.0510178936	-0.0816573766	-0.0623707239	0.0290525768	-0.0068544732	0.0686036978	0.0614159188	0.0824984248	0.1489246208	0.0231973686	-0.1298890453	-0.1080769812	-0.0793660137	-0.0849411372	-0.1011064135	0.0107582892	0.1825043978	0.1099896283	-0.0193144394	-0.1137660561	-0.1156784143	-0.1101996645	0.1080470705	0.0498054311	0.1183369592	0.0556443148	-0.0396237815	0.0351344871	-0.1317525735	0.0248891008	0.0958346075	0.0192473535	-0.0637850127	-0.2405453558	-0.0416648841	0.0581188597	-0.0626175659	-0.0359305456	0.006485321	-0.0877436439	0.0029993991	-0.0560810459	-0.0110156139	-0.0495904652	0.0973099614	0.0273042142	0.064326742	-0.0599795908	-0.0202255246	0.1697288464	-0.1759661772	0.0341302823	-0.1237685194	-0.011816261	0.0255987406	-0.1698405838	0.287239269	-0.061953398	-0.0204366884	0.0223419845	-0.1048277902	-0.0843043344	0.1428666753	-0.077837526	-0.0336282514	0.0001765969	0.1585359886	-0.0069957773	-0.1261378323	0.0799110098	0.0913378082	0.0913442682	-0.1250385252	0.0014850568	-0.1178039912	-0.106822869	-0.1972187244	0.0556374226	-0.1015945685	0.0170008505	0.0177739501	-0.0425104316	-0.0172564937	-0.0498962143	0.003447995	0.0791523872	-0.0666620008	0.119956255	-0.0998722946	-0.0665382709	-0.0739891871	-0.1172825597	-0.2584648004	0.0408080098	-0.0561176218	-0.066920407	0.0468747099	0.0094773564	0.0878401131	-0.0212306613	0.0664061318	-0.2022561533	-0.0306578619	0.0106936689	-0.0187654466	-0.1008506788	-0.0388746874	-0.0723214661	-0.0884387096	-0.2165621722	0.03588959	0.0042104029	-0.0022345831	-0.0207601502	-0.0898256471	-0.3126928599	0.058844162	0.0073821338	0.1313108266	-0.0730436055	0.1003769634	0.1366023784	-0.0620020202	-0.008725876	-0.1684143986	0.1168415654	-0.2323797946	0.2727569794	-0.0255939322	-0.0423839565	0.0121599287	0.2773811	0.037052515	0.1262092301	-0.025128492	-0.1207965771	-0.0232711403	-0.0225102683	-0.0558205565	0.1178006533	0.1151810923	0.1108582214	-0.120537	-0.019898	0.0003959304039999	0.014529168369	-0.0785381	-0.0006519999999999	4.251039999999998e-07	0.00616823315161	0.0619384	-0.021955	0.0038363653945599	0.000482022025	-0.00319118	0.0	1.01836297924e-05	0.0	-0.00211153	-0.0001608499999999	2.5872722499999976e-08	4.458558940899999e-06	-0.00252494	-0.0003340299999999	1.1157604089999997e-07	6.375322003599999e-06
