global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05
9600.084529301206	n/a	92161622.96972837	n/a	8818.046097724091	n/a	77757936.98158707	n/a	6531.9380201771455	n/a	n/a	42666214.29943573	6566.384828100386	11155.445100355182	n/a	n/a	n/a	n/a	-0.0425973855	-0.0430436874	-0.1728808099	0.0549560439	-0.0787183096	-0.0225160555	0.0662719326	-0.1329503155	0.3182172477	-0.0872777681	0.1317640978	-0.3791420164	0.1572693817	-0.0365748985	0.1914188643	-0.0116689502	0.1353285135	-0.1245963785	0.0686783489	-0.1534937575	0.071102959	-0.1069368795	0.0654461042	-0.0028246487	0.1580797779	-0.04619735	0.1400494745	-0.0189298688	0.0118693249	-0.0782645529	0.0773386733	-0.1617629998	0.0249299674	-0.0100408485	0.0439700627	-0.1666425083	0.0204992314	-0.0422944795	0.0864943238	-0.0176793315	0.1011467282	-0.1300399025	0.1204361211	0.0387174166	-0.2604721686	0.1599057404	-0.1308523753	0.0196736535	-0.0797051433	0.0465778384	-0.2241722237	0.0214977039	-0.0130003817	0.0631202227	-0.0972102837	-0.092137611	0.1282952656	0.1744726769	-0.1615644644	0.0108145244	0.059908442	-0.0400343125	0.0643475071	0.0715048895	-0.0995632528	-0.007848149	0.047055732	0.0143984771	0.0160736536	0.0835271685	-0.043585822	-0.0594451182	0.0089976976	0.065946351	0.0394851576	-0.0919046683	-0.08817132	0.0033492214	0.0362679236	0.019230436	0.0270406796	-0.0681435714	-0.0873983287	0.060570693	0.0480711691	0.0680787732	0.0059453261	0.0112580635	-0.0124528204	-0.096765906	-0.1094436676	-0.0144782098	0.1335904406	-0.0059756341	0.0405959286	-0.1861668041	0.0628397486	-0.0883861649	0.0248287936	-0.1110394818	0.1784915981	-0.0316158879	0.0438303672	-0.1816540934	-0.1487559371	0.2393071977	-0.0049231637	0.1787039522	-0.0260195756	0.0724445436	-0.1310633061	0.0589643276	-0.1844306531	0.0838915262	-0.1469199082	0.1485349441	-0.0568537285	0.0794964248	-0.1700534272	0.1110628925	0.0119520976	-0.1119305194	-0.0132853963	-0.0578665638	0.0895311239	0.0191181379	-0.1390205182	0.0018797485	0.0157929033	0.060114911	0.0678354684	-0.1031208778	0.0231518017	0.1067039218	0.0048934387	-0.039651178	-0.0697990967	-0.0091135108	-0.0397510861	0.0757788952	0.1228723375	0.0084402892	-0.0421896669	-0.1003779747	-0.0337533934	0.0518216246	0.0002588196	0.0646216052	0.0368329114	-0.1493885881	-0.0904060248	-0.0399665591	-0.0053036069	-0.1511642554	0.0384109174	-0.0305449544	0.1059477796	-0.2624153015	0.0220536009	0.1423120554	-0.0796296654	0.0582871672	-0.0583088995	0.0253767051	-0.038670216	0.0006241366	-0.0838464765	0.1324656742	-0.0689197179	0.1577228157	-0.1931905299	0.1520744766	-0.0429204497	-0.0443996532	0.0168352367	-0.0026470308	0.1186709048	0.1186491225	0.1186128217	0.000152102	n/a	2.3135018403999995e-08	n/a	0.0513746	n/a	0.00263934952516	n/a	0.21882	n/a	0.0478821923999999	n/a	0.00207561	n/a	4.3081568721e-06	n/a	-0.000320508	n/a	n/a	1.02725378064e-07	5.33889e-05	n/a	n/a	2.85037464321e-09	0.0	0.0	0.0	0.0	0.0	0.0
9575.659971623403	-24.424557677803023	91693263.89215071	596.5590177563266	8610.786393668543	-207.25970405554835	74145642.31738731	42956.584925193485	6529.416030551372	-2.5219896257731307	6.360431672507295	42633273.70002124	6552.471671944079	11109.305811755448	1.094427	43.964245	0.1027635229999999	0.0831528	-0.0663186926	-0.0328301029	-0.1408335354	0.002872002	-0.0992517005	-0.0554334107	0.0535191936	-0.0389847467	-0.0206778195	-0.0477371963	0.0659501614	-0.1701746666	0.0323541752	0.0270922824	0.1251124029	0.0320296054	-0.0133464516	-0.1468281888	0.1694764577	-0.0474313452	-0.1237981401	-0.0959714759	0.0462326724	0.1530641363	-0.0428321631	0.0250084917	0.078143938	0.0545570473	0.0871513675	0.1766225971	-0.1262051885	-0.139641998	0.0249763249	-0.055869102	0.0562529883	-0.1237006366	0.0299988295	-0.0125742091	0.0529890735	-0.0172541195	-0.0022534998	-0.0210969463	0.1096991789	0.0805841021	-0.2509934721	0.183544136	-0.0392199878	0.0191146205	-0.1019127529	-0.1961003329	-0.1020319687	0.049582804	-0.0122663787	-0.0111625569	-0.1191853509	0.0612304294	-0.0248154131	-0.0316944882	-0.0198342056	0.1455873735	-0.0558594612	-0.2161884928	0.0358555219	0.0558144982	0.0195831563	-0.115837211	0.0339399762	0.1000138627	0.0472673722	-0.0974436251	0.0299367355	-0.1730740001	0.0211565227	0.033383964	0.0470962227	0.0323664149	-0.0447398097	-0.12874853	0.0916067252	-0.1439554024	-0.0942449396	-0.082086264	-0.105469205	-0.0672175359	-0.1543289493	-0.0002901389	0.0476207151	0.0815471433	-0.1674620502	-0.0322767811	0.0835208108	0.053143556	-0.0969763747	0.0428772102	0.0503524998	-0.0994275736	0.0912871583	0.0351671569	-0.0249556113	-0.0376527922	0.0864130378	-0.024043326	0.0211176056	-0.1662967683	-0.1835944492	0.2492021156	-0.0507435076	0.0983199683	-0.1338979484	0.0580246736	0.0240532769	0.1338818123	-0.0545543644	-0.006385025	0.0473058271	0.0013651301	-0.0145502472	0.0646404548	0.0063241311	0.0741101353	-0.088629505	-0.1468773529	-0.0535055427	-0.1401462446	-0.1811689958	-0.0424972138	-0.0501086088	-0.2219912725	-0.0200828226	-0.1013786223	0.135276055	-0.0304461436	0.0045958142	0.0795015712	-0.1033869136	0.0662392872	0.186519411	-0.0882284586	0.0968009322	-0.0742936054	-0.0341418401	0.1436866324	0.1138127911	0.0472058679	-0.0460873932	0.0055074319	0.0494566211	-0.1248182214	-0.0053269113	0.0583213565	0.0002374022	0.0631751426	0.0327323053	-0.1261533331	0.0252585622	-0.0402203485	-0.0164455479	-0.1198297636	0.1235968662	0.0940607596	-0.1472468459	0.0409084961	0.014324684	0.0679047383	-0.0959729066	0.0936932278	-0.1616011765	0.0356159272	0.0491595014	0.0850272623	-0.096677472	0.0275506051	-0.0652692383	-0.0266412344	0.0217807206	-0.1475604947	0.1186128217	0.1184168613	0.1180905004	0.00248481	0.002332708	6.174280736100001e-06	5.441526613264001e-06	0.053926	0.0025514	0.002908013476	6.509641960000012e-06	0.299318	0.0804979999999999	0.0895912651239999	0.0064799280039999	0.00196935	-0.0001062599999999	3.8783394225e-06	1.1291187599999989e-08	-0.000533192	-0.000212684	4.5234483856000014e-08	2.8429370886400004e-07	2.47046e-05	-2.86843e-05	8.227890664899998e-10	6.103172611600001e-10	0.0	0.0	0.0	0.0	0.0	0.0
9552.786720392618	-22.87325123078517	91255734.12530956	523.1856218666154	8566.67564475667	-44.11074891187309	73387931.6024671	1945.7581695663127	6531.745564962422	2.3295344110492806	5.426730572262719	42663700.125406265	6551.963667043741	11131.549859357609	1.044143	41.94426	0.0477919213	0.0297226	-0.0701093952	0.0040665622	-0.1015428122	-0.0343305206	0.0230979696	-0.0302878254	0.0400381298	0.0807665164	-0.0269176896	-0.0513838356	-0.0553376063	-0.0690986282	0.0005428692	0.0556011293	0.0808829704	0.0383629019	0.0886985956	-0.0491202894	0.0047647617	0.05846086	-0.0511987095	0.0322338369	0.0516460036	-0.0426561825	0.0181566521	-0.0923860519	0.0347146552	-0.0723245377	0.1756409051	0.0677130457	0.1689157536	0.0826241843	0.0074469929	-0.0606930622	0.0586606233	-0.1206096742	-0.0588525649	0.0001141131	0.0532557627	-0.1602466591	-0.1891076515	-0.0119425025	-0.0102537246	0.0667876861	-0.177553935	0.0621353342	0.1002439887	0.0719096023	0.1331994925	-0.1359341684	0.0863266934	-0.0002826382	0.0185798574	-0.0051068598	0.0893679466	-0.0387061487	-0.0755566076	-0.0715173003	0.1616822733	0.0064243662	-0.0527683319	0.0028782974	-0.0987625521	-0.1089776064	-0.0572870724	-0.0123316492	-0.0372096273	0.1766593268	-0.0091211627	0.0395526325	-0.0231276352	-0.0634426658	0.0388835897	-0.0704330426	-0.0036832946	0.0911817063	0.1780387577	-0.0925677997	0.0172680507	0.0793063591	0.1608377133	0.0204546655	0.1287612415	-0.0749816666	-0.1429126298	-0.0360066781	-0.0715913736	0.0396488211	-0.1855642918	-0.0449015497	0.0811154169	0.0051922166	-0.0456325361	0.0446415463	0.0345058911	-0.1262016475	-0.0241591157	0.1404626501	-0.0270006532	0.0712470546	0.0295418193	0.0869660235	-0.0435111665	-0.1376822723	-0.0985891767	0.135297348	0.0025129517	-0.232578894	-0.077137042	0.0217285353	0.0067450403	0.0833343507	0.117825871	0.0259468404	0.0142050222	-0.1204096852	0.0728842586	-0.0960057921	0.0680813839	-0.0622249555	-0.0776177075	0.0308383365	0.0558480715	0.1085704952	0.0517597877	0.080944803	0.0481638816	-0.1511255388	-0.0822908502	-0.0283613795	0.026686367	0.0327883969	0.0583657916	-0.0230391412	0.0858699194	-0.0939801267	0.1426167686	0.0838886253	-0.0526224797	-0.1290787664	-0.0038019685	-0.1114868227	0.1106256603	0.2658551437	-0.0326461964	0.1096568218	0.0329343951	-0.0538167883	0.0999264998	0.0571169177	-0.1238348257	-0.0069113549	0.0485281417	-0.1100369034	-0.0042636289	0.0070412151	0.0090672431	-0.1262413483	0.047335534	-0.0742029483	-0.1246823227	-0.062491669	0.0149995918	0.0696164303	-0.0020884162	0.003197029	-0.1040708533	0.0152335675	-0.0896105723	0.079402034	-0.0321112857	0.0158067344	0.0582480393	0.0246506008	0.0902900391	-0.0021364208	0.118496684	0.1179527935	0.1170481578	-9.51563e-05	-0.0025799663	9.05472142969e-09	6.65622610913569e-06	0.0620674	0.0081414	0.00385236214276	6.628239396e-05	0.32743	0.028112	0.1072104049	0.000790284544	0.00199917	2.982000000000028e-05	3.996680688900001e-06	8.892324000000166e-10	-0.00060175	-6.855799999999992e-05	4.700199363999989e-09	3.6210306249999993e-07	-5.60885e-05	-8.079309999999999e-05	6.5275250076099985e-09	3.1459198322499996e-09	0.0	0.0	0.0	0.0	0.0	0.0
9528.893537451597	-23.893182941021223	90799812.0480868	570.8841910531075	8578.219671365801	11.544026609131834	73585852.73020719	133.26455035234383	6520.855444086219	-10.890120876202673	118.59473269830526	42521555.72266888	6545.723505577315	10978.148708014052	1.026988	41.255146	0.0680313513	0.0453435	-0.0645163043	-0.0321902249	-0.0829666591	-0.0065577851	0.0820311711	-0.0580973982	-0.0467259241	0.0142103767	0.084673758	-0.0705681585	-0.1230604954	0.0254695009	-0.0181874228	0.0494870762	0.0246716706	-0.0077969088	-0.0414294212	-0.040949236	-0.0019240207	0.0399852417	-0.0803057367	-0.0351427291	-0.0549013798	0.1060517855	0.0009819584	0.0667294625	0.1408590215	-0.1154704497	0.0151787445	-0.0715177753	0.0746338139	0.0228573655	0.0266617166	-0.0636420833	0.023937957	-0.0559366965	-0.0948761427	-0.0246780505	0.1195660308	0.0765859125	-0.0563190635	0.1294773864	-0.0852954965	0.0865680563	0.1031229446	0.1052819282	-0.0262013806	-0.0347305468	-0.053048735	-0.0422941202	0.0976206593	0.1224648326	-0.0371330255	0.0211136787	0.1043750049	-0.2318364505	-0.0396914731	0.0158019194	-0.0698272454	-0.1284977231	0.0043690197	-0.01764104	0.1822285361	0.0616501504	-0.0095861188	0.1267137261	0.0521690065	0.0817565437	-0.069945647	0.157667347	-0.1206120159	0.0341851806	0.2915042337	0.0703206416	-0.0179676558	0.0703000351	0.0207677109	-0.0783054365	0.0524654453	-0.0585501257	-0.017050314	-0.0609750791	0.171393866	0.1106862605	0.0532841501	0.2071463968	0.1849463981	0.0120099916	0.0830040234	-0.0139837583	0.051626356	0.0698324929	0.0098342245	0.0630649702	0.0057057491	-0.1089237325	-0.072646505	-0.0874712709	0.0646306178	0.1263416646	-0.005254494	-0.0514192203	0.0036049892	0.1154885004	0.0210134325	0.1068219728	-0.0092829217	-0.0137358603	-0.0793297965	-0.0972486098	0.1063222031	0.1137837833	-0.0641044326	-0.1185381998	-0.0475213579	-0.0837225417	0.0792628806	-0.080126704	-0.1460746559	-0.0107734605	0.0274500735	0.0841432058	-0.0677441765	0.0471998196	0.1988621742	-0.0621248761	-0.1171008381	0.0313725869	-0.188109903	0.0625602142	-0.0034766832	0.1583583789	-0.0675211319	0.1279624347	0.1724445607	0.1024714336	0.0589569014	0.1005957016	-0.1104387803	-0.175934774	0.0375477455	-0.1164261594	-0.0834987938	-0.2182870603	-0.0353217629	0.0344500924	0.092262614	-0.1099927077	0.0248622302	0.0935420474	0.1285997169	-0.1334828122	0.0594162298	-0.0904856251	-0.0037953655	-0.0365507352	-0.0310069182	-0.0547567967	-0.0577706277	-0.0420543546	0.0202309433	-0.1456530205	-0.0151859894	0.0824336042	-0.0096024059	0.0531858516	-0.0004486373	0.0915599273	-0.1061281432	-0.0453608458	0.0196290926	0.0500157205	0.0494172324	-0.0803212481	-0.0041616905	-0.0512320461	0.1183225485	0.1172578276	0.115490384	0.00122574	0.0013208962999999	1.5024385475999998e-06	1.7447670353536898e-06	0.0824998	0.0204323999999999	0.00680621700004	0.0004174829697599	0.366032	0.038602	0.133979425024	0.001490114404	0.00188163	-0.00011754	3.5405314569e-06	1.3815651600000042e-08	-0.000584206	1.754399999999998e-05	3.077919359999993e-10	3.41296650436e-07	-7.452559999999998e-05	-1.8437099999999983e-05	3.399266564099995e-10	5.554065055359998e-09	0.0	0.0	0.0	0.0	0.0	0.0
9528.159453153672	-0.73408429792471	90785822.56472167	0.5388797564596144	8574.02416717577	-4.195504190030988	73513890.41931416	17.602255408567576	6519.377625006292	-1.4778190799270303	2.1839492329963752	42502284.61743268	6543.488173728404	10854.175543027706	1.085052	43.587612	0.097072735	0.0575705	-0.0742458733	-0.0358765583	-0.1240102517	0.0351681332	-0.0044864976	7.22997e-05	-0.0348212528	-0.0914156806	0.0361145189	-0.0135136201	-0.0094477432	-0.1104665887	-0.0398697652	0.0660076572	0.0422210963	0.1084168447	0.1419078377	0.0558588684	-0.1080037073	0.1361899376	0.1166314387	0.045175155	-0.0472309381	0.0882737804	-0.074791858	-0.0085063401	-0.0516156838	0.0726081372	0.1797363809	-0.0976232915	0.0085939188	0.1796416665	0.1841722641	-0.052682925	0.0366651447	-0.1720035065	-0.0149907298	-0.0725288546	0.038340882	0.0528408192	0.1865584829	0.1629496876	0.0658761601	-0.1953285325	0.0562366579	0.1168511116	-0.0381595552	0.0479464172	0.0676168555	0.2161939125	0.0396094325	-0.1415460616	0.241118301	-0.1344844667	0.0385103947	0.1353552908	0.0030692796	-0.107401126	0.016896166	-0.1253702127	-0.0532059947	-0.0139837485	-0.0176374888	0.0191408981	0.1595021466	-0.0796690934	0.1410788849	0.0801628617	-0.0479159648	-0.1649621925	0.0323574865	0.1411113405	0.0800142321	-0.110664423	0.0398182414	0.0866976547	0.0912065655	0.0982665793	0.0229447686	-0.1571265845	-0.131124272	-0.0729759206	0.0358549506	0.0852324441	0.2158783574	-0.0439422391	0.0818999756	0.128909714	-0.0104680324	0.1272782725	0.0527497694	-0.0273887227	-0.0225680795	0.0387875063	0.0139211271	-0.1659164874	0.090915353	-0.0806707596	-0.0431948565	0.0160687843	0.0601290389	-0.1076312704	0.2036003338	0.0720719875	-0.1606000766	-0.1084566104	-0.0312373899	-0.077341731	0.0359305321	-0.0860738528	-0.1182826497	-0.3516443594	0.0024881376	0.0227713354	0.168768819	-0.0791710215	-0.1781038259	0.0170959157	0.0240966976	-0.0762843077	0.0561917824	0.057975234	0.0491635089	0.0536437471	-0.1398550399	0.0700436351	-0.0144617892	-0.0656262173	-0.1824484977	-0.1670479665	-0.1684159143	0.0984006838	-0.0685022242	0.0651753809	-0.0645219652	0.097743212	-0.0865482587	0.0901508312	0.054615867	-0.101749756	-0.103623987	0.0233670214	0.0055115157	-0.2148411843	-0.0314039429	-0.0652004629	0.0077953074	0.0092445163	0.0627241564	-0.1198440213	0.0786317922	0.1492241148	0.0496484762	-0.141728203	0.0368293511	-0.0775450346	0.0801298147	-0.1306842957	0.0406826618	0.0635712972	-0.0096960573	-0.05445825	-0.0907983628	0.1049272865	0.0181977452	0.0370845882	0.0119691872	0.0671055089	0.1027070515	0.0484866996	0.1693797882	0.1161391021	0.0783827892	0.036138182	-0.0935665541	-0.100320376	0.1180905004	0.1163333239	0.1134240387	0.0133153	0.01208956	0.00017729721409	0.0001461574609936	0.0916901	0.0091902999999999	0.0084070744380099	8.446161408999998e-05	0.31014	-0.055892	0.0961868196	0.0031239156639999	0.00169204	-0.00018959	2.8629993616e-06	3.594436810000004e-08	-0.000533192	5.101399999999994e-05	2.602428195999994e-09	2.8429370886400004e-07	8.28879e-05	0.0001574134999999	2.477900998224999e-08	6.87040396641e-09	0.0	0.0	0.0	0.0	0.0	0.0
9557.945386654945	29.785933501272662	91354320.01427856	887.2018345422373	8513.183865047211	-60.840302128559415	72474299.52010016	3701.542363094392	6515.6874465131605	-3.690178493131498	13.617417311170252	42454182.90064919	6536.421328050503	11018.662201272926	1.11141	44.646446	0.1479087695	0.0753705999999999	-0.0382339093	-0.019017166	-0.1726138058	0.0681324985	0.0403532978	0.0462967393	0.029450761	0.0128431794	-0.0392928003	-0.0403428991	0.0215881602	-0.1937723439	-0.1583565403	0.0848567809	0.01448987	-0.0633581123	0.1251211374	0.1844660822	-0.1007595224	0.0425371126	-0.1654596166	0.1269473544	-0.0374029445	-0.0552277981	-0.1670407935	-0.1685366372	-0.024194002	-0.2195990109	0.1350948236	-0.0772909645	-0.227973915	-0.2539993552	-0.0733725947	-0.0222976981	-0.0162425991	-0.1873248073	0.1370492228	0.0920459006	0.0696266066	-0.2024864034	-0.1825452703	0.1050190014	0.1266959867	-0.1319191178	-0.0188629403	0.0845155438	-0.015040742	0.1709981629	0.0300037336	0.2282620796	0.0180092007	-0.1087585884	0.0462547715	0.2155401282	-0.0860428946	-0.0022585123	0.0161394668	0.2008249543	-0.1394724896	-0.0382637385	0.0647131321	0.0159152266	-0.1568052473	-0.040581335	0.1548640032	0.0650251642	-0.0007431417	-0.3305113968	0.0161802653	-0.0572200033	-0.2310375245	0.0373857907	-0.1018708817	0.0012845745	-0.0188046758	0.0943647456	0.0471879587	0.0181664981	0.0487997893	0.1091863552	-0.0715371967	0.1051329742	0.0037179997	-0.1161748405	-0.0103630278	0.0131686996	-0.07024306	-0.0438079644	0.0560391499	0.0945059891	0.0472700613	0.0442738595	0.0347034058	-0.0105944472	-0.0143453946	-0.1626254332	0.1339764491	0.14354685	0.1063573586	0.040314327	0.0448013829	0.0715953337	0.2609465262	-0.1375111297	-0.0198036246	0.0746559928	-0.0443237233	-0.2795248797	0.2210680954	0.0295120414	0.0232839391	-0.1071859458	-0.1728864505	-0.037499809	0.0226452908	0.3091120004	0.0642058252	0.054546404	-0.0632334402	0.0195212612	0.195553804	-0.0393027204	0.0423567649	0.1138454985	-0.0203334393	-0.0537952456	0.199339315	0.1827491333	0.1339500228	0.1257757738	0.0729633431	0.1608095647	0.0568460261	-0.0900728573	-0.059067865	-0.1607267142	-0.0836706911	0.0447545308	0.0428029808	-0.0063380348	-0.0108264591	-0.0536008858	0.0400673312	0.0140946932	0.0271135667	-0.1143238857	-0.0834304458	0.1192774188	0.0215025008	0.0591534412	0.1091358068	-0.1076658712	0.0138147011	-0.1734617981	0.0827512926	-0.033966576	0.0040597569	-0.1387774425	0.1219571318	0.1170095515	-0.2033645569	-0.1237607378	-0.0332334131	-0.0390929603	0.0324340291	0.0429305323	-0.028104274	0.0961031991	0.0040711917	0.0218979914	-0.078268281	-0.1869159682	0.0040000342	0.0370994678	0.0108191194	-0.0079966167	0.1178006533	0.1151810923	0.1108582214	0.0197377	0.0064224	0.00038957680129	4.124722176e-05	0.0362491	-0.055441	0.0013139972508099	0.003073704481	0.262423	-0.047717	0.068865830929	0.002276912089	0.00133696	-0.0003550799999999	1.7874620416000003e-06	1.2608180639999986e-07	-0.000204	0.000329192	1.0836737286400004e-07	4.1616e-08	5.9251e-07	-8.229539e-05	6.7725312152520995e-09	3.510681001e-13	0.0	0.0	0.0	0.0	0.0	0.0
9601.896863680911	43.9514770259666	92196423.38076532	1931.7323327640693	8605.073944330588	91.89007928337742	74047297.58739719	8443.786670705387	6522.310542156289	6.623095643128181	43.86539589802349	42540534.80832306	6545.017362770827	11300.334173454725	1.129078	45.356171	0.1161806555	0.0677158	-0.0378040921	0.0978453452	-0.1325686104	0.0638606283	0.0770703098	-0.0536761874	0.014070197	0.0433611446	0.1461730184	0.066248505	-0.0865119784	-0.0346887186	-0.1895186059	-0.0547229393	-0.0117561907	-0.1206396444	-0.0384835391	-0.0625693351	0.0424594118	0.0776179792	-0.0061923418	-0.0166240051	-0.0988675031	-0.0441165663	0.1204720504	-0.0452861468	0.143070792	0.0396904218	-0.1114317598	0.2557729203	-0.0840272435	0.1256724573	-0.0322938886	-0.0563587389	0.0369518366	-0.0856121734	0.1072051729	0.0490689027	0.0313107911	0.0953004126	-0.0066815445	0.1073901668	0.1623666832	0.09500189	0.0479478702	-0.1266142993	0.1498542126	0.0077200308	0.0658625832	-0.1964439417	-0.1113785007	-0.1269069421	-0.1339008406	-0.0558204388	-0.1492902945	0.0277748918	-0.2658262595	-0.1062438111	-0.0695081549	0.1563763996	0.0512656278	-0.048503033	0.1309066779	0.0028385286	0.2140933257	-0.0594745548	-0.0677688839	0.0455770377	0.0270820727	0.037379726	-0.0950794096	0.1354736364	-0.0167033758	0.0200646304	-0.0623230619	-0.0242410434	0.0777277407	-0.0706011492	0.0462685273	0.0042453818	0.1223038596	0.1071833177	-0.0905349539	0.0757329668	0.0849733998	-0.121534433	-0.0099206367	0.0837441343	0.0956970465	0.0133306912	0.0503339461	-0.052078853	-0.0502844275	0.0560572185	0.0341911987	-0.0903813159	0.0644892295	-0.0429350834	0.1422803921	0.014041293	-0.1468542955	-0.1068311245	-0.0691639728	-0.1440506491	-0.013498082	-0.1439023327	0.0907303386	0.0286999686	-0.1358751026	-0.0005951115	0.0186133161	0.1560715518	-0.0430185174	0.0201649923	0.1901461371	-0.0340519947	0.1430924211	0.2450867813	0.1227006428	-0.0784417173	0.0150357144	0.0319611231	-0.0778603946	-0.0552521545	-0.1766902936	-0.2369290954	-0.016996163	0.0153897642	-0.0825762015	-0.1227622514	-0.1082016777	-0.0052931588	0.0950052192	-0.0923226862	0.1468225114	-0.0735953695	0.0131834267	0.0410852671	-0.013529276	0.0295010118	0.0279447764	0.0246359314	0.1492433519	-0.0388929766	0.0550986609	0.0826878525	-0.1574267674	0.2011405012	0.0749082729	0.1158086023	0.1792172852	0.0188433421	0.0420241133	-0.1378268566	0.001721199	0.0730571825	-0.021985273	-0.1065794	-0.0234809806	0.149649367	-0.026969031	-0.1218131968	0.0449122983	0.0367855976	0.0686588409	0.101666201	0.0218072134	0.0706716919	0.0123527043	-0.0699459896	0.1501840675	0.0225543391	-0.1396225427	0.0298656925	0.0396218458	0.060823373	0.117453149	0.1138033884	0.1078042307	0.022684	0.0029462999999999	0.0005145638559999	8.680683689999993e-06	0.0239607	-0.0122883999999999	0.00057411514449	0.0001510047745599	0.330039	0.067616	0.108925741521	0.004571923456	0.00181681	0.00047985	3.3007985761000004e-06	2.3025602250000002e-07	-0.000315983	-0.0001119829999999	1.2540192288999997e-08	9.984525628900001e-08	-7.417359999999998e-05	-7.476610999999999e-05	5.589971204532097e-09	5.501722936959998e-09	0.0	0.0	0.0	0.0	0.0	0.0
