global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05
9613.982394566505	n/a	92428657.4830347	n/a	8767.151911760491	n/a	76862952.64388564	n/a	6491.223747190356	n/a	n/a	42135985.73608801	6522.04696824261	8722.108865171049	n/a	n/a	n/a	n/a	-0.0995539559	-0.0044452864	0.1436685286	-0.035584379	0.1536687016	-0.1393794479	0.0103858513	-0.1985672956	-0.0260629141	0.4067256682	-0.074565215	0.0131520753	-0.1610271955	0.1469806375	-0.069225806	0.1474307705	-0.035183411	0.0745971428	0.092423365	-0.0052937842	0.1239349236	-0.0166052321	0.0725779704	-0.0932286178	0.0089414622	-0.0648036868	0.1940953465	-0.0505377393	0.0041420191	-0.0861472543	0.1526416155	-0.1136354037	0.0841608009	-0.1130082144	0.0640615337	0.1029922386	-0.0534778974	0.0742039355	0.1361262233	-0.0362346748	0.0188866157	-0.0653550064	0.0687012326	-0.0467992182	0.0015598178	-0.0735078949	0.0408227776	-0.0120793628	0.0253404635	-0.1232646368	0.0598814774	-0.0017307174	0.0247364378	-0.0274439482	0.1159224399	-0.015138942	-0.0560537728	0.0350899916	-0.0172096924	-0.0075896274	0.0672709516	0.1352984596	-0.1867989308	0.0554230901	0.1162241258	-0.1273669493	-0.0209135542	-0.0233582229	0.0335647914	0.033543536	0.1237768327	-0.0007469797	-0.0897625669	0.01478776	0.0448189376	0.0554562247	-0.0458313733	-0.1364502571	0.1352306625	0.0448238281	0.009902713	0.0250500742	-0.0252194706	-0.0256768485	-0.0216577833	-0.0656716443	0.0586777189	0.0639996062	-0.0207236254	-0.0260411357	-0.0417436005	-0.0934820778	0.1328051197	0.0054527187	0.0256810654	0.0106039433	-0.088489986	0.0765367077	-0.0408019492	-0.1425261034	0.0039211628	-0.1232215406	0.0059443087	-0.0108187187	0.0568844983	-0.0236654191	-0.0217272419	0.1188607638	-0.0642895417	0.0581138656	-0.0864866485	0.030604157	-0.0116505666	0.0580186447	-0.0108040743	0.0003919315	-0.1954011097	0.1083991902	-0.1504779458	0.1184030239	0.0064587966	-0.0540207854	0.0497986515	0.0142098964	0.25139432	-0.0810288871	-0.1260437939	0.0759596395	-0.0508689709	-0.0636805025	-0.0310218456	0.0899890176	-0.0773706081	-0.0172813881	-0.0368586756	-0.0808520085	0.0956756657	0.032308691	0.0025367932	-0.0914755983	-0.0980405269	-0.1006348127	0.0561391138	0.0206809749	0.0293926603	-0.0482131363	-0.001095823	-0.0318869884	-0.0940591258	0.0031126105	0.0173471216	0.0833125162	-0.017285078	-0.0891797998	-0.0241672809	-0.0766092598	-0.0888547628	0.0962801933	-0.0188731157	0.0887955147	-0.0649698885	0.0356627967	-0.0438173895	0.0373598278	-0.0337409099	0.2196626506	-0.0876263952	0.041128414	-0.0725596617	0.1991348969	-0.0287723122	0.0463828983	-0.0272520326	0.0123249506	-0.1204585327	-0.0070588471	-0.0824537487	0.0316148127	-0.0420260849	5.22792e-05	0.1186709048	0.1186491225	0.1186128217	0.0073223	n/a	5.3616077290000005e-05	n/a	-0.00133164	n/a	1.7732650896000002e-06	n/a	0.0409063	n/a	0.00167332537969	n/a	0.000264164	n/a	6.9782618896e-08	n/a	-0.0	n/a	n/a	0.0	0.000476012	n/a	n/a	2.26587424144e-07	0.0	0.0	0.0	0.0	0.0	0.0
9590.38960412328	-23.592790443224654	91975572.75887588	556.6197608979128	8586.787949661146	-180.36396209934537	73732927.29244587	32531.158824174094	6492.368117923909	1.1443707335529325	1.3095843758124768	42150843.778634846	6509.32012597692	8829.062955840342	1.006182	42.130596	0.02594656	0.0170033	-0.0870103176	0.0126951686	0.1054363215	-0.0056383906	0.0618094567	0.0443934691	0.0469314384	-0.1018040164	0.0279161598	0.1601815262	-0.048897223	0.055665302	0.0301888684	0.0830939166	-0.0264169612	0.1408191189	0.2300821596	-0.0230106467	-0.1326896454	0.0920535253	-0.0420367822	-0.1226804306	0.0607154342	-0.0883917497	0.0090218526	0.1559475999	0.0618007922	0.0100208741	-0.0517291028	-0.1030083742	0.1098232355	-0.059292701	-0.0645597642	-0.0381551653	-0.1314452894	0.1182224427	-0.0573454496	0.0616244978	0.1782779706	0.0021620873	0.0156407725	0.0560065105	0.0404327958	-0.0297818244	-0.0001161633	-0.1158000842	-0.0136693752	0.0608027446	-0.0269645716	-0.1615234235	-0.139563098	0.179732368	0.0061643596	-0.0131978565	-0.0942563736	0.0759905033	-0.016279628	-0.04041917	0.0134301335	-0.0467007911	0.0221954055	0.1378420961	-0.1623234332	0.1231172928	0.0503488826	0.0173084478	0.0483245006	-0.224350281	-0.0476527779	-0.0675712873	0.073434868	-0.0184251657	-0.1469632567	-0.0262432938	-0.1021379441	0.0290909636	-0.0128956614	0.0714562738	-0.016552306	-0.1044919005	-0.0919668365	0.0365690998	0.0251031071	0.0079693808	0.0185868952	-0.0278132817	0.0654410669	-0.0047883392	-0.1818175612	-0.039750957	0.0696116062	-0.0476357481	0.0194744384	-0.0472604856	0.0383865466	0.0209222225	-0.098755682	0.0734558518	-0.0344186759	-0.1729184038	-0.0929237776	-0.0458767008	0.0782269108	-0.0521243902	0.0320246648	0.044493343	-0.0550486354	-0.0229138281	-0.123525383	-0.0210558175	-0.1738861008	-0.029400131	-0.0373972775	-0.1304452286	0.1986448395	-0.0406064722	-0.1425081455	0.1712577915	-0.02170625	-0.0657142577	0.1067328063	-0.028489036	0.1709301987	-0.0393284471	0.1463440102	0.0052744751	-0.0773929614	-0.1110989138	-0.0023326045	-0.0377703576	0.0632648717	0.0439282149	0.026758579	0.0498859091	-0.036096638	0.0060726821	-0.0399905647	0.1190801879	-0.0163358061	0.0158269789	0.0476332293	0.0630587316	-0.0416926775	0.0102833054	-0.0050092738	-0.1230792517	0.0011126948	-0.0501639633	-0.0954104538	0.0611091707	0.1212035964	0.0223377195	0.040471672	-0.1069889405	0.0392611824	0.028419235	-0.0865424278	0.0947004788	0.0071075373	0.1016166397	-0.0697477515	0.0408701486	-0.1181698017	-0.0209437496	-0.0167075674	0.1436113591	-0.1510087434	0.1637288574	-0.0982252341	0.2033248896	0.0120032929	-0.0855065977	0.0317236637	0.0508130073	-0.1083158699	0.0128301371	0.0290025669	0.0773537444	-0.0227609737	-0.0056944832	0.1186128217	0.1184168613	0.1180905004	0.0107266	0.0034042999999999	0.0001150599475599	1.1589258489999993e-05	-0.00153925	-0.00020761	2.3692905625e-06	4.31019121e-08	0.0428152	0.0019088999999999	0.0018331413510399	3.6438992099999926e-06	0.0	-0.000264164	0.0	6.9782618896e-08	-0.0	0.0	0.0	0.0	0.000620363	0.0001443509999999	2.0837211200999996e-08	3.8485025176900006e-07	0.0	0.0	0.0	0.0	0.0	0.0
9583.309801252835	-7.079802870444837	91839826.74678864	50.12360868435896	8537.291047691448	-49.49690196969823	72885338.43299253	2449.9433045979163	6503.255799885599	10.88768196168985	118.54161849890654	42292335.99874569	6518.380836308708	8766.08925779237	1.015669	42.527821	0.08857755	0.0493714	-0.1079269901	0.0171791908	0.1295319105	0.077240484	-0.0919972516	0.0815585439	0.0140446722	-0.0410760879	0.0384503853	0.0634181492	-0.0200104117	0.0240995549	-0.0556067606	-0.0123792603	0.0648843696	-0.0282184913	-0.0046221568	0.1220588667	0.0230411258	0.1242988384	0.1524210281	0.0090180575	-0.0529291867	-0.0304001198	0.077410841	0.0460228871	0.147164056	0.0694218749	0.0248602708	0.0306409139	-0.1058832759	0.0662602933	0.0744990574	0.026059264	-0.0157122232	0.1214939469	-0.0595867058	-0.04983034	0.0504675684	0.0433053788	0.0239126466	0.157855957	-0.0737122492	-0.0237596236	0.0455954483	0.069689953	-0.1214766597	0.033345656	-0.034018505	-0.1218962006	-0.0637855727	0.1855327162	0.016388208	-0.0276688094	-0.2502274542	0.239269389	0.0001243931	-0.1123443915	-0.0847155293	0.1096751081	-0.1081692371	0.0036222287	0.1218374955	0.0055393864	-0.0984892906	-0.016460027	-0.0808324673	-0.0489047777	0.0631962664	0.093239262	-0.0844075346	0.1084018966	0.0068410103	0.0270017193	0.0387541731	0.0230333838	-0.0306966512	0.1418669359	-0.0517836517	-0.1457712198	-0.078403896	-0.1157336756	-0.0961817016	-0.0300134521	-0.0326767022	-0.0252991941	-0.0268244029	-0.0503028568	0.0954628377	0.2268742962	0.1716303069	0.0683739798	-0.0659484506	0.0006118628	0.0004544494	-0.0185192398	-0.1150736432	0.074683286	0.0066844508	0.022408552	-0.0828205108	0.0924616826	0.1450436549	-0.0019954252	-0.0413021739	-0.0404002988	-0.0521945817	-0.1044190675	0.0316639248	-0.0210062629	-0.1223704081	-0.0051180611	-0.0214587972	-0.208730974	0.1540473594	-0.1893976232	0.0115585962	0.0074584285	0.1803479532	-0.1247571055	0.0065774425	-0.1055011991	0.0566669255	-0.1446806364	-0.1925919613	-0.0038464863	-0.0935223894	-0.0262877388	-0.039150107	-0.0297358393	-0.0389908482	-0.0858929331	0.0814446855	-0.0823276295	-0.0746468581	-0.0346006823	-0.1891884582	0.1107555307	-0.0422132624	0.0346796799	0.0270009012	0.1124234371	0.0770777956	-0.0633129855	0.0372358467	0.0897583755	0.088020513	0.1171492626	0.0979127676	-0.1414403393	-0.1140168331	-0.0502673017	0.1064527539	0.030171518	0.0600649342	-0.006588321	-0.1138359296	0.1044337803	0.0707239848	0.0417769727	-0.0030835771	-0.0144535506	-0.0069380361	-0.0635378152	0.0261268184	0.0422642827	-0.2033998822	0.1554775633	-0.0919788899	0.1763160328	0.0131879184	0.0353659908	-0.0572069213	0.0546618178	-0.1477913704	-0.0491401619	-0.0169105647	-0.0476724609	0.1008745023	0.0659763956	0.118496684	0.1179527935	0.1170481578	-0.00806715	-0.0187937499999999	6.507890912250001e-05	0.0003532050390624	0.0134367	0.01497595	0.0001805449068899	0.0002242790784025	0.0793165	0.0365013	0.00629110717225	0.00133234490169	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.000254232	-0.0003661309999999	1.34051909161e-07	6.463390982400001e-08	0.0	0.0	0.0	0.0	0.0	0.0
9549.442218841814	-33.86758241102143	91191846.69099846	1147.013138367328	8496.537602544871	-40.75344514657627	72191151.23145895	1660.843291315001	6499.756224221798	-3.499575663800897	12.24702982666749	42246830.97431	6515.028164981572	8741.123968645688	1.071037	44.846214	0.18492355	0.118181	-0.1032335811	0.0272391399	0.0535378682	0.0274924908	-0.0305548435	-0.0502874083	-0.1347295156	0.1264086694	0.0520649909	-0.075707362	0.0596402632	0.0217016514	0.0572627201	-0.0395731294	0.0633668318	0.049943387	0.0125718799	0.0526711148	-0.0447850366	-0.0623717496	-0.0389387689	0.0251759259	0.0992109831	-0.0370161736	0.100031329	0.0075267578	-0.0167117682	-0.049751432	-0.0216046048	0.0159997908	0.0545949087	-0.0558153838	-0.1449513522	-0.0640880202	0.0837138326	0.0823572376	-0.0269789321	-0.0389218026	-0.1117630071	-0.0131176387	0.1691687543	0.076972538	0.0118428548	-0.0775624329	0.048157014	0.0446653653	-0.0732875128	0.0244772707	0.007754012	-0.1441210264	0.0976257544	-0.0894028404	-0.003502589	0.071916624	0.1303157161	0.1050090976	0.1337381026	0.067458116	-0.1317846446	-0.1693175859	0.0101176493	0.01958566	-0.1673280199	-0.176354191	-0.0440460842	0.0487813202	0.1185405083	-0.0205212332	0.0675057369	-0.09323322	-0.0521618934	0.0601438045	0.0423501062	0.0254179782	-0.0219229121	0.1513133118	0.0769161847	-0.0869796772	-0.0240095284	0.0476711952	0.0626227606	-0.1145316545	-0.1418920394	-0.0815465054	-0.2258062333	-0.0153974148	0.0054947563	-0.0220721706	0.0948408833	0.0773777096	-0.0151350064	0.0463222941	-0.077753724	-0.1210774444	-0.0307643894	0.0427746723	-0.0816806642	0.0460837272	0.0284236909	0.1162740942	0.1342580875	0.0359008285	0.0890434934	0.0044080488	-0.0911532739	0.0410263051	-0.1384882272	-0.0398991569	-0.0494337541	0.0003424251	-0.0526650902	0.0013340009	0.004419902	0.0276717343	-0.0822073696	-0.1655202104	-0.0746621148	0.1724665543	0.0271609213	0.1439003545	-0.0796535323	-0.0196455298	0.0577516753	0.1527484509	0.013206586	0.1291125407	0.0681836006	0.0922386473	0.1559118714	0.0003236722	0.0975856545	0.0449403375	-0.1230840707	0.0303502249	-0.0544786128	-0.1179382105	-0.0995845354	-0.0488349887	-0.1008435188	0.0453445863	-0.0632850649	-0.0732015604	0.1264947403	-0.155199295	-0.1068897145	0.0665244387	-0.0980609017	0.0436061779	0.035406957	-0.1586347078	-0.1657579155	-0.0353549061	0.035682951	-0.0612674696	0.0717789276	0.0684076275	-0.0940315584	0.0035607926	-0.0211030846	-0.0007253231	0.004798047	-0.0076729467	0.1411927147	-0.0944348078	0.0124040028	-0.0035230998	-0.0654771184	-0.0157793654	-0.0924538373	0.0733342358	0.0715274665	-0.0213957686	-0.1866741457	0.1164841185	-0.0337188143	-0.0183647972	0.0643283172	0.1556296077	-0.1511659853	0.0466716418	0.1183225485	0.1172578276	0.115490384	-0.00611535	0.0019518	3.7397505622500006e-05	3.80952324e-06	0.0459571	0.0325204	0.00211205504041	0.00105757641616	0.044396	-0.0349205	0.001971004816	0.00121944132025	0.00186172	0.00186172	3.4660013584000003e-06	3.4660013584000003e-06	0.000151642	0.000151642	2.2995296164e-08	2.2995296164e-08	0.000551487	0.000297255	8.8360535025e-08	3.041379111690001e-07	0.0	0.0	0.0	0.0	0.0	0.0
9555.329901753486	5.887682911672528	91304329.5313443	34.66481006840069	8479.744787132995	-16.79281541187629	71906071.65490921	281.99864945734987	6510.774348382005	11.018124160206751	121.39906000973176	42390182.615549125	6526.392992371782	8671.300698163017	1.106025	46.311211	0.13104353	0.0684822	-0.0943263876	0.0213387937	0.0580328391	-0.0612929782	0.018445801	0.0276774642	-0.1014534286	0.1001558975	-0.0847653012	-0.0224679283	0.0178124007	0.0770045705	0.0910691572	-0.0268148523	0.0616547238	0.1585166689	0.0962240419	-0.099725863	-0.1581229411	-0.0913006662	-0.0189292361	-0.0038332544	-0.022581462	-0.0728778872	0.0029381144	-0.1468716249	0.0290264156	0.1386873279	0.2105933501	0.0785756804	-0.0443773832	0.0329799131	0.0511812588	0.1032362397	-0.0506528808	0.0785592135	0.1106138424	-0.0250239418	0.0410081862	-0.0892657834	0.0484508955	0.0147578405	0.0272384201	0.0369543509	0.0403058171	-0.1239041949	0.082958392	0.0082645674	-0.0125047646	-0.0265056755	-0.0907102114	-0.14189738	0.1213627019	0.1115193037	-0.004566332	-0.0234426686	-0.04791583	0.0370572987	0.0294333878	0.0366637071	-0.0284973409	0.0912341457	0.0673051933	0.0069605117	-0.1606632082	0.0562644286	0.1505909833	-0.0092302695	0.0035821828	-0.0067129948	-0.0908792545	-0.1646464465	0.1624457652	-0.0015524831	-0.0705492783	-0.0231750658	-0.0410127529	-0.1092859997	0.0412148131	-0.1612610753	-0.0536038058	0.059984795	0.0321924667	0.0751684291	-0.0700335483	0.0741573261	-0.0797178157	0.0625847086	-0.0630040062	0.0044835629	0.0454851717	-0.1617631933	0.066717862	-0.1003292149	0.1729472863	-0.308893118	-0.0652405952	-0.0846452271	-0.0729590178	-0.0570009405	0.0891383322	-0.0108635981	0.0547418591	0.0282521153	-0.0109984908	0.1184901633	-0.0086614989	-0.0263881256	-0.1109061873	-0.0922433574	0.0846239199	0.0187292073	0.0797250233	-0.1552411516	-0.088395178	0.0957721078	-0.0328003809	0.0287249562	-0.0426706248	0.0271202454	-0.0373880176	0.1201420703	-0.0150712657	-0.0493358064	-0.0775697836	0.0215771391	-0.0433015682	-0.1042739416	-0.0414530843	0.1124855648	0.0732106478	-0.0423099301	0.0644845715	0.1110138467	0.0151113681	-0.0221864069	-0.0776164681	-0.2555556878	-0.0031825059	0.1073497687	-0.2019222684	0.0050990387	0.0199013352	0.1046804786	-0.0575306755	-0.1165443898	-0.1312113781	-0.0655422682	-0.020316438	0.0697967641	-0.0390564076	-0.071622947	0.1134285048	-0.0529628654	0.0398824586	0.0023797509	-0.0718210022	-0.0803414922	-0.1267843312	-0.0084040017	-0.0384871113	0.0593274433	-0.0256752248	-0.036648991	-0.0275926232	0.035620456	0.0137172659	-0.0948052965	-0.0326836104	-0.018393887	0.1081574125	-0.0935639642	0.1505285459	-0.0899576563	0.1199252134	0.0230920977	0.0106355629	0.0783805446	0.031973629	-0.0655926908	0.1180905004	0.1163333239	0.1134240387	0.00636038	0.01247573	4.04544337444e-05	0.0001556438390329	0.0419866	-0.0039705	0.0017628745795599	1.5764870250000016e-05	0.019756	-0.02464	0.0003902995359999	0.0006071296	0.00271077	0.0008490499999999	7.3482739929e-06	7.208859024999998e-07	0.000601215	0.000449573	2.02115882329e-07	3.61459476225e-07	0.00105201	0.0005005229999999	2.505232735289999e-07	1.1067250400999998e-06	0.0	0.0	0.0	0.0	0.0	0.0
9600.424043264737	45.0941415112502	92168141.81049564	2033.4815986366584	8499.234174965866	19.489387832871216	72236981.5609077	379.8362381000686	6514.648104536937	3.87375615493238	15.005986747876497	42440639.92594671	6527.526197635457	8828.293263676971	1.105327	46.28196	0.14319462	0.0815305999999999	-0.1065913859	0.0688860843	0.1286457404	0.0712311006	0.0083162036	0.1417366758	0.0790906916	-0.0056372144	0.0264657665	0.0154702244	0.0813600791	0.04195082	0.0252115232	0.0383999622	0.0540640495	-0.088825945	0.0548810095	-0.1028021231	-0.0296133891	-0.0527726827	0.0800106941	0.028562564	0.0483975094	0.1137245892	-0.0419832216	-0.0246933841	0.0291887674	-0.1396485039	0.1233667516	0.0607055942	0.1350768801	0.0549252694	-0.0148958735	0.0402021582	-0.0059633401	0.1142442932	0.044793252	-0.0588188955	-0.0254963127	-0.0035233961	-0.0856790961	0.0480003619	0.0348599496	0.0416733044	0.0271811095	-0.0467089969	-0.0563214025	-0.031414268	-0.1213544275	0.0205852906	0.0339340649	0.0750931855	0.0699770253	-0.0414082429	0.0237484936	0.018438785	-0.1260845789	0.0135302345	0.0087015431	-0.0302684972	0.0960169227	0.0928213837	0.1108420668	0.0159841713	0.1795591154	-0.0723911207	0.0358005214	0.0316346402	0.0040330712	0.0303471212	0.0202950797	-0.1624610004	-0.0827358624	-0.0625872459	0.0493144727	0.1548310544	-0.0708596531	0.042530067	0.0567927605	0.0847238913	0.012859297	-0.0111501902	-0.0922559468	-0.1472193437	-0.06275595	0.0283165111	-0.0252091692	-0.1481337108	-0.060787948	0.0175114047	-0.1477345898	0.0021206436	-0.058169211	-0.0458856776	0.1237965895	-0.0661352162	-0.139975054	-0.0434689596	-0.0340381854	0.0256989278	-0.0842303723	0.079843156	-0.035748895	0.0068998129	-0.0390478029	-0.0118471434	0.0500289841	0.009942111	0.03775908	0.0101520648	-0.0882645731	-0.0857088587	0.0024914489	0.0273925686	-0.0407986985	0.0383432566	-0.1448252479	-0.0374364689	-0.0322690697	-0.0699265166	0.0258713151	0.136476593	-0.086691905	-0.0161598644	0.0591014102	-0.1572711735	-0.1066587451	0.0692018455	-0.0135930518	0.0694224953	-0.0231580072	0.0674790539	-0.0178218259	-0.0484067731	0.0162125287	0.0359385329	-0.0913482587	0.0745400098	-0.1203385977	-0.166052128	0.0100964058	-0.0009515647	0.1237884126	0.101134831	-0.0527313814	-0.0670695057	-0.0709732286	-0.0610367578	-0.0411508712	-0.0164176158	0.0742478468	0.0576054673	0.0794912607	0.0982750899	-0.1422838066	0.0633259082	-0.1336043627	-0.0438488991	0.0493231092	-0.0092404005	-0.0152991956	0.0373462188	-0.120154828	0.0625068232	-0.0144827203	-0.029244007	-0.056564804	-0.048693889	-0.0381230855	0.0414908403	0.0911770364	-0.1589574051	0.0976528577	-0.0153289678	0.0180041379	-0.0305345751	0.0213997759	-0.0668546712	0.0273208222	-0.0835111111	0.1178006533	0.1151810923	0.1108582214	0.0160375	0.00967712	0.00025720140625	9.364665149440002e-05	-0.0074674	-0.049454	5.576206276e-05	0.0024456981159999	0.0747628	0.0550068	0.00558947626384	0.00302574804624	0.00232574	-0.0003850299999999	5.409066547600001e-06	1.482481008999998e-07	0.000512141	-8.907399999999997e-05	7.934177475999994e-09	2.62288403881e-07	0.00115904	0.00010703	1.145542090000003e-08	1.3433737216000002e-06	0.0	0.0	0.0	0.0	0.0	0.0
