global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	c_comp_cor_38	c_comp_cor_39	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02
9428.2104300934	n/a	88891151.91412199	n/a	8738.649134749227	n/a	76363988.70025341	n/a	6515.926055004742	n/a	n/a	42457292.35428966	6567.985582897703	11030.242180933128	n/a	n/a	n/a	n/a	-0.0204562663	-0.1180313182	-0.0570847339	0.0034243426	-0.024841826	0.1321889499	-0.010252516	-0.1976294175	0.0880215561	-0.0094366874	0.0266938547	-0.0541475094	0.0291511727	-0.0337193182	0.036013842	-0.0635140133	0.1716379935	-0.2519361962	0.131203648	-0.1755648795	0.0963761896	-0.0828708243	0.2558279549	-0.1006385977	0.0659279733	-0.0540122885	0.0113225606	-0.023455911	0.0125139751	-0.0952826217	0.2048387168	-0.1265489873	0.0035454578	-0.1078336613	0.1481322464	-0.1178650021	0.0449566129	-0.0799023656	0.0240698975	-0.0505889319	0.0763874337	-0.0505194411	0.0360029418	0.0535303211	-0.037586449	0.067084209	-0.0497120952	-0.089667913	0.0135854126	-0.1149799621	0.0477615836	0.0240680667	-0.1010523992	0.0119241272	-0.0253378064	0.0085692285	-0.0377533725	0.0080949475	-0.0488079144	0.0060925228	-0.086108545	0.0099063144	-0.1193287249	0.0495504491	-0.0153159913	0.0744657487	-0.0079956513	0.0631547463	-0.04331825	0.0737094265	-0.0490081215	0.0565808962	-0.0046319324	-0.0316622838	0.0475659462	0.0957138427	-0.0429627026	0.0207335048	0.0940226923	-0.0168868219	-0.1042613435	0.0048997979	0.057853141	-0.0311510751	-0.0071847975	-0.0498378916	0.0306864625	0.0357780062	-0.0226204282	-0.0314771084	0.0484326536	0.0145998403	0.1024771568	-0.0669144756	-0.0391849494	-0.0601553043	0.0355757994	0.1874708179	0.1922255308	-0.1133601734	-0.0239790797	0.0144546169	0.0911946549	0.0023666915	-0.0086707112	-0.0771926624	0.0622649689	0.0349070324	0.1017938938	-0.029223597	-0.0399065845	-0.0005069757	-0.0282169715	0.0542801785	0.0783091772	-0.0644464354	-0.0186302933	-0.0153419078	-0.0348300161	-0.0115490366	-0.0800109201	0.0405651109	0.0494255799	0.0039044451	0.0402602282	-0.0586231883	0.0989709216	-0.0903688917	0.1314589066	-0.0302028111	0.003408763	-0.0541257393	0.0533858318	-0.0192614102	0.0513388227	-0.0422252826	0.0360197217	-0.1121880498	0.0330743746	-0.0475740691	0.0752387287	-0.0085495898	0.0046301707	-0.1383335704	0.0285914185	-0.0437196475	0.030267531	-0.1636715964	0.0414082846	-0.1011137024	0.021366161	-0.0559368219	-0.0042374134	-0.0150393403	0.0882220721	-0.065314574	0.0972247625	-0.0884622717	-0.1628085346	0.1203938978	0.0307089055	0.026040208	-0.1073071831	0.0084553756	0.0259603691	0.0431422632	0.0758438019	-0.1260499527	-0.0256270807	0.1014668718	0.0278060371	0.124696569	-0.0981675371	-0.0823572881	0.0710440394	0.0021511984	0.0619831311	-0.0013131028	-0.101214511	-0.1278102218	0.1008801012	0.0097106988	-0.047395757	-0.0668152086	-0.0222822237	0.0829748403	0.0956404959	0.0061306465	0.0292372405	0.040170788	-0.0027737991	-0.0904002613	-0.0203182584	0.0890264328	0.0300373737	0.0314595599	0.0460291598	-0.0551740517	-0.0828645419	-0.0116886668	-0.1154552226	-0.0170158827	0.0403386953	-0.0688829639	0.0928695128	-0.0991430864	0.1522369758	-0.039675277	0.0764145738	-0.0496304044	0.0117389252	-0.1427737978	0.0405845328	-0.0563839472	0.1448891922	-0.0053101395	0.105261953	-0.1362533716	0.0391825574	-0.0585883342	0.1567419323	-0.0118272	-0.069497252	0.0649179375	0.1056992146	0.105687005	0.1056666568	0.1056381715	0.00987866	n/a	9.75879233956e-05	n/a	0.0557043	n/a	0.00310296903849	n/a	0.154971	n/a	0.024016010841	n/a	0.00350298	n/a	1.22708688804e-05	n/a	0.000345857	n/a	n/a	1.19617064449e-07	-6.55617e-05	n/a	n/a	4.29833650689e-09	0.0	0.0	0.0
9379.682147914908	-48.5282821784931	87978437.19591361	2354.994171195451	8576.864147699507	-161.78498704971935	73562598.60809319	26174.382034677856	6510.405240678449	-5.520814326292566	30.47939082539724	42385376.39785342	6551.695174229019	10841.247213335686	0.951331	40.518898	0.156219625	0.107064	-0.0601365453	-0.0186592826	-0.0829781706	-0.0090641929	-0.0307242635	0.13905071	0.0248195001	-0.0559162549	0.0885554693	0.0755972415	0.0409397188	-0.0479761347	-0.0319158149	-0.0186512955	0.0140344669	0.0120156988	0.0716423057	-0.081738683	0.06425751	-0.1714215012	0.1385101784	-0.0829621585	0.009419136	-0.0204343034	0.0558566413	0.0230426403	-0.0169514772	-0.0879555915	-0.0581785909	-0.0983212811	0.1437948759	-0.0128589604	0.0862790632	0.0378625901	0.0153163294	-0.0933464819	0.0404460458	0.0494012662	-0.0707694057	0.0959654918	-0.11976649	-0.026620829	0.0040672708	-0.0280826403	-0.0647776607	0.0783485047	0.0399275401	-0.0541277587	-0.0498961285	-0.0981107185	0.039053584	0.0635608588	-0.0971423766	0.0355553056	0.0435985066	0.0405883033	-0.0628388684	0.115165476	0.0328987139	-0.0693573889	-0.1511096376	-0.0366824752	-0.0554949146	0.0237432895	0.0131002978	0.0420673339	0.0753607592	0.0107640658	-0.0164444817	-0.0444373069	-0.081597712	0.0143569687	-0.0186792375	-0.0512043003	-0.0364839484	0.0251591133	0.080973826	0.030589839	0.0969031982	-0.0069417752	-0.0466458679	-0.0401619941	0.0375164626	0.1059895453	-0.0905322315	-0.0364597628	-0.0152381371	-0.0105975698	-0.0033174127	-0.0585246406	0.055502022	0.0823983346	-0.0185293059	-0.0427917342	-0.0718002627	0.0713845024	0.132933878	0.1040006924	0.019250242	-0.0403107339	-0.0290412862	-0.0205823846	-0.0272022399	0.0536977157	0.0226582693	-0.0648635176	0.0583997947	0.1106005559	0.0139154065	0.0154115985	-0.0022900107	-0.1388864338	0.0941266083	0.1367185949	0.1296373184	-0.097122057	0.0698698837	0.0190413691	0.0340757187	0.0585544763	-0.0264449698	0.0634858271	0.0068297947	-0.0676466377	0.0156309853	-0.096413222	0.0482268242	-0.0110837012	0.1580780166	-0.029871842	-0.0272427825	0.0335546997	0.1309544899	0.0414606337	0.1205671811	-0.0920942733	-0.0070717535	-0.0466349217	0.0121336355	-0.0442366022	0.019420593	0.0396477824	-0.0178637672	-0.0947710236	0.0832088966	-0.0835251997	-0.0065943512	-0.0421641914	-0.1213265819	-0.0119605445	-0.0419529096	-0.0578025465	0.0694548503	0.0568326839	0.052427001	-0.0140890423	0.0810486534	-0.0860199846	-0.0916063338	0.0718055688	0.0580290503	-0.0001003799	-0.0420606698	0.0345120288	0.0858085561	-0.0431713643	0.065762928	-0.0688788472	-0.0102290104	0.0061393674	0.0142012417	-0.00166949	-0.0081008179	0.1407408418	0.1202277048	-0.0273859086	-0.0156536801	0.0249575951	0.0106670457	-0.054839923	0.055247221	0.0261652631	-0.0059560224	-0.0520082956	-0.0781292538	0.0125178041	0.0693984709	0.050744288	-0.0144656652	-0.1245173986	-0.0792449375	-0.0634266026	-0.1781847	0.0168812814	0.0457328919	0.0911767636	0.0463219706	-0.0088503384	0.0763576398	-0.0261727049	0.0023460454	-0.0503196399	-0.0181079162	-0.1063396402	0.0389764798	-0.0316697641	0.0928522371	-0.0196036316	0.1228025741	-0.0159523884	0.0884609304	-0.1089347645	0.0410591555	0.0422678235	0.1090616881	0.0337440308	0.0295591999	-0.1296957719	0.1410592739	0.032905455	0.0022823765	-0.0075365275	-0.0970016887	0.0779730327	0.1056666568	0.1055567991	0.1053737875	0.1051177489	0.013844	0.00396534	0.000191656336	1.572392131560001e-05	0.065443	0.0097387	0.004282786249	9.484227769000006e-05	0.215844	0.060873	0.046588632336	0.003705522129	0.00210348	-0.0013995	4.4246281104e-06	1.9586002500000005e-06	0.000342291	-3.565999999999986e-06	1.27163559999999e-11	1.17163128681e-07	0.000164224	0.0002297857	5.280146792449001e-08	2.6969522176e-08	0.0	0.0	0.0
9366.753401990696	-12.928745924211398	87736069.29370429	167.15247117281285	8533.19063587924	-43.67351182026687	72815342.42825715	1907.3756347149897	6518.498008440517	8.092767762067524	65.4928900507594	42490816.28604299	6557.383478816254	10681.161892545744	0.97327	41.45332	0.0820198499999999	0.0423712	-0.0815015742	-0.0339197356	0.0128713954	-0.0080209169	0.0770164118	-0.0223919241	0.0147467606	-0.0416760818	-0.0569592877	0.0793244968	-0.0396760563	0.0569670894	0.0500570041	0.0175712726	0.0294059044	-0.0090903814	-0.0137534337	-0.0283844894	0.116738827	-0.1046096305	0.0411166624	-0.0107816317	-0.0903439056	0.0111594638	-0.0402204059	0.0050129159	-0.00076744	-0.0038228924	0.0794290363	-0.0332201971	-0.0420677155	-0.0156862993	-0.039800132	0.0682956577	-0.1116136225	-0.0037210421	-0.0893150209	-0.0598583443	-0.0667503898	0.047796235	0.0460913758	-0.0267615363	0.033416709	-0.0751651327	-0.0392603323	-0.0746131958	-0.0251956625	-0.0426170845	-0.009961425	-0.0415775464	0.0284966789	0.0132731931	0.0584138055	0.0292944578	0.0874232017	-0.0601760528	-0.0802176299	0.0341210035	-0.0871509377	-0.0512400368	0.064151844	-0.0974808482	-0.0174902685	-0.0220557655	0.0725964777	0.0489508037	0.089560463	-0.0270623515	-0.0426621183	-0.002307574	0.0410673413	-0.0586842022	0.0342106599	0.13663668	0.0806258271	-0.0502879565	-0.1038634729	-0.0359821319	0.0189558333	0.0106994845	0.0842339223	-0.1059491472	0.0336094015	0.0214159405	-0.1480360098	0.0165614956	-0.0431765964	0.058611334	-0.1287283728	-0.2039074708	-0.0291094233	0.0211208703	-0.0318790539	-0.0067579741	0.0674260637	-0.1034312244	0.029640042	0.1327229543	-0.0936020071	-0.0038645635	0.0084777066	0.0171309166	-0.0496758906	-0.0365051379	0.0862498522	-0.0409309237	0.0124511358	-0.045996368	-0.0645946241	0.0910255315	-0.0643734487	-0.021704335	-0.0408722547	0.0067134371	0.1308214399	0.026159142	-0.0178131207	0.0706067727	0.0644569488	0.0464456528	0.0149043552	-0.0028190791	-0.1019166382	0.0120894731	0.0186231152	-0.0820799591	0.0218863186	-0.0162184918	-0.0412458944	-0.0636813998	-0.0359217174	-0.0272425735	0.062178015	-0.0502506932	-0.0499815381	-0.0952816013	0.0113290281	0.0805117461	0.1061922646	-0.0164493632	-0.1746897024	0.101203456	0.0998479015	0.0226899807	0.0835399708	-0.0131613571	-0.0398497321	-0.0665877545	0.08135492	-0.1582656692	0.0472388525	0.0582246644	0.0304688644	0.0277706129	0.0462330759	0.0794497651	-0.033121825	0.0160849274	-0.1048143935	-0.0417140597	-0.0318332879	-0.0262413061	-0.0861671335	-0.0534155568	0.0077677481	-0.0233359636	-0.0166410897	-0.0327775593	0.0620015146	0.0661914366	-0.0976110398	-0.0286597905	0.0926139311	0.1499850398	0.0371722807	0.0861582648	-0.08485285	0.0411334097	0.0744383284	-0.0206380995	-0.0106438207	0.0092774519	-0.1062592949	0.038794822	0.0080945986	-0.0334840638	0.0309264832	-0.1027923639	0.0705437503	-0.0151474527	0.0385087796	0.0365613723	0.0458434316	-0.1013120142	0.1248742698	0.0520036229	0.0580031765	0.007258634	0.0023986537	-0.0833782624	-0.0081747632	0.0002485211	0.0343206804	-0.1437715323	0.016648721	0.0546211299	0.0029524593	-0.0286507667	-0.0536933586	0.0094409835	-0.0332779638	-0.0619484348	0.059368492	0.0291318947	0.138486376	0.0857806439	-0.0919352096	-0.0863409813	0.033251109	-0.0824680368	0.0277572949	-0.118191218	0.0068369515	0.0705684889	0.1056015514	0.1052965477	0.1047888607	0.1040794675	0.0129874	-0.0008566	0.00016867255876	7.337635600000013e-07	0.0969315	0.0314885	0.00939571569225	0.00099152563225	0.201249	-0.0145949999999999	0.040501160001	0.0002130140249999	0.00199194	-0.0001115399999999	3.9678249636e-06	1.244117159999996e-08	0.000463299	0.000121008	1.4642936064000008e-08	2.1464596340100006e-07	-0.000304823	-0.000469047	2.20005088209e-07	9.291706132900003e-08	0.0	0.0	0.0
9397.357927901056	30.60452591035937	88310336.02508482	936.637006197858	8553.385263126353	20.19462724711229	73160399.45946707	407.8229696498103	6537.065168779286	18.5671603387691	344.7394430455603	42733221.02086736	6572.83777529003	10890.511063099406	1.002157	42.683666	0.1434086799999999	0.0781116	-0.0288754538	-0.0657161821	0.0375277379	0.0917767344	-0.0581734162	-0.0867339795	-0.0282157058	-0.0045635652	-0.0913914063	-0.1000641701	0.0128392832	0.0448810065	0.0133419712	-0.0137838605	0.063124681	-0.0141265827	0.0017166048	-0.0238652191	0.0679939285	-0.1176089152	0.0373161528	0.0141422645	0.0338706735	0.1127243281	0.0436810119	0.0078233561	-0.0285600003	-0.0872086801	0.0145876898	0.0855059324	-0.0227444308	0.0009480258	-0.0313514184	0.1293081698	0.0292412582	0.1066413167	-0.045565728	0.0914880803	-0.044988079	-0.0056048472	0.0312329538	-0.0934112738	-0.031677882	0.0238127949	-0.0111264132	0.1013399736	0.0127834178	0.0014359256	0.0920059334	0.0222275159	0.0346146566	0.0543532191	0.0670815668	0.0005505767	-0.0174182577	-0.047565771	-0.0388982793	0.0150199679	-0.070013401	-0.0273837564	0.0431374425	-0.0101684611	0.0324609154	0.0535570602	-0.0207271522	-0.0364227934	-0.0321234046	-0.0165107652	-0.0249135158	-0.028477183	0.033224287	0.0868599063	0.0106970865	0.1220158275	-0.0257347869	0.1163398646	-0.0679210103	0.0169740369	-0.0961826797	0.0109943228	0.1575704087	0.0432700128	0.0816658375	-0.1767331812	-0.0461007029	-0.0218513079	-0.098275894	0.0579133985	-0.0050553678	0.0171919992	0.1058052483	0.0029150155	0.0937632776	0.0060677072	-0.039517092	-0.0481270122	0.0125029459	0.073457098	-0.0014777148	-0.0347190126	-0.0144425379	0.0443570621	0.1135502271	0.0777302557	0.0494577434	-0.1539582126	-0.1167321801	-0.1904209886	0.1570145457	0.0828363777	0.0385621627	0.0244964871	0.0196381096	-0.0161893974	-0.0481673397	0.0173573244	-0.1666750514	-0.0224861078	-0.1079153714	-0.0762408538	0.0284917445	0.0454747114	0.0129944858	0.1000886592	-0.0047244954	0.0522983572	-0.0685900256	-0.1135194748	-0.0591861746	0.0041352404	0.0035796855	-0.083025352	0.0312764142	-0.0265056381	-0.0285874804	-0.0161039922	0.0327244485	0.087036677	0.0426431494	-0.0272414261	-0.0634210483	-0.0076769465	0.0810972604	-0.0552984391	-0.0406146304	0.0667873365	0.0535539441	-0.0936224008	-0.0017393499	-0.0765532634	-0.0905802652	0.0169859957	-0.0982905118	0.0072909344	0.0276952632	0.0956005081	-0.0799750889	0.0684351091	0.001131885	-0.0372523426	-0.116678898	-0.0294239056	-0.0737873788	0.0747820727	-0.0906375522	0.0665720029	0.0712185602	-0.0744444389	-0.058510816	0.1071300519	0.087626165	0.0603087109	-0.0540538802	0.019836011	0.0778390782	0.0268378969	0.0163566278	-0.077313835	-0.0955658586	-0.0988981883	0.043656528	-0.0502938557	0.0657798407	0.0546976346	0.0189608702	0.0699165774	0.0307243936	-0.024805914	0.102987258	0.1323935972	0.0052572153	0.078557559	0.0758871047	-0.0440140088	0.1375200189	-0.169339052	-0.0756136093	0.0923282969	-0.1380969036	0.0518438531	-0.0439283544	0.0207782662	0.0255917792	-0.0409348719	0.1095184391	-0.0910375513	-0.0585026347	0.0555257061	-0.0760691286	-0.0849914597	-0.0184263576	-0.0798777014	-0.069802235	0.0082052121	-0.0139910134	-0.003063839	0.0988944025	-0.0425192341	0.0482069664	-0.1074896715	0.0145632123	-0.0604828444	-0.0564401486	-0.0520430889	0.1055039182	0.1049065715	0.1039134975	0.1025284424	-0.00703458	-0.02002198	4.948531577640001e-05	0.0004008796831204	0.035296	-0.0616355	0.001245807616	0.00379893486025	0.168251	-0.032998	0.028308399001	0.001088868004	0.00226721	0.0002752699999999	5.1402411841e-06	7.577357289999987e-08	0.000447917	-1.5382000000000037e-05	2.3660592400000106e-10	2.00629638889e-07	-0.000589235	-0.000284412	8.0890185744e-08	3.47197885225e-07	0.0	0.0	0.0
9380.993974688492	-16.3639532125635	88003047.9531418	267.77896474296733	8530.426653005869	-22.95861012048408	72768178.88231291	527.0977786643941	6538.516510965777	1.4513421864912743	2.106394142289273	42752198.16417208	6577.434964974569	10924.032478325862	0.951595	40.530113	0.09150327	0.0488613	-0.0438476922	-0.0854058714	0.0383689501	0.081508411	-0.1246777834	-0.0705343596	-0.0326356198	0.0301623083	-0.0829682009	-0.0850282477	-0.0290099453	3.07657e-05	-0.0244026103	0.1152620888	-0.0852156686	-0.083904674	0.0071023688	0.0680650483	0.0719399448	-0.0564678968	-0.0018293192	-0.062341561	-0.0187319921	0.0992376737	0.0391357819	0.051390974	0.0477029292	-0.1397713031	-0.0398370897	0.1015766875	-0.0745435045	0.0615301004	-0.0557484606	-0.0372188667	0.0789612796	0.0264851282	0.0021384458	-0.0254374535	-0.0371894312	-0.0038017895	-0.0920286606	-0.0469342493	-0.0842601558	0.0750625953	-0.1696106766	-0.0558496324	0.126218406	0.0073959851	0.1262491607	0.1235339229	-0.0510812895	0.0511207756	0.0681981912	-0.0128645714	0.0196045307	-0.0481955599	0.006496593	0.0620131615	0.0997069483	0.0174183058	-0.0368449134	-0.0425602277	0.1307729254	0.0590979819	0.0930947955	0.0696098133	0.009721654	0.0155500079	-0.0336373203	-0.0826394617	-0.0319156389	0.0288983028	-0.051691452	-0.0015131619	-0.0412471941	-0.0938422181	0.000909772	0.027921639	-0.1237221744	0.187884544	-0.0776619039	-0.0104819119	-0.0724666625	-0.2291196874	-0.0861431395	0.0411617581	-0.0222375831	-0.015309098	-0.0212788749	-0.0064642767	-0.0668665015	-0.030584316	-0.1145354291	0.0155611314	-0.1530502761	0.0725148599	0.0569624327	-0.1755406477	-0.0644055808	0.0107289783	0.0318877732	-0.0886638138	0.0142320193	-0.1128256559	0.0594643175	-0.2127713652	0.0381183727	0.1424962523	0.0033477099	-0.0102036363	0.0840232594	0.0416924737	0.0637010586	0.0035182142	0.0076287353	-0.037180995	0.0461366829	0.0323300533	-0.032094046	0.0153434786	0.1466355295	-0.0203188182	0.0176220323	0.1514419544	0.0210551064	0.1349030351	-0.005813867	-0.0238004622	-0.0954248416	0.0917536457	-0.0404511057	-0.0355435593	0.0859118145	0.0423305801	0.0044831278	0.0486229866	-0.0221562063	0.0160995709	0.0561456561	0.0003608869	-0.098578419	-0.0869414609	0.1074302544	-0.044066035	0.0226708957	-0.1083836785	0.0014268317	-0.0649937545	-0.2040644147	0.0908002978	-0.0729758949	0.0659304894	-0.0371703829	-0.0233143451	-0.0439280012	0.0845722009	-0.1724823239	0.0525529271	0.0212041524	-0.0377151696	-0.0581023246	0.1235914125	0.0225956395	-0.1324134874	0.0541705727	0.0209011151	-0.0067445165	0.1477106413	0.0959562052	-0.0845344656	0.0603598467	-0.1379803834	0.0182716786	0.0502746914	-0.0607827878	-0.1056534578	-0.0276802902	0.0147328829	-0.0076751251	-0.0659771765	0.1645294483	0.0479700244	0.0262260602	-0.0876621311	0.0047780666	0.0017872612	-0.0208137362	0.0096895295	0.0158302131	-0.0801889784	-0.126848575	0.0117729408	0.0375262026	0.0703429069	0.0485339827	-0.0503767305	0.0830966147	0.1111126391	0.0941916923	0.066174142	-0.0310556168	0.0474575046	-0.0112426068	-0.0097332493	0.0085884266	-0.1009984733	-0.1531814224	0.034104028	0.0016084638	-0.1181772722	0.0631638663	-0.0693849491	-0.182457273	0.0313237158	0.0463375101	0.0621722401	0.0318835197	-0.0548086089	0.0494985517	0.0731823637	-0.0618953087	-0.1367436373	-0.0060726272	-0.0826497527	0.1053737875	0.1043873508	0.1027501241	0.1004723146	-0.0128867	-0.0058521199999999	0.0001660670368899	3.424730849439999e-05	0.0446863	0.0093902999999999	0.00199686540769	8.817773408999995e-05	0.156003	-0.012248	0.024336936009	0.000150013504	0.00137694	-0.0008902699999999	1.8959637636000003e-06	7.925806728999997e-07	0.000148942	-0.000298975	8.9386050625e-08	2.2183719364e-08	-0.000680247	-9.101200000000002e-05	8.283184144000003e-09	4.627359810090001e-07	0.0	0.0	0.0
