global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	c_comp_cor_38	c_comp_cor_39	c_comp_cor_40	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
8945.71339116393	n/a	n/a	80025788.07684967	9424.193668223546	n/a	n/a	88815426.29618478	6562.458562698717	n/a	43065862.38713771	n/a	6965.113724478269	7308.036776168905	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0324148	n/a	n/a	0.00105071925904	0.0575808	n/a	0.00331554852864	n/a	0.010714	n/a	n/a	0.0001147897959999	0.000567661	n/a	3.22239010921e-07	n/a	-0.000353338	n/a	1.2484774224400001e-07	n/a	0.000228351	n/a	5.2144179201000006e-08	n/a
8886.461094617844	-59.252296546086654	3510.8346459853924	78969190.78615656	9188.123700621749	-236.06996760179757	55729.02960351374	84421617.1379271	6562.776034877593	0.317472178875505	43070029.28396366	0.1007885843599606	6928.512574953183	7127.993489451881	1.077817	44.679546	0.0967226	0.0482369	-0.0518316212	0.0227117787	-0.076762571	0.0334027486	-0.0052478271	0.1322008732	-0.0492893531	-0.0009779398	-0.071621229	0.0093029949	-0.0502232104	0.0513423255	-0.0313415836	0.0627591668	-0.1228849403	0.0007709634	-0.2319183807	0.0971120801	-0.1070291337	0.0471360679	-0.0776607476	0.1010229099	-0.2071605939	0.0873547154	-0.0171825892	0.0860587377	-0.0740410492	0.1117067831	-0.0350123538	-0.0126268489	0.0229979119	-0.1663221464	0.0748318632	-0.0848564334	0.0032363472	-0.0051427018	0.097031709	-0.1201428333	0.0643365993	-0.0502299714	0.0666240786	-0.0191941152	0.037915842	-0.0167083769	0.1851556526	-0.0861003376	0.1064734392	-0.02497658	-0.0250364736	0.0062325068	-0.1083843909	0.0561098659	-0.0258980663	0.056643684	0.0319019198	-0.0539766993	0.0458478658	-0.0256905435	0.1515957837	-0.0436438843	0.0037526941	-0.0075672053	0.0595186644	-0.014317666	0.0394504476	-0.0852245955	0.1466335599	-0.0726993958	0.0853119186	-0.0217127835	0.019240794	0.0657457346	-0.0229507352	0.0742738851	0.0119987075	0.0152850623	-0.0593234731	-0.0576887874	0.0837703464	-0.0455339853	-0.066605319	0.0405240551	0.0240579664	-0.0390838029	-0.0059929532	-0.0852912579	0.1118011575	0.1937678039	-0.0591950079	-0.0021933783	0.0577795351	0.0091619137	0.0189644608	0.1103755028	-0.0669870051	-0.0093102644	0.0927079918	0.044728963	0.0586019944	-0.0874706743	-0.0331292986	0.0843070781	0.1377520963	-0.06419265	-0.0725926028	-0.0460325714	-0.0235791921	0.0763756754	0.0264465014	0.0773328998	-0.0565200602	-0.0481693525	-0.1021759355	0.0255289373	0.0042975284	0.0902382778	-0.0247294354	-0.0836171423	-0.0532479297	0.043194497	-0.0097880053	0.0459401856	-0.0812912118	0.0742171474	-0.0488000872	0.0544779231	-0.022442971	0.0777856275	-0.1877259652	0.0373246684	-0.1932986153	-0.0266247513	0.0459954955	-0.0153671535	0.0122050804	-0.0866820439	0.0963519925	-0.044713241	0.0559271946	-0.1183969395	0.0483580177	-0.0456269437	0.0393099376	-0.0040561036	0.0303305539	-0.0417286496	0.0486678113	0.0590572895	-0.0980046724	0.0067593536	0.023017011	0.0187560395	-0.1012885107	0.0591346623	-0.0876937545	-0.0698218572	0.0598448689	0.1259466268	0.1071734619	-0.0068710775	-0.081113071	-0.1097517876	0.0473073804	0.0671945929	-0.0374853229	-0.1078044919	-0.0327167833	0.0127916531	0.0851867158	0.0093301758	-0.1365985898	0.05674444	0.0736196043	0.0152775504	0.0048244729	0.0046713822	-0.0700876135	-0.0170551379	-0.0155393281	-0.0029509686	0.0778517899	0.0359136205	0.0950193663	-0.0435716627	-0.0365915792	0.0320083073	0.0447635496	0.080357657	0.0308491376	-0.037622787	-0.030687708	-0.0518502833	0.0730376763	-0.1012718903	0.0827798651	-0.1678146764	0.0447631769	-0.0575520693	0.0084233216	-0.0083383258	0.2205066038	0.0479888645	-0.2089406211	0.0023413949	-0.0157056154	0.0543443124	-0.0518387401	0.0424841623	-0.1330441965	0.0556398156	-0.1200950007	0.0029091793	-0.0013713087	-0.0021766615	-0.0150550229	0.107516234	0.1075029382	0.1074807797	0.1074497603	0.0	0.0404044	0.0079896	6.383370816e-05	0.00163251553936	0.0883665	0.0307857	0.00780863832225	0.0009477593244899	0.0335735	0.0228594999999999	0.0005225567402499	0.00112717990225	9.2329e-05	-0.000475332	8.524644241e-09	2.2594051022400005e-07	-0.000162434	0.000190904	2.6384804356000005e-08	3.6444337216e-08	0.000192831	-3.552000000000001e-05	3.7183794561e-08	1.2616704000000006e-09
8868.868332109947	-17.592762507896623	309.5052926592531	78656825.49230267	9110.868496274705	-77.25520434704413	5968.366598703546	83007924.7564109	6553.318094202103	-9.457940675490136	42945978.04379668	89.45264182109081	6905.556324886805	7003.531151103076	1.043923	43.274502	0.1093699	0.0643958	-0.0873740985	0.0990571872	0.0394980705	-0.008555678	0.0128134258	0.1272992998  	0.0151044833	-0.0857504617	-0.0230602877	-0.0783591823	-0.0232466421	0.0529251143	0.088208586	-0.0721805374	-0.0406401085	-0.2099322045	-0.0359020036	0.1203292275	-0.1234086578	0.0626383304	-0.040822397	-0.0995878839	-0.2009696805	-0.0478243502	0.03799247	0.1184494117	-0.0186359748	0.0919007249	-0.0043870016	0.004023889	-0.0617774089	-0.0152791812	0.1222419657	-0.0407138801	-0.0450119182	-0.0169323531	0.0454555615	-0.0683792765	0.0409835259	-0.0585781199	0.0360789416	0.0170181163	0.0417929851	-0.0449563061	0.0367503911	-0.0510062069	-0.0353405971	0.0463536684	0.0676174744	0.0399304144	-0.0466753109	0.0306218838	-0.0364141522	0.0266103594	-0.0149849997	-0.0701424756	0.0860161382	0.1057926419	-0.0765571398	-0.0400563766	0.0816168411	0.0438447845	0.0045362531	-0.0187737651	0.0887128656	0.0462458191	0.1650531629	-0.0591439878	0.1400502298	0.023328755	-0.0569821256	-0.0024404201	-0.1226850049	0.1352953613	-0.0387561989	-0.1205072828	0.0888875701	-0.0054164867	0.1083830913	0.0246911864	-0.0343188565	0.0983789083	-0.0043080254	-0.1028253838	0.0735657764	-0.0982416976	0.0992514276	0.0608419157	0.0066970519	0.030226089	0.0062937154	0.0324533738	0.0043721543	-0.1148054548	0.0276589557	0.0734946657	-0.11579175	0.0606179139	-0.0276361988	0.0485661604	-0.2043363879	-0.0624133966	-0.0509816545	0.0282048065	-0.0323736745	0.0024301948	-0.04324945	0.0763132461	-0.056624139	-0.0446439	-0.0175117024	0.0492104838	0.0302410813	-0.1581344654	-0.0064273199	-0.0483383474	-0.0430959397	0.0423985019	-0.0800380956	0.1432415781	-0.0391459234	-0.0146756073	-0.0884748283	0.027783493	0.1073778621	0.0636308517	-0.114856405	-0.0639564462	-0.1087206521	-0.0418099935	-0.0034329385	0.0408776461	0.0478195751	0.0631424831	0.1019813854	0.1106458649	0.0335464503	-0.0266530045	0.0997034533	-0.1349173171	-0.0887719262	-0.0620474342	0.01625489	0.0284448602	-0.0234249056	-0.1300230893	0.1008935928	-0.0312571366	-0.1396504596	0.0376743588	0.1225047077	-0.0178476973	0.062280874	-0.0851575987	-0.0392422105	-0.0887637232	0.0519703281	0.0471209512	0.0158071778	0.0765175263	-0.0496015953	-0.105661571	-0.0072360247	-0.0864086899	-0.0186614721	-0.0561006471	-0.0297394627	-0.0306320904	-0.027973901	0.0023468318	0.005891736	-0.1387427271	0.0362514765	0.0346999632	0.0699352309	-0.0097182575	-0.1298874387	-0.1767416589	-0.0075090525	0.0011015315	-0.0090953154	-0.1565732181	0.0445371528	0.0435105539	0.0512160953	-0.0376864543	0.0358258335	0.008186941	0.0379042273	-0.0157898678	-0.0730665767	-0.0527420246	0.1029017422	0.0446147181	0.0872230668	-0.1818114233	-0.0210636477	0.056534041	-0.0925882402	0.0051105767	0.1997624916	0.1303446218	-0.1224126862	0.0776395706	0.0205700149	0.1505839475	0.0093955773	-0.0082306196	-0.0427347528	-0.0179603391	0.0126813214	-0.0031564339	0.0200892907	-0.0251154846	0.0943675866	0.1074807797	0.10736115	0.1071618658	0.1068830749	0.0	0.0373855	-0.0030188999999999	9.113757209999988e-06	0.00139767561025	0.0346788	-0.0536877	0.00120261916944	0.0028823691312899	0.0293788	-0.0041946999999999	1.759550808999999e-05	0.00086311388944	0.0008135609999999	0.0007212319999999	6.618815007208373e-07	5.201755978238557e-07	-0.000313984	-0.00015155	9.8585952256e-08	2.29674025e-08	0.000289421	9.659e-05	8.3764515241e-08	9.3296281e-09
8880.446581238892	11.578249128944664	134.05585289190785	78862331.48223752	9149.265078468738	38.39658219403282	1474.297524183118	83709051.47608756	6556.67847688904	3.3603826869375557	42990032.64929999	11.292171802669664	6910.406130868346	7093.6122661447625	1.053308	43.663559	0.11602545	0.056248	-0.0685504208	-0.0235825916	0.1076261335	-0.0035611317	0.0096212537	0.1337595297	-0.0159177091	-0.0540289007	0.1184962799	-0.0186634825	0.1035727488	0.0345633876	-0.0079596101	0.1073817949	-0.0653576289	-0.0836864467	-0.0214567905	-0.0523160369	-0.0909590134	-0.0476450272	-0.0077973018	0.036155914	-0.1314990028	-0.088111932	0.037096331	0.0215832668	0.0328369897	0.1069594871	-0.0012114903	0.0513006868	-0.0354554281	-0.0563770976	0.0491657117	0.0147195633	0.1597106461	0.1069439973	0.0444011844	0.022729735	-0.0283956362	-0.1696076179	0.050566937	0.0404774774	-0.0220800204	-0.0587121932	-0.0470962815	0.0010167203	0.0328284096	0.0295627891	0.0754350198	-0.0556678281	0.1048483543	-0.0278392756	0.0251997294	-0.0810188142	0.1254362645	0.0606406378	0.0605052527	0.0015185145	-0.1486138682	-0.0019937911	-0.092401049	0.1276686073	-0.1268229333	-0.0426441601	0.0349484075	0.1205563586	-0.0384832757	0.1492532594	-0.1305819303	-0.2212699678	0.0464977986	-0.014313242	-0.1192353136	0.0681304573	0.0610096257	0.0031634049	0.0504798694	-0.0711164707	0.015789488	0.0835342649	0.0105190564	-0.1336771455	-0.1722849324	0.0204121143	0.0671876733	-0.0763052201	0.0011274571	0.0185528624	0.0529494001	-0.0424269474	-0.0239039908	0.0323676724	0.1785516251	-0.0309512848	0.0313673471	0.0070504662	-0.1030582315	0.0763297394	0.1225723625	-0.1558145698	0.0097282819	-0.0035886622	-0.0504957001	-0.0136351277	-0.1564650433	-0.0624023183	0.1458817537	0.1081965448	-0.0228960922	-0.0698231512	-0.1218200399	-0.0737848901	0.1037545144	0.043398227	0.0845296375	-0.1536648715	0.0566374608	-0.0067693924	0.0259402992	0.0884194626	-0.0618635254	-0.1063576853	0.0928181988	0.0131739295	-0.0296115691	0.0285346333	-0.0088743375	-0.0252306157	0.1466534404	-0.0447203106	-0.0081418914	0.0125637087	-0.1427486497	0.1775355586	0.0630434885	-0.0763190063	-0.0139206205	0.0698106216	0.0387615006	-0.0382263886	-0.0894985468	-0.0690445529	-0.1314946493	-0.1799355161	-0.1551866406	-0.1318836269	0.0509861193	0.043813836	0.0495224664	-0.0352659432	0.0315146113	0.0413383329	0.0234495004	0.0388209417	-0.0340663874	0.0495098225	-0.1517750035	0.1804177864	-0.1113235866	0.1228417865	-0.1063781405	-0.0117555499	0.0082104994	-0.0207130317	0.0422652717	-0.0927399806	-0.0369784374	0.0880374337	0.0202958024	-0.036947617	0.1193631863	-0.0961863214	0.037902236	0.0910862644	0.0779546433	0.0077048633	0.1512863878	0.0217337552	0.098353664	0.1337327053	0.0307968078	-0.1231881503	0.0665932272	0.0669841448	-0.0097793223	0.1494367682	0.1156567013	-0.1173407893	-0.0219084895	0.0398004855	0.0142453988	-0.0478094144	0.1092654413	0.0473814144	-0.0588005924	-0.1440301964	0.0699416421	-0.0291499664	0.0277122192	-0.0244541674	0.153542464	0.0462196388	-0.1399344964	0.1182752666	-0.0461209963	0.048747709	-0.0099664314	0.0473235225	-0.0534907331	-0.0611909943	-0.0180053114	0.090686598	-0.0183945023	0.1239622159	0.1417187073	0.1074098827	0.1070777606	0.1065249843	0.1057526928	0.0	0.0499428	0.0125573	0.00015768578329	0.00249428327184	0.0754362999999999	0.0407574999999999	0.0056906353576899	0.0016611738062499	0.0511534	0.0217746	0.00047413320516	0.00261667033156	0.000336239	-0.0004773219999999	1.13056665121e-07	2.2783629168390454e-07	-0.00020699	0.000106994	4.28448601e-08	1.1447716036000004e-08	0.000523826	0.000234405	2.743936782760001e-07	5.494570402500001e-08
8876.901992358047	-3.544588880844458	12.564110334206166	78799388.98193027	9117.88633547992	-31.378742988817976	984.6255115582932	83135851.22673143	6566.807995203112	10.129518314071902	43122967.24586352	102.60714127511808	6915.210154321828	7109.50376601243	1.045457	43.338127	0.0316819499999999	0.0154944	-0.0659801027	-0.1011800447	0.0490831495	0.0120004128	-0.0249074755	0.1496593166	0.028527083	-0.040613402	0.0934015395	0.0776505084	-0.0073167723	0.0416929869	0.1271957462	0.0518150951	0.0043848845	-0.0044014764	-0.148944221	0.0346892602	0.0073731773	0.1292263294	0.0800852432	-0.0215207392	-0.0793269397	-0.079537159	0.0823279882	-0.0651079804	0.0370987357	0.128769385	-0.0996045417	0.0713804549	0.0080695172	-0.0858395288	-0.0787694605	-0.0790602467	0.0244142232	0.0990132478	0.0182934935	0.0659079169	-0.0206680542	0.0529067006	0.0222901051	0.0186748446	-0.0047953328	-0.000609595	-0.1017503198	-0.0580615634	-0.0218459962	-0.0314476632	-0.0329726748	-0.0253413818	0.093801165	-0.0527928241	0.0558788438	-0.045845605	0.0923661475	0.0422736096	0.1098170627	0.0100341307	0.1198406317	0.0536910879	-0.0716026236	-0.031049001	0.007242216	0.0592909879	0.194693346	0.0896756108	-0.0247082476	-0.0746245801	0.1574902917	0.0894403295	-0.037332818	-0.0114233235	-0.1811217555	0.0710173157	-0.0477431679	-0.0483175085	0.1235636211	0.0447544802	0.0851202257	0.0797941701	-0.0260913065	0.1464788382	0.1399997823	0.0495770403	-0.0244024087	-0.0960942808	0.0060999984	0.005182637	0.0057845873	-0.1116353347	-0.0349727885	-0.1254797059	0.0246891723	-0.0144008871	-0.0379970547	0.0234746813	0.01112096	-0.0412497962	0.0467523386	-0.0845503937	0.0563405666	0.0282614717	0.0187178599	-0.2259368344	0.029419116	0.0396811301	-0.0579579996	-0.0957291639	0.0393720733	0.0489390691	0.011528235	0.0165367824	-0.0722839771	0.0852695534	0.0073622338	0.0231441732	0.0857828502	-0.0495490369	0.0372476497	-0.1420922562	-0.0934743464	0.0168864837	0.0959202799	0.0032224818	0.108076341	-0.0671219646	0.0690009565	0.0100925491	-0.0514868054	-0.1044658258	-0.1833994342	0.0304266621	-0.0520115406	0.0303817628	0.0234737382	-0.0012491619	0.1282498524	-0.0371765614	0.0634400114	-0.0448340221	-0.0900575015	0.0527463758	-0.0752264751	0.146614802	-0.0122122245	-0.0458620961	0.1303734381	0.0883453256	-0.0891725147	-0.0566556075	-0.047804966	0.0041376972	0.0849237743	0.0256208092	-0.0214153971	-0.0540614749	-0.0647757573	-0.154585508	0.0537929776	-0.0178021193	-0.0644282967	-0.0763581094	-0.0051570166	-0.1669268194	0.0180390634	0.0764268866	0.1076901403	0.0044802452	-0.0201188065	0.1015647623	-0.0899593105	0.1237593843	0.0297686652	-0.0491208311	0.0496090504	-0.0156691681	-0.063976285	0.0039261277	0.0417797475	0.0789196805	-0.0016788002	0.041372295	-0.0727944965	-0.0598714448	-0.0249807066	0.0274729643	-0.1492377234	0.1249574821	-0.0199942995	0.0945229769	-0.0469449731	-0.0475273049	0.0841542682	-0.0452958192	-0.1041169748	-0.1107676826	0.0030139273	-0.049880539	-0.1362492987	0.0020852316	0.1251475801	0.091276197	-0.1639257505	-0.0327350634	0.0728603628	0.065057383	-0.0609551974	-0.0993479346	-0.0408946084	-0.0477958501	-0.0522909953	-0.055469214	0.0807690933	-0.0823778303	-0.0737506742	0.1073035663	0.1066531437	0.1055720249	0.1040645756	0.0	0.0531806	0.0032377999999999	1.0483348839999992e-05	0.00282817621636	0.063234	-0.0122022999999999	0.003998538756	0.0001488961252899	0.0553229	0.0041695	1.7384730249999997e-05	0.00306062326441	0.000416596	8.035699999999998e-05	1.73552227216e-07	6.457247448999996e-09	-0.000180117	2.6872999999999985e-05	3.2442133689000005e-08	7.221581289999991e-10	0.000658043	0.0001342169999999	4.33020589849e-07	1.8014203088999992e-08
8870.028654542317	-6.873337815730338	47.24277272914869	78677408.33240178	9100.644903681929	-17.241431797991027	297.26697044477606	82821737.66291186	6559.000061367682	-7.807933835430049	43020481.805021256	60.96383077845339	6912.002933463934	7070.811795139436	1.059835	43.934139	0.06564915	0.0315844	-0.0753222409	-0.0711349854	-0.0748644172	0.0390055768	-0.0124036125	0.1210300836	-0.0048385783	-0.0264047655	-0.0359530084	0.0920775827	-0.0294712889	0.0823574425	-0.0302406305	0.0941811845	0.0611924555	-0.124841759	-0.0727867287	0.0753010769	-0.0158989678	-0.0854604042	-0.0069080398	0.0430074532	-0.0717060075	-0.0501709875	0.0901377925	-0.1776216314	0.0104624939	0.1288348778	-0.0508319364	-0.0582341359	-0.0507075746	-0.0923490521	0.0426669923	0.0801714213	-0.0555120968	0.0666798635	0.0174871578	-0.0386484545	0.1114430198	0.0020247598	-0.0614250853	-0.025909533	-0.0038596511	0.1292158078	-0.0681280693	0.0774213717	0.0057318645	0.0223176632	-0.1025310144	-0.0969186092	-0.0253848975	0.0440548894	0.0055087085	-0.140217011	-0.0150337438	-0.1204980927	-0.0250916903	0.0189116773	-0.0032201945	-0.0160360132	0.0742472669	0.0496920912	0.0648540637	0.0901843819	0.0618905612	-0.0437535624	-0.0248199842	-0.0118133545	0.1363178	-0.0074903398	0.09747707	-0.0366842973	-0.1555239017	0.002462671	0.1004546868	-0.0024890025	0.0609570875	-0.0147218223	-0.0005911395	-0.0462825139	0.0307920653	-0.0847039852	-0.2443179016	-0.0006100891	0.0186110758	0.0215760411	-0.1206011872	0.0417612682	0.0519206028	0.0430572554	0.0957318956	-0.1166831283	-0.1008491697	-0.1856779862	-0.0618045137	-0.0350649417	0.0738247055	-0.0117693704	-0.0914852981	0.1096433444	-0.0129546667	0.0043476302	-0.1345999999	0.0162895432	0.0317230576	0.1033558064	-0.0127666014	-0.0857862268	0.1466382602	0.035932399	0.0809616875	0.0809716067	0.0463405956	0.00088901	0.0184750178	0.0827096762	-0.0008186731	-0.106753824	0.1135453479	-0.0080426235	-0.0339504214	0.1131651924	-0.0040280185	0.024209907	-0.0769186694	-0.0582575126	-0.0203845351	-0.0439571543	-0.0666455882	-0.0564598502	-0.0078715126	-0.1589328486	0.0873310758	0.0107193257	-0.0370564788	0.0848563257	-0.0250582485	-0.0741739233	-0.0419564509	-0.0113601331	-0.0223549999	-0.0065727029	0.0030762386	-0.1249584506	-0.0813226747	-0.156514673	0.0702559512	0.0853933208	-0.1592941468	-0.0580682662	-0.0177617306	-0.0373444803	-0.0158898888	-0.090693525	0.1030797173	0.1370262265	-0.1161684419	-0.047661211	0.0372584388	-0.0659633304	-0.0114619157	-0.015305801	-0.0278094638	0.038682225	-0.0213704101	-0.0154286961	-0.0669374336	0.0702578967	-0.1015120098	-0.0635620039	0.0773332056	-0.0640720779	-0.1344081038	0.033976394	-0.0814810757	-0.0707488514	-0.0562234401	0.0115850781	0.0192434032	-0.1117883548	-0.0007027537	0.0980328142	-0.1575055128	-0.101003096	-0.0771757336	0.0721395955	-0.1466621332	0.1336712478	0.1492093269	-0.015376815	0.0069658025	-0.0279001032	0.0720882927	-0.1107224393	-0.02694674	-0.0768416596	-0.0661783667	0.0695030853	0.0178482026	-0.0686586397	0.0792055035	0.1126292468	-0.1245338631	0.0481265174	-0.0910747001	0.057396682	0.1498473321	-0.025194054	-0.0245545875	-0.0136615784	0.0382040521	-0.0383922159	-0.0618785569	-0.0105760185	-0.0084003389	0.1071618658	0.1060878595	0.1043058152	0.1018276264	0.0	0.0686113	0.0154306999999999	0.0002381065024899	0.00470751048769	0.0773753999999999	0.0141413999999999	0.0059869525251599	0.0001999791939599	0.0395581	-0.0157648	0.00024852891904	0.0015648432756099	0.000632969	0.000216373	4.006497549610001e-07	4.6817275129000034e-08	-0.000245704	-6.558700000000001e-05	6.037045561600001e-08	4.301654569000001e-09	0.000782328	0.000124285	6.12037099584e-07	1.5446761225000005e-08
