onset	duration	node	response_time	accuracy
12	1	10	0.312	1
16	1	11	0.309	1
20	1	8	0.226	1
24	1	12	0.302	1
28	1	7	0.314	1
32	1	4	0.293	1
36	1	2	0.293	1
40	1	5	0.289	1
44	1	6	0.312	1
52	1	9	0.276	1
56	1	1	0.336	1
60	1	3	0.305	1
68	1	13	0.249	1
76	1	3	0.372	1
80	1	4	0.281	1
84	1	12	0.293	1
88	1	6	0.292	1
100	1	1	0.290	1
112	1	13	0.367	1
120	1	9	0.250	1
124	1	10	0.260	1
128	1	5	0.378	1
136	1	8	0.239	1
140	1	7	0.316	1
144	1	11	0.320	1
148	1	2	0.407	1
152	1	1	0.351	1
156	1	2	0.302	1
160	1	4	0.247	1
164	1	5	0.354	1
168	1	7	0.336	1
172	1	12	0.363	1
176	1	8	0.243	1
180	1	11	0.234	1
184	1	13	0.333	1
188	1	10	0.358	1
192	1	6	0.329	1
196	1	9	0.316	1
204	1	3	0.252	1
212	1	9	0.327	1
220	1	1	0.363	1
228	1	6	0.376	1
232	1	11	0.442	1
236	1	4	0.305	1
240	1	8	0.311	1
244	1	3	0.316	1
248	1	5	0.328	1
252	1	13	0.251	1
256	1	7	0.336	1
260	1	10	0.389	1
264	1	2	0.321	1
268	1	12	0.320	1
