onset	duration	node	response_time	accuracy
12	1	10	0.463	1
16	1	11	0.369	1
20	1	8	0.306	1
24	1	12	0.327	1
28	1	7	0.351	1
32	1	4	0.377	1
36	1	2	0.375	1
40	1	5	0.323	1
44	1	6	0.336	1
52	1	9	0.358	1
56	1	1	0.331	1
60	1	3	0.261	1
68	1	13	0.327	1
76	1	3	0.337	1
80	1	4	0.320	1
84	1	12	0.231	1
88	1	6	0.543	1
100	1	1	0.257	1
112	1	13	0.337	1
120	1	9	0.405	1
124	1	10	0.365	1
128	1	5	0.353	1
136	1	8	0.365	1
140	1	7	0.319	1
144	1	11	0.275	1
148	1	2	0.350	1
152	1	1	0.335	1
156	1	2	0.308	1
160	1	4	0.334	1
164	1	5	0.363	1
168	1	7	0.329	1
172	1	12	0.240	1
176	1	8	0.292	1
180	1	11	0.289	1
184	1	13	0.267	1
188	1	10	0.339	1
192	1	6	0.402	1
196	1	9	0.279	1
204	1	3	0.353	1
212	1	9	0.259	1
220	1	1	0.354	1
228	1	6	0.270	1
232	1	11	0.354	1
236	1	4	0.241	1
240	1	8	0.334	1
244	1	3	0.291	1
248	1	5	0.355	1
252	1	13	0.288	1
256	1	7	0.284	1
260	1	10	0.294	1
264	1	2	0.364	1
268	1	12	0.228	1
