onset	duration	node	response_time	accuracy
12	1	8	0.307	1
16	1	13	0.392	1
20	1	4	0.425	1
24	1	3	0.368	1
28	1	6	0.342	1
32	1	5	0.516	1
36	1	1	0.361	1
40	1	9	0.357	1
44	1	11	0.479	1
48	1	2	0.341	1
56	1	10	0.449	1
60	1	7	0.354	1
68	1	12	0.397	1
72	1	8	0.397	1
80	1	4	0.328	1
84	1	9	0.423	1
88	1	10	0.375	1
96	1	5	0.369	1
100	1	11	0.401	1
104	1	2	0.265	1
108	1	3	0.371	1
112	1	7	0.313	1
116	1	1	0.293	0
120	1	6	0.424	1
124	1	12	0.355	1
132	1	13	0.311	1
136	1	3	0.426	1
140	1	6	0.374	1
152	1	1	0.255	1
156	1	10	0.393	1
160	1	12	0.330	1
164	1	4	0.357	1
172	1	9	0.268	1
176	1	13	0.433	1
180	1	8	0.301	1
184	1	7	0.420	1
188	1	5	0.238	1
192	1	2	0.223	1
196	1	11	0.454	1
200	1	1	0.249	1
204	1	11	0.248	1
208	1	2	0.235	1
212	1	7	0.301	1
216	1	5	0.413	1
220	1	3	0.361	1
224	1	6	0.239	1
228	1	4	0.426	1
236	1	13	0.449	1
244	1	10	0.324	1
256	1	8	0.442	1
260	1	12	0.445	1
264	1	9	0.265	1
