onset	duration	node	response_time	accuracy
12	1	7	0.383	1
20	1	4	0.315	1
24	1	13	0.393	1
28	1	10	0.382	1
32	1	9	0.261	1
36	1	12	0.354	0
40	1	2	0.297	1
48	1	6	0.293	1
52	1	5	0.409	1
56	1	11	0.285	1
60	1	8	0.582	1
64	1	3	0.471	1
76	1	1	0.385	1
80	1	2	0.297	1
84	1	9	0.302	1
88	1	7	0.390	1
92	1	3	0.426	1
96	1	1	0.350	1
100	1	5	0.337	1
104	1	13	0.248	1
112	1	4	0.464	1
120	1	12	0.493	1
128	1	8	0.409	1
132	1	6	0.324	1
136	1	10	0.390	1
140	1	11	0.405	1
144	1	5	0.383	1
148	1	12	0.440	1
152	1	13	0.405	1
156	1	6	0.633	1
164	1	9	0.370	1
168	1	1	0.324	1
172	1	7	0.379	1
176	1	10	0.304	1
180	1	11	0.408	1
184	1	4	0.237	1
188	1	2	0.304	1
192	1	3	0.379	1
196	1	8	0.297	1
200	1	13	0.233	0
204	1	3	0.390	1
208	1	2	0.531	1
212	1	12	0.374	1
216	1	10	0.358	1
220	1	5	0.432	1
224	1	11	0.407	1
228	1	1	0.384	1
232	1	7	0.445	1
240	1	8	0.362	1
248	1	4	0.421	1
260	1	9	0.490	1
264	1	6	0.295	1
