task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt	flip1	flip2	flip3	flip4
1	2	1	12	11	0.700	2	2	1	0.613	86444.577	86445.290	86445.592	86445.603
1	2	2	16	6	0.100	1	1	1	0.892	86448.597	86448.684	86449.574	86449.578
1	2	3	20	4	0.850	1	1	1	0.583	86452.592	86453.442	86453.591	86453.596
1	2	4	24	12	0.600	1	1	1	0.519	86456.592	86457.182	86457.576	86457.581
1	2	5	28	10	0.650	1	1	1	0.530	86460.608	86461.229	86461.573	86461.597
1	2	6	32	2	0.350	1	1	1	0.578	86464.583	86464.929	86465.573	86465.596
1	2	7	36	NaN	NaN	NaN	NaN	NaN	NaN	86468.583	NaN	NaN	NaN
1	2	8	40	5	0.900	2	2	1	0.468	86472.570	86473.476	86473.591	86473.603
1	2	9	44	9	0.850	1	1	1	0.553	86476.597	86477.429	86477.575	86477.589
1	2	10	48	1	0.450	2	2	1	0.523	86480.583	86481.033	86481.570	86481.575
1	2	11	52	8	0.650	2	2	1	0.420	86484.613	86485.235	86485.597	86485.610
1	2	12	56	13	0.750	2	2	1	0.388	86488.605	86489.331	86489.575	86489.590
1	2	13	60	3	0.500	1	1	1	0.513	86492.589	86493.095	86493.576	86493.579
1	2	14	64	7	0.400	1	1	1	0.787	86496.607	86496.998	86497.570	86497.591
1	2	15	68	13	0.700	2	2	1	0.415	86500.585	86501.275	86501.575	86501.578
1	2	16	72	4	0.350	1	1	1	0.573	86504.587	86504.944	86505.570	86505.582
1	2	17	76	9	0.450	2	2	1	0.374	86508.609	86509.050	86509.586	86509.602
1	2	18	80	1	0.900	1	1	1	0.615	86512.586	86513.486	86513.575	86513.580
1	2	19	84	2	0.250	1	1	1	0.561	86516.598	86516.830	86517.572	86517.590
1	2	20	88	12	0.700	2	2	1	0.388	86520.606	86521.287	86521.577	86521.581
1	2	21	92	NaN	NaN	NaN	NaN	NaN	NaN	86524.596	NaN	NaN	NaN
1	2	22	96	8	0.200	1	1	1	0.650	86528.568	86528.785	86529.581	86529.584
1	2	23	100	NaN	NaN	NaN	NaN	NaN	NaN	86532.596	NaN	NaN	NaN
1	2	24	104	11	0.750	2	2	1	0.463	86536.570	86537.352	86537.578	86537.589
1	2	25	108	7	0.900	2	2	1	0.494	86540.597	86541.481	86541.596	86541.600
1	2	26	112	6	0.200	2	2	1	0.558	86544.594	86544.777	86545.576	86545.599
1	2	27	116	3	0.200	1	1	1	0.658	86548.601	86548.778	86549.579	86549.596
1	2	28	120	NaN	NaN	NaN	NaN	NaN	NaN	86552.589	NaN	NaN	NaN
