task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt	flip1	flip2	flip3	flip4
2	3	1	12	2	0.500	2	2	1	0.473	88990.250	88990.758	88991.255	88991.259
2	3	2	16	3	0.250	2	2	1	0.530	88994.292	88994.507	88995.263	88995.268
2	3	3	20	7	0.150	1	1	1	0.655	88998.273	88998.407	88999.250	88999.265
2	3	4	24	1	0.550	2	2	1	0.482	89002.288	89002.811	89003.263	89003.283
2	3	5	28	8	0.150	2	2	1	0.596	89006.273	89006.409	89007.257	89007.277
2	3	6	32	5	0.650	2	2	1	0.456	89010.275	89010.907	89011.253	89011.257
2	3	7	36	12	0.100	1	1	1	0.648	89014.273	89014.380	89015.263	89015.283
2	3	8	40	NaN	NaN	NaN	NaN	NaN	NaN	89018.272	NaN	NaN	NaN
2	3	9	44	13	0.300	2	2	1	0.506	89022.249	89022.559	89023.254	89023.265
2	3	10	48	NaN	NaN	NaN	NaN	NaN	NaN	89026.293	NaN	NaN	NaN
2	3	11	52	11	0.850	2	2	1	0.509	89030.250	89031.112	89031.258	89031.261
2	3	12	56	9	0.600	2	2	1	0.387	89034.291	89034.854	89035.260	89035.282
2	3	13	60	NaN	NaN	NaN	NaN	NaN	NaN	89038.273	NaN	NaN	NaN
2	3	14	64	6	0.850	2	2	1	0.432	89042.249	89043.106	89043.252	89043.265
2	3	15	68	4	0.200	1	1	1	0.621	89046.286	89046.461	89047.254	89047.265
2	3	16	72	NaN	NaN	NaN	NaN	NaN	NaN	89050.265	NaN	NaN	NaN
2	3	17	76	10	0.700	1	1	1	0.482	89054.253	89054.966	89055.257	89055.272
2	3	18	80	NaN	NaN	NaN	NaN	NaN	NaN	89058.272	NaN	NaN	NaN
2	3	19	84	2	0.400	2	2	1	1.039	89062.249	89062.658	89063.257	89063.272
2	3	20	88	NaN	NaN	NaN	NaN	NaN	NaN	89066.272	NaN	NaN	NaN
2	3	21	92	4	0.150	1	1	1	0.574	89070.251	89070.405	89071.253	89071.265
2	3	22	96	NaN	NaN	NaN	NaN	NaN	NaN	89074.281	NaN	NaN	NaN
