task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt	flip1	flip2	flip3	flip4
1	1	1	12	9	0.250	2	2	1	0.725	86111.517	86111.825	86112.526	86112.549
1	1	2	16	NaN	NaN	NaN	NaN	NaN	NaN	86115.585	NaN	NaN	NaN
1	1	3	20	2	0.400	2	2	1	0.744	86119.517	86119.922	86120.524	86120.536
1	1	4	24	4	0.900	2	2	1	0.788	86123.549	86124.449	86124.520	86124.528
1	1	5	28	6	0.450	1	1	1	0.605	86127.557	86127.982	86128.522	86128.526
1	1	6	32	7	0.450	1	1	1	0.572	86131.571	86131.997	86132.521	86132.536
1	1	7	36	10	0.400	1	1	1	0.627	86135.548	86135.924	86136.541	86136.544
1	1	8	40	NaN	NaN	NaN	NaN	NaN	NaN	86139.544	NaN	NaN	NaN
1	1	9	44	5	0.700	2	2	1	0.691	86143.527	86144.226	86144.526	86144.531
1	1	10	48	1	0.900	1	1	1	0.588	86147.535	86148.430	86148.526	86148.542
1	1	11	52	8	0.850	1	1	1	0.668	86151.565	86152.402	86152.526	86152.547
1	1	12	56	3	0.200	2	2	1	0.587	86155.540	86155.732	86156.516	86156.529
1	1	13	60	11	0.550	2	2	1	0.690	86159.545	86160.078	86160.525	86160.536
1	1	14	64	13	0.800	1	1	1	0.578	86163.560	86164.329	86164.520	86164.543
1	1	15	68	12	0.450	1	1	1	0.634	86167.547	86167.990	86168.521	86168.525
1	1	16	72	NaN	NaN	NaN	NaN	NaN	NaN	86171.536	NaN	NaN	NaN
1	1	17	76	2	0.500	1	1	1	0.451	86175.517	86176.034	86176.527	86176.543
1	1	18	80	12	0.550	1	1	1	0.543	86179.554	86180.085	86180.542	86180.557
1	1	19	84	NaN	NaN	NaN	NaN	NaN	NaN	86183.536	NaN	NaN	NaN
1	1	20	88	11	0.200	1	1	1	0.584	86187.517	86187.725	86188.521	86188.543
1	1	21	92	1	0.700	2	2	1	0.370	86191.561	86192.234	86192.518	86192.536
1	1	22	96	NaN	NaN	NaN	NaN	NaN	NaN	86195.542	NaN	NaN	NaN
1	1	23	100	10	0.150	1	1	1	0.653	86199.517	86199.696	86200.522	86200.536
1	1	24	104	3	0.650	1	1	1	0.570	86203.543	86204.172	86204.543	86204.556
1	1	25	108	13	0.600	1	1	1	0.416	86207.540	86208.151	86208.525	86208.543
1	1	26	112	NaN	NaN	NaN	NaN	NaN	NaN	86211.549	NaN	NaN	NaN
1	1	27	116	NaN	NaN	NaN	NaN	NaN	NaN	86215.537	NaN	NaN	NaN
1	1	28	120	6	0.750	2	2	1	0.470	86219.515	86220.280	86220.526	86220.542
1	1	29	124	5	0.550	1	1	1	0.454	86223.536	86224.080	86224.517	86224.535
1	1	30	128	9	0.150	2	2	1	0.579	86227.551	86227.692	86228.521	86228.526
1	1	31	132	7	0.800	1	1	1	0.568	86231.552	86232.332	86232.521	86232.535
1	1	32	136	4	0.850	2	2	1	0.728	86235.538	86236.378	86236.523	86236.535
1	1	33	140	8	0.500	2	2	1	0.518	86239.552	86240.031	86240.519	86240.535
1	1	34	144	NaN	NaN	NaN	NaN	NaN	NaN	86243.535	NaN	NaN	NaN
1	1	35	148	8	0.100	2	2	1	0.611	86247.516	86247.629	86248.527	86248.530
1	1	36	152	NaN	NaN	NaN	NaN	NaN	NaN	86251.528	NaN	NaN	NaN
1	1	37	156	4	0.200	2	2	1	0.515	86255.517	86255.736	86256.520	86256.535
1	1	38	160	13	0.550	1	1	1	0.537	86259.543	86260.100	86260.518	86260.522
1	1	39	164	6	0.900	1	1	1	0.585	86263.557	86264.425	86264.526	86264.542
1	1	40	168	7	0.750	2	2	1	0.498	86267.534	86268.273	86268.514	86268.528
1	1	41	172	3	0.100	2	2	1	0.629	86271.551	86271.629	86272.518	86272.528
1	1	42	176	12	0.350	2	2	1	0.473	86275.554	86275.879	86276.534	86276.549
1	1	43	180	5	0.750	2	2	1	0.400	86279.550	86280.294	86280.517	86280.528
1	1	44	184	1	0.100	2	2	1	0.593	86283.532	86283.620	86284.523	86284.535
1	1	45	188	2	0.300	1	1	1	0.518	86287.536	86287.829	86288.518	86288.539
1	1	46	192	10	0.100	2	2	1	0.598	86291.544	86291.629	86292.516	86292.521
1	1	47	196	9	0.600	2	2	1	0.412	86295.531	86296.127	86296.519	86296.523
1	1	48	200	11	0.900	1	1	1	0.509	86299.543	86300.455	86300.524	86300.532
1	1	49	204	10	0.800	1	1	1	0.622	86303.544	86304.323	86304.520	86304.535
1	1	50	208	12	0.400	1	1	1	0.524	86307.536	86307.945	86308.518	86308.523
1	1	51	212	4	0.250	2	2	1	0.682	86311.544	86311.773	86312.528	86312.542
1	1	52	216	NaN	NaN	NaN	NaN	NaN	NaN	86315.542	NaN	NaN	NaN
1	1	53	220	6	0.150	2	2	1	0.514	86319.514	86319.678	86320.516	86320.520
1	1	54	224	NaN	NaN	NaN	NaN	NaN	NaN	86323.535	NaN	NaN	NaN
1	1	55	228	5	0.300	1	1	1	0.547	86327.516	86327.831	86328.516	86328.527
1	1	56	232	2	0.500	2	2	1	0.538	86331.540	86332.044	86332.517	86332.521
1	1	57	236	11	0.750	2	2	1	0.446	86335.544	86336.294	86336.518	86336.534
1	1	58	240	7	0.200	2	2	1	0.669	86339.557	86339.721	86340.518	86340.540
1	1	59	244	13	0.600	1	1	1	0.373	86343.531	86344.131	86344.523	86344.527
1	1	60	248	9	0.750	1	1	1	1.039	86347.532	86348.278	86348.542	86348.555
1	1	61	252	3	0.450	2	2	1	0.519	86351.549	86351.986	86352.524	86352.541
1	1	62	256	NaN	NaN	NaN	NaN	NaN	NaN	86355.528	NaN	NaN	NaN
1	1	63	260	NaN	NaN	NaN	NaN	NaN	NaN	86359.528	NaN	NaN	NaN
1	1	64	264	1	0.300	1	1	1	0.538	86363.515	86363.819	86364.519	86364.534
1	1	65	268	8	0.550	1	1	1	0.543	86367.535	86368.074	86368.521	86368.524
