task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt	flip1	flip2	flip3	flip4
2	2	1	12	11	0.700	2	2	1	0.500	88658.175	88658.907	88659.190	88659.195
2	2	2	16	6	0.100	1	1	1	0.798	88662.215	88662.290	88663.181	88663.192
2	2	3	20	4	0.850	1	1	1	0.465	88666.196	88667.052	88667.190	88667.210
2	2	4	24	12	0.600	1	1	1	0.430	88670.194	88670.785	88671.178	88671.199
2	2	5	28	10	0.650	1	1	1	0.492	88674.192	88674.835	88675.185	88675.199
2	2	6	32	2	0.350	1	1	1	0.445	88678.199	88678.537	88679.175	88679.179
2	2	7	36	NaN	NaN	NaN	NaN	NaN	NaN	88682.192	NaN	NaN	NaN
2	2	8	40	5	0.900	2	2	1	0.461	88686.175	88687.088	88687.183	88687.203
2	2	9	44	9	0.850	1	1	1	0.653	88690.191	88691.037	88691.174	88691.178
2	2	10	48	1	0.450	2	2	1	0.500	88694.192	88694.650	88695.181	88695.191
2	2	11	52	8	0.650	2	2	1	0.405	88698.187	88698.835	88699.182	88699.198
2	2	12	56	13	0.750	2	2	1	0.527	88702.211	88702.936	88703.189	88703.194
2	2	13	60	3	0.500	1	1	1	0.930	88706.209	88706.682	88707.179	88707.191
2	2	14	64	7	0.400	1	1	1	0.514	88710.217	88710.583	88711.190	88711.209
2	2	15	68	13	0.700	2	2	1	0.460	88714.192	88714.904	88715.175	88715.191
2	2	16	72	4	0.350	1	1	1	0.755	88718.195	88718.532	88719.174	88719.178
2	2	17	76	9	0.450	2	2	1	0.665	88722.213	88722.648	88723.188	88723.208
2	2	18	80	1	0.900	1	1	1	0.604	88726.214	88727.087	88727.188	88727.208
2	2	19	84	2	0.250	1	1	1	0.593	88730.194	88730.430	88731.187	88731.198
2	2	20	88	12	0.700	2	2	1	0.500	88734.203	88734.892	88735.182	88735.198
2	2	21	92	NaN	NaN	NaN	NaN	NaN	NaN	88738.198	NaN	NaN	NaN
2	2	22	96	8	0.200	1	1	1	0.733	88742.174	88742.380	88743.191	88743.195
2	2	23	100	NaN	NaN	NaN	NaN	NaN	NaN	88746.191	NaN	NaN	NaN
2	2	24	104	11	0.750	2	2	1	0.647	88750.174	88750.931	88751.172	88751.188
2	2	25	108	7	0.900	2	2	1	0.615	88754.209	88755.081	88755.188	88755.193
2	2	26	112	6	0.200	2	2	1	0.689	88758.206	88758.381	88759.192	88759.196
2	2	27	116	3	0.200	1	1	1	0.761	88762.198	88762.383	88763.182	88763.197
2	2	28	120	NaN	NaN	NaN	NaN	NaN	NaN	88766.191	NaN	NaN	NaN
2	2	29	124	NaN	NaN	NaN	NaN	NaN	NaN	88770.178	NaN	NaN	NaN
2	2	30	128	5	0.650	2	2	1	0.554	88774.173	88774.836	88775.181	88775.185
2	2	31	132	NaN	NaN	NaN	NaN	NaN	NaN	88778.191	NaN	NaN	NaN
2	2	32	136	10	0.600	2	2	1	0.562	88782.188	88782.784	88783.172	88783.187
2	2	33	140	7	0.750	2	2	1	0.515	88786.208	88786.938	88787.178	88787.182
2	2	34	144	8	0.500	2	2	1	0.492	88790.192	88790.680	88791.178	88791.191
2	2	35	148	1	0.300	2	2	1	0.717	88794.210	88794.485	88795.174	88795.178
2	2	36	152	12	0.350	1	1	1	0.603	88798.204	88798.556	88799.174	88799.178
2	2	37	156	2	0.900	1	1	1	0.420	88802.213	88803.078	88803.173	88803.187
2	2	38	160	11	0.600	1	1	1	0.637	88806.191	88806.783	88807.173	88807.187
2	2	39	164	NaN	NaN	NaN	NaN	NaN	NaN	88810.207	NaN	NaN	NaN
2	2	40	168	3	0.650	1	1	1	1.039	88814.177	88814.850	88815.180	88815.185
2	2	41	172	4	0.550	2	2	1	0.434	88818.198	88818.730	88819.176	88819.180
2	2	42	176	5	0.800	1	1	1	0.471	88822.198	88822.980	88823.182	88823.207
2	2	43	180	6	0.400	1	1	1	0.494	88826.205	88826.576	88827.177	88827.180
2	2	44	184	10	0.750	1	1	1	0.441	88830.198	88830.933	88831.186	88831.197
2	2	45	188	9	0.100	2	2	1	0.796	88834.198	88834.305	88835.175	88835.179
2	2	46	192	13	0.300	2	2	1	0.597	88838.194	88838.484	88839.193	88839.204
2	2	47	196	7	0.250	2	2	1	0.632	88842.202	88842.434	88843.173	88843.183
2	2	48	200	NaN	NaN	NaN	NaN	NaN	NaN	88846.191	NaN	NaN	NaN
2	2	49	204	13	0.200	1	1	1	0.485	88850.174	88850.389	88851.182	88851.197
2	2	50	208	NaN	NaN	NaN	NaN	NaN	NaN	88854.204	NaN	NaN	NaN
2	2	51	212	5	0.250	1	1	1	0.571	88858.187	88858.430	88859.173	88859.194
2	2	52	216	1	0.400	2	2	1	0.645	88862.199	88862.600	88863.180	88863.184
2	2	53	220	NaN	NaN	NaN	NaN	NaN	NaN	88866.190	NaN	NaN	NaN
2	2	54	224	2	0.850	1	1	1	0.409	88870.174	88871.029	88871.173	88871.190
2	2	55	228	8	0.550	2	2	1	0.509	88874.205	88874.731	88875.190	88875.205
2	2	56	232	6	0.800	1	1	1	0.834	88878.198	88878.989	88879.176	88879.199
2	2	57	236	10	0.350	1	1	1	0.796	88882.186	88882.529	88883.175	88883.179
2	2	58	240	NaN	NaN	NaN	NaN	NaN	NaN	88886.183	NaN	NaN	NaN
2	2	59	244	4	0.850	2	2	1	0.507	88890.175	88891.029	88891.172	88891.183
2	2	60	248	NaN	NaN	NaN	NaN	NaN	NaN	88894.197	NaN	NaN	NaN
2	2	61	252	NaN	NaN	NaN	NaN	NaN	NaN	88898.181	NaN	NaN	NaN
2	2	62	256	9	0.500	1	1	1	0.496	88902.170	88902.689	88903.180	88903.201
2	2	63	260	3	0.500	2	2	1	0.433	88906.193	88906.684	88907.174	88907.195
2	2	64	264	11	0.650	2	2	1	0.479	88910.207	88910.831	88911.185	88911.197
2	2	65	268	12	0.650	2	2	1	0.770	88914.187	88914.835	88915.175	88915.178
