onset	duration	node	response_time	accuracy
12	1	9	0.725	1
20	1	2	0.744	1
24	1	4	0.788	1
28	1	6	0.605	1
32	1	7	0.572	1
36	1	10	0.627	1
44	1	5	0.691	1
48	1	1	0.588	1
52	1	8	0.668	1
56	1	3	0.587	1
60	1	11	0.690	1
64	1	13	0.578	1
68	1	12	0.634	1
76	1	2	0.451	1
80	1	12	0.543	1
88	1	11	0.584	1
92	1	1	0.370	1
100	1	10	0.653	1
104	1	3	0.570	1
108	1	13	0.416	1
120	1	6	0.470	1
124	1	5	0.454	1
128	1	9	0.579	1
132	1	7	0.568	1
136	1	4	0.728	1
140	1	8	0.518	1
148	1	8	0.611	1
156	1	4	0.515	1
160	1	13	0.537	1
164	1	6	0.585	1
168	1	7	0.498	1
172	1	3	0.629	1
176	1	12	0.473	1
180	1	5	0.400	1
184	1	1	0.593	1
188	1	2	0.518	1
192	1	10	0.598	1
196	1	9	0.412	1
200	1	11	0.509	1
204	1	10	0.622	1
208	1	12	0.524	1
212	1	4	0.682	1
220	1	6	0.514	1
228	1	5	0.547	1
232	1	2	0.538	1
236	1	11	0.446	1
240	1	7	0.669	1
244	1	13	0.373	1
248	1	9	1.039	1
252	1	3	0.519	1
264	1	1	0.538	1
268	1	8	0.543	1
