task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt	flip1	flip2	flip3	flip4
1	3	1	12	2	0.500	2	2	1	0.610	86771.318	86771.830	86772.320	86772.336
1	3	2	16	3	0.250	2	2	1	0.480	86775.339	86775.599	86776.325	86776.337
1	3	3	20	7	0.150	1	1	1	0.745	86779.352	86779.489	86780.325	86780.337
1	3	4	24	1	0.550	2	2	1	0.559	86783.363	86783.881	86784.331	86784.335
1	3	5	28	8	0.150	2	2	1	0.565	86787.336	86787.477	86788.326	86788.337
1	3	6	32	5	0.650	2	2	1	0.429	86791.339	86791.992	86792.324	86792.337
1	3	7	36	12	0.100	1	1	1	0.670	86795.334	86795.434	86796.326	86796.337
1	3	8	40	NaN	NaN	NaN	NaN	NaN	NaN	86799.331	NaN	NaN	NaN
1	3	9	44	13	0.300	2	2	1	0.639	86803.318	86803.629	86804.323	86804.337
1	3	10	48	NaN	NaN	NaN	NaN	NaN	NaN	86807.344	NaN	NaN	NaN
1	3	11	52	11	0.850	2	2	1	0.520	86811.319	86812.185	86812.333	86812.344
1	3	12	56	9	0.600	2	2	1	0.480	86815.342	86815.929	86816.324	86816.329
1	3	13	60	NaN	NaN	NaN	NaN	NaN	NaN	86819.351	NaN	NaN	NaN
1	3	14	64	6	0.850	2	2	1	0.520	86823.317	86824.177	86824.324	86824.329
1	3	15	68	4	0.200	1	1	1	0.559	86827.349	86827.530	86828.333	86828.343
1	3	16	72	NaN	NaN	NaN	NaN	NaN	NaN	86831.336	NaN	NaN	NaN
1	3	17	76	10	0.700	1	1	1	0.454	86835.318	86836.029	86836.328	86836.344
1	3	18	80	NaN	NaN	NaN	NaN	NaN	NaN	86839.330	NaN	NaN	NaN
1	3	19	84	2	0.400	2	2	1	0.537	86843.316	86843.730	86844.323	86844.328
1	3	20	88	NaN	NaN	NaN	NaN	NaN	NaN	86847.351	NaN	NaN	NaN
1	3	21	92	4	0.150	1	2	0	0.598	86851.318	86851.478	86852.323	86852.328
1	3	22	96	NaN	NaN	NaN	NaN	NaN	NaN	86855.343	NaN	NaN	NaN
1	3	23	100	5	0.150	2	2	1	0.713	86859.317	86859.477	86860.323	86860.336
1	3	24	104	NaN	NaN	NaN	NaN	NaN	NaN	86863.357	NaN	NaN	NaN
1	3	25	108	9	0.450	1	1	1	0.603	86867.317	86867.779	86868.320	86868.336
1	3	26	112	3	0.400	2	2	1	0.453	86871.344	86871.724	86872.325	86872.336
1	3	27	116	13	0.850	2	2	1	0.521	86875.363	86876.174	86876.323	86876.328
1	3	28	120	1	0.150	2	2	1	0.593	86879.340	86879.484	86880.336	86880.350
1	3	29	124	11	0.850	2	2	1	0.526	86883.341	86884.180	86884.323	86884.328
1	3	30	128	12	0.100	1	1	1	0.736	86887.336	86887.430	86888.326	86888.330
1	3	31	132	8	0.750	2	2	1	0.597	86891.352	86892.102	86892.335	86892.339
1	3	32	136	10	0.600	1	1	1	0.443	86895.334	86895.932	86896.326	86896.330
1	3	33	140	7	0.250	1	1	1	0.579	86899.351	86899.581	86900.316	86900.321
1	3	34	144	6	0.350	2	2	1	0.583	86903.353	86903.683	86904.342	86904.356
1	3	35	148	12	0.200	2	2	1	0.567	86907.344	86907.527	86908.322	86908.336
1	3	36	152	1	0.750	1	1	1	0.491	86911.337	86912.080	86912.326	86912.342
1	3	37	156	13	0.550	1	1	1	0.595	86915.362	86915.886	86916.322	86916.336
1	3	38	160	10	0.100	1	1	1	0.588	86919.331	86919.423	86920.322	86920.336
1	3	39	164	11	0.250	1	1	1	0.823	86923.337	86923.573	86924.326	86924.342
1	3	40	168	6	0.600	2	2	1	0.434	86927.332	86927.928	86928.322	86928.327
1	3	41	172	NaN	NaN	NaN	NaN	NaN	NaN	86931.329	NaN	NaN	NaN
1	3	42	176	NaN	NaN	NaN	NaN	NaN	NaN	86935.317	NaN	NaN	NaN
1	3	43	180	3	0.850	2	2	1	0.531	86939.331	86940.182	86940.326	86940.343
1	3	44	184	2	0.150	1	1	1	0.766	86943.362	86943.480	86944.316	86944.320
1	3	45	188	4	0.700	1	1	1	0.756	86947.351	86948.033	86948.322	86948.336
1	3	46	192	9	0.450	2	2	1	0.710	86951.335	86951.771	86952.321	86952.336
1	3	47	196	7	0.700	1	1	1	0.585	86955.335	86956.026	86956.321	86956.336
1	3	48	200	8	0.400	1	1	1	0.560	86959.346	86959.726	86960.321	86960.326
1	3	49	204	5	0.150	1	1	1	0.944	86963.357	86963.497	86964.341	86964.361
1	3	50	208	12	0.300	1	1	1	0.726	86967.340	86967.630	86968.317	86968.329
1	3	51	212	8	0.300	1	1	1	0.538	86971.336	86971.626	86972.321	86972.326
1	3	52	216	11	0.650	2	2	1	0.417	86975.338	86975.999	86976.321	86976.335
1	3	53	220	5	0.550	2	2	1	0.637	86979.339	86979.876	86980.325	86980.335
1	3	54	224	NaN	NaN	NaN	NaN	NaN	NaN	86983.362	NaN	NaN	NaN
1	3	55	228	NaN	NaN	NaN	NaN	NaN	NaN	86987.323	NaN	NaN	NaN
1	3	56	232	4	0.100	2	2	1	0.845	86991.316	86991.447	86992.325	86992.329
1	3	57	236	7	0.200	1	1	1	0.748	86995.361	86995.526	86996.321	86996.343
1	3	58	240	10	0.550	1	1	1	0.553	86999.333	86999.882	87000.326	87000.342
1	3	59	244	NaN	NaN	NaN	NaN	NaN	NaN	87003.328	NaN	NaN	NaN
1	3	60	248	1	0.250	1	1	1	0.495	87007.315	87007.573	87008.320	87008.325
1	3	61	252	6	0.150	1	1	1	0.545	87011.356	87011.496	87012.322	87012.340
1	3	62	256	2	0.550	1	1	1	0.473	87015.338	87015.906	87016.316	87016.320
1	3	63	260	9	0.150	2	2	1	0.665	87019.359	87019.489	87020.315	87020.319
1	3	64	264	13	0.650	2	2	1	1.096	87023.340	87023.994	87024.323	87024.340
1	3	65	268	3	0.750	1	1	1	0.452	87027.354	87028.077	87028.340	87028.360
