onset	duration	node	response_time	accuracy
12	1	2	0.473	1
16	1	3	0.530	1
20	1	7	0.655	1
24	1	1	0.482	1
28	1	8	0.596	1
32	1	5	0.456	1
36	1	12	0.648	1
44	1	13	0.506	1
52	1	11	0.509	1
56	1	9	0.387	1
64	1	6	0.432	1
68	1	4	0.621	1
76	1	10	0.482	1
84	1	2	1.039	1
92	1	4	0.574	1
100	1	5	0.663	1
108	1	9	0.694	1
112	1	3	0.531	1
116	1	13	0.521	1
120	1	1	0.786	1
124	1	11	0.439	1
128	1	12	0.631	1
132	1	8	0.401	1
136	1	10	0.413	1
140	1	7	0.649	1
144	1	6	0.379	1
148	1	12	1.146	1
152	1	1	0.378	1
156	1	13	0.552	1
160	1	10	0.545	1
164	1	11	0.444	1
168	1	6	0.372	1
180	1	3	0.627	1
184	1	2	0.650	1
188	1	4	0.521	1
192	1	9	0.489	1
196	1	7	0.426	1
200	1	8	0.456	1
204	1	5	0.523	1
208	1	12	0.597	1
212	1	8	0.597	1
216	1	11	0.511	1
220	1	5	0.575	1
232	1	4	0.706	1
236	1	7	0.453	1
240	1	10	0.362	1
248	1	1	0.567	1
252	1	6	0.556	1
256	1	2	0.380	1
260	1	9	0.599	1
264	1	13	0.485	1
268	1	3	1.003	1
