global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
9359.25621136154	n/a	n/a	87595676.82990958	8727.149282660852	n/a	n/a	76163134.60184783	6539.262700142868	n/a	n/a	42761956.66147979	6511.43973646021	8605.662545160396	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.00918233	n/a	8.43151842289e-05	n/a	0.00686244	n/a	4.70930827536e-05	n/a	0.0683421	n/a	n/a	0.00467064263241	-6.6174400000000014e-24	n/a	n/a	4.3790512153600007e-47	-0.000168638	n/a	n/a	2.8438775044000002e-08	0.000271889	n/a	n/a	7.392362832099999e-08
9318.452272041406	-40.80393932013431	1664.9614640412024	86833552.74631365	8483.352973527175	-243.7963091336769	59436.64034720336	71967277.67345236	6544.546241839544	5.2835416966754565	27.91581286050816	42831085.511576094	6511.317138028439	8515.454414438698	1.06172	40.788345	0.04852174	0.0276417	-0.0058953327	-0.123428837	0.0628640429	-0.0039303302	0.1010748938	-0.0147939773	-0.0910759375	-0.0622311314	0.0265609549	-0.0680389076	0.0603691963	-0.0046834264	0.0739715398	-0.0503805896	0.117456211	-0.0795382012	-0.0002802724	0.0472289437	-0.0941616556	0.2369702746	-0.0660100684	0.0699525982	-0.1099352343	0.1195307203	-0.0453311226	0.0028785293	-0.0265444313	0.017510491	-0.160167606	0.1182273469	-0.0735701075	0.0376350275	-0.0238531234	-0.1412814447	0.044186512	-0.0250397879	-0.0411208925	-0.0002867436	0.0158139766	-0.04988262	0.1027454	-0.0413588596	0.0568413431	-0.0007157184	0.0065615641	0.0628137329	-0.0141350528	0.0242931526	-0.0054651884	0.0281842952	-0.0505547141	0.0645454164	-0.0279789759	0.072601236	-0.0144503174	0.0694661799	-0.0029791537	0.0797313539	0.0366413483	-0.1079304975	0.0358397731	0.0133227572	-0.0977190817	-0.0104448329	0.0921650944	-0.1191943241	-0.0282779169	-0.028076683	-0.0363996006	0.1290517171	0.0104966233	0.0162910325	0.1437805043	-0.1027842327	-0.064942714	0.0165868849	0.0313946794	0.0018559052	0.0813815487	-0.1203682802	0.0537423762	0.0350427491	0.1408915471	0.0837858565	-0.0887582364	-0.0268542813	-0.02663106	-0.1414182036	-0.0222931334	0.0259641801	0.1212745055	0.0146348684	-0.1480023154	-0.0416771897	-0.0024473692	0.0023737473	-0.0584179259	0.0708229706	0.0653759246	-0.0378358213	0.0577002605	-0.0044058142	0.0160454032	0.0546415861	-0.0207393172	0.0120823169	-0.0049656414	0.0201730728	-0.06719963	0.0886814543	-0.0782498756	0.0170840045	-0.0799544253	0.0422179905	-0.0429617384	0.0425951101	-0.0156828304	-0.052111765	0.026860748	-0.0647215375	-0.0686613468	0.0708628405	0.0140174624	0.0975250037	-0.084342564	0.1268323484	0.037619306	0.0047321968	0.1750888348	-0.1050689774	-0.0236812486	-0.0487339906	0.1620857676	-0.0994768624	-0.0152239679	-0.006710334	-0.1219650534	0.0474967687	0.0371006432	0.0279328641	0.0010952661	0.0145680464	-0.0155980456	-0.0153698632	-0.0554833451	-0.0268021259	-0.1035919248	0.1642554082	0.0160141857	-0.0599349549	-0.0426053395	-0.1151967206	0.0652073678	-0.0323745405	0.0809432659	-0.0277834112	0.0280670677	-0.1321016073	0.0143607729	-0.0090461778	0.0185183455	-0.078277573	0.1567147673	-0.023179628	0.0267781679	-0.0496230043	0.0194300867	-0.2380782044	-0.0535709624	0.0654615462	-0.0869702347	0.0940926695	-0.0357752604	0.0716423534	-0.0351789797	0.0550274609	-0.0552067524	0.12355153	0.1235248834	0.1234804767	0.0	0.0077108	-0.00147153	5.945643664e-05	2.165400540900001e-06	0.0107328	0.00387036	0.00011519299584	1.4979686529600005e-05	0.0916011	0.023259	0.000540981081	0.00839076152121	-0.000189143	-0.000189143	3.5775074448999994e-08	3.5775074448999994e-08	-0.000340277	-0.000171639	2.9459946321e-08	1.15788436729e-07	0.000234254	-3.763499999999997e-05	1.416393224999998e-09	5.4874936516000004e-08
9303.441067202528	-15.011204838878257	225.336270714762	86554015.6909105	8451.305217156043	-32.04775637113198	1027.0586884234306	71424559.87352896	6547.291571648188	2.745329808644783	7.536835758233601	42867026.92417541	6514.217086943168	8447.347178690305	0.954855	36.682892	0.04154349	0.0206192	0.1183517263	-0.1024343343	0.103361187	0.046861081	0.0037458882	0.1299994871	0.0312869862	-0.0830823128	0.074842629	0.0825510456	0.0104103256	0.0629829692	0.0125928501	-0.028735553	0.011469422	-0.0980336489	-0.1446200798	0.0045043832	-0.0781456379	0.1329332031	0.016423985	-0.0744659699	-0.2743194857	-0.122738818	-0.1269725856	0.0279269928	-0.0788657318	-0.0207022447	-0.0044636848	0.0255690085	0.0127320968	0.1140376489	-0.0240188456	-0.1569731404	0.0612095916	-0.118004276	0.0316895711	0.0053165433	-0.0519337589	0.032547193	0.0957736172	-0.031091393	0.0207042362	0.0071741427	-0.0280936934	-0.0002142547	-0.0580737426	0.0033915303	-0.0244265513	0.0238856818	-0.0099217684	-0.026873747	-0.0090331646	0.0416822719	0.1943401723	0.1076167632	-0.025358951	0.0906935748	0.0549837572	-0.0416573086	0.147201757	-0.0249512658	0.0728871704	-0.1618978203	0.1354329402	-0.0452351149	-0.1202507963	0.0582347359	-0.1364705513	-0.0033296976	-0.1407396345	0.0793286909	0.1858779968	0.0255592631	-0.0573886524	0.0229718736	-0.0157442285	-0.1117119226	0.0898266309	-0.0351842058	-0.0691410709	0.0309099416	0.0631946475	0.1175895523	-0.077065873	-0.0932006463	-0.0940757092	-0.1109215112	-0.0036271832	0.1341909087	0.0817952516	0.0454533028	-0.1560952107	-0.0931693962	0.0560527702	0.0403773442	0.0386032621	0.1038889254	0.052376297	-0.0165114799	0.0234558093	-0.0004242057	0.0456534605	-0.0067639594	0.0321547595	0.042215917	0.0248311169	-0.0092593477	-0.0780441978	0.0136277775	-0.0835084202	-0.0727996966	-0.0380492094	-0.0627647368	-0.2088648425	0.0501782759	0.0812251372	-0.0260386649	-0.1348260072	-0.1331355283	0.0418533566	-0.0056032889	-0.0559253528	0.1027805134	-0.1207392831	-0.0033004172	0.0136397919	-0.0318692093	0.1143222513	-0.2983452594	0.0683729741	0.0752298367	0.0085938719	-0.0008503343	-0.0738566746	0.0607227113	-0.0080052656	0.0353427344	0.1603618693	-0.006266836	-0.0733557393	-0.0074252587	0.0228542411	0.0856452573	-0.0748996417	-0.0709252938	-0.1340654153	0.1002183087	-0.0923656253	-0.0284888224	-0.0134069425	-0.1274722437	0.2077911592	-0.0803775194	0.0225907176	-0.039015824	-0.1413609988	-0.1294556326	0.0602716714	0.0888638169	-0.046928784	-0.0917023663	0.2097250247	-0.0387674472	0.108462377	-0.1293542701	0.0408987938	-0.1372258332	-0.0146532757	0.0926779845	0.0364168239	-0.0451434711	-0.0146263233	-0.064706031	-0.0154100021	-0.0430207651	0.0449177723	0.1234804767	0.1232407722	0.1228416094	0.0	0.00397612	-0.00373468	1.5809530254399997e-05	1.3947834702400003e-05	-0.00304981	-0.01378261	9.3013410361e-06	0.0001899603384121	0.105062	0.0134608999999999	0.0001811958288099	0.011038023844	-0.000142171	4.6972e-05	2.206368784e-09	2.0212593241e-08	-0.000240359	9.9918e-05	9.983606724000001e-09	5.7772448881e-08	0.000169838	-6.4416e-05	4.149421056e-09	2.8844946244000004e-08
9295.44966620233	-7.991401000197584	63.86248994595894	86405384.49690102	8452.053111091027	0.7478939349839493	0.5593453379857758	71437201.79270351	6546.567504229916	-0.7240674182721705	0.5242736262033263	42857546.08743911	6513.371312248163	8365.265415246475	1.000569	38.439087	0.0257427949999999	0.0122985	0.1362532004	0.0245606273	0.1207862807	0.1273307394	-0.1182893334	-0.0979319168	0.1010725375	-0.0704756291	0.107917058	0.00706224	-0.0145828434	-0.1243807362	-0.0017831477	0.124491338	-0.00646091	-0.1217664026	0.0233093795	0.022917168	-0.0378023081	0.1095177085	0.1237826385	0.0343907191	-0.0945623889	-0.0208037436	0.0915958103	-0.0376789089	0.0310748964	-0.0027217435	-0.0888785216	0.1409345038	-0.0567592689	-0.0888147584	-0.0975647309	0.0087092148	0.0689346166	0.0870117218	0.0801728312	0.0033499119	-0.0541182222	0.0558755073	0.0394565255	-0.0735938332	0.0051270386	0.0206196592	-0.0166671361	0.0230223984	0.0746090541	-0.0110117785	0.1869155597	-0.1216389676	-0.0839827239	-0.1317551177	-0.0076436038	-0.0345129299	0.0729496194	-0.0675592377	-0.0341250698	0.0553072428	0.0418719296	-0.0737351558	-0.0734057886	0.025316698	0.040248534	-0.0888867549	0.0341320521	0.0461614766	-0.0432611618	0.073534806	-0.1051328697	-0.0821627107	0.0050287508	-0.0609965415	-0.0425199765	0.0384596784	-0.2220722437	-0.1249632035	-0.0866468945	0.1622687944	0.0770341549	0.0138859342	-0.0571526601	-0.0967260339	-0.136149472	0.0413169109	-0.013341481	0.0648270434	-0.1992028856	-0.0166942591	0.0760711654	-0.0052734028	-0.0142732994	0.1045205187	0.0888488899	-0.030853938	-0.0512256341	0.0366240955	0.0960012425	0.0340608919	0.0042704082	-0.0709576884	-0.0199421695	-0.0072154162	0.0697431759	0.0236278399	-0.0767865757	-0.0193152804	-0.2164875052	-0.0371037628	0.1221206168	-0.0419828245	-0.0667419495	0.0124502525	0.0852420956	-0.0466396417	-0.1061815336	0.0739713821	0.0038260874	0.0088641589	0.0630812273	-0.0777452824	0.0646738093	-0.0408324794	-0.0907779635	0.0373056639	-0.022267192	-0.0963230383	-0.0244596615	-0.0018495262	0.0103459772	-0.0598239866	0.0864341952	-0.0788160966	-0.0313588707	-0.0644764034	0.2797600709	0.025771412	-0.0728552129	-0.0692835517	0.0601532282	-0.0012815026	0.0316591348	-0.0552195541	0.1370545384	0.0009234756	0.2100827206	-0.0247244887	-0.1394489907	-0.0655246038	-0.0516950906	0.1401225588	0.0041597107	0.0880456692	0.0322968253	-0.0846220398	-0.0079546629	0.0425646602	-0.1274961822	0.1141121065	0.1257122844	-0.0209875951	-0.1201906368	-0.158738679	0.1564121491	-0.0226167258	0.0776024302	-0.0339513109	-0.0727292283	-0.0459138654	-0.0328925734	0.1067591399	-0.0201077054	-0.0006932958	-0.0005384823	0.0428426911	-0.0228605339	-0.0969696205	-0.0604074009	0.1233384109	0.1226732033	0.1215671803	0.0	0.00369877	-0.0002773499999999	1.36808995129e-05	7.692302249999977e-08	0.00310106	0.00615087	9.6165731236e-06	3.78332017569e-05	0.0994541	-0.0056078999999999	3.1448542409999986e-05	0.00989111800681	-3.24985e-05	0.0001096724999999	1.2028057256249996e-08	1.05615250225e-09	-0.000367025	-0.000126666	1.6044275556e-08	1.34707350625e-07	0.000132043	-3.7795e-05	1.428462025e-09	1.7435353849000003e-08
9296.242812413504	0.7931462111737346	0.6290809122992504	86420130.42734973	8467.888082122803	15.83497103177615	250.7463075771898	71705128.5713574	6546.52304493436	-0.0444592955564075	0.001976628961372	42856963.97785664	6513.484714755124	8383.450744186257	1.009344	38.776207	0.019289105	0.00972259	0.0414525231	0.1114069668	0.1287419743	-0.0099522093	0.0895927192	-0.0574329655	0.1026770618	0.0588983289	-0.1805383026	0.0124043253	0.0541604348	-0.088749385	0.1128274909	0.0633656297	0.1167482578	0.0167332424	-0.1524708037	-0.0149981155	-0.0985321761	0.1292425315	0.00259406	-0.0023007509	-0.0951661692	-0.0783457997	0.1170728499	-0.0074020637	0.0659728921	0.1287124481	-0.0964981403	-0.0591527153	0.0296166614	-0.0042920552	0.0889300109	-0.0521061825	-0.0070912142	-0.0781281422	-0.1010797881	-0.016092264	0.0025194045	0.0371235655	-0.0298781458	-0.0439519113	0.0064892373	-0.0376005503	0.003492015	0.0508734912	-0.0078067753	0.0828979238	-0.0031309144	-0.0084015492	-0.1059421597	0.1010431765	0.0398169134	0.0169272906	-0.1055506678	0.0732743253	0.0791050984	-0.0422556226	-0.1384085611	-0.054807321	-0.0678979816	0.0243452374	-0.0299589736	0.0459170267	-0.0026031557	0.1399677574	-0.0359560606	-0.1162121346	-0.0160101712	0.0477413424	0.0046794833	-0.2058317995	0.2095206288	-0.1531066416	-0.0827901252	-0.1439247554	0.0249062091	0.0555902094	-0.0752554881	-0.1962996455	0.0802722368	0.0207515733	0.0343470786	-0.0525084678	0.0898516116	0.1358350087	0.086978043	-0.0792545451	0.1613188229	0.0396470868	0.0328720194	0.1416777999	-0.0476138923	-0.0651918629	-0.1897452868	-0.0174296615	0.054737663	-0.0416778309	-0.0096979244	-0.053282223	0.0142967957	0.0023439637	-0.0125422641	0.0560095442	0.0047235978	0.0219262841	-0.0552532238	0.0053922579	0.0165988546	0.0472505299	-0.0088908261	-0.038852389	-0.1816439511	-0.0158433331	0.1491862364	-0.1103691533	-0.0062584148	0.012363662	0.146317606	-0.066812907	-0.0439734504	-0.0051340728	-0.0359309108	0.0674856279	0.198292257	0.0193224879	-0.0440286203	-0.0378733894	0.1946694579	-0.0416751525	-0.0275248775	0.0560171241	0.1984749144	-0.0569919045	0.0766310269	0.1836989369	-0.1005458389	0.0024073003	-0.065376679	0.0200000206	0.040868642	-0.1829115374	0.0659964707	-0.0111409792	0.1861785071	0.107377595	0.1954072807	0.0665566434	0.0645652363	-0.0058361381	0.0037323846	-0.1667142731	0.0197554611	-0.0585183097	-0.0459349721	0.1286733863	0.0701207963	0.0702487989	-0.0085740679	-0.02476718	0.059397206	-0.1641416175	0.2077825088	-0.0311483783	0.0747648646	-0.1058848447	0.0906110703	-0.1537268431	-0.0824563097	-0.0177937547	0.059811942	0.1029034516	-0.0167739932	0.0516717312	0.0623160013	0.0740732175	-0.0990779943	0.1231254143	0.1218234821	0.119663783	0.0	0.00159878	-0.00209999	2.5560974884e-06	4.409958000100002e-06	0.00566558	0.00256452	3.20987967364e-05	6.576762830399999e-06	0.0942141	-0.00524	2.745760000000009e-05	0.0088762966388099	1.43354e-05	4.68339e-05	2.19341418921e-09	2.0550369316e-10	-0.00037584	-8.815000000000016e-06	7.770422500000029e-11	1.4125570560000004e-07	-8.27181e-25	-0.000132043	1.7435353849000003e-08	6.84228406761e-49
9291.301693757416	-4.9411186560882925	24.414653573543774	86328287.16441943	8468.898527761607	1.0104456388035032	1.0210003889770198	71722242.2735227	6541.4218791297	-5.101165804660013	26.02189256663264	42790200.200756736	6508.738747696926	8384.940399339615	0.991833	38.103489	0.05022373	0.0262187	-0.0316225013	0.0956525524	0.1543435683	0.0181089177	0.0729402244	0.1460686773	0.0539229229	0.1276361716	0.0508386539	-0.0106648809	0.0298885751	-0.0774634387	0.0861938189	-0.1139289752	0.0687794973	-0.0716502974	-0.1052973604	-0.1203684592	-0.1104608568	0.1562894798	0.0896980324	0.1621661318	-0.0486091845	0.0120060093	-0.0589059844	8.8803e-05	0.0090535337	-0.0031000941	0.0407402375	0.2097142543	-0.0722426969	-0.1065188208	-0.023879103	0.1210987842	-0.209350076	0.0215023004	-0.0353756306	-0.0314516968	0.0251953134	-0.0009889259	-0.0867233536	0.0139949162	0.0426275011	-0.0419509841	0.0176254141	0.147118194	0.0262429031	0.0303017217	-0.0498869555	-0.2274000429	0.1930105453	0.0795229523	0.1214455136	0.1237717141	0.2549783093	-0.0813255854	-0.0205817983	-0.3123479592	-0.085006715	-0.0674511385	-0.0145573867	0.0228489525	0.1931025703	0.2296766409	0.0206923066	-0.0746596434	-0.1256473595	0.113263674	0.0298095091	0.0104523169	-0.018624902	0.0364901845	-0.0708399458	-0.0102105259	-0.0118957987	0.0007870652	-0.0610054311	-0.1924022433	0.0371214664	-0.0168476964	-0.0577424108	-0.0934116112	0.1082666796	-0.0211326481	0.0765497711	-0.1480388862	0.1118493642	0.0159020593	0.0837917302	0.0092272001	-0.0904675348	0.1092175196	0.0379124976	0.1216880927	-0.0274401467	-0.0504727294	0.010020045	-0.0907986826	-0.0476022126	0.0238469315	0.0543176992	0.0095715813	0.0316660784	0.1339246876	-0.0620337014	-0.0216184793	-0.0580760296	-0.1818668295	-0.1663408884	-0.1284667501	0.0829083105	0.1735612718	-0.0935896883	-0.2135106858	0.0527660958	0.01367887	0.280734301	0.0012413899	0.0410565023	0.1855484214	-0.0531453827	-0.2714703529	0.0975101098	0.0012719902	-0.0970802827	-0.1088884118	0.1027894373	0.0282894868	-0.0964565846	-0.0310562803	0.0629114255	0.066113295	0.057535975	0.0991774317	-0.0937674612	0.1537382448	-0.0076371889	-0.0556229737	0.0583157673	0.0008392396	-0.1126067926	0.1995519407	0.0410361366	0.0722381394	-0.0317798443	0.0264199954	0.0773938476	0.0235337999	-0.0175517063	0.0610982113	0.0129581864	-0.066639089	-0.1304821212	0.0361855487	-0.0739323384	0.0758481847	0.0503198806	-0.0720584072	-0.0676427801	0.0554301915	-0.0246360708	-0.0971457161	0.25588052	-0.1053727221	-0.1069168639	-0.0166799119	0.0276963942	-0.1051550677	-0.0384541698	-0.0544775481	0.0706228832	0.0195428997	0.0120015683	-0.192296679	-0.0242746345	0.0991819648	-0.0958415027	0.1228416094	0.120693563	0.1171412655	0.0	0.00145804	-0.0001407399999999	2.1258806416000003e-06	1.9807747599999964e-08	0.0155777	0.00991212	0.00024266473729	9.82501228944e-05	0.105615	0.0114009	0.00012998052081	0.011154528225	-0.000357131	-0.0003714664	1.3798728632896e-07	1.27542551161e-07	-0.000442622	-6.678199999999999e-05	4.459835523999998e-09	1.95914234884e-07	0.000137151	0.000137151	1.8810396801e-08	1.8810396801e-08
9288.188209829432	-3.113483927983907	9.6937821698141	86270440.22121446	8470.181472426195	1.2829446645882854	1.645947012395548	71743974.17583199	6536.8734689005805	-4.548410229119327	20.688035612357325	42730714.74841631	6505.582520893084	8350.980590640262	0.998096	38.344082	0.038385178	0.0211014	-0.074321181	0.0483642834	0.2007956718	0.1675407316	-0.0696089884	0.1721250086	0.0154837143	0.1364587296	0.0866119812	0.1014075933	0.1083423393	-0.1508342581	0.0793489854	-0.0532222803	0.0321840271	-0.1590332635	-0.018508721	-0.1888947459	0.1376045828	0.1201332245	-0.1281703522	-0.105151391	0.0683740196	-0.0385374433	-0.0723370194	0.0277711179	-0.0294124618	0.0649813814	-0.0686100028	-0.0969866472	-0.0337550357	-0.128694484	0.0070210465	-0.1722746241	0.0909963117	0.0351508385	0.0187112728	-0.0198538279	0.0787775505	-0.0346315593	-0.031231629	0.0349329441	0.0138374201	0.0305684793	-0.1076720581	0.0617073818	0.0357267797	0.1333506718	0.0822390441	-0.0956544989	0.0857948869	0.0261631263	0.0032546205	0.1358598719	0.0443588036	-0.1968838678	0.1377901402	0.0769612586	0.0276751547	0.0083405456	-0.0579459114	-0.0896210947	-0.0778360104	0.0834187558	-0.0320950244	0.1103593993	0.1017496093	0.0322720016	-0.0537584804	-0.0122970415	-0.0982575788	-0.0258858009	0.0641217154	0.115319827	-0.0085715105	-0.0397660858	0.0454994323	0.0303203153	0.0490485725	-0.0272850818	0.0848649243	-0.0038603126	-0.0033963127	-0.0025552804	-0.0581186674	0.0293668866	-0.0606946643	-0.1008851673	-0.0457553728	0.0187960283	-0.0564591188	-0.0278808511	-0.0257609483	0.2048784401	0.0962832826	-0.0506038798	-0.0500336194	-0.0777213327	0.0180629829	0.0306092166	0.0041018536	0.0021561021	0.137708144	0.0316745998	-0.0414869763	0.0775018177	-0.1286367026	-0.0195069075	-0.0765210638	-0.0778772429	-0.028341865	0.1875230549	0.032314788	-0.1493158754	0.1205182788	-0.0104371129	-0.1371756438	-0.0560233093	-0.0376265897	-0.0408810465	-0.0807995771	-0.0194383156	0.0710472234	-0.0157243902	0.1383167525	0.0152631873	-0.0783257317	-0.009916936	0.0489849582	-0.082713836	0.0795065709	-0.0395048818	-0.0960189688	0.0650153347	0.0275133156	-0.062352663	-0.1174747727	0.0428205505	-0.0304431511	-0.039203577	0.0859519224	-0.0099085266	0.0349150578	-0.0789564073	-0.0029708205	0.0171450272	-0.084091017	0.1201883849	-0.1007017822	-0.1198466292	0.0181710648	0.075696176	-0.157533789	0.1161378708	0.0118165764	0.0614936251	-0.0910299594	0.0033521978	0.0144269685	0.0470918827	-0.1669283786	-0.0158004152	0.2764181339	0.02738124	-0.0040062777	0.0984790824	-0.0707246828	-0.0670774945	0.113045739	-0.0238747718	-0.079779764	-0.1295232771	-0.0252091353	0.025313755	0.069816557	0.0320034802	0.0708285527	0.1224871595	0.1192860448	0.1140126786	0.0	0.00560261	0.00414457	3.13892388121e-05	1.7177460484900003e-05	-0.000974008	-0.016551708	9.48691584064e-07	0.0002739590377172	0.106859	0.0012439999999999	1.547535999999988e-06	0.0114188458809999	-0.000143098	0.000214033	4.5810125089e-08	2.0477037604e-08	-0.000544995	-0.000102373	1.0480231129000012e-08	2.970195500250001e-07	0.000149643	1.2492000000000015e-05	1.560500640000004e-10	2.2393027449000002e-08
