global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	non_steady_state_outlier00	non_steady_state_outlier01	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
9625.61193239902	n/a	n/a	92652405.0731424	8792.559849433037	n/a	n/a	77309108.70586191	6566.561839326266	n/a	n/a	43119734.38969595	6537.381865148303	10052.744900915624	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	9.45865e-05	n/a	8.94660598225e-09	n/a	0.0088276599999999	n/a	7.792758107559824e-05	n/a	0.0644147	n/a	n/a	0.00414925357609	0.0	n/a	n/a	0.0	-7.26533e-06	n/a	n/a	5.27850200089e-11	0.000160638	n/a	n/a	2.5804567044e-08
9584.877130504476	-40.734801894544944	1659.3240853878224	91869869.60686772	8601.869219569393	-190.6906298636441	36362.9163177933	73992154.07057536	6569.530283443697	2.968444117431318	8.811660478312596	43158728.14508382	6536.825980745674	9978.719682554354	1.061694	40.78492	0.04675561	0.0285253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.00348335	-0.0035779365	1.21337272225e-05	1.2801629598032251e-05	0.0156587	0.0068310400000001	0.00024519488569	4.6663107481601375e-05	0.0780715	0.0136567999999999	0.0001865081862399	0.00609515911225	-0.000439894	-0.000439894	1.9350673123600002e-07	1.9350673123600002e-07	-1.4521e-05	-7.25567e-06	5.2644747148900005e-11	2.10859441e-10	0.000167285	6.647000000000006e-06	4.418260900000008e-11	2.7984271225000003e-08
9563.618559323795	-21.25857118068052	451.9268486440603	91462799.94824256	8520.34579168288	-81.52342788651367	6646.069294367595	72596292.40984815	6573.384918555696	3.8546351119985047	14.858211846651724	43209389.28749547	6539.317375148831	9940.921948945655	1.027603	39.475327	0.0403469031	0.0216877	0.1193011646	-0.0229511551	0.1003465177	-0.1093204588	0.087361854	-0.0076267512	-0.1384957159	-0.0166688872	0.0675533771	-0.0167634282	0.0351229012	-0.1166266066	0.0204020327	-0.0215303834	0.100077466	-0.1300801663	0.0295374475	-0.0110742506	0.0560515796	-0.0245230362	0.0777026913	-0.0442684718	0.1208831262	-0.0419638659	0.0284225233	-0.1858387293	0.0801258558	-0.1503184418	0.0489441628	-0.0264359194	-0.1100492734	0.0935983516	-0.0038488864	-0.0605495992	0.0361734155	-0.08108842	-0.0184995236	0.0263815728	-0.0693685113	0.0662324537	-0.0075923727	0.0005140547	-0.0280142768	0.0855848661	-0.0261663333	0.0255946555	-0.046682934	0.0853361229	-0.0137045165	0.0969256168	-0.0168289258	0.0228242605	-0.0218340369	0.0205291858	-0.0413054701	0.0840968714	-0.0194975357	-0.0443023832	0.0182339195	0.0152816114	-0.0445154762	-0.0187617041	0.1013207748	0.0134342864	0.0073168054	0.0404332368	-0.0881418204	-0.0802531882	0.1100127951	0.0674945483	-0.0144192891	-0.0487165181	-0.0387881881	-0.0828302682	0.0509813872	0.0611518071	0.0696075909	-0.0400180699	-0.1095941697	0.0906572752	0.122136345	0.0354713806	-0.0709250853	-0.0196157067	-0.0303469469	-0.0935354514	0.0205487631	0.0751921828	0.0068158683	0.0028487644	-0.1016488658	-0.0540411111	-0.1050318887	0.1355468606	0.0512730609	-0.0889635271	-0.0131801706	0.0599617357	-0.0161842446	0.0227543496	-0.0310495902	0.0215978401	0.0667324822	-0.0135686862	0.0635656412	-0.0361463468	0.0009919202	-0.0803295175	0.0462181972	-0.0436316816	0.0005500762	-0.0901824486	0.0139062337	0.062233548	-0.0375164069	0.0609420897	0.0039837101	-0.0150185238	-0.0401357157	0.0608815971	0.0406755472	-0.1001572446	-0.0231263493	0.0452074506	0.0735549492	0.0923231646	-0.0918904	0.0167563617	0.0905705593	0.0299866572	-0.038177291	-0.1087939716	0.0741407291	0.0588074144	0.0099761946	0.0751669005	0.0145577303	-0.1358024645	-0.0580931845	-0.0742839709	0.0313072709	0.1078245633	-0.0456953042	-0.0010959628	-0.0254157994	-0.0189946739	-0.0307885174	-0.0510767885	0.1150109589	0.1380735366	-0.0352062256	-0.1150108393	0.0195389091	-0.0347806274	0.0527867179	-0.0440333233	0.0481041244	-0.0504248259	0.00950514	-0.0158299466	0.0808811701	-0.03539971	0.0333663926	-0.0086526665	0.0950987458	-0.1565809886	0.0338232732	-0.040869413	0.0374025274	-0.0394434309	0.0646470426	-0.0178399827	0.0104376627	-0.0931491585	0.2136113122	0.1240256802	0.1239985182	0.1239532527	0.0	0.0	7.37231e-05	0.0035570731	5.4350954736100005e-09	1.2652769038743613e-05	0.00572589	-0.00993281	3.27858162921e-05	9.86607144961e-05	0.0963459	0.0182743999999999	0.0003339536953599	0.00928253244681	-0.000309602	0.0001302919999999	1.6976005263999987e-08	9.585339840400003e-08	-3.02014e-05	-1.56804e-05	2.4587494416e-10	9.121245619599999e-10	0.000141605	-2.568000000000001e-05	6.594624000000006e-10	2.0051976025e-08
9551.667504022653	-11.951055301142333	142.82772281096226	91234352.10740234	8485.21674874767	-35.12904293520842	1234.0496575437164	71998903.27322799	6572.941815148752	-0.4431034069439192	0.1963406292453085	43203564.10533097	6538.614465149693	9809.722721011349	0.972095	37.342964	0.0196562076	0.010751	0.0724159697	0.0837279161	0.0619038165	-0.003758947	-0.0257894434	-0.1082667823	-0.0730350234	0.063377393	0.1269264906	-0.009399346	-0.0118495196	0.0321810612	-0.0317371127	0.1849344629	0.1847651809	-0.0195498309	0.0227498522	-0.0025581733	0.0829513457	-0.0417199297	0.0277608159	0.0116924484	0.0549003924	-0.051328581	-0.0695746798	0.0470247752	0.0592955651	-0.1159404301	0.0372973617	0.0276497495	-0.0576738953	-0.0975463942	-0.0527977838	-0.0576167688	-0.0351904599	0.0275875762	0.0220379475	0.0596075906	-0.0839936174	0.0270876744	0.0219466433	-0.0518336351	-0.0735004011	0.0370689227	0.0530124473	-0.0348241733	-0.0330104715	-0.0083582127	0.0733426285	0.0527071898	0.1059339373	0.0149519669	-0.0236679429	-0.0254947327	0.0507368229	0.0435079337	0.0023501997	-0.0617773855	-0.0623731018	-0.0026417492	-0.017630441	0.1232467175	-0.0153842076	-0.0460390897	0.1051381124	-0.0185023418	-0.1168369941	0.0072758967	-0.0699106924	0.1230261225	-0.0038013533	0.0784975266	0.0168693692	-0.0846851072	0.1360953537	-0.0601697	0.0275067943	0.0221877402	-0.0894744782	-0.0549960477	0.0319366013	-0.0141919988	0.1141147088	-0.066168237	0.0407947035	-0.0829916789	0.0028549008	0.155429383	0.0633818421	-0.1009476458	-0.1167265053	-0.1505219894	-0.0925510189	0.1477160067	-0.0228083697	-0.098170442	0.0468400158	0.0440834639	0.0219838749	-0.0445097337	0.0416906953	0.0476341532	-0.0008016193	-0.067915967	0.0024855753	0.0126376903	-0.0188249566	-0.1456037989	0.0532712731	0.020557937	0.0181470189	0.0239454413	0.071493777	0.1371191223	-0.0263931993	-0.0247268508	0.1482208418	0.107277793	0.0559293932	-0.008553926	0.0653519928	0.0546686154	-0.0106784269	0.041296675	0.0149678482	0.0526887233	0.0527033965	-0.0048847877	-0.023016716	0.0581016335	-0.0148321436	-0.1375162217	0.0380110373	0.0386090859	0.0616829707	-0.0739979963	0.0245216943	-0.0454869326	0.0281454392	0.013149495	-0.0132212743	0.1486860877	-0.0017687673	-0.0623405877	-0.028904354	-0.1440439674	-0.0040585214	0.0024405212	-0.0626291105	0.2315799832	0.0220756624	-0.0500236667	0.1073922377	0.0495688784	0.0673867829	0.0864758705	0.0020331986	-0.0422557699	0.0497792362	-0.0093169676	-0.0188219766	-0.1702952511	-0.0529905313	0.119442838	0.1666340885	0.0235211814	0.0736761188	-0.00435539	0.1274218396	0.0297284846	0.0512728223	0.0768118595	0.0494573441	-0.0432872661	-0.0072378007	0.1239532527	0.1237089139	0.1233020394	0.0	0.0	-0.00420516	-0.0042788831	1.7683370625600004e-05	1.830884058346561e-05	-0.000222403	-0.005948293	4.9463094409e-08	3.5382189613849e-05	0.0962447	-0.0001011999999999	1.0241439999999137e-08	0.00926304227809	-0.000161293	0.000148309	2.1995559481000013e-08	2.6015431849e-08	-7.05977e-06	2.314163e-05	5.355350390568999e-10	4.9840352452900006e-11	0.000126499	-1.5106e-05	2.2819123600000003e-10	1.6001997000999997e-08
9540.197475391837	-11.47002863081616	131.56155679174242	91015367.86947276	8493.772424220571	8.555675472900475	73.19958279759076	72144169.9944498	6567.262524031815	-5.679291116936838	32.254347590917675	43128937.05955272	6534.063112069625	9731.86395255649	0.980868	37.679993	0.0168432342	0.00967729	-0.0026080141	0.1033782326	-0.1022592332	-0.0221978974	-0.0024262958	-0.0624470742	0.0091176209	0.0939868676	-0.0512104519	0.1167070925	-0.0600782791	0.0677066353	0.0171524631	-0.055027555	-0.1059575998	0.0401376156	-0.0021414708	-0.0479385124	-0.0302477323	-0.0086236011	-0.0384410301	-0.0877949301	-0.0711038015	0.0134189944	-0.1104127156	-0.0075331428	-0.1306602014	-0.1443695187	0.0306670525	-0.0809179702	-0.0239334161	0.0770108458	-0.1223822031	0.0305854067	-0.040377911	0.2382649808	0.0388826892	0.0134933386	-0.0303770227	-0.0756425036	-0.0196864787	-0.1167752226	-0.0014818022	-0.0605539444	-0.022132633	-0.0451157042	0.1601972426	0.0043988178	0.0155291308	8.13614e-05	-0.0175439736	0.1477717465	0.0045563294	-0.0039741839	0.0160487426	-0.0598921495	-0.0404067257	-0.0035983763	-0.0017214224	0.0140064948	-0.1267611062	-0.0271867008	0.0404442501	0.0044300603	-0.0923283484	-0.076042311	-0.0880968484	0.0379851166	-0.0967363789	-0.0575872058	-0.0223951151	0.1318420897	-0.0022739612	0.1396283761	0.1310409618	-0.0325099941	-0.0299130669	0.0712744999	0.0986603887	0.051440919	-0.0579225757	0.0423048824	0.0834048076	0.1493190283	0.0609915551	0.052692916	-0.0553223401	-0.0827190727	-0.1033049313	0.0260570547	-0.0674547982	-0.0929000362	0.0467618545	-0.07454649	-0.0722375362	-0.0038667294	0.0664131322	0.0018441276	-0.0375733319	-0.1017344487	0.0272124123	-0.069539612	-0.0262724392	0.1380115329	0.0239736664	0.0088807344	-0.0021982285	-0.012714572	-0.0107580164	-0.0614545315	-0.0658170028	0.0478069444	0.0100732992	-0.0601070237	0.0069513266	-0.0284003049	0.0021665098	0.002386717	-0.0750231845	0.1168132567	0.1258800308	0.0700027447	-0.0056984624	-0.0185797833	-0.0275074535	-0.038269082	0.0067442613	0.0431126561	-0.1099011045	0.0037178329	0.105186209	-0.0635618167	-0.1189571264	-0.1335447317	0.0824041036	0.036003609	-0.0585269293	0.0850335741	-0.1457935529	0.0691784593	-0.0969566203	-0.1338364495	0.1074310395	-0.0371077494	-0.0040155666	0.0708474178	-0.0192491213	0.0864644085	-0.0885748032	0.0702330084	-0.0630837096	0.0295487722	0.0965691267	0.0084745167	-0.0922145441	0.0788640171	0.0050217148	-1.2687e-06	-0.0184550877	0.0454153979	-0.0597937561	-0.0448459089	-0.0540784992	0.1046912431	0.0558554508	-0.0980989508	-0.0449350435	0.0483763515	0.0264865287	-0.0245826848	-0.0206262326	-0.0289631791	0.1136601967	-0.0721168168	0.0640841285	0.1238084399	0.1231303817	0.1220030341	0.0	0.0	7.636969999999998e-05	0.0042815297	5.8323310780899975e-09	1.833149657198209e-05	0.00326955	0.003491953	1.06899572025e-05	1.2193735754209e-05	0.0883961999999999	-0.0078485000000001	6.159895225000166e-05	0.0078138881744399	-0.000153213	8.07999999999999e-06	6.528639999999985e-11	2.3474223369e-08	-1.14918e-05	-4.4320300000000005e-06	1.9642889920900005e-11	1.3206146724000003e-10	0.000138412	1.1913000000000006e-05	1.4191956900000014e-10	1.9157881744e-08
9539.37960041651	-0.817874975326049	0.6689194752645853	90999763.16084269	8517.84095448203	24.068530261458363	579.294148946737	72553614.52585134	6564.356419857581	-2.906104174233405	8.445441471496824	43090775.20692544	6530.199593272697	9727.973290577294	0.961264	36.926929	0.0353683636	0.0191	-0.0704622562	0.0791448648	-0.0422798895	-0.03502578	0.0865553259	0.0337388891	0.069853072	0.0906991574	-0.0300111434	-0.0049059566	0.0720702422	0.0334885436	-0.0097898784	-0.0426302558	-0.1095228761	0.0807696833	-0.0433529255	-0.0840423063	-0.0173506733	-0.1275820975	0.0521898639	-0.0641811829	0.0512969194	-0.0483104844	0.066355849	-0.0201283785	-0.1017825627	-0.0419036665	0.0461254142	0.0156466634	-0.1305512056	0.1061409209	-0.0246337526	0.0698145471	0.1789322474	-0.0104026298	0.02200617	-0.0001534926	-0.0169115836	-0.0745096579	-0.0082063066	0.0051275163	-0.0636620781	0.1241032876	-0.1060060841	0.0633461843	-0.0470125403	0.1172459641	0.0760121232	-0.065433925	-0.0366053613	0.042985899	-0.0525465636	-0.0268641472	-0.0319560711	-0.0783049582	-0.1249212237	-0.0189762213	-0.0011993446	-0.1569500781	0.0386489266	-0.0382999959	0.0566656178	0.0228571131	0.0774892114	0.1530110913	-0.0482844045	0.0002794535	0.0112050707	0.0169164531	0.0658309701	-0.0443607249	-0.1180997072	0.018448761	0.1069955522	-0.090769831	0.0374486001	-0.0532588147	-0.0696305472	0.0043579109	-0.0010804398	-0.0767006165	-0.045508501	-0.0018106551	-0.0909405459	-0.008865961	0.0236039368	-0.0105057335	-0.1099250061	0.0263687147	0.0054022238	-0.0064018888	0.1432161742	0.1066830788	-0.0681330306	0.0394341089	0.0619060247	0.003047397	-0.0016538457	0.0352667078	-0.0611990964	0.0507269683	0.1654799825	0.0316483624	0.0042408335	-0.0910538188	0.1217302522	-0.000738439	0.0614068741	-0.0993497441	0.0177513445	0.027847009	0.0102250546	-0.0275951117	-0.1230306343	-0.0941748035	0.0853312053	-0.0637274249	-0.0044363376	-0.0543498388	-0.0537732208	-0.0759386086	-0.015318808	0.0570395599	0.0538618519	0.1088479763	0.0359093175	0.0255369552	-0.1049732224	-0.0653291004	0.0187321189	0.0351177061	0.0525988961	-0.0932184542	0.027558889	-0.0518888296	0.0673690005	-0.1198899575	0.0089986335	-0.0960859095	-0.0086141807	0.0030183513	-0.0255868429	-0.0094374666	0.0602998575	0.0187267352	-0.0330578829	-0.0019879671	0.1232857521	0.0750228299	0.075168483	0.0586480144	0.0324436533	-0.1348932221	-0.0598395632	0.013259585	0.0459986747	0.0025814532	-0.0638738875	0.0088150071	0.0086890413	0.0670017942	-0.05221969	-0.0100741067	-0.0217950874	-0.0921003763	0.0823749349	-0.0336730646	0.240099756	0.0076467916	0.0039351039	0.0749327504	0.0869000364	0.0207350811	0.1122935197	0.1235913266	0.1222642728	0.1200630614	0.0	0.0	2.84361e-05	-4.793359999999998e-05	8.0861178321e-10	2.2976300089599973e-09	0.0127254	0.00945585	0.00016193580516	8.94130992225e-05	0.0964003	0.0080041	6.406561681000156e-05	0.0092930178400899	-0.000409385	-0.000256172	6.562409358400002e-08	1.6759607822500001e-07	-7.90034e-05	-6.75116e-05	4.55781613456e-09	6.241537211560001e-09	0.000104886	-3.3526000000000004e-05	1.1239926760000003e-09	1.1001072996e-08
9536.68452171916	-2.6950786973502545	7.263449184911145	90948351.66679782	8513.8797003659	-3.961254116129567	15.691534172553435	72486147.55230255	6559.398138838836	-4.958281018745765	24.584550660854543	43025703.94380238	6525.478297610829	9712.60937020218	1.00619	38.652729	0.0468320611	0.0209331	-0.1189183881	0.0106737118	0.1168095214	0.0318495196	-0.0107357438	-0.0136175725	0.1096599947	0.043057127	-0.0541117909	-0.1195564398	0.0363483909	-0.0479771915	-0.0700571043	0.0889558915	0.0191474592	-0.0118749896	-0.0719694694	0.0979437942	0.0629522041	0.0042119041	-0.0322028808	-0.0732101131	0.1853123087	-0.0262342603	0.003070206	0.0928540077	-0.0848073707	0.0620718676	-0.0735430863	0.0769467981	0.171971845	-0.0459629111	-0.0394314678	-0.0075534106	0.1679378645	-0.0604989261	-0.0128470359	-0.0586440536	0.0964282702	-0.0556134359	0.1020427854	-0.0001542996	0.0352734613	-0.0822663782	0.0294242208	-0.0217257024	0.0040473229	-0.0359058037	0.0149589099	-0.0405146796	-0.0542233506	0.1718900805	0.0258209867	0.0456673248	0.0977292051	-0.012393845	-0.1896738578	0.0380965569	-0.0063710971	0.0758561275	-0.1104664547	-0.022791548	-0.055691271	-0.1626638902	0.0817220318	-0.1115814268	-0.0131701461	0.0687956511	0.0998863352	0.0069647903	-0.0231597137	-0.0723199158	-0.0285464778	0.15131344	-0.0651206266	-0.0793704587	-0.0661201857	-0.1194757039	-0.0012692738	-0.0416003976	0.0053821227	-0.108778486	0.0854879459	-0.1085638201	-0.0865571534	-0.0101299505	-0.0179507279	0.043107279	-0.0143635868	0.1277381731	0.1925136656	-0.0931879721	0.1241502455	-0.0850079573	-0.0259634607	0.1147556776	0.0063907993	-0.056894735	0.0961008309	-0.0245719962	0.0210478753	-0.0766058264	-0.0794856473	-0.0158360892	-0.0573492191	0.0176326315	-0.0035094947	0.0057349997	0.0411549324	-0.0843491672	-0.0478033843	0.071117127	0.1183146681	-0.0970934737	0.0121244041	-0.1023989553	0.0630199645	-0.1460854963	0.1074209018	0.1480519111	0.1184404104	0.0727031647	-0.0718124591	-0.0609974154	0.0290302074	-0.070000786	-0.0215351028	-0.1349974448	0.0916771753	0.093392982	-0.0275175441	0.1500466287	-0.0170400225	-0.1261117957	-0.021217078	-0.0460978164	0.0554419575	-0.0339937879	0.1012300326	-0.0701399468	0.0393990657	-0.026504974	-0.0743450069	-0.0308013856	0.1216456851	-0.0710459787	0.0129125718	0.1070819572	0.1265756326	-0.0462716932	-0.0834171105	0.0940104961	-0.0516713403	-0.0288231049	0.107537842	0.0429694422	0.0242829502	-0.0466458789	0.0507361543	-0.0393969598	0.1028178053	0.029300607	-0.0843931224	0.0262718369	0.1900961741	0.0663833606	-0.0066136267	-0.0240991671	-0.0048322577	-0.0097450749	-0.0384656394	-0.0561306635	-0.0011171129	-0.0957206639	-0.0437009195	0.1233020394	0.1211126101	0.1174923133	0.0	0.0	-0.00676319	-0.0067916261	4.57407389761e-05	4.612618508220121e-05	0.00133026	-0.01139514	1.7695916676e-06	0.0001298492156196	0.106542	0.0101417	0.00010285407889	0.0113511977639999	-0.000170685	0.0002387	5.697769e-08	2.9133369225000004e-08	2.03665e-05	9.93699e-05	9.87437702601e-09	4.1479432224999996e-10	0.000136888	3.2002e-05	1.0241280039999996e-09	1.8738324544e-08
