global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	cosine04	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27
618.6387144451326	n/a	382713.8590103263	n/a	891.8222620931942	n/a	795346.947165022	n/a	600.046272853598	n/a	360055.52956549457	n/a	620.3390654756819	629.2357612034646	n/a	n/a	n/a	n/a	-0.2088240453	-0.143189335	0.0064183635	0.0196872217	0.0838906878	-0.1654370801	-0.0574484042	0.0033566439	0.0774858165	-0.1381960066	0.1453168459	-0.1079829117	0.0564606066	-0.0775683783	0.0446186339	-0.039801519	0.0570330944	-0.0182321078	0.0422817326	-0.0118838221	0.0030737729	-0.0492665156	0.1653331088	-0.0394060657	0.0883108433	-0.037962861	0.2145809771	-0.0254607402	0.0708204843	-0.0270052592	0.1046525816	-0.0226835927	0.0302685379	-0.0386776648	-0.1265741307	0.0911343276	-0.0168851232	0.0678789483	-0.0123351804	0.0560420275	-0.0360588148	0.0499161072	-0.0164664814	0.1119042504	-0.046879582	0.0396925713	-0.0818478117	0.0454939896	-0.0754039954	0.0593662015	-0.0417347473	0.0505078841	-0.050458637	0.0314786421	-0.0360746949	0.0048277824	-0.0365264778	-0.0018757326	0.0166054955	-0.0403658058	-0.0163243378	0.0855988503	-0.0106842161	-0.0239932412	0.0592774236	0.0008098596	0.008939315	-0.1202172152	-0.004919573	0.0160378082	0.036909834	-0.0532272731	-0.0746242508	0.0155264238	0.0152046034	-0.0792491878	-0.0180760146	-0.0003897822	-0.0159937885	0.0339155694	0.0445529342	-0.0775690958	-0.0039064497	-0.003414224	0.0313276919	0.0094108936	0.0052017266	0.0538943704	-0.0635579941	-0.1098761636	-0.0737514712	0.0106234485	0.0920807065	0.0220495574	-0.0197592311	-0.0177172804	-0.032921629	-0.0025832006	0.0461065754	-0.0312867633	0.205563375	0.0202624053	-0.0669481365	0.0743086999	-0.1024597528	0.0106132008	-0.0307788531	0.1105840925	-0.0417280999	0.0580096306	-0.0076139939	0.0555958875	-0.0426424068	0.0169191805	-0.0883971487	0.056293665	-0.004830266	0.1093366084	-0.0179758932	0.0615272581	0.0654838345	-0.0197650305	0.0520939326	-0.0146926605	0.0334309933	-0.0339184193	0.0185549875	-0.0261560963	0.0795784235	-0.0006330065	0.010585095	-0.0231762785	0.0312811312	-0.0951770881	0.0548223745	-0.0290498311	0.0410374038	0.0107472897	-0.0415489759	-0.0039042382	-0.014297847	0.0502985782	-0.1044606812	-0.0281087774	0.0447486037	0.0446746799	0.0188800886	-0.0796799457	-0.0436583608	0.0815184152	0.0029637501	-0.1080130447	-0.0326418935	-0.015579679	-0.0368199931	0.0709162928	0.0281087653	0.0027660925	-0.0601589442	-0.0159481097	-0.0394983729	0.1086547999	0.0535416865	-0.1155493696	-0.0279770966	-0.0698250595	0.0221292851	0.0613551682	0.0271034518	-0.042709626	-0.1921497781	-0.1132724389	0.1763789335	-0.0004159634	0.0438260851	-0.1806264801	0.0794052285	-0.0125889876	0.0022685231	-0.0178354321	0.0354194674	-0.0906908229	0.0880251853	0.0953077278	-0.0187732848	0.0013734504	-0.0785928878	0.0501200351	-0.0034712142	0.0520680855	-0.060458316	0.004744781	-0.0317537885	0.0302118764	0.1010120104	0.1010022786	0.1009860596	0.1009633545	0.1009341646	-0.0140416	n/a	n/a	0.00019716653056	-0.140965	n/a	0.019871131225	n/a	-0.309163	n/a	0.095581760569	n/a	-0.0112883	n/a	n/a	0.00012742571689	-0.00437891	n/a	1.91748527881e-05	n/a	0.00227622	n/a	n/a	5.181177488399999e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
617.8267101479742	-0.8120042971584098	381709.84377226885	0.6593509786037232	881.0180461105859	-10.804215982608298	776192.7975725145	116.7310829988486	600.3631780877562	0.3169052341581846	360435.94560363085	0.1004289274368538	620.2433763967299	619.1234234537849	0.9299980000000002	46.870365	0.1469119	0.0705765	-0.2142313883	-0.1329249241	0.0123693099	0.0396623765	0.0810555001	-0.1391391771	-0.0478496661	-0.0027111346	0.0564325322	-0.1566479255	0.1052910027	-0.0716586789	0.0072319054	-0.0440007083	0.0188183019	-0.0537939104	0.0277812681	0.0435421912	0.0478069167	-0.001513853	0.0657343491	-0.0662032841	0.1431428247	-0.0487250239	0.0521389542	-0.0445869248	0.2253484975	-0.01518314	0.0778679964	-0.0299318234	0.1262914579	-0.0381347995	0.0244161667	0.0097950777	-0.0935573309	0.0450530688	0.0039493839	0.0776256593	0.0264656466	0.0305392286	0.0150914608	-0.0322444046	0.0006603991	0.0349813059	0.0794316106	-0.0920649082	-0.0657323282	-0.0149810437	0.004213258	0.0093507516	-0.0762610248	0.028603359	-0.004370871	-0.0049494491	-0.0112148965	0.0607775281	-0.0922823411	-0.0064147007	-0.0214540531	-0.0444786491	-0.0029707146	0.125497934	-0.0281113352	-0.0027022921	0.0677069449	0.0421029095	-0.0015222663	-0.080596659	-0.0739090958	0.1062872221	0.0686125101	-0.1697753203	-0.0774982961	0.026157786	0.0817538546	0.0127857217	0.0289799101	0.0158589523	0.0473644593	0.108244156	-0.0313423924	-0.0164472941	-0.1025546645	-0.0643397811	-0.0279960093	0.0557086982	0.0199040117	0.0411079724	-0.0389509171	-0.0728314532	0.0471670785	0.0223313143	-0.0564387816	-0.0302975369	-0.0476615772	0.0407820776	0.0336369992	0.0337153642	0.0089128801	-0.035193317	0.2099787436	0.0354921108	-0.0712333139	0.0675184718	-0.1035928399	0.0381917708	-0.0290041294	0.1119639327	-0.0025959585	0.0154940462	0.0417054325	0.0605216825	0.0034739904	-0.0068062212	-0.0791990277	0.0851135192	0.0448165015	0.0754042784	-0.0520708181	0.0279020696	-0.03255278	0.0011697833	0.0115466007	-0.0928485256	-0.0113712513	-0.0244655492	-0.0215725044	-0.0005669183	0.0692484244	-0.0238316335	-0.0537032721	-0.0454314258	0.1042172335	0.0040019568	-0.0032008427	-0.0283276088	0.0496235469	-0.0459310527	-0.0619067671	-0.0957586229	-0.0997107435	0.0359191299	-0.153676605	-0.1080768682	0.0579966302	0.0350192873	0.028633832	-0.0121668013	0.1446057601	0.0444437195	0.0112059126	-0.0165443545	-0.053002082	-0.0509637442	-0.0503088759	0.0280386605	0.0213675988	0.022233808	-0.0327445319	-0.0105518302	0.0687393948	0.1254752071	-0.0559683981	0.0643520661	0.0212250289	-0.09926107	-0.0572886785	0.0445005402	-0.0327779258	0.0133329632	-0.1935433133	-0.1252698105	0.1468144443	-0.010725696	0.0638025165	-0.1818792167	0.0812362794	-0.0147498435	0.0114497527	-0.1064825865	0.0349480828	-0.0120982521	0.0512302993	0.046288098	-0.0242944022	0.0009463846	-0.0882460271	0.0239832693	-0.0404200352	0.0047128272	-0.0333321045	0.0717042844	-0.0179381671	0.0964536932	0.1009860596	0.100898492	0.1007526021	0.1005484744	0.1002862268	-0.0420615	-0.0280199	0.00078511479601	0.00176916978225	-0.137919	0.0030459999999999	0.019021650561	9.278115999999958e-06	-0.273837	0.035326	0.074986702569	0.001247926276	-0.0102026	0.0010857	1.1787444900000005e-06	0.0001040930467599	-0.00452953	-0.00015062	2.0516642020900004e-05	2.2686384400000184e-08	0.00190214	-0.0003740799999999	1.3993584639999978e-07	3.6181365796e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
618.1395843876656	0.3128742396914958	382096.545786956	0.0978902898625316	881.757070259481	0.7390241488950551	777495.5309525833	0.5461566926500605	600.0327302453995	-0.3304478423566479	360039.2773657484	0.109195776518164	619.7815015912716	623.7423087388696	0.867861	43.738754	0.1125360999999999	0.0735534999999999	-0.2088838961	-0.1329509025	-0.0060273045	0.0370939653	0.0910994164	-0.1144181663	-0.0317553833	-0.0058625166	0.0500208599	-0.1342243502	0.098740926	-0.0637019432	-0.0058310947	-0.0216465701	0.0435753072	-0.0504123269	0.0510752822	0.0260764891	0.0436618778	0.0347381367	-0.0408900247	-0.0818863702	0.1098641994	0.0231106278	0.0913721481	-0.0425009804	0.2131750948	-0.0242864413	0.0549087375	-0.0532516892	0.0977026623	-0.0445357968	0.0086227891	0.0027283067	-0.1150913487	0.0526953515	0.034590829	0.0957698357	-0.0128984658	-0.0445807931	-0.0036843572	-0.0750223634	-0.1141746242	-0.00477854	0.0455554911	-0.1247920783	-0.0624861789	0.0047387332	0.1156387319	-0.1178638406	-0.0346495295	0.0855224538	0.0344252654	0.0620322052	0.0454859241	-0.0607933174	-0.0911347704	-0.0734713153	0.0168911912	0.0187399074	0.0303797391	0.0281222448	0.068045617	-0.0189248025	0.0058737316	0.0467612283	0.0296058145	-0.0486686542	-0.0150036512	0.0205584508	0.0238717816	-0.0100481712	-0.0351748845	-0.0288870963	-0.0207611736	-0.019447507	0.0632933346	0.05028302	-0.1069448438	-0.0045001019	0.0839611292	0.0026034789	-0.0797138089	-0.1122179264	0.0911776151	-0.1187176709	-0.0074986893	-0.0345406489	0.0930747781	0.0257434203	0.0123102418	-0.0076863755	0.0705097659	0.0589902796	-0.0277302627	-0.0918523127	0.0231111251	-0.0214932577	-0.0017428888	-0.0335514746	0.2000523638	0.0218543445	-0.0860392022	0.0425284235	-0.0965690468	0.0224179304	-0.0254789384	0.0898419236	-0.0347486238	0.0226901971	0.0370530854	0.0823448986	0.0190743018	-0.0614919338	-0.0492488994	0.088481693	0.048535123	0.0419826274	0.0421612272	-0.0394072613	-0.1214701595	-0.0289971358	-0.014593805	-0.1797135266	0.0414685554	-0.0202552185	-0.0243266727	-0.0086042291	-0.0038913602	0.0552405489	-0.1060247135	-0.0269732685	0.0423018684	-0.0557760122	0.0596882291	-0.0298406424	-0.0518006448	-0.0638591777	-0.0167185131	0.0310762426	-0.0548172525	-0.0132207323	-0.0520749679	-0.0142630017	-0.1024564293	0.0407914872	0.0676186452	0.0021117992	-0.0171550669	-0.0509760392	-0.0205080618	0.0088223633	-0.0551975188	0.0532786861	-0.0832675081	0.0206976364	0.034985582	0.049251543	-0.0640983604	-0.1106131041	-0.0482012218	-0.0396576637	-0.0264735538	-0.0552627885	0.1300799129	-0.0058218818	0.0139308195	-0.0280857674	-0.0650605596	-0.0647910362	-0.1824080803	-0.1278382931	0.1315774333	-0.0052449238	0.0899018312	-0.159552171	0.0612275467	-0.0318088733	0.0484236937	-0.0827731375	0.0051349873	-0.0125079644	0.0559932445	0.0381286193	-0.0276222955	0.0219472958	-0.0480334728	-0.0075754187	0.0222129627	0.0359578633	-0.0686644783	0.0675817107	-0.0176016795	0.0615299787	0.1009341646	0.1006910253	0.1002862268	0.099720419	0.0989945105	-0.0496886	-0.0076270999999999	5.817265440999996e-05	0.00246895696996	-0.145443	-0.0075239999999999	0.0211536662489999	5.6610575999999625e-05	-0.199045	0.074792	0.039618912025	0.0055938432639999	-0.00991912	0.0002834799999999	8.036091039999952e-08	9.83889415744e-05	-0.0044853	4.423000000000014e-05	2.011791609e-05	1.956292900000012e-09	0.00202629	0.0001241499999999	1.541322249999999e-08	4.1058511641e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
618.4415685299202	0.3019841422545823	382469.973685748	0.0911944221732358	876.5303461725914	-5.22672408688959	768305.447761443	27.318644680471817	600.5618733135581	0.5291430681585325	360674.56367789017	0.2799923865802254	620.0194742053383	616.4195420648562	0.890783	44.894001	0.1411993	0.0791956999999999	-0.2035885228	-0.1374820144	0.0004859166	0.0628396347	0.096775057	-0.0832729399	-0.0234625776	-0.0101212351	0.0349695611	-0.1423069171	0.0890844772	-0.0456980463	0.0054015147	-0.0106383971	0.0601965854	-0.0369404399	0.0938515113	0.0476359144	0.0555823926	0.0228168752	-0.0157946081	-0.081050446	0.044007962	-0.0096482395	0.0255715847	-0.0458043062	0.2002595599	-0.030215721	0.0926577525	-0.058568374	0.0719655272	-0.0623521973	-0.0124191467	0.0462907773	-0.1569402662	-0.0931172832	0.0753758433	0.0561548834	0.0032644364	-0.0084188401	-0.0374747438	-0.0125851918	0.0040718668	-0.0204951124	-0.0106166407	-0.0727415467	-0.05579963	-0.0135826217	0.0507318283	-0.0255291861	0.043222118	-0.0117559677	-0.0911662043	-0.007378493	-0.0279282847	-0.0673695513	0.0088157433	0.0533127915	-0.0377907599	0.007681427	-0.0096719416	-0.0454772794	-0.0109723015	0.01541865	0.0806052973	-0.0714723928	-0.1121734691	-0.0159566699	0.0313389228	-0.0787822253	0.0203529088	-0.0511223488	0.0776414462	-0.0905235889	-0.0458019808	-0.0142944353	0.0493451212	-0.0455264016	0.0219161025	-0.0344749662	0.0033628355	0.0437311873	0.0859749873	-0.0160111119	-0.0364072594	0.0284793433	-0.0273511643	-0.1182230269	-0.0527274282	-0.0093932583	-0.1183840009	-0.0356366508	-0.0946774275	0.0509902048	0.1669843022	0.0700325475	0.0396646939	-0.1027845728	0.0435068744	-0.0383923544	0.1801725351	0.0249789307	-0.1133246398	0.0652598211	-0.0878536765	0.0219756475	-0.027437954	0.0948408756	-0.0122210575	-0.075259409	0.0501686428	0.0820630722	0.0699162882	-0.0965238159	-0.0551349177	0.0935940751	-0.0049851756	0.0200830707	0.0175513683	-0.0088093273	-0.0454518132	-0.0099529082	0.0508918057	-0.0127966428	0.0752328336	-0.0313498028	-0.0527741142	0.0326226886	0.0125317815	0.016558756	0.0300355616	0.0276103506	0.0107543167	0.0353416412	0.0135798058	0.0778884822	-0.0302401028	0.0025100339	-0.0172148658	-0.0323573147	-0.0154995611	-0.0028099013	0.0941773118	0.0400768403	0.095437032	0.0755430668	-0.0160506844	0.0483643715	-0.0203248282	-0.0343284537	0.0354823079	-0.0011687779	0.0449584309	0.0037692157	-0.0659517465	-0.0589990283	0.0323053891	0.0724232578	-0.0069808369	0.033262	0.0150645579	-0.0107185256	0.0041970463	0.0430642388	-0.0869218141	0.1010105948	0.0728982192	0.0209835404	0.0486468366	-0.1914273735	-0.1693883819	-0.1354335696	0.1078359061	0.0150239031	0.0896751042	-0.1684571848	0.0165029581	-0.0467698714	0.0441210505	-0.1132150014	0.009388442	0.0325191391	0.0576612799	0.0273954664	-0.0109996251	0.0080071434	-0.0297015956	-0.0293710915	-0.0177234637	0.0003256642	-0.01629264	0.0637175355	-0.0592366752	0.0045131115	0.1008563388	0.1003800917	0.0995880118	0.0984825911	0.0970673078	-0.0531399	-0.0034512999999999	1.1911471689999985e-05	0.0028238489720099	-0.161961	-0.016518	0.026231365521	0.000272844324	-0.180428	0.0186169999999999	0.032554263184	0.0003465926889999	-0.0084399	0.0014792199999999	2.1880918084e-06	7.123191201e-05	-0.00425972	0.00022558	1.81452144784e-05	5.0886336400000177e-08	0.00167883	-0.0003474599999999	1.2072845159999996e-07	2.8184701689000004e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
620.3150773348054	1.8735088048852049	384790.79516888567	3.5100352419823886	879.2116805624083	2.681334389816925	773013.1792373743	7.189554110014902	600.7594846620004	0.1976113484423649	360911.9584113524	0.0390502450332097	620.2841638575218	623.9248048746499	0.980606	49.42091	0.3547894	0.178995	-0.1718188706	-0.1119365282	-0.0531123492	0.0564787017	0.0964379238	-0.0434093881	-0.0217768922	-0.0175951523	0.0264248867	-0.1177135721	0.0763148716	-0.0472851082	0.0078542155	0.02936887	0.0145360845	-0.0733709698	0.0484507877	-0.0018623627	0.0725173218	-0.0224348561	0.0195219948	-0.0454983094	0.1528592678	-0.0634624493	-0.0186968257	-0.0385376127	0.1505299786	-0.0254633003	0.0579670289	-0.0568856306	0.0416871141	-0.0137579914	-0.0393278811	-0.0415837837	-0.0922778768	-0.02949415	0.1187209143	0.0499359113	0.0216850073	-0.0686317381	-0.1574003033	0.0303945032	-0.0896858829	-0.1338397802	-0.0438269267	-0.1222306978	0.0163491918	-0.1154713183	0.0354079972	0.0082363791	0.0198213327	0.0169692619	0.0251892639	0.0715817264	0.0164595438	-0.1133043313	0.0423814912	-0.0406563736	-0.0203408783	0.0009553764	-0.0912987314	-0.0177809492	0.0233240366	0.0634792431	-0.0437875463	0.1000575461	-0.0583881809	-0.0561277696	0.050533809	-0.0099187709	-0.0187923626	0.0700235113	0.1175333954	0.1471379086	-0.0632878575	0.1283981118	0.0807589431	-0.0277220406	0.0363038755	-0.0126753027	-0.0313554687	0.0812678983	0.032973885	0.0327677796	-0.0460753724	0.028671364	-0.0855362956	0.1003937496	-0.0329427465	-0.0723052064	0.1878403779	-0.1818805375	-0.0293694151	-0.0942690928	0.0303167552	0.0630778189	0.0169652171	0.0350017002	-0.1012678341	-0.0338414238	0.1368181268	0.0149363635	-0.0946659563	0.0294591722	-0.0750109265	-0.0112282792	-0.0192031195	0.0393541202	-0.065118669	0.0012202129	0.097647989	0.0472962761	0.0624431328	-0.1644312743	-0.0644676016	0.1025204323	-0.1009746815	-0.1277446376	0.0275797603	0.0469048403	-0.0321901758	-0.1111781626	0.0422317181	-0.0959294758	-0.0443726938	0.0103880071	-0.0725595229	0.0220012072	-0.0220901434	0.023140121	-0.040434038	0.0484443168	-0.0331932912	0.0649033587	0.029864362	0.0852604467	-0.0329916269	-0.0408004132	0.0261590589	-0.00940057	0.0606142222	-0.0043791824	0.0272544404	0.0470573962	-0.0493736443	0.0641003971	-0.0287335346	-0.0929947332	0.0502189822	-0.1297330681	0.0682515009	0.166008933	0.0634225949	0.0454337228	0.0777176634	-0.0444077283	-0.1063360652	-0.1050620907	0.0833025164	0.0437274527	0.1121706222	-0.0634473181	0.1847480968	0.1200159955	-0.0184946159	0.0400316382	0.1145043706	0.0327006699	-0.1537194587	0.0558146714	-0.1265973207	-0.0792214005	0.0346211908	0.0352713856	0.1225243884	-0.129458097	0.0001001329	-0.0065650539	0.059675307	-0.0806262036	0.0395606945	0.0718624618	-0.0048200272	0.0277982427	-0.0033915146	0.0514963639	0.0109207516	-0.0910755525	0.0272197508	0.0605462626	0.0789077678	0.0492576827	-0.1408072931	-0.0382149561	0.1007526021	0.0999660109	0.0986595713	0.0968400771	0.0945169902	-0.0145985	0.0385413999999999	0.0014854395139599	0.00021311620225	-0.132106	0.0298549999999999	0.017451995236	0.0008913210249999	-0.0988525	0.0815755	0.00977181675625	0.00665456220025	-0.00528474	0.00315516	9.955034625600004e-06	2.7928476867599994e-05	-0.0033507	0.00090902	1.122719049e-05	8.263173604e-07	0.00164666	-3.2169999999999985e-05	1.0349088999999991e-09	2.7114891556000004e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
617.6377033214254	-2.677374013380017	381476.3325641651	7.168331607522622	870.0906180584253	-9.121062503983012	757057.6836332926	83.19378120156485	597.9449920399288	-2.8144926220716115	357538.21350563056	7.921368719695535	617.3292171649302	622.3297760262789	1.232421	62.111954	0.33172082	0.148631	-0.1319397448	-0.0201051845	-0.0687145995	0.1647042751	0.0978648754	-0.065884761	0.0448757472	-0.0024141216	0.0375280403	-0.1022573333	0.0455578487	0.0358060089	0.0066309723	0.029759484	0.082787672	0.0046410495	0.0327841901	0.0264759055	0.0224831032	0.111660481	-0.0123295695	-0.091156471	0.0941768626	-0.0427421148	-0.0963344384	0.0411875264	0.0888994916	0.0004968241	0.1283268337	-0.0620183017	0.1095003643	0.110304018	0.0574135486	0.1448288856	0.1030126776	-0.062928721	0.1297149483	0.1116182292	-0.2499571394	-0.1541386226	0.0280112372	0.2570920584	-0.0885315219	0.1112665089	-0.0870340206	0.1854752582	0.0625304369	0.0208637447	0.0617018672	-0.0633855584	-0.0785510285	0.0204312251	0.0144615512	0.0949353318	-0.0850875284	-0.0263247104	0.2416138573	0.087559448	0.0312454351	-0.0492287743	-0.0089768955	-0.0451385348	0.0464715588	0.0065623762	-0.0610122719	0.0514561368	0.0536666008	-0.0550132012	-0.1235708552	0.0758394925	0.0275883614	0.16780828	-0.0923556986	-0.0316730103	-0.0001496604	-0.0416632677	-0.0870361477	0.0586114798	-0.0458160745	-0.0461418	-0.0015756144	-0.0360158509	-0.045484954	0.0153013275	-0.0744659081	-0.0908934684	-0.004230728	0.0367659122	-0.0218854365	0.0439856167	-0.0305898303	0.0653008804	-0.0819938234	-0.0530425251	-0.1218860912	0.0772667305	-0.1144118103	0.0665248087	-0.0780581283	0.0363959633	0.0692729539	0.0451387995	-0.1219594818	0.0541017773	-0.0391958752	0.0685701573	-0.118373754	-0.038160103	0.1180122854	0.1400115469	-0.0434642282	0.0989067452	0.1116863707	-0.1733433499	0.1804478012	0.0489328842	-0.168029952	0.1659881134	-0.0139920266	0.1027200752	0.0922670368	-0.0593626256	0.013431149	0.0985743531	0.1160897745	0.0204512082	0.1053630316	0.0169979553	-0.0245406028	0.0462854462	0.076137195	0.1707243486	-0.2829453366	-0.0089357953	-0.0026411473	-0.1127222161	-0.1000464531	-0.0142791229	0.0418720041	0.081518285	0.0410309665	-0.0427808831	-0.0036150547	-0.1044172302	-0.0177246652	-0.1220546593	-0.0888844382	0.0167040258	0.0086267256	0.0465958784	-0.0440613541	-0.0627802891	-0.0765153795	-0.0308647486	0.0695977749	0.0468020939	-0.0461735717	-0.0852494975	0.0340852854	0.008115424	-0.112762979	-0.1235670316	0.0279403275	-0.0822485242	0.0595503779	-0.0472382443	-0.1288452201	-0.0633703319	-0.0009148437	0.0501363676	-0.0817211447	-0.0376129324	0.0881168314	0.1633701816	0.1096129014	-0.0845786636	-0.1321126166	0.0533766902	0.1217862339	-0.1012759325	0.1679902292	0.112144319	-0.0076037947	0.0385670139	0.0972716596	-0.0905753352	0.1940511629	-0.0675727113	0.0382801128	-0.062782367	0.0061305687	-0.109169976	0.1253535801	-0.0721897193	0.1006229812	0.0994492082	0.0975030516	0.0947996265	0.0913599293	0.0284986	0.0430971	0.00185736002841	0.0008121702019599	-0.180989	-0.048883	0.032757018121	0.002389547689	0.00746922	0.10632172	5.5789247408400005e-05	0.0113043081437583	-0.00480173	0.0004830099999999	2.332986600999999e-07	2.30566109929e-05	-0.00183234	0.0015183599999999	3.3574698756e-06	2.3054170896e-06	0.00231367	0.0006670099999999	4.449023400999997e-07	5.353068868899999e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
