global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	t_comp_cor_08	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03
546.967618787318	n/a	n/a	299173.5760018688	771.4530425813149	n/a	595139.796907968	n/a	517.7458494475558	n/a	268060.7646201711	n/a	526.0002922694969	545.2273443821117	n/a	n/a	n/a	n/a	-0.0621863413	0.0330593887	-0.0305054621	0.0732952962	-0.0369356114	0.1703510638	-0.0971059703	0.0293145662	-0.0567525033	-0.0442763317	0.0603348466	-0.0460238288	0.1682314415	-0.3059125869	0.1433020951	0.0546908669	-0.0207056124	0.2749368602	-0.0297882016	0.0443333325	-0.3982544237	0.054092834	-0.008703389	0.1032920815	-0.0235523422	0.0041833358	-0.1015807772	0.1435010721	-0.245964762	0.0928600349	-0.0193234289	0.0315625576	-0.1244436933	0.0461709079	-0.2552763202	0.1553571161	-0.0069747228	0.0557108534	-0.010654074	-0.0437950042	0.0505888837	-0.0777003407	-0.1214982136	0.1074890531	-0.0540222776	0.1385001531	-0.0811539272	-0.0383928183	0.0427731061	-0.1444989969	0.0223020724	-0.0422816503	0.0488647153	-0.0448769988	0.053935198	-0.064756622	0.002069292	-0.1087866494	0.0106737355	-0.0644256869	0.0005578711	0.0831481349	-0.1124967842	0.0083187546	0.0768573203	-0.121106822	0.0779625053	0.0466121005	0.1021414446	-0.001894075	-0.0448726414	-0.0055334944	0.1052536776	-0.0315492766	-0.0929229389	-0.0411023355	0.0216596357	0.0273596957	0.0792499127	-0.0162223187	-0.0481771069	-0.0009677787	0.045538937	0.0034740245	0.0999322287	-0.0274525715	-0.0053011661	-0.0544258673	-0.0417708776	0.0569423883	0.0440396386	0.0298713592	-0.1142264565	-0.0131170562	-0.0369652266	0.0589975832	0.0511163094	0.0690043413	0.111003167	-0.0328031802	-0.0736293138	0.0776502153	0.0130780911	0.0600754042	0.0519711853	-0.0903575227	0.0805450549	-0.0778556393	0.0741026369	-0.1610896239	0.1565321488	-0.0503671841	0.0274770686	-0.1461148407	0.0383024798	-0.0091456303	0.0908385946	-0.0821242981	0.0847418735	-0.0289186841	0.1093824545	-0.1292820225	0.0125439238	-0.0041342775	0.0343420602	0.0284679499	-0.0057598464	0.0827074615	-0.0521624525	-0.0137725288	0.1347730999	0.009176711	-0.1420879005	-0.044435801	0.0684704309	0.0698801095	-0.0726938539	-0.0119764864	0.1267833376	0.0058979963	0.0069312335	0.0111716007	-0.0258939758	-0.0063237915	-0.0340579613	0.0132329237	0.0045562784	0.0954097421	-0.0835166887	-0.0097629543	-0.0101576592	-0.0118592211	-0.0956844196	0.0588829362	0.0074676877	-0.0760430401	-0.0699096406	0.0904866907	0.0438094967	0.048621041	0.0041970283	-0.1341335725	-0.0424518234	-0.0357453117	0.0652686353	0.0730858868	0.0287920121	0.0157777293	0.011899472	-0.0977008654	0.1433330122	-0.2062856317	0.0311489906	-0.0110974783	0.0974022092	-0.2928942614	0.0589114226	-0.0364075462	0.0117014201	-0.0423301765	0.0639342156	-0.0059719928	0.236716204	-0.2336818447	0.0814575642	-0.1356196371	0.0450714496	-0.0338135965	-0.0468641564	0.0138394085	-0.0810008082	0.0918323569	0.1186709048	0.1186491225	0.1186128217	0.024725	n/a	0.000611325625	n/a	-0.0535149	n/a	n/a	0.00286384452201	-0.0278082	n/a	0.00077329598724	n/a	0.00155329	n/a	n/a	2.4127098241e-06	-0.00123669	n/a	1.5294021560999998e-06	n/a	0.000779691	n/a	6.07918055481e-07	n/a	0.0	0.0	0.0	0.0
544.6520986851018	-2.315520102216169	5.361633343767179	296645.9086020859	759.2611398715283	-12.191902709786632	576477.4785190125	148.6424916849026	517.0898299063372	-0.6560195412185976	267381.8921925648	0.4303616384606593	525.1905013074603	551.0361109920603	1.124564	57.870125	0.0371087999999999	0.0198525	0.0224527743	-0.0383381119	-5.76696e-05	0.0980956972	0.1135675099	-0.0023541795	0.151945831	-0.0834164467	0.1571819174	-0.0077941756	-0.0604657013	-0.0183835106	-0.0037202508	-0.0187872316	0.092551789	0.1759255106	-0.0512335063	0.1525316043	-0.2388887906	0.0349949869	-0.2158969338	0.0657986395	0.1350586256	-0.1431960877	0.0127123117	-0.0778083279	0.2014574466	0.037801393	-0.0180499624	0.0470300096	0.0293518481	0.112284878	-0.0672684555	0.0498797993	-0.0047231984	-0.1614439913	-0.1774275399	0.0025700703	-0.0535245314	0.0496754267	-0.0452481665	-0.0899299975	-0.0827351674	0.2154137471	-0.1469645091	0.0131451424	-0.1036564506	-0.0073358782	0.1600806025	-0.0804491524	-0.0695024625	0.1156823286	0.0152937321	-0.1067876009	0.1671023471	0.0985156179	0.0332613559	-0.0706345681	0.0640916048	0.1134708495	0.0510185528	-0.0977527661	0.0505164047	-0.0360957606	0.067122993	-0.0683161534	0.0588534343	0.21883485	0.089854217	-0.0203571449	0.0144740525	-0.1128862595	0.0228086825	-0.0162218363	-0.1343777061	-0.0397594057	0.1242415408	0.0238453696	0.0255870804	-0.0777984662	-0.1227894243	0.0248800888	-0.1434633884	0.094553392	0.0643054163	0.1308177889	0.0123721895	-0.0361990376	-0.201050287	-0.1084359437	0.1311035898	0.0246448481	-0.1004417151	0.0207866932	0.082742556	-0.1077602539	-0.0978335763	0.0117951948	0.068937774	-0.0515524156	0.0366853659	0.0106260711	0.0981519925	0.0115210244	0.1260783165	-0.0186045284	0.0189597448	-0.1879047046	0.2093678322	-0.0740984985	0.1683631473	-0.0027693377	-0.0834752693	-0.1180840538	0.0131064274	0.0118361103	-0.0472779985	-0.2537778646	0.0765992862	-0.1147409402	-0.1699317635	0.0688815549	0.1030879272	-0.0648595063	-0.0885094206	0.0167920848	0.0163647116	0.101494647	-0.0629786058	0.0062108855	0.1067972684	-0.0885092282	-0.1184044399	-0.0976739379	-0.0095187047	-0.0370004015	-0.1220509277	0.0018516444	0.0697532975	0.1215123268	0.0983398077	-0.0234771178	-0.0574170103	-0.0513825448	0.0823216241	-0.0582415503	-0.149344265	0.0725101688	-0.1300294658	0.1169454129	0.07352523	-0.0240690693	-0.0359571936	0.1364292287	-0.0874743487	0.0449504927	-0.1590334336	-0.020681188	0.0035986206	-0.0864276986	-0.0915780832	0.0344324529	0.0730178639	0.0177774771	0.0261432501	0.0097732798	0.1757088027	-0.0531884286	-0.0181225424	-0.0211517607	0.081639774	-0.2356906106	-0.06291074	-0.0092258783	-0.0505751981	-0.1738331409	0.178843015	0.0625925282	-0.1704016159	0.1196677609	0.0985819009	-0.0848664788	0.1817451016	-0.0376209353	0.1654809493	-0.1284892491	0.0413468028	0.0297706341	-0.0353438293	0.1743162337	-0.0070279938	0.020105278	0.1186128217	0.1184168613	0.1180905004	0.0219239	-0.0028011	0.00048065739121	7.846161210000004e-06	-0.0499664	0.0035484999999999	1.2591852249999973e-05	0.00249664112896	-0.0278059	2.3000000000002185e-06	0.00077316807481	5.290000000001005e-12	0.00137044	-0.00018285	3.3434122500000014e-08	1.8781057936e-06	-0.000933709	0.0003029809999999	8.718124966810001e-07	9.179748636099996e-08	0.000650384	-0.0001293069999999	4.229993474560001e-07	1.6720300248999986e-08	0.0	0.0	0.0	0.0
542.3869053283321	-2.2651933567697142	5.131100943553646	294183.55507164507	752.9548471926897	-6.306292678838531	566941.0019109667	39.76932735117246	516.0261283571252	-1.0637015492119417	266282.9651472443	1.1314609857958848	524.0541030056478	542.3998766838463	1.183127	60.883762	0.08531825	0.0490891	-0.0108605162	0.0224339106	-0.0645168629	0.1656640634	-0.0828409655	-0.1485329746	-0.0847455789	0.1008411967	0.1362829407	0.0014872281	0.0747674229	0.2187718978	-0.1514182833	0.0515699338	0.0317419959	0.0352826221	0.0292693857	0.0965957397	0.0366472446	-0.0675989841	-0.1952623074	-0.0437282154	0.0574963928	0.0655353503	-0.1237633316	0.0086838341	-0.0522571136	-0.1111293046	0.04190203	-0.1058491041	-0.0601277931	0.1208607757	0.07220952	0.0950283255	0.2264465288	0.0416550867	0.0460452341	-0.0189515545	-0.1030334919	0.1171592609	-0.053779959	-0.0564917217	-0.1493266243	0.1164880137	-0.1384853804	-0.0209442829	0.0160159112	-0.0497856441	0.008926613	0.0103114683	-0.1035677309	0.0847183592	-0.0400672661	-0.0319425258	0.0010419634	-0.0335322969	0.2596422914	-0.1248706452	-0.04319851	0.0088902145	-0.1091214928	-0.1594799042	0.0547529205	0.1070102255	-0.1115043814	0.0096395527	-0.1110945998	0.0249722801	0.1426790018	0.0169847957	0.0103573826	-0.0499268277	-0.0621726659	-0.0310592272	0.066577377	0.1206627166	-0.1109937112	0.0185272517	-0.0125062278	0.2796857117	0.0819958912	0.037482434	-0.0279870411	0.0399753169	-0.1436321661	0.0395552227	0.0257243295	-0.0311882358	0.039093169	-0.0789256038	-0.0926373429	0.0278749637	0.1408076848	0.048324747	0.0774653309	-0.0554626993	-0.0190955449	0.0001928252	-0.0647703104	-0.0445471038	0.1661296464	-0.0165732463	0.052671814	0.0491058763	0.0764872522	-0.0653181313	0.0636083987	-0.0800787444	0.2422303334	0.0129257154	0.0075723486	-0.008624677	0.0838164835	-0.0174785339	0.0589774105	0.0275351746	-0.1246911553	-0.0363271774	-0.0035009652	-0.0446777851	-0.2150220167	-0.1991087281	-0.0117942088	-0.0489738034	0.0561450669	-0.1481526234	0.0008756382	-0.0485201362	0.0821648042	-0.1165709289	-0.0828016946	-0.1146508164	-0.0509862415	0.083030477	-0.0472032298	-0.0674471158	0.0034872169	0.0232213457	-0.0620156713	-0.1311374008	-0.0920027197	0.0627971291	0.17765442	-0.0658561852	0.1791007975	0.1561221096	0.0274980098	-0.1130496801	0.0943852115	0.010082708	0.1135576972	0.0315361905	0.116104676	-0.0749284589	-0.0021246354	0.0834127803	0.0370125637	0.0462539984	-0.0790800326	-0.0331425198	-0.018111671	0.0830790494	0.0686196318	0.0147326244	0.0020647689	-0.223710924	0.0810793048	0.0061765447	-0.0368930642	-0.056692966	0.0904978383	-0.1846925503	-0.0524751371	-0.0061061651	0.0422501274	-0.0147282971	0.0961604649	-0.1263195515	-0.0693674297	-0.0429231875	0.2226977424	-0.0448895431	-0.0606311407	0.0037317532	0.0688002992	0.0566862851	0.0613653503	-0.0791298462	-0.0906176895	-0.0309221669	-0.04853051	0.2283307622	0.118496684	0.1179527935	0.1170481578	0.00452251	-0.01740139	2.0453096700100003e-05	0.000302808373932	-0.00823334	0.04173306	0.0017416482969636	6.778788755560001e-05	-0.0125495	0.0152564	0.00015748995025	0.00023275774096	0.00123384	-0.0001365999999999	1.8659559999999992e-08	1.5223611455999998e-06	-0.000984731	-5.102199999999996e-05	9.69695142361e-07	2.603244483999996e-09	0.000619458	-3.092600000000002e-05	3.8372821376400004e-07	9.56417476000001e-10	0.0	0.0	0.0	0.0
541.595084487746	-0.7918208405860696	0.6269802435864299	293325.23554128874	753.1385878624524	0.183740669762642	567217.7325274489	0.0337606337248242	515.4440723479347	-0.5820560091905236	265682.59171862295	0.3387891978347989	523.424692927676	542.423081832575	1.155478	59.460976	0.1024855857	0.0612098	0.0488001661	-0.0297032466	0.0326384261	0.1768575705	0.1202083699	0.0068052448	0.0282817692	-0.0703792914	0.1401581173	0.0452904331	-0.0215914943	0.1631944482	-0.0019617661	0.0808465914	-0.0356005745	0.0688680658	-0.1953659846	0.1300839811	-0.0407467115	0.0647065618	-0.0651807784	-0.0038002695	0.1301433861	0.0458282559	-0.1305833514	0.0400869856	0.0845333209	-0.0304303449	0.040584022	-0.1291048663	-0.1353285245	-0.1594518163	0.0159600406	0.0655913808	0.1301355288	-0.0790398511	0.0339946064	-0.073619729	-0.0084253881	0.0144534132	0.0615926229	0.0320465259	0.0021723474	0.1461807349	-0.1356751169	0.0186275413	0.1472397216	-0.0663817964	-0.0623759233	-0.0819957481	0.1025649866	0.1327878003	-0.0588343997	-0.0855795162	-0.1123706458	-0.0092491719	0.0148847882	-0.0772766503	0.0312692437	-0.1364957695	-0.1053189192	-0.0062810363	-0.1128593271	0.0504578515	-0.0232768635	-0.0546160941	-0.0144042706	-0.0096601672	0.0141245091	-0.0375665051	0.0283244756	-0.0204308258	-0.0592705871	0.1158958733	0.0936882256	0.021490561	0.1195170975	0.0247115377	-0.058725561	-0.0091071717	0.0579337485	0.0902921973	0.1209226877	-0.0852997681	0.0387254864	-0.0310594977	-0.1506455272	-0.0483828143	0.083862046	0.0951502115	-0.1707565581	0.0118655678	0.1015892659	-0.145618286	0.1040648994	0.1155259271	-0.0254866629	-0.0165077115	0.1092386146	0.0201898304	-0.0333921027	0.0958432282	0.0168057	0.1051341463	-0.0888841264	0.0541751096	-0.0093299997	-0.0749406376	0.1720502374	0.0003168613	-0.1114490706	-0.1047799786	0.1245147293	-0.1197475248	-0.0301769563	0.1215495105	-0.0466625039	-0.0841235889	-0.0924203101	-0.0781774621	0.1235468704	-0.0612382121	-0.0500887602	-0.0807716776	0.1202545823	-0.1125490069	-0.0218431562	0.0026745169	0.01035762	-0.0840291744	0.0577081268	0.0496490605	0.0385596597	-0.0456849002	-0.0167686777	-0.0445996684	0.0655080755	0.0851449899	-0.1129855766	0.0148511848	0.0163325689	-0.0908042399	-0.0530430907	0.0230405775	-0.0845212819	0.1382433937	0.0493566281	0.1164196137	0.0942680513	-0.0752000632	-0.0774339786	-0.1330036994	-0.0483132972	-0.0821978261	0.1137455159	0.1241928597	0.0355071281	0.0409746869	-0.0337570088	0.1891901699	-0.0615946698	-0.1167378024	0.0395770351	0.0120114682	0.1311375933	0.0077699025	-0.0942145194	-0.0511411844	0.0060367175	0.0184530497	0.1367786917	-0.2185838485	0.0476609746	0.0121523463	-0.0244572044	-0.0058645558	0.0381836078	0.1236153128	-0.0897859967	0.0668078384	0.1282042679	-0.1237086403	0.0829792634	0.0656909425	0.0526948073	0.0976978376	0.0132617545	0.042244689	0.1053181827	0.0413744062	-0.108715088	0.0296189843	0.1183225485	0.1172578276	0.115490384	-7.63157e-05	-0.0045988257	5.82408606649e-09	2.1149197818980496e-05	-0.0616303	-0.05339696	0.0028512353372416	0.00379829387809	-0.0277592	-0.0152097	0.00077057318464	0.00023133497409	0.00153233	0.00029849	8.90962801e-08	2.3480352289e-06	-0.000933709	5.102199999999996e-05	8.718124966810001e-07	2.603244483999996e-09	0.000383368	-0.00023609	1.4697102342399997e-07	5.573848810000002e-08	0.0	0.0	0.0	0.0
541.3878940842399	-0.2071904035061607	0.0429278633050456	293100.8518609681	748.4174740955377	-4.721113766914641	560128.7155315449	22.288915200150957	515.1024045318047	-0.3416678161299842	265330.487154447	0.1167368965790326	523.0526754347942	542.6804249401184	1.1842	60.93898	0.0805988592999999	0.0380751	-0.0903277637	0.0635069736	0.0378242753	-0.0082198361	-0.018900621	-0.1679292367	0.0440869973	0.0491275193	0.0874798805	0.0195359771	0.0946123232	0.1541641149	-0.0933761287	0.1257340234	-0.110982379	-0.0467273874	-0.0775180893	-0.1048566207	0.0170032768	-0.1310389713	-0.1478246406	-0.0256232569	-0.0119767816	-0.0105307209	0.0199317531	0.0144161265	0.0787340354	0.004849521	0.1208241629	-0.1077849803	-0.111909255	-0.1792539275	0.0021299927	0.0329521464	-0.0757562972	-0.0452852566	-0.1380239672	-0.0644890862	0.1120611587	0.0533571456	0.0567874562	-0.0463608805	-0.1183604146	-0.0814965968	0.0001464863	-0.0199816238	0.113370396	-0.1005023232	-0.039688971	-0.0129048319	0.0594402269	0.1799075677	-0.0802923998	-0.0020917012	-0.2490446789	-0.0755295539	-0.0528182278	0.0584972127	-0.0389977435	0.0083759738	-0.0031105327	-0.1127864568	0.0362521754	-0.0212725949	-0.0402371532	0.1428106654	0.0184067746	-0.0453921051	0.0882065454	-0.1320057501	0.054937593	0.0725893106	-0.0409342524	-0.0027905557	-0.0167308197	-0.0805233935	0.0674878673	-0.094633669	0.0035044238	-0.1048867078	0.0074409189	0.0907578742	0.0595934728	-0.1572261906	0.0741461249	0.1859027805	-0.105070613	0.1526391433	0.0054163234	-0.1033240331	0.1362229393	0.0653607265	-0.0566347694	0.064536194	0.0095921512	0.0292876445	-0.1671850024	-0.0482239375	-0.1594461418	0.1224338601	-0.0643282343	0.0858944224	-0.1586124555	0.0182604376	0.0169348326	-0.1000769851	0.0548217599	0.0769370945	0.0681082228	0.0962174715	-0.0616646344	-0.0337531692	0.1486978736	0.0265221274	-0.0266309191	0.162749619	-0.0866756978	0.0367599418	-0.2997796218	0.0372433884	-0.0058060487	0.035499347	0.039612574	-0.0153973753	0.0519660666	-0.0766673383	-0.0258046911	-0.0833890581	-0.0663137811	0.1172831307	-0.0687250201	0.0212811196	-0.0184960364	0.0511026931	0.0996508699	-0.0145068828	-0.0328851402	0.1416183159	-0.0158771156	0.0277861468	0.0195062366	-0.0535504553	-0.0830207521	-0.0597598128	-0.2140675443	0.0147960316	-0.0105148152	0.0608880828	0.047976134	0.1890835364	-0.004681885	0.0545052001	-0.1270397527	-0.0410427487	-0.139056265	-0.0548985174	-0.1128113827	-0.0575589964	-0.0105368857	-0.0900328077	0.0368284566	0.1318080268	0.0882919148	-0.100888578	-0.002757849	0.077853719	-0.1337035602	0.0920382808	0.0254067666	-0.1331228609	0.0343895706	-0.0607109514	0.0400307128	0.0305841928	-0.0427344319	0.1013013019	-0.0564935986	-0.0367543284	-0.1488804705	-0.045668382	0.2032277356	0.0020417161	-0.0074078192	0.083150522	-0.124947284	0.1095779478	-0.0155899959	0.0582564532	-0.1334632494	0.0455505575	0.0222341697	0.0517379378	0.1180905004	0.1163333239	0.1134240387	-0.00924463	-0.0091683143	8.54631838369e-05	8.405798710358451e-05	-0.0421433	0.0194869999999999	0.0003797431689999	0.00177605773489	-0.0455604	-0.0178012	0.00207575004816	0.0003168827214399	0.00130813	-0.0002241999999999	5.0265639999999966e-08	1.7112040969e-06	-0.000933709	0.0	8.718124966810001e-07	0.0	-7.52789e-05	-0.0004586469	5.6669127852100014e-09	2.1035697887961003e-07	0.0	0.0	0.0	0.0
541.8785012213942	0.4906071371543703	0.2406953630268071	293632.31008594454	751.5824495927745	3.16497549723681	564876.1785358755	10.017069898109392	514.5104972979325	-0.5919072338722344	264721.0518297658	0.35035417351028	522.4227040688894	545.8355483425042	1.169396	60.177193	0.0625116249999999	0.0399612	0.0194488991	-0.097573368	0.1339676537	0.0122489195	0.1155095287	0.0913319081	0.0207197741	-0.0669479966	0.0187536086	-0.0116711962	-0.1026823477	0.1120702913	0.1364222426	0.0761765731	-0.077299928	-0.0173748791	-0.2193647718	0.035475956	0.0470625948	-0.0179590008	0.0034940548	0.0615168466	-0.0194241496	0.0932859009	-0.1252921317	-0.1163692848	0.0190729335	0.0176061825	-0.0017804392	-0.0560788141	0.1124423964	-0.1194109911	0.0338023438	-0.1620315358	-0.0165396563	-0.104505044	0.0791549686	0.2741656013	0.0220767338	0.0664567651	0.0004185311	0.1754139054	0.0291494767	-0.0063637441	0.0011177559	0.0602656954	0.165020011	0.0631895474	-0.0137328155	-0.1496406595	-0.0243967086	0.0012080019	-0.0486605037	0.0682105552	0.036720758	-0.0851617564	0.0708204484	-0.1394747007	-0.1990123888	-0.0627924032	0.0617521801	-0.1027858127	-0.2492658144	-0.0644482258	-0.1786702815	0.0190720165	0.1019000327	-0.1543315729	-0.0359564494	-0.1583780484	0.023277215	-0.0555383965	0.0086384845	-0.0889390328	0.0658023107	0.0241159714	-0.0300700778	0.0486358154	-0.0233538542	0.061156884	0.0894454592	-0.0589745097	-0.1541180529	0.003673527	0.1597098376	-0.0746964674	0.0483941276	0.0417756497	0.0180158119	0.01033433	0.1437054829	-0.0035108391	0.0118093537	-0.1768975081	0.0120701739	-0.1753978432	0.0641677171	-0.0599039945	-0.1412606267	-0.0390107065	0.0075784483	-0.1576289394	0.0756310161	0.0399971758	-0.1348612805	0.1502010007	0.0358642462	0.0668729549	-0.0198641642	-0.0059627791	-0.0964607365	-0.1785320747	-0.0198879246	-0.159011703	0.0758785505	0.0656283158	-0.048007296	0.0927839203	0.0517036505	-0.0060543906	0.029145638	-0.1908521705	0.1740916615	0.1181633035	0.0960018839	-0.1874108578	-0.2310809004	-0.1218292172	0.011451747	0.1796715592	-0.0017202782	0.053764426	0.0491430729	-0.022494151	-2.1333e-06	0.0171553577	-0.1178173557	-0.0484038102	-0.0419182083	-0.0412015439	-0.0225855142	-0.0994745373	0.1235606491	0.0501005941	0.1202524345	0.000899659	-0.0157266947	0.1108720541	-0.0129524173	-0.0691732296	-0.1650278083	0.0831685282	0.0378341272	0.051249424	0.017037936	-0.0264567026	-0.0410994572	-0.1782563796	0.0504738759	-0.0657580027	0.0180009317	0.035113019	-0.1431220614	0.0159416816	0.0735779591	-0.1773445734	0.0354470584	0.0316422456	0.0706421278	0.0017847129	0.1691561642	-0.0509621068	0.0806620728	-0.0853894652	-0.1231075037	-0.0070437201	-0.1403226104	0.1480020726	-0.0153777084	0.0688108333	0.0894701636	-0.0917057533	0.0005422314	-0.014656966	-0.1777927582	0.0688467911	-0.0044955791	-0.0475074012	0.2728880961	0.2028843052	0.0779874229	-0.1412810781	0.1178006533	0.1151810923	0.1108582214	-0.0207084	-0.0114637699999999	0.0004288378305599	0.0001314180226128	-0.0777607	-0.0356174	0.00126859918276	0.00604672646449	-0.0455671	-6.699999999998374e-06	0.00207636060241	4.488999999997821e-11	0.00135576	4.7629999999999895e-05	2.2686168999999903e-09	1.8380851776e-06	-0.00102154	-8.783100000000002e-05	1.0435439716e-06	7.714284561000004e-09	-0.000248293	-0.0001730141	6.164941384900001e-08	2.9933878798810014e-08	0.0	0.0	0.0	0.0
