global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	t_comp_cor_08	t_comp_cor_09	t_comp_cor_10	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	c_comp_cor_38	c_comp_cor_39	c_comp_cor_40	c_comp_cor_41	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	cosine04	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01
545.0618444980115	n/a	n/a	297092.4143275745	775.2996774548988	n/a	601089.58986167	n/a	516.091212680643	n/a	266350.1398061767	n/a	524.1065383076796	557.7499454615522	n/a	n/a	n/a	n/a	-0.0759368088	-0.0413390245	0.1382230485	-0.0775867711	0.0301354809	-0.0296742712	0.0771060524	-0.2259747381	0.0956345357	-0.0187298483	0.0319255725	-0.0629251107	-0.0428445225	0.1228447587	-0.0406556622	0.0155702467	-0.083421235	0.0308005903	-0.1952242373	0.0457596877	-0.1961951287	-0.0737007454	0.1548992879	-0.2527348607	0.0239721589	-0.2480598825	0.1032193282	-0.2082127653	0.1776509648	-0.1040749159	0.0890083603	-0.0928037686	-0.1526595085	0.0411462503	-0.1271875928	0.0814778338	-0.1767138917	0.0554697814	-0.0503204831	0.0766527404	-0.0648236201	0.0178810024	-0.0209149902	0.037644035	-0.0565636806	0.0613592254	-0.0140070308	0.0551379513	-0.0329057996	0.0981284592	0.0075061856	0.0056199531	-0.0284316297	0.0249448404	-0.0435049589	0.0130993374	0.0948306132	-0.0594340142	0.0297535587	-0.0588266512	0.1167282833	-0.0304620894	0.0925150622	-0.0768123017	0.0042923107	-0.0145419759	0.068864857	-0.0643626794	0.037184397	-0.0589396932	0.0703127431	-0.0560392823	0.0192943773	-0.085467552	0.020503295	-0.0524026733	0.0140011236	-0.0273806118	0.0454778083	-0.0288254704	0.0624908814	0.0053756109	-0.0686432901	0.0143263075	0.0406902861	-0.051311704	-0.0170966679	-0.0972682102	0.0266138731	0.05412238	-0.0870595302	0.0581197848	0.0002201857	0.0551326643	-0.0356982164	-0.0316697765	0.1240019172	0.0614771128	-0.0088668244	-0.0258351197	-0.0217120461	-0.0192787351	0.016094291	0.0731068972	-0.0543853632	-0.0782582355	0.046631049	0.1348382287	-0.052675294	-0.0572019681	-0.0348610998	-0.0041779065	0.0282107554	0.0229891742	0.0212794113	-0.0576796628	-0.0008242441	-0.018583386	-0.009523108	-0.0796246923	0.0662397038	0.0006015476	-0.0131745116	-0.0454334979	-0.0213683571	0.0801221645	0.0160623175	0.0539520465	0.0033120548	-0.0491404936	-0.0034042415	-0.0118361438	-0.0696484022	0.0189178942	0.0621496314	0.0709731285	-0.0149589941	-0.0570785931	-0.043827899	-0.0919370272	-0.0175918978	0.0300881697	-0.0612980638	0.1085691599	-0.0320233603	0.0131144044	-0.0493604467	0.1266181252	-0.0563317654	0.0463204802	-0.0859834533	0.0782187767	-0.0230430437	0.0367120716	0.0314600465	-0.0674601995	0.0707158983	-0.0993137136	0.013389467	-0.0231192715	0.0541048396	-0.0250592361	0.0057331789	-0.0539874333	0.1074693636	-0.0089955177	0.0417951853	-0.0495426483	0.0204631201	0.021989595	-0.0326042724	0.0520591932	0.0379533335	-0.1183889915	-0.0176777849	-0.0084204851	-0.0104873263	0.0919508405	-0.1500460454	0.0300249091	0.0916621567	-0.0413955901	-0.0174549069	-0.0742845618	0.0058981486	0.1133562493	-0.0598287416	-0.0301213675	-0.0040241987	-0.0227839768	-0.0612895985	0.0709858141	-0.0804309377	-0.047646646	-0.0508270926	0.0978307164	0.0182816365	0.022559996	0.0163232671	-0.0608189013	-0.0160121335	0.0240969059	0.0286971218	0.0480259444	-0.0168542026	-0.0093569783	-0.0321907775	0.0708437056	0.0564020236	0.0387194829	-0.0096185458	-0.0525533248	-0.0247763488	-0.047520487	0.0269101533	0.0349645677	0.0133701446	0.0757314478	0.0224701102	-0.0620231091	-0.000666999	-0.0602505586	0.0065592985	0.0936873868	0.0492412018	-0.0518343943	-0.0457674399	-0.0655844935	-0.0003714584	0.0768928609	-0.0808533379	0.147739925	-0.1006166932	0.0288071527	-0.0919425327	0.2132486885	-0.0485692325	0.0816602809	-0.0248350735	0.0929060449	-0.1405236557	0.0782077928	-0.0285842726	0.0236829255	-0.0308228659	0.1034456812	-0.0798828021	0.0173690103	-0.1264618002	0.0238079834	-0.000900835	0.1010120104	0.1010022786	0.1009860596	0.1009633545	0.1009341646	0.00596622	n/a	3.559578108840001e-05	n/a	0.0196238	n/a	n/a	0.00038509352644	-0.0369208	n/a	0.0013631454726399	n/a	0.00133583	n/a	n/a	1.7844417889000002e-06	0.0008624909999999	n/a	7.438907250808275e-07	n/a	0.0	n/a	0.0	n/a	0.0	0.0
543.4532279431231	-1.6086165548883855	2.587647220660978	295341.41096180014	763.3359061174406	-11.963771337458184	582681.7055681341	143.131824614986	515.3951620718294	-0.6960506088136071	265632.1730870473	0.4844864500297932	523.2515568179393	534.6088115810414	1.406667	75.74543	0.1521040199999999	0.097069	0.0316944145	0.0190996978	-0.0365057303	-0.0644669781	-0.1526539472	-0.0843398515	-0.0374710897	0.0720390671	0.0087609485	-0.1307330006	0.1849741329	0.0219804507	0.0180034125	0.0621003199	0.0276019521	-0.1350930954	0.0851398953	0.1838484056	0.0710526152	0.0050073308	-0.1775868423	0.020378232	-0.005660616	0.0321241302	0.1106647437	-0.0940601716	0.0433726982	-0.0677571086	0.1480179183	-0.180860977	0.1250861864	0.0682554937	-0.1034222684	0.1064527608	-0.0404419978	0.1108111033	-0.0534454818	0.0350240687	-0.0062421198	-0.0341118296	0.1116920522	0.0845661805	0.1005436649	0.0392794551	0.0067773991	0.0614752814	-0.0531330122	-0.1094620555	0.0055161793	-0.0290289866	0.0102468122	-0.1090206245	0.1669965535	-0.0752645404	0.0106985667	-0.0497412902	0.0806168178	-0.1265641905	0.1060189108	-0.1541778686	0.1857055769	-0.0488913964	0.0001701666	-0.1062251143	-0.0211434805	0.0212013553	-0.1332298853	0.0787080681	0.0672839568	-0.0219137278	0.1832154195	-0.103637507	-0.0175829107	0.0865367736	0.0453079559	-0.0523976742	0.0385830128	-0.0432661405	0.0245713143	0.0024045201	-0.0141198131	-0.0615799103	-0.0526244437	0.0829619823	0.0245511595	0.0284423582	-0.0336522476	0.0047490089	0.0682431696	0.0069296883	-0.0395335874	0.0259414601	0.0633749347	0.0357582527	0.0061208206	0.072401887	-0.0147068171	0.0131239633	0.0465856767	0.1258476237	0.0440612454	0.0317122519	-0.0572481846	-0.0663475512	-0.0446085507	0.084415373	-0.0302476929	0.1346774589	0.038128198	0.003606505	-0.0355936762	0.0272276227	-0.0328936492	-0.0241399334	-0.0149070279	-0.0335237841	-0.0358986826	0.0295512851	-0.0380551821	-0.1038260256	-0.0452701029	0.0754618038	-0.1114710273	-0.0067112205	-0.0301619503	0.058996521	-0.0871114997	0.1173225449	-0.0346179991	-0.007927431	-0.0429305736	-0.0591934789	0.0234941483	-0.0168342678	0.0098142617	0.0465356794	-0.0268077543	0.0660611349	0.0314214753	-0.1539076344	0.0517039682	0.0055736635	0.046166372	0.0952323008	-0.0895145694	0.0136836028	-0.0095791491	0.2393804968	-0.106091183	0.1429907992	0.0770641556	0.0757746333	0.1669519626	-0.0844030727	-0.0572949186	0.0058898443	0.0927787779	-0.147004259	0.0628275112	0.1248260172	-0.0234098832	0.0817676287	-0.0131325656	-0.0322246267	0.0196206911	0.0451107074	-0.0347014106	-0.0015966018	-0.0453622273	0.0302805863	-0.0509041708	0.0307615131	-0.0791117035	-0.0429945771	9.44766e-05	0.0308291253	-0.0038558327	0.0754043746	-0.0494745742	-0.0283069881	0.0112408694	-0.0160647924	0.0043353552	0.0140749938	-0.0104234367	-0.0100953086	0.133432351	-0.0680240422	0.0763982359	-0.0729325612	-0.0745691775	0.0136601547	-0.1285306367	0.0552501794	-0.0113940571	0.0464047242	0.0682871824	-0.0385432872	0.0405639208	-0.008662844	-0.0721056048	-0.0451844303	0.087646006	0.0033569809	-0.0194355341	0.002807373	-0.0451181436	0.0020958598	-0.0240385921	0.1683115947	-0.0282944962	-0.0074545951	-0.1154199516	-0.041607533	0.0128681461	0.0642955234	0.0717804489	0.0563756209	0.0658355985	-0.0262617039	-0.0488984048	-0.0274361853	0.0511912019	-0.0316505925	0.0350334083	0.0923381628	-0.0095555572	0.0473534875	-0.006988214	0.0018063807	-0.0009647842	0.1490624351	-0.0668464981	-0.0282655536	-0.0394793332	0.0095918067	-0.1510676638	0.0708020824	-0.0111449141	0.2612355408	0.1543254257	0.1215590128	0.0484693565	-0.0417153064	-0.0900706879	0.1293498341	-0.0982258293	0.0523781337	-0.0767888001	-0.057750243	-0.045267676	0.1009860596	0.100898492	0.1007526021	0.1005484744	0.1002862268	0.0108574	0.0048911799999999	0.0001178831347599	2.3923641792399998e-05	0.101567	0.0819432	0.00671468802624	0.010315855489	0.00972674	0.0466475399999999	9.460947102759998e-05	0.0021759929880515	0.00124022	-9.56100000000001e-05	9.141272100000018e-09	1.5381456484e-06	0.000855024	-7.46699999989997e-06	7.31066040576e-07	5.575608899850616e-11	0.000269365	0.000269365	7.2557503225e-08	7.2557503225e-08	0.0	0.0
543.6964545954108	0.2432266522877171	0.05915920438309	295605.83473961963	760.2919691516533	-3.043936965787225	578043.8783564985	9.265552251685936	515.6076408122615	0.2124787404320613	265851.23926398606	0.0451472151355953	523.3474255167064	548.6571208086876	1.445325	77.827026	0.18243062	0.121285	-0.0507033519	-0.0087172717	0.1367864994	0.0107138975	0.1364508557	-0.1286546997	-0.0390687794	-0.1655346893	0.1106874791	0.0475672746	-0.021515507	-0.0257443913	-0.0100514128	0.0595779415	-0.0585373822	0.086490672	-0.1445089898	0.112115785	-0.0525581531	-0.0198761418	-0.1158987192	0.1235869805	0.0386425261	-0.031019795	-0.0023253173	0.0903083097	0.0731077943	-0.0885095177	0.0949465188	-0.0239060894	-0.032090938	-0.0254617117	0.0125379976	-0.0193570613	-0.013827446	-0.0499859686	0.0371763166	-0.0051637036	0.0057752106	-0.1252906918	-0.1018675682	0.0567129321	0.05222688	-0.0830812567	-0.038032497	-0.0304424835	0.0494802896	-0.1111091815	0.039829178	0.1839331388	-0.0884694152	-0.0085769442	-0.1252931829	0.0431361748	-0.0026338279	-0.0111290846	0.0508590032	-0.2049684455	0.0186088234	-0.0382345171	0.0457741833	-0.0583558442	0.0392566877	0.0191617307	-0.0673029733	0.0617988807	0.026212105	-0.0946342419	-0.1732254782	0.032605607	0.0265810065	0.0619052626	-0.0424970776	0.1361470403	0.0327007659	-0.0123229121	-0.0672788332	-0.0460565311	0.1124929528	-0.0017672449	-0.0285909133	-0.0915269546	0.0893980998	0.0186569054	-0.09845058	-0.1236082324	0.029495208	0.0713328549	0.0480105907	0.0919695355	0.0359391704	-0.0922978182	0.0138485141	-0.0705386554	-0.0067730984	-0.0650894531	0.0957257132	0.0624615653	0.0843932972	0.0604251749	0.034082194	0.0042607412	-0.0115561827	-0.0779960076	0.0227319741	0.0797521408	0.0580977097	-0.0386908727	-0.0444180011	0.1539550739	0.0948790445	0.115024365	-0.057453713	-0.0448685969	0.0871581218	-0.0276110994	0.0284822005	0.1018146524	-0.0471362618	0.0407281129	0.0071560986	0.0957663248	-0.1145366697	0.0343285288	-0.0725291318	0.103949673	-0.0056834386	0.0577883196	-0.0411732282	0.0044536364	-0.0663273772	-0.0357033565	-0.0566846663	0.0673702166	-0.0479760555	0.0538473876	-0.0062615499	0.064935211	0.1014618998	-0.0869651583	-0.0341953541	0.0255851874	-0.0189706184	0.0718973451	-0.0837481766	0.1400630244	0.0118677873	0.1385787084	0.0657533818	0.0145616228	-0.0426310014	0.0497165221	0.0049615211	0.0126695697	0.0939609495	-0.1574502965	-0.0148110173	0.0757679871	-0.0330708474	0.1223510137	-0.0460392683	0.0934320511	-0.0430053748	0.0067467898	-0.0924468411	0.0753482114	0.0215993891	0.0339879732	0.1195481756	-0.0738384595	-0.054284868	-0.0764311542	-0.0963941424	-0.0597248773	-0.0782537824	-0.1161239288	0.0605634372	0.0902257413	0.0284903997	0.0687166281	0.0354576886	0.0501712691	-0.0040193835	-0.0799134517	0.0604891814	-0.0451290441	0.0659183375	-0.063692181	0.050180262	-0.0669862715	0.0157837498	0.0181841712	0.0358925394	-0.0394213627	0.0526750908	-0.113711057	-0.0021467423	0.0606511037	-0.0116191736	0.1007578901	-0.008721475	-0.0369598025	0.0834912126	-0.0967076208	-0.1903912224	0.0586231494	-0.0584114611	-0.0696312599	-0.0548250312	-0.0386680578	-0.0026274825	0.001302142	-0.0789799852	-0.14141587	-0.0493089916	0.0991124858	-0.0585001355	0.0094511023	0.0453773643	0.0039924842	-0.0807981015	-0.0751364118	-0.0261233333	-0.0037098122	0.0763964813	0.1087400152	0.0102002852	-0.077464921	-0.01582624	0.0575860858	-0.0442529422	0.0965775631	-0.1483559411	-0.0199865311	-0.0214366546	0.1973262513	-0.1160544963	0.0448316375	0.003107161	-0.0704661943	-0.1123767811	0.0624500493	-0.0921776547	0.0903789192	-0.1071141798	0.0799079164	-0.1076554629	-0.0727811801	-0.1361076717	-0.0608487921	0.0313903432	0.1009341646	0.1006910253	0.1002862268	0.099720419	0.0989945105	0.0169894	0.006132	0.00028863971236	3.760142400000003e-05	-0.00909483	-0.11066183	0.0122460406189489	8.27159327289e-05	-0.0376807	-0.0474074399999999	0.0014198351524899	0.0022474653673535	0.00123429	-5.929999999999911e-06	3.5164899999998936e-11	1.5234718041000002e-06	0.000638573	-0.000216451	4.077754763290001e-07	4.6851035401e-08	0.000127159	-0.0001422059999999	1.6169411281000003e-08	2.022254643599999e-08	0.0	0.0
543.6685300578007	-0.0279245376101471	0.0007797798007405	295575.47057520977	757.0731930286133	-3.218776123040016	573159.81960254	10.360519730252513	515.1294196664387	-0.4782211458227721	265358.3190058819	0.228695464312045	522.7687052751896	532.2873249490256	1.433498	77.19018599999998	0.16409673	0.0950568	0.0520443388	0.0071723294	-0.0330632053	-0.0798383869	-0.0181993113	0.125539389	-0.0644548802	0.0560690512	0.0015062571	-0.0475999421	0.1208621603	0.0003128389	0.0439421774	0.0557593798	-0.0080389042	-0.034337847	0.1881322209	-0.0221548881	0.0364914329	0.0421896721	-0.1536276311	-0.0006480103	0.0341131751	0.0888143016	0.0065477117	0.0337191808	0.0972139695	0.0190031511	0.0768228868	0.1431978357	0.0261072255	-0.1376509995	0.0394271598	0.0523682821	0.0208545527	-0.0012851212	0.0478868057	-0.0881658366	0.051596033	0.1360978231	-0.1152849164	0.0183500848	-0.0240644647	0.116130784	0.0518033996	-0.0372406363	-0.1392517698	-0.0026593031	-0.1161178505	0.0678365911	0.0165280613	-0.0674839463	-0.0436483071	-0.0216394165	0.0329987034	-0.0042068848	-0.0316726686	-0.2089594598	-0.0723849946	-0.0351682345	0.089863173	-0.0056569725	-0.0116783376	-0.1080803532	-0.0100331848	0.0805546085	-0.005909818	-0.1221604216	-0.0479964644	0.0010397075	-0.0191883239	-0.0536655528	-0.0374167556	-0.0439095508	-0.0063224498	-0.0008340541	-0.038931607	0.1006443145	0.0512047524	0.0672328081	-0.0006219694	-0.0523241053	-0.0145562994	-0.1541429839	-0.0486373308	0.0325611108	-0.0448076318	0.0323192826	0.0672790568	0.044169622	0.0837934278	-0.1625487337	-0.0332494194	0.0860532882	-0.0872113463	-0.0082111048	0.0859867608	-0.0461420254	-0.066563123	-0.0273666227	-0.094657088	0.1121841105	-0.1249565161	0.049131543	-0.1176147098	-0.1058348371	-0.0230787696	-0.0785201686	0.0619267547	-0.0627682371	0.0386966732	-0.0544716992	0.0253505379	0.0843600904	0.0045951396	0.0579715494	-0.011093789	-0.0712910255	-0.012292395	0.0144109937	0.1407467174	0.0381642425	-0.0406707265	0.109784185	-0.1326687969	-0.0437118106	0.1011959957	0.0101755279	0.1568996365	-0.039362797	-0.0890142253	-0.0106861269	0.0994707072	0.0817560235	0.0045934493	0.0179984393	-0.03245099	-0.0882024355	0.0129558513	-0.0122736547	0.0098802391	0.0048264262	0.0463649735	-0.0408899609	-0.0282187159	0.148968319	-0.0201717486	0.1323771258	-0.1182764223	0.1086573587	-0.0165286808	-0.0065399009	0.0235720899	0.029702034	0.1187199281	-0.0725693222	-0.0125985693	0.0155455286	-0.0923452336	-0.0125987917	0.0161248647	0.0104477978	0.0480483105	-0.0787842857	-0.0969262779	-0.0181451538	-0.0157707636	-0.0745193602	0.1351966494	-0.0012163728	-0.0359766806	-0.0113910467	0.0573902208	0.0981113868	0.0354390849	-0.1122456952	-0.1496016114	0.0814407612	-0.0935119328	0.0899537961	-0.0508697182	0.0306947064	0.0324938284	-0.0172903579	0.0316312533	0.0234248008	0.0404575369	0.1889028453	-0.0078843379	0.1553641525	0.1459112455	0.1535729832	0.0082907531	0.0207938929	-0.0406242683	0.0004962448	0.0142676373	-0.025307698	-0.0060387348	-0.0087448121	0.0030826776	0.0101652778	-0.0102055186	-0.0562085248	0.0409915236	-0.0062333366	0.0818360547	0.0076590343	0.0572947956	0.0627627671	0.0664715463	-0.0307579082	0.0176798599	-0.1944585681	-0.0950219185	-0.1566436685	0.0141596569	-0.0707657552	-0.0468779868	-0.0844602825	-0.0020621138	0.0346666813	0.0264305807	0.1050004721	-0.1000296674	0.0480890619	-0.0880862	0.0115862077	-0.0173476562	-0.0033482821	-0.0176742694	0.063026774	-0.049510089	-0.0855599373	-0.047127531	0.0393294876	-0.055425777	-0.1169036324	-0.0623263279	0.1942122768	0.0099881863	0.0676807845	0.0083061847	-0.0414140468	0.0180152431	0.0413211803	-0.1197648945	0.0635893164	-0.0582409573	-0.0383445336	0.0308908239	0.1008563388	0.1003800917	0.0995880118	0.0984825911	0.0970673078	0.0203889	0.0033994999999999	0.00041570724321	1.1556600249999998e-05	0.0635438	0.07263863	0.0052763705682768	0.00403781451844	0.0137953	0.0514759999999999	0.00019031030209	0.0026497785759999	0.000880123	-0.000354167	1.2543426388900005e-07	7.74616495129e-07	0.00077729	0.000138717	6.041797441e-07	1.9242406089000003e-08	0.000365927	0.000238768	1.33902569329e-07	5.7010157824e-08	0.0	0.0
543.5076173190694	-0.1609127387313265	0.0258929094860161	295400.53008385195	761.0755803876847	4.002387359071349	579236.0390624511	16.01910457205413	515.4631294411927	0.3337097747539701	265702.2378133077	0.1113622137663454	523.1722567012893	533.44131032347	1.299159	69.95636	0.1879967	0.107271	-0.0629307562	-0.0105544561	0.0238370391	0.1268613103	0.0139909841	-0.0177101044	-0.1741026414	-0.093878277	-0.0569255681	0.032205737	0.0628210365	-0.0159583406	-0.0365007729	-0.0351656447	0.1152987407	0.1093350007	-0.0876078379	-0.0193176204	0.0646955747	0.0204892724	-0.0322322247	0.09745459	-0.0032178614	-0.0749842458	-0.0497231421	0.0457392752	-0.0096633568	-0.0585417873	-0.0638170049	0.0224834096	0.0575517234	0.0696984997	0.025519868	-0.1390998427	0.0888595257	-0.0955706067	-0.0483069863	-0.0362935869	-0.0474240738	-0.0798543888	-0.1207435063	0.0157240972	-0.1577598048	-0.0601907703	0.0981776099	0.0139240958	-0.1462956886	0.0358337824	0.1707209135	-0.1544264898	-0.0172423369	-0.0095675783	0.0309993835	0.0679823881	-0.0308932383	0.0470481205	0.1181166293	-0.230763684	-0.0478807265	-0.0038424063	0.0991439108	-0.0352051423	0.0986341461	0.0150962336	-0.0599898867	0.2029987491	-0.1031948754	0.0555754997	0.0257698139	0.003325244	-0.0434449762	-0.0120001093	0.0779165695	-0.0166585458	0.0976785484	-0.0527206296	-0.0361994052	-0.0489457169	-0.1198547517	-0.00199445	-0.0049298345	-0.009001678	-0.1165847573	0.0590174529	-0.1216603217	0.0304151079	0.0049827509	0.0813638359	-0.0833153155	-0.1682038781	-0.0545248903	-0.0055851865	0.0483228885	-0.0849700282	0.0787249489	0.0813806275	-0.1484751516	-0.0218616431	-0.0714983733	-0.0617601799	-0.0366009012	-0.067264219	0.0514136067	0.0196529449	0.0371098679	-0.0350457109	-0.0729838297	-0.0021746694	0.1036432215	0.0910358567	0.0072869264	-0.0185358539	0.175800541	-0.0322634229	0.0583536451	0.0128278352	-0.0519701891	-0.1300389561	-0.0334579492	-0.0030503142	-0.0757159342	-0.0342490935	0.0296271095	-0.0551257985	0.0212874533	-0.161446631	0.0701099057	-0.052745214	-0.0030101148	0.0050049906	0.0157330641	0.1068411321	-0.0707782155	-0.0658873261	0.0502564761	-0.0104336644	0.1733139702	0.0363659458	-0.105127097	0.0638412341	-0.0528110819	0.0138524851	-0.0655784038	0.0205902696	0.0099409383	0.2026367041	0.0342262092	0.1666124934	0.0342954453	-0.0221554353	-0.0283834867	0.1618457321	0.2050415891	0.0134636829	-0.011997337	0.020389178	-0.0373419267	0.0367847147	0.0139260912	-0.0753011172	-0.1400816246	0.0288681242	-0.0394571067	-0.0226475272	0.060336955	-0.0900540697	-0.0241100976	0.0540084625	0.0466932954	0.0234203653	-0.0335424487	0.1176441663	-0.0611321936	-0.0178933006	-0.0376454103	0.0736044668	0.0723474537	-0.193504736	0.1056167303	-0.1449367888	-0.1050533804	0.0193358328	0.0515287079	0.0907756072	-0.0495327682	0.0346391325	-0.0467543871	0.0455427119	-0.0798612068	0.0196732565	0.0434710694	-0.025079529	0.1164594678	0.0217373584	-0.0726946095	-0.0216134453	0.1021772619	0.0632561422	0.0754902382	-0.0170905159	-0.0411763289	0.1611364674	0.090556224	0.047890213	0.0822938031	0.0117523257	0.0046560829	0.0556928035	-0.0282900485	0.0073033967	-0.0325175811	0.1083448717	0.130754817	0.0502092918	-0.0125491017	-0.038476617	-0.0756380621	-0.1200456105	-0.0181978259	0.0565945498	0.1398671658	0.0425201352	-0.0708197111	-0.1228142316	0.0824334601	-0.0651403306	-0.062482832	-0.093589339	-0.0467938692	0.0870565812	-0.0282400632	0.0503677222	-0.1548676962	-0.1100879181	-0.0301747557	0.1388448209	-0.1203242638	-0.038602112	0.0773131074	-0.031838719	0.0225238461	0.0578730843	-0.0777882337	0.0384593726	-0.0293924891	0.0041532145	0.0198145799	0.0033128927	0.0024061954	0.0792445283	-0.0140552896	0.1007526021	0.0999660109	0.0986595713	0.0968400771	0.0945169902	0.019419	-0.0009699	0.0003770975609999	9.407060100000052e-07	-0.0259251	-0.0894688999999999	0.0080046840672099	0.00067211081001	-0.0231359	-0.0369312	0.00053526986881	0.0013639135334399	0.00145403	0.000573907	3.293692446490001e-07	2.1142032409e-06	0.00050459	-0.0002727	2.546110681e-07	7.436529000000005e-08	0.0	-0.000365927	0.0	1.33902569329e-07	0.0	0.0
