task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt
2	1	1	12	6	0.550	2	2	1	0.381
2	1	2	16	9	0.100	2	2	1	0.327
2	1	3	20	10	0.850	1	1	1	0.325
2	1	4	24	13	0.800	2	2	1	0.381
2	1	5	28	8	0.650	1	1	1	0.374
2	1	6	32	2	0.850	2	2	1	0.332
2	1	7	36	NaN	NaN	NaN	NaN	NaN	NaN
2	1	8	40	11	0.450	1	1	1	0.324
2	1	9	44	3	0.550	1	1	1	0.569
2	1	10	48	4	0.700	1	2	0	0.134
2	1	11	52	1	0.650	2	2	1	0.387
2	1	12	56	12	0.400	2	2	1	0.391
2	1	13	60	5	0.550	1	1	1	0.325
2	1	14	64	7	0.400	1	1	1	0.313
2	1	15	68	12	0.450	2	2	1	0.386
2	1	16	72	13	0.550	2	2	1	0.412
2	1	17	76	6	0.850	2	2	1	0.482
2	1	18	80	NaN	NaN	NaN	NaN	NaN	NaN
2	1	19	84	NaN	NaN	NaN	NaN	NaN	NaN
2	1	20	88	3	0.650	1	1	1	0.411
2	1	21	92	10	0.250	2	2	1	0.414
2	1	22	96	7	0.650	1	1	1	0.326
2	1	23	100	9	0.500	2	2	1	0.421
2	1	24	104	2	0.500	1	1	1	0.381
2	1	25	108	5	0.400	1	1	1	0.445
2	1	26	112	8	0.600	2	2	1	0.311
2	1	27	116	1	0.100	1	1	1	0.421
2	1	28	120	NaN	NaN	NaN	NaN	NaN	NaN
2	1	29	124	4	0.800	2	2	1	0.281
2	1	30	128	11	0.800	1	1	1	0.463
2	1	31	132	NaN	NaN	NaN	NaN	NaN	NaN
2	1	32	136	NaN	NaN	NaN	NaN	NaN	NaN
2	1	33	140	13	0.100	1	1	1	0.392
2	1	34	144	NaN	NaN	NaN	NaN	NaN	NaN
2	1	35	148	NaN	NaN	NaN	NaN	NaN	NaN
2	1	36	152	10	0.750	2	2	1	0.363
2	1	37	156	4	0.250	2	2	1	0.428
2	1	38	160	12	0.550	2	2	1	0.543
2	1	39	164	9	0.150	2	2	1	0.652
2	1	40	168	NaN	NaN	NaN	NaN	NaN	NaN
2	1	41	172	2	0.250	2	2	1	0.424
2	1	42	176	3	0.700	2	NaN	0	NaN
2	1	43	180	6	0.250	1	1	1	0.400
2	1	44	184	7	0.250	2	2	1	0.319
2	1	45	188	5	0.150	2	2	1	0.367
2	1	46	192	1	0.350	1	2	0	0.104
2	1	47	196	8	0.600	1	1	1	0.381
2	1	48	200	NaN	NaN	NaN	NaN	NaN	NaN
2	1	49	204	11	0.800	1	1	1	0.407
2	1	50	208	9	0.850	2	2	1	0.411
2	1	51	212	11	0.750	1	1	1	0.585
2	1	52	216	2	0.300	1	NaN	0	NaN
2	1	53	220	12	0.650	2	NaN	0	NaN
2	1	54	224	6	0.650	1	1	1	0.366
2	1	55	228	NaN	NaN	NaN	NaN	NaN	NaN
2	1	56	232	4	0.300	1	1	1	0.380
2	1	57	236	1	0.550	1	1	1	0.404
2	1	58	240	13	0.200	1	NaN	0	NaN
2	1	59	244	5	0.800	2	2	1	0.462
2	1	60	248	7	0.600	1	1	1	0.346
2	1	61	252	NaN	NaN	NaN	NaN	NaN	NaN
2	1	62	256	NaN	NaN	NaN	NaN	NaN	NaN
2	1	63	260	10	0.850	2	2	1	0.337
2	1	64	264	3	0.550	2	2	1	0.424
2	1	65	268	8	0.400	1	1	1	0.378
