onset	duration	node	response_time	accuracy
12	1	5	0.423	1
16	1	3	0.372	1
20	1	6	0.285	1
24	1	10	0.386	1
28	1	8	0.451	1
32	1	12	0.374	1
36	1	1	0.336	1
40	1	13	0.492	1
48	1	9	0.385	1
52	1	7	0.350	1
60	1	2	0.313	1
72	1	4	0.397	1
76	1	11	0.386	1
80	1	6	0.403	1
84	1	8	0.424	1
88	1	11	0.369	1
92	1	1	0.359	1
96	1	2	0.366	1
100	1	10	0.408	1
104	1	12	0.383	1
108	1	4	0.354	1
116	1	9	0.426	1
120	1	3	0.368	1
128	1	13	0.564	1
132	1	5	0.295	1
136	1	7	0.471	1
144	1	13	0.448	1
148	1	11	0.389	1
156	1	7	0.363	1
160	1	5	0.733	1
164	1	6	0.351	1
168	1	1	0.366	1
172	1	9	0.343	1
176	1	4	0.339	1
180	1	8	0.266	1
188	1	10	0.443	1
192	1	3	0.464	1
200	1	12	0.523	0
204	1	2	0.429	1
212	1	9	0.319	1
220	1	7	0.418	1
224	1	6	0.359	1
228	1	10	0.271	1
232	1	12	0.383	1
236	1	2	0.323	1
240	1	5	0.401	1
244	1	4	0.366	1
248	1	3	0.445	1
252	1	8	0.353	1
256	1	13	0.385	1
264	1	11	0.404	1
268	1	1	0.324	1
