onset	duration	node	response_time	accuracy
12	1	5	0.342	1
16	1	3	0.358	1
20	1	6	0.308	1
24	1	10	0.318	1
28	1	8	0.352	0
32	1	12	0.352	1
36	1	1	0.265	1
40	1	13	0.355	1
48	1	9	0.382	1
52	1	7	0.455	1
60	1	2	0.298	1
72	1	4	0.384	1
76	1	11	0.376	1
80	1	6	0.294	1
84	1	8	0.346	1
88	1	11	0.419	1
92	1	1	0.387	1
96	1	2	0.402	1
100	1	10	0.372	1
104	1	12	0.269	1
108	1	4	0.316	1
116	1	9	0.449	1
120	1	3	0.312	1
128	1	13	0.364	1
132	1	5	0.341	1
136	1	7	0.447	1
144	1	13	0.367	1
148	1	11	0.329	1
156	1	7	0.422	1
160	1	5	0.327	1
164	1	6	0.309	1
168	1	1	0.362	1
172	1	9	0.437	1
176	1	4	0.576	1
180	1	8	0.252	1
188	1	10	0.414	1
192	1	3	0.311	1
200	1	12	0.334	1
204	1	2	0.364	1
212	1	9	0.301	1
220	1	7	0.386	1
224	1	6	0.268	0
228	1	10	0.316	1
232	1	12	0.344	1
236	1	2	0.286	1
240	1	5	0.398	1
244	1	4	1.506	1
248	1	3	0.357	1
252	1	8	0.358	1
256	1	13	0.283	1
264	1	11	0.367	1
268	1	1	0.375	1
