global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	t_comp_cor_08	t_comp_cor_09	t_comp_cor_10	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	c_comp_cor_38	c_comp_cor_39	c_comp_cor_40	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20
551.461407955763	n/a	n/a	304109.68446455244	812.7520847312297	n/a	n/a	660565.95123496	518.6732872496481	n/a	269021.9789063559	n/a	530.630373455906	478.6892882012994	n/a	n/a	n/a	n/a	-0.1215822686	-0.0694336242	-0.0814731148	0.0006961377	-0.0325255172	0.035654173	-0.0765194277	0.0366077486	-0.2053741316	0.0038216469	-0.0199916464	-0.1395619622	-0.1014647199	0.1359493425	-0.0526814956	0.0356233886	-0.1167316646	0.1883962474	-0.0712871464	0.0954571478	0.1223667723	-0.1380210249	0.034554249	-0.1284011619	0.1346210812	-0.1070698824	0.0586258418	-0.0052956726	0.0351590137	-0.0289205148	0.0902539346	-0.0073300591	-0.0449997393	0.0137246735	-0.0160264078	0.0666459581	-0.0382661055	0.122464849	-0.0531548238	0.0228345571	-0.011335149	0.1243376292	-0.0528538767	0.1539804025	-0.0198956751	0.1047899213	-0.0802038226	0.0355455236	0.007146064	-0.1438319766	0.0521438553	-0.1325992207	-0.0450036055	0.028514105	-0.0408839759	0.0519852468	-0.0967795832	0.0414892955	-0.0099996063	0.0811932938	-0.0572252921	0.040722135	-0.0394358757	0.0502549155	-0.0657168288	0.003316789	-0.0460682083	0.0035147642	-0.0338947498	0.0152050751	-0.0839548676	0.0148252943	-0.0059721796	0.0151377539	-0.0284094048	0.0676709533	-0.0727858801	-0.0149174563	0.0808820563	-0.0026473025	-0.016311642	0.0653747297	-0.0327961842	-0.0114766866	-0.0344968269	-0.017026158	0.0844414065	-0.0166362859	-0.0219319677	-0.0670784206	0.1394914062	-0.0223791828	-0.0311728874	-0.0426655196	-0.0408937356	0.0029575348	0.1091469999	-0.1223230075	-0.0430340456	-0.0513121191	0.0172256333	0.0099403119	0.039045899	-0.0225276521	-0.0286281059	-0.0856095662	0.1053797902	0.0311291669	-0.0890725025	-0.0054032574	-0.0311633072	-0.0190412337	-0.0036652182	0.0613921296	0.0560305017	-0.0662260023	-0.0118528652	-0.0460359509	-0.0011930508	-0.124085785	0.0380862636	0.0401822683	0.1065255928	-0.0012745081	-0.0761455319	-0.0408704789	-0.0074848038	-0.0652276351	0.0441381861	0.0683738562	0.0468084833	0.0230502686	0.0729144604	-0.0003946054	0.0811542534	-0.0227483363	0.1228274224	-0.0525294127	0.0026842228	-0.0977749257	0.0114922514	-0.0397972095	0.0605554389	-0.0727759865	0.0478338607	-0.0188912693	0.0579178696	-0.0502499192	0.0326717423	-0.0081642467	0.049531454	-0.0558394676	0.0928706985	-0.0360235176	0.044275285	-0.0217678118	0.0067446257	-0.0069509079	-0.0668673325	0.0242078938	-0.0220094505	-0.1185643074	0.00332976	0.02043581	-0.0304170703	0.0626882562	0.0612857267	0.0648227682	-0.1309925622	0.0462560509	0.0356655735	0.0355755642	-0.0548814839	-0.0917450241	0.0700362119	0.0975868809	0.0494970455	-0.1458679134	-0.0380807559	0.0453392732	0.0587441864	0.0338823888	0.0351196044	-0.0076338975	-0.0204246681	-0.0463458962	0.0513131672	0.0990787636	-0.0409249664	-0.0100832217	-0.0280584296	-0.0638587718	0.0247880458	0.0139912754	0.0250876851	0.0115731569	0.0365860236	0.0275207174	-0.0857766208	-0.0680880399	0.107968109	0.0096560997	0.0142004166	0.0558808778	-0.0227988919	-0.0626882007	-0.0824373794	0.0838944459	0.0186494743	0.0276493444	0.0911076002	-0.0098573729	0.017835465	-0.0383260295	0.0238423777	-0.0910144727	0.030350433	-0.1203833151	0.0692755381	-0.1090546527	0.0471204668	-0.1388950403	0.0047515034	-0.0688046703	0.0881046366	-0.0485658544	0.0329552474	-0.0946419005	0.0449317903	-0.0018578961	0.0173960009	-0.0514890978	0.0584887381	-0.045486315	0.0189559382	0.1056992146	0.105687005	0.1056666568	0.1056381715	0.0151742	n/a	n/a	0.00023025634564	0.00550765	n/a	3.03342085225e-05	n/a	2.01249e-05	n/a	n/a	4.0501160001e-10	0.00053064	n/a	n/a	2.815788096e-07	-0.000946268	n/a	8.95423127824e-07	n/a	0.000361293	n/a	n/a	1.30532631849e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
550.9497630442163	-0.5116449115466821	0.2617805155116122	303545.64139847807	798.8628967953595	-13.889187935870268	192.9095415179242	638181.9278762732	518.8071797891541	0.1338925395060641	269160.8898007757	0.0179272121353829	530.4533306394461	510.2039209887621	1.43526	63.720734	0.1146071949	0.0727656	0.0128674595	0.0647600067	-0.100397504	-0.0262625605	-0.0113135635	-0.1142947879	-0.0772675137	0.0720227919	0.0251112656	0.0499504978	-0.1327066217	-0.049136981	-0.1462712977	-0.0194643529	-0.0209676025	-0.0486362982	-0.0479034002	0.0164838637	-0.0616917417	-0.1040086111	0.1306900199	0.0194340296	0.052202183	0.0009065335	0.1585296376	-0.0511953741	0.0306191187	-0.0458336698	0.0977503217	0.0210720405	0.1215905897	-0.1082888531	-0.0138046463	0.0844514595	-0.0160498659	0.026518893	-0.0006735482	0.1118205933	-0.0561137006	0.0140331698	0.0686438877	0.0885476904	-0.0091661052	-0.0619226648	0.1339033656	-0.0027334354	-0.1231493791	-0.0934010465	-0.0228071141	0.0080853059	-0.0309357325	-0.0488373797	-0.0009700421	-0.0351076367	0.013907849	-0.0238209368	-0.1330977916	0.0155647042	0.0790437119	-0.0048657613	0.1080649426	0.0662752228	-0.0329748266	0.012817134	-0.095402286	0.0256940838	-0.1593616422	0.0944443401	0.0407072639	-0.0175501239	0.0039435014	-0.0245173812	-0.1266937176	0.0296384018	-0.0655533434	0.1212771181	-0.0326005603	0.0317928193	0.034601078	-0.0351210127	-0.0166720875	0.0473131418	-0.0042574188	0.0740132009	-0.1002821832	-0.0957971428	0.0635493694	0.0687397382	0.0035446251	-0.019474399	0.0472229385	-0.0601768101	0.0787312523	-0.0421748564	-0.1037271646	-0.0964083501	0.0837500314	0.0062556423	-0.0832708026	-0.1215865069	0.0575255383	0.0464433973	0.0750746953	0.1495997667	0.0617773063	-0.0570735411	-0.0188769665	-0.0499428028	0.0695181381	0.0644380228	0.0037510816	-0.113008785	0.0929424451	0.0297504117	0.1005919182	-0.0193365828	-0.1072215392	0.0193816083	0.1018484626	-0.0678805843	-0.053578903	0.042835706	0.0916650025	0.0625891082	-0.0089177538	0.1371531006	0.0697401024	-0.0525674974	0.0584980184	0.1026981125	0.0693440415	0.0042470678	0.023936222	-0.0373521722	-0.0358341331	-0.0745961088	0.1329098055	-0.0571241629	-0.0175282705	0.0880986004	-0.0073783148	-0.1651255212	0.0788970439	-0.0182039634	0.1281622429	0.0044525703	0.0147530689	-0.1147628074	0.1428319226	-0.1085643468	0.0099370769	0.0219308599	0.0270102172	-0.134579606	0.0644376282	-0.0090055881	0.0050101217	0.0169831972	-0.0880832147	0.1196944292	-0.0130541559	-0.0385988132	0.0635757316	0.0668887568	-0.1010981752	0.0507738915	0.0464001802	-0.1117208662	-0.0424711619	-0.0344108897	0.0487731043	0.073519162	-0.0669820476	-0.1378381169	0.0765043298	-0.0479679906	0.0784520328	0.0462143068	-0.0725918548	0.0126118447	0.0362565367	0.0478662935	0.03186172	-0.0198326794	-0.0458439182	0.0113755495	-0.0109707878	0.0325604691	-0.0203792977	0.2172735193	-0.0154403445	-0.0763561277	-0.0570030544	-0.0202241033	0.0721409232	0.0644788888	-0.008405389	0.0417058444	-0.0622262564	0.1224209117	0.0501569679	0.1500812927	-0.0012699032	-0.0183186362	0.0465540845	-0.0786739431	-0.0292405727	0.041648197	0.090138806	0.0563905293	-0.016154533	0.0177976509	0.033737835	0.0552118983	-0.1130738956	0.0521726543	0.0311805997	-0.1470854426	-0.0233637865	0.0040188884	0.0958618542	-0.0246920121	0.1235967959	-0.0604540628	0.083302354	-0.1860484918	0.0793628551	0.0463637808	0.0503032941	0.0116557272	-0.0401381896	-0.059472852	-0.0637234855	0.0693091601	0.0063521782	0.1056666568	0.1055567991	0.1053737875	0.1051177489	0.0205224	0.0053481999999999	2.860324323999999e-05	0.00042116890176	0.067048	0.0615403499999999	0.0044954343039999	0.0037872146781224	-0.00672862	-0.0067487449	4.554555772527601e-05	4.52743271044e-05	-0.000261417	-0.000792057	6.27354291249e-07	6.8338847889e-08	-0.000930088	1.617999999999997e-05	8.65063687744e-07	2.6179239999999904e-10	0.000372454	1.1160999999999983e-05	1.2456792099999964e-10	1.3872198211599997e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.6463133529372	0.6965503087209299	0.4851823325792228	304313.65503588703	793.6921514683953	-5.170745326964152	26.73660723632161	629947.2313025302	519.3164605396827	0.5092807505285464	269689.5861874638	0.2593668828589195	530.7993430001901	488.3307471250546	1.241907	55.136539	0.14022938	0.0912161	-0.0202788817	0.0052313635	0.0940311097	-0.0859322048	0.1131186811	-0.0607323292	-0.105621414	0.0006203063	-0.1084466939	0.0446981462	-0.0601031316	0.0199982073	0.0406897336	-0.079685451	0.1815413221	0.0443459945	-0.1670357124	0.0719815422	-0.0293975609	-0.1542738604	0.039090611	0.0102334606	0.0435230786	0.0643371014	0.046565304	-0.0665088296	-0.0365941432	0.045102728	0.0498546779	0.0323188325	0.0673181443	-0.0423209655	-0.0365342098	-0.0032508252	-0.0245860955	-0.0748969884	-0.0469440886	0.0754211832	0.0918686084	-0.0050044886	0.1029384223	0.0044445169	0.0033199832	-0.0086714401	0.0700881142	0.0129873281	-0.0459477974	-0.034045119	0.0176154685	-0.0419524105	-0.0860897538	0.0366055161	0.0194144949	-0.0420565305	-0.0176357821	-0.0033639639	0.0622828154	-0.1342677879	-0.0200802583	0.0062310918	0.096988655	0.1406590062	0.0217010261	-0.0097137256	-0.166892019	-0.0930638977	-0.1284713435	0.0129646259	-0.0668740835	0.1040879996	0.002337275	-0.1068670987	-0.0782391392	-0.1037289179	-0.0612140968	-0.0725151934	0.0150174164	0.0769545889	-0.1198130642	-0.0650420698	-0.0384203599	0.0167259496	-0.0355767846	0.0215469345	-0.1672801479	-0.0412976656	-0.0606463351	0.0598936406	-0.014747652	-0.0272549382	-0.0054635927	0.0168939059	0.1234630595	0.0218815922	0.1222803863	-0.0663309938	0.0121001367	0.1537056904	0.034634749	0.2084931305	-0.065912813	-0.0981291336	0.0266418134	0.0522504349	-0.0650811922	0.0238409036	-0.0859634142	-0.2137488843	0.176837191	0.0688243878	-0.1177628457	0.1359449995	0.0351014701	0.0494918687	0.012441048	0.0364761866	-0.0558503756	0.0555119177	-0.0974175065	-0.0136941704	-0.0872742905	0.0093250645	-0.0026335901	-0.0011747664	0.0710386405	0.031249411	-0.1289158528	0.0459185207	0.0036530804	0.0115068215	-0.1105915387	-0.0756657077	-0.0034504799	-0.0546101475	-0.0188339475	0.0371179405	-0.0886437524	-0.0973086036	-0.0074158962	-0.027167541	0.0974832951	-0.1727117852	-0.033664276	0.0712489064	0.0875698982	0.115759851	0.035794627	-0.1407126348	0.0885019141	0.0821217336	0.1181367822	0.1277535928	0.016413218	-0.0213604909	0.0556121357	0.1175661045	0.0706615591	0.0120641218	-0.0898812909	0.0943108404	-0.0550279224	0.0627932466	0.042322975	0.0013138936	-0.0378554287	-0.0082836094	0.0982445396	-0.1470088274	0.0694667949	-0.031718777	0.0042480391	-0.0416369119	0.06421675	0.1011144577	0.0615887159	-0.0945423834	-0.1164735646	0.0892706638	0.1844199796	-0.1859521043	-0.0158124619	0.0383158804	-0.131576566	0.1279784485	-0.0271592771	0.107375922	-0.0762617099	0.0386635834	-0.0291996275	-0.0211602979	0.00988721	-0.0772768277	-0.0269363961	0.010976283	-0.0402014631	-0.1776101404	0.0033881895	0.0025875106	0.0106317981	0.1139040244	-0.1454143386	0.0251061411	-0.0025907804	0.0387974921	0.1170082877	0.0243418358	-0.0433790286	0.0884720402	-0.0357296779	0.0613558508	-0.0049947688	-0.0028435296	0.0512418731	-0.0908609906	-0.0186189867	-0.0122542462	-0.1473363262	-0.081579716	-0.038617835	-0.0668683697	-0.0358645973	-0.0168710884	0.0979697348	-0.0528351141	0.0556649155	0.0537999506	-0.0838128631	0.0011222049	0.0792342691	0.0538822075	0.0763247257	-0.0545510989	-0.0653540454	-0.0014819109	0.20533186	0.1056015514	0.1052965477	0.1047888607	0.1040794675	0.0144498	-0.0060725999999999	3.687647075999999e-05	0.00020879672004	-0.0161924	-0.0832403999999999	0.00026219381776	0.0069289641921599	-0.0161405	-0.0094118799999999	8.858348513439995e-05	0.00026051574025	0.000448542	0.000709959	5.04041781681e-07	2.01189925764e-07	-0.000879435	5.0653e-05	7.734059192250001e-07	2.5657264090000006e-09	0.000441932	6.947800000000004e-05	4.827192484000006e-09	1.9530389262400006e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
553.0848101904352	1.4384968374979508	2.069273151491606	305902.8072633897	794.7430431214124	1.050891653017061	1.1043732663809307	631616.5045898831	520.0634837157608	0.7470231760780734	270466.02709457336	0.5580436255977723	531.2382475670254	507.0906399385106	1.177539	52.278774	0.038577255	0.0226458	0.0013920498	-0.0120659438	-0.0482025836	0.0179739342	0.1199069368	-0.0560543792	-0.0435344972	-0.0156047981	-0.0574977311	-0.0536506124	0.0334884799	0.0310710805	0.0100864911	0.0551457362	0.0577971516	-0.0240232658	-0.0590850927	-0.0464601625	0.0624997166	0.0549463209	-0.061190455	-0.0553452966	0.1003308138	0.0151805792	0.1101313996	0.0872973602	0.0257543011	-0.1328322185	-0.0083438551	0.1338388832	-0.0626801986	-0.0090737296	0.0685313441	-0.0683502254	-0.0649835655	-0.0040341056	0.0899698799	0.0111558904	-0.036630651	0.133981808	-0.010580642	0.1027774347	-0.0855302534	-0.1191293295	-0.0089059903	0.0312513483	-0.0006033088	0.0436229352	-0.074745277	-0.0823685733	-0.0049951441	-0.0359965583	-0.0071897123	0.0512339666	-0.0813390794	-0.0857206972	0.0441461979	-0.0193184284	0.0617265428	0.1140569699	0.1366909904	0.0503753472	-0.0191816144	0.1271129527	-0.1035346211	-0.0491244197	0.084111184	0.0983105717	-0.1983124664	0.0162494831	-0.0729074955	0.1194034672	0.0282202961	-0.0009639235	-0.0948775089	-0.0799215796	-0.1099949548	0.2092931916	0.0237899424	0.0130078361	-0.0394874915	-0.0820899855	-0.0647273746	-0.0055905069	0.0339593518	-0.0302557893	0.0862606777	-0.1461469314	-0.0115117094	-0.0454627038	0.0884833101	0.1371383766	0.0695819202	0.0799645743	0.1123991174	0.0530136974	-0.0240412911	-0.0379471152	0.0719921829	-0.0660679268	-0.0432770453	0.0081484839	-0.0334512248	-0.0049886662	-0.0773064101	0.0007942956	-0.0037833191	-0.0050367705	-0.0275161153	0.0914505575	-0.0619601054	-0.0490555594	-0.0504502888	0.019149721	0.1280469531	-0.0666346311	0.2341384565	0.0555408215	-0.0504697101	0.0409225696	0.0457522822	0.0288914528	0.0167081494	-0.0022013345	0.0365738051	-0.078946116	-0.1082957926	-0.0323131589	-0.0949818239	0.046316648	0.0047918091	0.0447930884	0.0090509459	0.0481462208	0.036426036	-0.0657916086	-0.0616122187	-0.0181526928	-0.0630491997	-0.0563523066	-0.0544491521	-0.1865995095	0.0270047171	-0.0100939949	0.0035410592	-0.0120608155	0.1271459147	-0.0638342619	-0.1683684962	-0.0365379152	0.1923115923	-0.0172720898	0.0316181085	-0.0187677889	-0.120486378	0.1290271402	0.0675935491	0.056226492	-0.1976921062	0.0708614334	-0.0843179358	0.0669231616	-0.1116041465	0.0481342264	-0.0214693755	0.0461985078	-0.1464615018	0.1865164937	-0.0702653689	-0.0056737048	0.0694432062	-0.10637063	0.0972739038	0.0459291566	-0.0213245044	0.042900813	-0.0350662653	-0.0353914525	0.0768180997	-0.0525154686	-0.0600267686	-0.0371225479	0.0482147733	0.0571587916	-0.0115480405	-0.0455297279	0.049848129	0.0205476251	-0.0673023564	-0.0937236167	-0.0980268615	-0.0437678382	-0.0225818139	0.1057251257	-0.0470576122	0.0344001253	-0.1205244156	-0.1056175482	0.1139898202	-0.0504485806	0.0185315523	-0.1239710634	-0.0050626457	-0.0051288461	0.0594592275	0.0054082331	-0.1108269737	0.0360014604	0.0099483502	0.0401819525	0.0018672992	0.0046602296	0.0492236805	-0.0899844742	-0.0145268869	-0.0142798132	-0.0056889587	-0.0566976975	0.0677540072	-0.1069647625	0.1069233377	0.035393475	0.1318457499	0.0252952842	0.0692637865	0.0582007473	-0.04405555	-0.0558065246	0.0172852652	0.0290586439	0.0619891727	0.0547611317	0.0917024811	-0.0448923056	0.0636621309	0.1055039182	0.1049065715	0.1039134975	0.1025284424	0.0173121	0.0028623	8.192761289999999e-06	0.00029970880641	-0.00910336	0.00708904	8.28711632896e-05	5.02544881216e-05	-0.0123822	0.0037582999999999	1.4124818889999993e-05	0.00015331887684	5.64877e-05	-0.0003920543	1.5370657414849004e-07	3.1908602512899997e-09	-0.000906422	-2.6987000000000015e-05	8.21600842084e-07	7.28298169000001e-10	0.000520243	7.831099999999996e-05	6.132612720999994e-09	2.70652779049e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
552.4193770616552	-0.6654331287800233	0.442801248877971	305167.16815318714	792.3682168908467	-2.3748262305656453	5.639799625382632	627847.3911387799	519.5759715832683	-0.4875121324924976	269959.1902466972	0.2376680793273825	530.810799839082	505.83129250062353	1.243525	55.20834	0.06113634	0.0426523	0.0123445057	0.1430629461	-0.0045221666	-0.0676740199	-0.0420193771	0.0885203242	-0.1923908432	0.0157841642	-0.0551514526	-0.1371254014	-0.0711793751	0.0553822389	0.013122927	-0.0662316753	-0.0236874513	-0.1060953996	0.0094083744	0.0168813445	0.0544216342	-0.0265827231	0.0456508425	-0.0666085117	-0.0663447324	0.0357736198	0.1087990136	-0.0271149271	0.0913835772	-0.1168546848	0.0799841851	0.0303305798	-0.1383154666	-0.1089419877	0.0026288113	0.0328279483	0.023540082	0.0333693619	0.1422211268	-0.0351205733	0.2050726367	0.1298599986	-0.0710731433	0.0225479142	0.1379971205	-0.0148558924	-0.1400027759	0.0053987362	-0.0490962671	0.0904854627	0.0213751225	0.0128208315	-0.0245480353	0.017148218	0.0173292667	-0.0813632452	0.0045922102	-0.1023723037	-0.0057139381	0.0596748893	-0.0337499612	-0.1184264284	-0.0788982925	0.0073630055	0.0607537471	0.0213096382	0.0093998042	-0.1698611004	0.0981121669	0.088640923	-0.0453625	0.0510510815	-0.0295149193	0.054744538	0.0075489362	0.235471928	-0.0038681927	0.0164074928	-0.0657327371	-0.0036499064	-0.0174320753	-0.1272645301	0.0914463926	-0.0673229659	0.0759655388	0.0060172632	-0.03795668	-0.0898415004	-0.0556306133	-0.0101953391	0.031775402	0.0171563271	-0.099323539	0.0243102406	-0.0377552642	0.0860166362	-0.0463322303	-0.1008487162	0.0574408793	0.0458404877	-0.0017792051	-0.0276390054	0.0782159861	0.0538220187	-0.0686075857	0.1945115637	-0.0386850166	0.0449608423	-0.0273290482	0.1069173816	-0.0287907054	0.0930171213	-0.0693952004	-0.0338828225	0.0306607616	-0.080285466	-0.0406544497	0.0964274883	-0.0720343741	-0.0036305043	-0.1138624638	-0.0906576457	0.1440040912	0.0307286683	-0.0508317821	-0.0318862455	0.1299357996	0.0295833002	-0.0770525729	-0.0430190141	-0.0432767982	-0.0388451804	-0.0037094477	-0.0419816842	-0.01362408	-0.0548083148	-0.0671903477	-0.0790701467	9.01292e-05	0.0522506046	0.0496597129	0.032851972	0.1279913872	0.0097883957	-0.008473816	-0.0666626012	-0.0514550857	0.135401799	0.0302525073	0.0942241775	-0.0462434213	-0.1432705454	0.1520191996	-0.1035699202	0.1089321296	-0.069591987	-0.0114335004	-0.0834464516	0.0280214266	0.0441200902	-0.0148904981	-0.0012531288	0.0219570132	0.1094260372	0.0014021266	0.1383913981	0.0698218094	-0.0719581726	0.0520830001	-0.0794166018	0.0901548798	0.0205146153	0.0427629067	-0.0221264359	0.1135410734	0.0690635782	0.0923309145	-0.0035670836	0.1215057438	0.0531799553	-0.0181746336	0.020181925	0.0297154133	-0.0004605545	0.0471467367	-0.084917122	0.032906228	-0.0124890541	-0.1071404299	0.0028115144	-0.0568133282	0.1634153454	-0.0548291653	0.0238562309	0.0644982579	0.1974583214	0.0653391683	-0.0452186517	0.0439468791	-0.0254950314	0.0173276179	-0.0498017339	-0.1099605871	-0.0919485143	0.051131189	-0.0772896274	-0.0341184227	-0.0379544364	0.0308628904	-0.0937954547	-0.0976030807	0.0534157677	-0.0141627978	0.0172407687	0.0257328773	0.012839792	-0.0476174479	0.089997933	-0.0400107739	-0.0397690942	-0.0703118023	-0.0557638918	-0.0095368888	-0.1634083065	0.0348900348	-0.1152101481	-0.1554422215	0.0244561771	0.0489413288	-0.01800284	0.0057144049	-0.0512060616	0.0082236913	-0.0152647233	0.0420504807	0.0063191447	0.1308978415	0.1053737875	0.1043873508	0.1027501241	0.1004723146	0.0155163	-0.0017958	3.224897640000001e-06	0.00024075556569	0.0322512	0.04135456	0.00104013990144	0.0017101996327935	-0.00612917	0.00625303	3.91003841809e-05	3.75667248889e-05	5.64877e-05	0.0	0.0	3.1908602512899997e-09	-0.00102917	-0.000122748	1.0591908889000002e-06	1.5067071504e-08	0.000408332	-0.0001119109999999	1.2524071920999991e-08	1.6673502222400002e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
