global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02
614.4504263572416	n/a	377549.3264505959	n/a	873.2579868173765	n/a	762579.5115403373	n/a	595.5435023914109	n/a	354672.06324062846	n/a	616.4794688672024	671.1750853071292	n/a	n/a	n/a	n/a	-0.0470456552	-0.0595055523	0.1015484373	-0.0149133714	0.1304075159	-0.0249115864	0.138320179	0.1365501196	-0.0192574808	0.0081965366	-0.1068866317	0.0081645348	-0.0586855286	-0.2371806478	0.0785819553	-0.1600272642	0.0730665602	-0.0529242765	0.1047075049	-0.105082654	0.0057943284	-0.1515032308	0.0106379355	-0.1536550611	-0.0169670575	0.0396575685	-0.0608216935	0.2653356239	-0.0036575681	0.1079042848	-0.212283706	0.1325527177	-0.0598853294	-0.0149117208	0.0115566496	-0.0611096097	0.1544514169	-0.1422510232	0.0298212323	-0.1428454569	-0.0875640852	0.0208318379	-0.0670151559	0.0270805064	-0.0561292339	0.0586038659	-0.0927459217	0.0351135574	-0.1138211419	0.004005351	-0.0846172986	0.0182500312	-0.0766391841	0.1282302562	-0.0714025149	-0.0818781738	0.041639302	0.0204562416	-0.1077508253	-0.0051679268	-0.0327715325	0.0834957908	-0.1098024823	-0.0114457839	-0.0397584654	-0.0289649184	0.0952787349	-0.078885035	-0.020948218	-0.1030516623	0.0303165968	0.0085712061	0.0074375848	0.0122441797	0.0064505301	0.0256105686	-0.0466821673	-0.0080266218	0.0043067708	0.0257116928	0.0114844662	0.0793619547	-0.0391204247	-0.0276539441	0.0651644893	0.0142898323	0.0229952936	-0.0253114384	-0.0067109852	-0.0234371574	-0.0830350238	0.0176344482	0.0088706629	0.0205414304	-0.0489813764	0.0579532564	-0.1152776263	0.0311563012	0.199320202	-0.2117670093	0.0719072323	-0.0953211798	0.0339644805	-0.0224555139	0.0023937905	-0.0515767049	0.0332537854	-0.0136859577	0.0990945857	-0.007321051	0.0819310089	-0.019921915	0.0228768992	-0.0908134466	0.0661335317	0.0363113991	-0.0404906376	-0.0767219221	0.0524260233	0.0773884729	-0.0833710108	0.1447010471	0.0678825499	-0.0378131228	-0.1564780671	0.0904613614	0.0506617069	-0.0197305148	-0.007210503	-3.9303e-05	-0.0188406202	-0.0795015349	0.0244683212	0.0512894701	-0.0196258004	-0.0303466473	-0.0019959356	-0.0608651945	0.1116681098	0.0595328057	-0.0440356142	-0.0436658302	-0.1052136588	0.0667868348	0.0189021586	0.0143073743	0.0440789421	-0.0900453824	-0.0068723977	-0.0508575124	-0.0127840247	0.046464622	-0.0054519355	0.0713528683	-0.088592474	0.0826232271	-0.1706338716	0.0702744137	-0.0854956463	0.1531892	0.0014192303	-0.0531566093	0.0112594159	-0.0574321183	0.2176104544	-0.0092847883	0.0595154886	-0.0422845994	0.0433409057	-0.0706216668	0.0989091209	-0.0843336941	0.1483713921	-0.1786972798	0.0530792236	-0.0456937231	0.1186709048	0.1186491225	0.1186128217	0.0905756	n/a	n/a	0.00820393931536	-0.0311999	n/a	0.0009734337600099	n/a	-0.0484947	n/a	0.00235173592809	n/a	-0.00279146	n/a	n/a	7.7922489316e-06	-0.00103385	n/a	1.0688458225e-06	n/a	0.00121466	n/a	n/a	1.4753989156e-06	0.0	0.0	0.0
611.6094017020952	-2.841024655146384	374066.0602503948	8.071421091149631	855.1365989409355	-18.121387876440963	731258.6028482704	328.3846985684215	595.2445725776483	-0.2989298137625837	354316.1011831473	0.089359033556133	614.7895538182395	661.1654325025906	1.088631	47.701717	0.09225484	0.0473798	-0.0506663755	-0.0750036151	0.0871423745	-0.0410903986	0.1469212141	-0.0231768322	0.1123384474	0.1151385578	0.0336416758	-0.0473983365	0.0202389418	-0.0139454542	-0.0973330593	-0.1441444323	-0.0822469353	-0.0664519894	0.0349163334	-0.0915501678	-0.0616711502	-0.1936769677	0.0760024762	-0.1154222336	-0.0337211321	-0.0346058856	-0.1231249131	-0.0515201275	-0.0501829335	-0.0670734892	-0.1926002148	-0.0218871643	0.198651012	0.045167724	0.0302225218	0.0053706004	0.036771845	-0.0732835486	0.2116067563	-0.2228790761	-0.019651422	-0.1959929857	-0.0668493387	0.0545876802	0.0434969134	0.0316421563	-0.0046694984	0.0569587175	-0.0100038437	0.0718774151	-0.0544343595	0.0641468855	-0.1184841736	0.0344814452	-0.1165594556	-0.016938967	0.0568583136	0.0353815346	0.0635021536	-0.0446430136	-0.1131284976	-6.34502e-05	0.1040951376	-0.0412222597	-0.0287584097	0.0653269491	-0.0798834818	-0.0663097862	0.0163063274	-0.1110271997	0.0433617494	-0.1625338243	0.0823699327	-0.137438419	0.0980940864	0.0860830383	0.0225499338	-0.0093232557	0.0448887307	0.0714126266	-0.1576588956	-0.1728808119	-0.0643765866	-0.021847023	-0.0628706057	0.1078499623	0.0308644737	-0.0074646665	0.052812874	0.0993232858	-0.0689053844	-0.0119725457	0.0753061058	-0.0064094848	-0.034451921	-0.0075515206	-0.0541883668	0.0682839389	-0.1568731425	0.0213042968	0.2278157462	-0.1684424964	-0.0206922927	-0.1065965622	0.0853004461	-0.0229602791	-0.0084637078	-0.0701826753	0.0110815892	0.008535281	0.0169816582	-0.0382714728	0.1119591521	-0.0690087894	0.1202342278	-0.0725766903	0.0555138838	0.1139056862	-0.1895555569	-0.0647324399	-0.0003994967	-0.0404987791	0.0600911551	-0.0118853287	0.0117413224	-0.1061951608	-0.157068463	-0.017186136	0.0637671433	-0.169174769	-0.0077093335	0.0767920458	0.0921468198	-0.0433729472	-0.0063098291	0.0039616893	0.0350125554	0.125723879	-0.0583379768	0.2008147562	-0.01503285	0.0724652975	0.120066825	-0.034981806	-0.1054737975	0.0014076039	0.0494648787	-0.0394283854	-0.0613348941	0.0271274824	0.0962488966	0.0417349249	-0.0101986319	0.1504750076	-0.0035232081	0.0931513741	-0.1273255936	0.0656529343	-0.2123036263	0.0943255314	-0.0899920581	0.1445360912	-0.0286458391	-0.0637964537	-0.0268252533	-0.0090077612	0.2116626932	0.0396815066	0.1833517794	-0.0469119164	0.1018909599	-0.1258931378	-0.0700277368	-0.0518180976	0.0873809956	-0.0016597848	0.2402168139	-0.0851703	0.1186128217	0.1184168613	0.1180905004	0.109553	0.0189773999999999	0.0003601417107599	0.0120018598089999	-0.00276406	0.02843584	7.6400276836e-06	0.0008085969965056	-0.0707663	-0.0222716	0.00500786921569	0.00049602416656	-0.00279146	0.0	0.0	7.7922489316e-06	-0.00111657	-8.27200000000001e-05	1.2467285649000002e-06	6.842598400000017e-09	0.00158334	0.0003686799999999	1.3592494239999998e-07	2.5069655556e-06	0.0	0.0	0.0
612.4065264993618	0.7971247972666333	375041.7536990136	0.6354079424173713	860.1915776885315	5.05497874759601	739929.550326285	25.552810138647327	594.8392563108885	-0.4053162667598826	353833.74084849085	0.1642812761001683	614.481103097752	663.4095137957642	1.158235	50.751652	0.11386874	0.0606829	-0.0405079639	0.034422027	0.1337395839	0.0255225655	0.1454848387	-0.0968579636	-0.0491437435	0.1215955342	-0.0817234664	-0.0237776	-0.0528457538	-0.0112321612	0.0203379393	0.177840439	-0.0859769658	-0.0128752591	0.0298422322	0.0205737403	0.1433101106	-0.128004621	0.030583978	-0.1089932832	-0.0875358732	-0.1354542584	0.0200454208	0.0008634375	-0.0273085168	-0.0648827984	-0.0535836638	-0.1335208374	-0.0316446916	0.080695494	-0.0007153204	-0.0035869738	0.0157546049	-0.0396001808	0.0419885258	-0.1725848012	0.0317105531	-0.0394236503	-0.020331127	0.0711050311	0.0123524419	0.1383103326	0.1061091495	0.0902956364	0.0908079059	-0.1136905045	0.2647266229	-0.0300796735	-0.0236163508	0.0225122015	0.0817933049	-0.1770608781	0.0037112551	-0.1688576452	-0.1220133351	0.0840680685	0.0860771698	0.0349914273	-0.0226799844	0.0432146205	0.0779275795	0.1484424933	0.0323883831	-0.1803330309	0.1247885631	0.0492412796	0.0197340359	-0.1220315457	0.0667100191	-0.080378843	-0.1034413703	0.1367944969	0.0824938582	-0.0849681773	0.0671638028	0.0450163317	0.053353453	-0.0567082608	-0.0562417468	0.0035483448	0.055342529	-0.0712892369	-0.0813295483	0.1092380669	-0.168367041	-0.0831738957	-0.0440022387	0.0162538818	0.0424037436	-0.0037045835	0.0072649905	-0.0020398666	-0.0311462302	0.1176952567	-0.0471136087	0.0673689377	0.145381843	0.0530569402	0.0694899885	-0.126748852	0.0875582683	0.0104487936	-0.0740598499	-0.026884611	-0.1234904162	-0.1423406798	-0.1515432385	-0.0283259275	-0.0871687204	-0.0230738218	-0.0053522323	0.1196292134	-0.0762611745	-0.0190661236	0.1576044767	0.1201822576	-0.0243882423	0.007758366	0.0291012802	-0.0213577962	-0.212571204	0.0363668665	0.0064022774	0.0157452652	0.2145123494	-0.0005736961	-0.1451844138	-0.0394259038	0.1041436738	0.0853819065	0.0300831604	0.0128051176	-0.0189344099	0.2230786806	0.1007896955	0.0605158897	0.0318740113	-0.0289554527	0.072608563	0.0669680409	0.188976548	-0.0656479237	0.0598311575	0.1158592241	-0.066112613	-0.0574711727	-0.0456885899	-0.108384729	-0.0664870731	0.0962131383	0.0008499909	0.0804913446	-0.092813407	0.058962512	-0.174246753	0.1321630195	0.0253550312	0.1009159163	0.0376165657	0.0060391497	0.0258008575	-0.0319176505	0.0785362591	-0.0184804239	0.0574442804	0.0155796969	0.1454621409	-0.1524435983	-0.0624324698	-0.0618947395	0.0037584643	0.010732105	0.1326336795	0.1731329694	0.118496684	0.1179527935	0.1170481578	0.0950806	-0.0144723999999999	0.0002094503617599	0.00904032049636	-0.0275292	-0.02476514	0.00075785685264	0.0006133121592196	-0.0720548	-0.0012884999999999	0.00519189420304	1.6602322499999948e-06	-0.00182853	0.0009629299999999	9.272341848999996e-07	3.3435219609000003e-06	-0.000866566	0.000250004	7.509366323560001e-07	6.250200001600004e-08	0.00132942	-0.0002539199999999	6.447536639999997e-08	1.7673575364e-06	0.0	0.0	0.0
613.6423167038391	1.2357902044773257	376556.8928496548	1.52717742948211	860.3776465668137	0.1860688782821853	740249.694711849	0.0346216274651907	596.2005581398506	1.361301828962155	355455.1055262694	1.8531426695357085	615.7842831933365	665.4607258352924	1.16274	50.949043	0.140336	0.0687164	-0.0338871496	0.0765954262	-0.0041487547	0.0720210817	0.1628732372	-0.0927903913	0.0439426427	-0.0420794402	-0.0840178247	0.0099706191	-0.0416588207	0.0428244096	-0.0931853775	0.121766412	0.1633258371	-0.0018768547	-0.1057050639	0.0824800468	-0.047897695	-0.1696906498	0.0470604997	-0.0940291967	-0.032187701	0.07820532	-0.0420098376	-0.0224034193	-0.1225146632	-0.0108611164	-0.1080549108	0.0608732291	0.06994382	0.1114648032	-0.0386847234	-0.0297213771	0.0376268636	-0.0263628142	0.0434292719	-0.1339575177	0.1321219672	-0.0608731746	-0.066031327	-0.0215745177	0.0713713785	0.1639768183	-0.1794728756	-0.0022269276	-0.0560870593	-0.0098354881	-0.0988101559	-0.0187877761	0.0110820036	-0.0894107241	-0.0103052695	0.1607649036	-0.0400069728	0.0129713772	-0.0097318997	-0.0020885757	0.0908125763	0.1146671607	-0.0927939718	0.0807008784	0.0357720245	-0.0121189636	0.1846753635	-0.0158399209	0.1074018599	0.0061463727	-0.1364646314	0.019939049	0.019958612	-0.0239154884	-0.0857075372	-0.0001134777	0.1999632443	-0.0803696513	0.0402513498	-0.0008131866	-0.0319928137	0.0977482904	0.1282144155	0.0343660006	-0.1324471682	-0.0774568641	-0.0451767865	-0.1091418373	0.0793510513	-0.1063446166	-0.0528890826	0.0208793611	-0.0949283333	-0.1188692468	0.0133469489	0.0045847645	-0.039314004	0.0483782046	0.0709894696	0.0065378587	0.2368710917	0.0353517185	-0.0327156534	-0.1596607732	0.0041319824	-0.0823021228	-0.0372243154	-0.0922513701	0.1042565278	0.1666598474	0.1432058182	-0.0513613781	0.0169551993	0.1235101931	-0.0053893171	-0.04601317	-0.0194883677	-0.0223714556	0.0811984889	0.0298463322	0.007997647	0.1340434766	-0.0433268999	-0.0602130197	0.0114676164	-0.0472997761	-0.0925699764	0.1511494486	-0.0532946252	0.2102157682	-0.059059475	0.0637967515	0.1297662092	0.0440793191	-0.0541429848	0.018840002	-0.054024152	0.1028673586	0.0680213919	-0.1322608657	0.0704265071	-0.0595643538	-0.1315165018	0.0091440566	-0.0157957451	0.0555307365	0.0210438189	0.0788851157	0.1861953187	0.1542265086	0.0659482779	-0.0347423042	0.0004548435	-0.0317459996	-0.0071841212	0.0919093692	-0.1384678273	0.0447689629	-0.2252975037	-0.0019784059	0.0827606991	0.0860233262	0.0292075095	-0.0265032919	-0.0478703512	0.0161852833	0.084860529	0.0862604349	0.0088306209	0.0627689282	-0.059060273	-0.0603881802	0.0444776826	0.0750732767	-0.0580407834	-0.0367002341	-0.0411998899	-0.0282605117	0.1183225485	0.1172578276	0.115490384	0.113447	0.0183664	0.00033732464896	0.012870221809	0.0127229	0.0402521	0.00016187218441	0.0016202315544099	-0.0779481	-0.0058933	0.00607590629361	3.473098489000005e-05	-0.00279146	-0.0009629299999999	9.272341848999996e-07	7.7922489316e-06	-0.00111657	-0.000250004	1.2467285649000002e-06	6.250200001600004e-08	0.00163297	0.00030355	9.214260250000005e-08	2.6665910209e-06	0.0	0.0	0.0
614.047338616878	0.4050219130389223	377054.13406247087	0.1640427500417083	866.728223989431	6.350577422617221	751217.8142598731	40.32983360065558	596.0634617028905	-0.1370964369600642	355291.6503772333	0.0187954330271448	615.6522300726617	670.7638198670745	1.10362	48.358486	0.0769771999999999	0.0456273	-0.0382156215	0.0665192254	-0.0829663976	0.0609029708	0.1403738408	-0.058496748	0.1417189293	-0.1064400311	-0.0384005146	0.0114936568	-0.0129212459	0.0668291504	-0.0082652552	0.0772374624	0.095215882	-0.0379519973	0.1112267975	-0.1178311933	0.0102964411	-0.0111551305	0.2078981726	-0.0829657505	0.0096184762	-0.0475780042	0.0585045691	0.0758405575	-0.2035468731	-0.0895163359	0.1236646981	0.0389020329	-0.096898197	-0.0286120546	-0.1124496216	-0.0138241591	0.0325814568	-0.0282203028	0.0773682936	-0.0850795818	0.2683316424	-0.0571637704	0.1025541621	-0.0096261448	0.0108677094	-0.0358422144	0.0331359225	-0.0706245257	-0.0356190816	-0.0036753155	0.0693245649	0.1081376509	-0.1927633558	-0.2116629167	-0.0283781188	0.0044347298	0.2380309378	0.0232654275	0.1181947988	-0.0882550321	-0.0257379584	0.0683055724	-0.0663881822	0.0175387976	0.0800317332	-0.0008874019	-0.0268400168	0.0329453542	-0.0330067232	0.0236136744	0.0383574486	0.144185998	0.1422583977	0.0898841005	-0.0006919209	-0.0472749595	0.0230574589	0.0485560024	0.1223541415	-0.0829064782	0.0882149884	0.0407471713	-0.0862541469	-0.1165424086	-0.0721639146	0.0861036343	-0.0253867425	0.0083905713	-0.1183335411	-0.1174102817	-0.0684972096	0.1053626486	-0.0215004053	-0.1128679101	-0.0362261912	-0.0044832088	-0.0291337615	-0.0415900116	0.0930173522	-0.0244810442	0.2552033488	-0.0423103396	-0.0706524093	-0.0868615169	-0.0577772673	-0.0348633279	0.0365756011	0.0924093947	-0.090334465	0.0738618929	0.1695655403	0.1555983943	0.0562275221	-0.0225743043	0.0100708994	0.0593424619	-0.2216564989	0.1033975539	-0.0218677345	0.0626609369	-0.0196825449	-0.0987121118	0.1066308386	-0.04662451	0.0990844919	-0.1024894505	0.1208983148	-0.0354449853	-0.0429578499	0.0181251465	-0.1296031147	-0.0097452298	-0.1772323807	0.1060203411	-0.0030175914	0.0219592819	-0.0504450575	0.0459355689	-0.051619508	0.0642210693	0.0293857328	-0.1031143497	0.0114162557	-0.0086634478	0.1043023186	0.0006921816	0.1083781833	0.0320556619	0.1029036302	0.0314349803	-0.0857675693	0.1035670262	-0.0206529337	-0.0445123073	-0.0064577341	0.0851717803	-0.1352077172	0.062423817	-0.1948777619	-0.0565847204	0.1137973302	0.0755836332	0.0367564345	0.0475374217	-0.0020608279	-0.0141150588	0.0691637919	0.011404323	0.0068684372	0.086729141	-0.0232194958	0.0979659169	-0.054237467	-0.0076312193	0.0152391876	-0.0697441762	-0.0837641624	0.00686389	0.1180905004	0.1163333239	0.1134240387	0.109479	-0.0039679999999999	1.5745023999999995e-05	0.011985651441	-0.0165787	-0.0293015999999999	0.0002748532936899	0.0008585837625599	-0.0889251999999999	-0.0109770999999998	0.0079076911950399	0.0001204967244099	-0.0021718	0.0006196599999999	3.839785155999997e-07	4.716715240000001e-06	-0.00111657	0.0	1.2467285649000002e-06	0.0	0.00166792	3.4949999999999955e-05	1.2215024999999966e-09	2.7819571264e-06	0.0	0.0	0.0
613.0082164504506	-1.0391221664274326	375779.0734357625	1.079774876760841	861.1439348528257	-5.584289136605207	741568.8765338077	31.18428516120693	596.2413843889427	0.1779226860521703	355503.7884580429	0.0316564822120191	615.7135270998448	671.509574465041	1.081234	47.377586	0.1379757999999999	0.0690202	-0.0499624413	0.0337760343	-0.100602041	0.0367471254	0.1445736063	-0.0869340435	0.0784894451	-0.1265574808	0.0151213427	-0.0202801241	-0.0016706543	0.0945710474	-0.1241630641	-0.0920899646	0.0649809834	0.0315162921	-0.0201381991	-0.0549450319	0.0458406206	-0.2045960194	-0.0782521237	-0.00418005	0.286290128	0.0635718209	0.0595196646	0.1178156038	-0.0925846106	0.0117265566	0.0298529591	-0.1501272857	0.0105296623	-0.2168827167	-0.0387148414	-0.028651685	0.0228263306	-0.0506919697	0.0649421381	-0.0572106221	0.2165486499	-0.1690327378	-0.0975421392	0.0049051385	-0.1891636764	0.0151062595	-0.0110863063	0.1800618527	0.1601053677	-0.0233450037	0.0851656188	-0.054859279	0.0230575133	0.0109421887	-0.015341697	-0.0232601394	-0.1426629769	-0.0662915274	0.1296123652	0.0222314546	0.0817466429	0.1652263567	-0.0563444612	-0.0936884389	0.0614064894	-0.0454398217	0.0971570594	0.0636088641	-0.0356820424	0.0972665212	-0.1498245667	0.0672607026	-0.1394332337	0.0457734599	-0.0254247321	-0.0213098079	-0.0141488639	0.0950105247	-0.1671235178	-0.0824270721	-0.026672363	0.0078269928	-0.0468306959	0.0864565258	-0.0619240265	0.0025821799	-0.0680073915	0.105893899	0.0138146367	-0.0668118226	-0.0460672003	0.0203417915	0.0249691605	0.1263764608	-0.072453392	0.0061877453	-0.0226441563	-0.057657214	0.0654364714	-0.0330628322	0.2599838487	-0.1537172041	0.0079327763	-0.1237712649	0.0443368946	-0.0310298092	-0.0828122531	0.0329217306	0.0807709144	-0.1281902328	-0.159950746	0.0208597919	-0.1090697175	0.0462495003	0.0645153544	-0.1111708109	0.0363935402	-0.0024552746	0.0958451262	0.1682632216	0.0810654849	-0.0330717388	0.0593640881	0.0918470596	0.1107617074	0.1418242244	0.0113492775	0.0428444016	-0.106771381	0.0861496469	0.1267823339	-0.0400888907	0.0125431726	0.0134362288	0.1443043581	-0.1752976696	0.0225929832	-0.135151652	0.0029353733	-0.1063043366	-0.0645958376	-0.0756673888	-0.0826861264	0.1248346163	0.0568369202	-0.0278566842	-0.0471330784	0.0629985541	0.0370994291	0.0514418079	0.0325523523	-0.0683555927	0.0194599857	0.0204786639	-0.0111061398	0.0975556633	-0.1658905736	0.0738151951	-0.2060741226	-0.0731136568	0.0556229842	0.0637175839	0.0484913885	0.0489398193	-0.0581451473	0.0035809057	0.0550438479	0.0061304667	-0.0524063518	0.0573585612	-0.0163071763	0.1205756684	0.0009809147	0.0159086234	-0.0614615621	-0.0213519774	-0.2193409123	-0.0322029525	0.1178006533	0.1151810923	0.1108582214	0.137565	0.0280859999999999	0.0007888233959999	0.018924129225	0.0315635	0.0481421999999999	0.00099625453225	0.0023176714208399	-0.0547271	0.0341980999999999	0.00299505547441	0.0011695100436099	-0.001903	0.0002688	7.225344000000013e-08	3.621409e-06	-0.00111657	0.0	1.2467285649000002e-06	0.0	0.00195011	0.0002821899999999	7.963119609999993e-08	3.8029290121e-06	0.0	0.0	0.0
613.0606207515102	0.052404301059596	375843.324716227	0.0027462107695447	860.8506343724354	-0.2933004803903714	741063.8146994244	0.0860251717972226	595.0056358876886	-1.2357485012540792	354031.7067381127	1.527074358351703	614.901332206366	669.7998075504256	1.107717	48.538025	0.1257109199999999	0.0672412	-0.0570028944	-0.0098622561	-0.1151970138	0.0165149251	0.1035544967	-0.0953334668	-0.042733497	-0.100062523	0.0604569003	-0.0256354436	-0.0592569099	0.0444243624	0.0239061343	0.0970719655	0.05240913	0.0004115721	0.0576887982	-0.0640080482	0.1502912612	-0.0637726197	0.1081123509	-0.0665179139	-0.2180262202	-0.1116864168	-0.1199533785	0.0577358374	0.0751915117	-0.130234908	0.0200024096	0.0438589576	-0.0086098732	0.0317449762	0.0216387691	0.0023341934	0.0255305038	-0.0875214179	0.0596805341	0.0170602199	0.1940457752	-0.0071593412	0.0072202181	-0.0856064003	0.0171277048	0.0375933487	-0.0327561123	-0.0056020484	0.052683769	0.0534824422	0.0466096947	-0.051180634	-0.0626816669	0.0346395756	-0.0390734173	0.0663579729	-0.0459363037	0.0840379696	-0.0141626784	0.0393870847	-0.1386634479	-0.0582520959	-0.1832554689	-0.1288802978	-0.0234251029	0.0553952842	-0.0291701422	0.2093547135	-0.1524563264	0.0710002808	-0.0139302464	0.1550509278	-0.0695343081	-0.0820760423	0.0470311739	-0.0653079278	-0.0610214751	-0.0521300492	-0.018968682	0.0575651186	0.0252569105	-0.0393567362	-0.0705698952	0.1077467778	0.0611074402	0.1100191486	0.0071126904	-0.0983948566	-0.0304985768	0.2648152015	0.1355817269	-0.1963789153	0.0808167125	-0.0847845434	0.1015739568	-0.0103985718	-0.0040014826	-0.1261104738	0.0442373573	-0.0280460095	0.1620613743	0.0291314154	-0.0058211556	-0.0140247381	0.1332814534	0.0699358063	0.0437933241	-0.0104851763	-0.0252656437	0.045035488	-0.0405758779	0.0935921409	0.0639393447	0.0795496764	0.0045184137	0.0887030364	-0.0251185998	-0.0435461818	0.1156489362	-0.081315221	-0.0735849732	-0.0724296921	-0.0308531853	0.12032696	0.1631083987	0.1344400301	0.006571913	-0.2255939807	-0.0913804214	0.0706619468	-0.0236876615	-0.0348072943	-0.0369144998	0.0206507253	-0.0470884667	0.0279508405	-0.0041433315	-0.0461175103	0.004798357	0.1045044884	-0.1492905654	0.0032286936	0.1261929314	0.0408815033	-0.0413806289	0.031076432	0.0370882467	-0.0977775387	-0.1150565807	-0.0499410059	-0.0069487057	-6.21397e-05	0.1902154624	-0.1554554563	-0.0095962771	0.074939404	-0.1125575731	0.0550031289	-0.0844307089	-0.1268510373	0.0484310665	0.0112443622	0.0361895506	0.0867585277	-0.0332453849	0.053166515	-0.0821511672	-0.0024908874	-0.0341229615	0.0790487973	0.0148620862	0.1238002774	0.0119478228	-0.0060658779	-0.0423004412	0.1525341476	-0.1235902449	-0.0229494566	0.117453149	0.1138033884	0.1078042307	0.109019	-0.0285459999999999	0.0008148741159999	0.011885142361	-0.00537182	-0.03693532	2.88564501124e-05	0.0013642178635024	-0.0625442	-0.0078170999999999	0.0039117769536399	6.110705240999989e-05	-0.00100288	0.0009001199999999	8.102160143999998e-07	1.0057682944e-06	-0.00107901	3.756000000000007e-05	1.1642625801e-06	1.410753600000005e-09	0.00183954	-0.0001105699999999	1.2225724899999988e-08	3.3839074116e-06	0.0	0.0	0.0
