global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01
574.5033775745419	n/a	330054.13084455667	n/a	730.2079373064073	n/a	n/a	533203.6317052781	542.4485764004357	n/a	n/a	294250.45803885936	570.7367706460781	657.7603771018904	n/a	n/a	n/a	n/a	-0.0613591272	-0.0381339328	0.0424127022	-0.0401883255	0.0137483447	-0.0052444942	0.156116999	-0.0727752475	0.0633101812	-0.0560172632	0.0581849953	-0.1243042496	0.0363856575	-0.0278845812	0.0226108874	-0.0556293423	0.1452578525	-0.1088337406	0.2536612684	-0.1085730426	0.0358315483	0.2845895197	-0.0693984064	0.0598754543	-0.2837118038	0.0343055716	-0.2235350799	0.0419624091	-0.1074198927	0.2010654936	-0.0502785773	0.0104629871	-0.0285410091	0.0911351749	-0.0181578732	-0.0258934488	0.0273200148	-0.1557391116	0.0613675622	0.0275700841	0.0948965424	-0.0660243878	0.0655877589	0.0212131921	0.0563593061	-0.0502099749	0.0213879568	-0.0087634695	0.0884359637	-0.0377094822	0.1008963468	-0.0301583883	0.0587001958	-0.0375712621	0.0080903101	-0.0799495051	0.0165849259	-0.0285341287	0.0301706479	-0.0345911112	0.0468717333	-0.065039147	0.0282178324	-0.1253738811	0.0288986384	0.028979027	-0.1156043248	0.0583055381	0.0763719313	-0.0316822673	-0.0306191962	-0.0986928796	0.1379431847	0.0316301039	-0.0287289568	-0.0956624952	0.0709676585	0.0539778073	0.0043113111	0.0047947265	-0.0343479309	-0.0625397243	0.103977419	0.0433283716	0.0074481058	0.0340543059	-0.0402771684	-0.0253818145	-0.032183493	0.0845585224	0.0203871191	0.059831237	-0.0661056725	-0.1002271817	-0.0296005323	0.0670859215	0.0957202841	0.0595910157	-0.0276646402	-0.0025700973	-0.016819031	-0.0272403563	-0.0195751942	0.1133638063	0.0447637609	-0.0981720252	0.0253371356	-0.0724646524	0.0286529463	-0.0134773323	0.0387365595	-0.0320324596	0.0871261227	-0.0712730787	0.0664072161	-0.0959603443	0.0286508742	-0.0357451625	0.0613255128	-0.096587664	0.0307183618	-0.0455985207	0.0268282565	-0.1447358085	0.0214873286	-0.0335640605	-0.0033711708	0.0461582423	-0.1428074566	0.0964474443	0.0555206229	-0.1179408488	-0.0327662742	0.1151784143	0.0244000634	0.0602399561	-0.1697536079	0.0233944206	0.0624605694	0.0681150157	-0.0262530271	-0.1007136963	0.0126707719	0.1117375678	0.0615012528	-0.0507226822	-0.0089314351	-0.06343651	-0.0675615871	0.0999251867	0.0098226211	0.1841550908	-0.1053397249	-0.0706220587	-0.0725676907	0.0599089802	0.0381300443	0.0708703494	0.0049593056	-0.0808287783	-0.0555394915	-0.0936745248	0.0410722214	0.038490294	0.1175929852	-0.0832018952	0.0006717949	-0.0186474269	0.1419046586	-0.1278653693	0.0816744521	-0.0140260047	0.007802924	-0.0484730633	0.073934798	-0.0901459773	0.0427711946	-0.0653229772	0.0729643654	-0.0280028161	0.059275702	-0.1471397512	0.1145950045	-0.0579920602	0.0759418461	0.0667010562	-0.0536722448	0.1635158601	-0.0087216838	0.2112781845	0.1186709048	0.1186491225	0.1186128217	0.0227393	n/a	n/a	0.00051707576449	-2.7159e-05	n/a	7.37611281e-10	n/a	-0.0176317	n/a	n/a	0.00031087684489	-0.00193287	n/a	n/a	3.7359864369e-06	0.0013234	n/a	1.7513875599999998e-06	n/a	-0.000217039	n/a	n/a	4.710592752100001e-08	0.0	0.0
573.1090731118868	-1.3943044626551	328454.009683166	1.9440849345799271	724.3052384227802	-5.902698883627068	34.84185411077223	524618.0784066805	542.1590333557692	-0.2895430446665159	0.083835174714756	293936.4174492621	569.8186005121472	649.0304918056227	1.053716	42.894016	0.059942291	0.0354024	-0.0838538999	-0.0229509154	0.035859218	-0.128859471	0.0143538923	-0.0215274478	0.0529394238	-0.0583255834	0.0639095783	-0.123231742	0.02650103	-0.1260633948	0.0863689537	-0.0114684541	-0.0413103952	-0.0682748404	0.0375260026	-0.0788687504	0.1348097912	-0.068130164	0.0472218477	0.1554417042	0.1225023247	-0.0272959261	0.0351396983	-0.0167002593	-0.0447505006	-0.0230551615	-0.0449921708	0.0422500291	0.118952818	0.0641525069	0.0966851595	0.0940557786	-0.0967398204	-0.0330449164	0.0933640892	-0.0188924355	0.1196036585	0.0349007522	0.0053034489	-0.0754322614	0.0125769923	0.0349941064	0.0387352548	-0.032483636	0.1168695056	0.0439828329	0.0203255813	-0.0489351305	-0.028139131	-0.0815342588	-0.0047163575	0.0652343335	0.1079918647	-0.0580631347	-0.1476290801	0.0401386235	0.0160248807	0.047138154	-0.0361546395	-0.0829127732	-0.0085709206	-0.1879223699	-0.0002174304	0.0236599279	-0.0184191278	-0.0138689072	0.1621922485	-0.1464942791	0.0024153022	-0.0615741417	0.1901880626	0.0520710914	0.1467203536	0.0241839997	-0.121484926	0.0364230809	0.0495770906	-0.009820711	-0.1677851611	0.1048233442	-0.1004657247	0.0277730938	0.1115840914	0.0286942149	-0.0980338715	0.063453999	-0.0141035653	0.1851278428	0.0835901602	0.0570271192	-0.0886868453	-0.0103674868	-0.2179753243	-3.51706e-05	0.0504128662	0.0199058874	0.0821211041	0.0339140006	0.0199288953	0.0066996093	0.0839346781	-0.0010910478	0.0802524485	-0.0732067354	0.0269867655	-0.0661938042	0.0330761712	0.1352134666	-0.0248162705	-0.0160567577	0.1170206079	-0.0431679487	-0.0014177013	-0.0917760897	-0.1102103467	0.0295033303	-0.0531932117	0.0647102153	0.0726944511	-0.0109896914	0.1215832121	-0.2154500653	0.1339182809	0.0149272314	0.0721886803	-0.0171846148	-0.1656686143	0.0559646335	0.1586789717	-0.1165861087	-0.0763492755	0.1701552208	-0.0644774477	0.0836910424	-0.0121341512	0.0234234611	-0.1691639204	0.0373014143	0.0102133263	0.041913749	-0.0358824984	-0.0856083402	0.0527488074	-0.0108489147	-0.0610368019	-0.1035483585	-0.0186750756	0.1251326657	-0.1411229071	0.0389087109	0.0250145312	-0.1763264203	0.0548858884	0.0041286589	-0.0264909334	-0.1201629373	-0.0597343731	-0.1300590783	-0.1399596662	-0.07610556	-0.0008800616	0.012892001	0.0377399398	-0.0049243011	0.0200935417	0.0237285891	0.1014812859	-0.1266108969	-0.0960733964	-0.0922367887	-0.1102704305	-0.0389698286	0.0308801898	-0.0874352387	0.0972900875	-0.0846232598	0.0232343151	0.0118771621	0.1120436474	-0.1341076146	0.028547342	-0.0155588277	0.0183138605	0.0326983275	-0.2323505135	0.075546636	-0.0430970934	0.0984217849	0.1186128217	0.1184168613	0.1180905004	0.0199555	-0.0027837999999999	7.749542439999996e-06	0.00039822198025	-0.0314541	-0.031426941	0.0009893604068099	0.0009876526206174	-0.0176216	1.0099999999999e-05	1.0200999999997978e-10	0.00031052078656	-0.00207636	-0.00014349	2.0589380100000073e-08	4.311270849600001e-06	0.0011695	-0.0001539	1.36773025e-06	2.368521e-08	0.0	0.000217039	4.710592752100001e-08	0.0	0.0	0.0
572.2808461671921	-0.8282269446947339	327505.3668898374	0.6859598719183738	720.3048780044361	-4.000360418344144	16.002883476654535	518839.1172769856	542.184913649509	0.0258802937397604	0.0006697896040562	293964.48058912554	569.1904952851975	647.724727420229	1.083442	44.104099	0.0839090899999999	0.0431309	-0.0783889197	-0.050451631	0.0564808844	-0.0356067122	0.1032143404	-0.0295742615	0.0358861435	-0.0619547393	0.0454590968	-0.09144169	-0.0752973284	-0.0407737038	-0.0522956456	0.0952085118	-0.0100777277	-0.1002719343	0.1060246026	0.1017874955	-0.0072049333	-0.0271549402	0.1034825835	0.1235872201	0.0751684343	0.0116614818	0.0404211859	0.0196625371	0.0327399092	-0.0491020473	0.0985956412	0.0282153586	0.0135533292	-0.1206321717	-0.0253917562	-0.0525882653	-0.0929727992	-0.0303239188	0.0768927433	0.0899503024	0.1184074466	0.0208676524	0.1882129855	0.1210230122	-0.012757384	-0.0180599298	0.0487186496	-0.0506973192	0.0985109779	-0.04709274	0.1916498873	0.1132306968	-0.0033679185	-0.029497925	0.0093124685	0.0978546537	0.1075798959	-0.025672587	0.0171348227	0.1277980708	-0.1345785015	0.0227567258	-0.0022320029	-0.1676448265	0.0192753108	-0.0094143752	-0.0694088103	-0.0226799721	-0.0005340542	-0.0262613505	0.0293397799	0.0571222401	0.0149255929	0.0816022129	-0.0433128326	0.0566788483	0.0866423005	0.0091837686	-0.1019837123	-0.0347710437	0.032877875	-0.1423878374	-0.1159689103	0.1025335663	0.0252728645	0.0138253621	-0.0019443621	-0.0237245576	-0.1033927437	0.0236007341	0.1053572544	-0.0174839997	-0.0305131488	0.0931850409	0.0116357224	0.0512937036	0.2160905979	-0.1027188125	-0.1728088993	-0.0584937776	0.1378819713	0.0543225198	-0.142411968	0.0312360887	0.0487979874	-0.0751540358	-0.0451741691	-0.0581120422	0.0313892171	-0.1033811498	0.1109363024	-0.0049595945	-0.0754512459	-0.0851603165	-0.0731019912	-0.1658568685	-0.0051064348	-0.0928585346	-0.0813230336	0.0266368399	-0.0633346721	-0.0021273006	0.1740818892	0.0011778085	0.0529969255	0.0487761911	0.0453560134	0.1170984711	0.0675412346	0.0035491285	-0.0578722188	-0.0697446469	0.1146257666	0.0062897876	-0.0550127274	-0.0521064661	-0.0029486401	-0.0170082996	0.0824223813	-0.0246719641	-0.0550379097	-0.031707527	-0.0496794346	0.0626137828	0.0259084203	0.0130092757	-0.0244273346	-0.126969896	-0.1586558404	0.1047916655	-0.0918053082	0.096870714	-0.0819807787	-0.0180384351	0.1020218942	-0.1377718052	-0.0503545584	0.0453501937	-0.0361263038	0.0417432926	-0.0150017837	0.1446938026	0.2063158371	-0.0390152269	-0.0340435276	-0.1374082912	-0.1327167916	0.1981944325	0.0532592795	0.0013135131	0.1392431272	-0.1100384467	-0.1050334896	-0.0275772894	0.1026821512	0.065758437	0.0840415026	-0.0829647114	0.0679642594	-0.1081400784	-0.0091572169	0.0252581614	0.0169424658	-0.0209569948	0.0132006274	0.0430566889	0.0537362743	0.0153433342	-0.1073383695	0.0123844006	-0.2268156039	-0.0455202528	0.118496684	0.1179527935	0.1170481578	0.0196998	-0.0002557	6.538249000000054e-08	0.00038808212004	0.00207604	0.03353014	4.3099420816e-06	0.0011242702884196	-0.0230644	-0.0054427999999999	2.9624071839999976e-05	0.0005319665473599	-0.00253737	-0.00046101	2.125302201e-07	6.438246516900001e-06	0.00103694	-0.0001325599999999	1.0752445636e-06	1.7572153599999973e-08	-0.000300039	-0.000300039	9.0023401521e-08	9.0023401521e-08	0.0	0.0
571.9150207972771	-0.3658253699150009	327086.79101354984	0.1338282012734472	720.9067665998856	0.601888595449509	0.3622698813321827	519706.5661295019	541.818313377699	-0.3666002718099435	0.1343957592911244	293567.08471145446	569.0620946946599	648.6613516629163	1.155311	47.029682	0.0530725199999999	0.0302534	-0.0247820082	-0.120748745	0.0877438656	0.0729846631	-0.0087692429	0.008658209	0.0973691481	-0.1039008636	0.013458663	-0.1067014738	0.0622012998	-0.0254090331	-0.0028807895	0.0104231605	0.0849154471	-0.00682045	0.0230497415	0.0805500386	-0.0060715645	-0.0730523207	0.0810130212	0.1525000598	0.1114103804	0.0195825723	-0.0560419005	-0.0187264503	-0.0459382806	0.0046474089	0.1003359618	-0.1546691727	-0.1155050699	-0.0363479982	0.0507505675	-0.0659213715	0.1475190689	-0.1284199451	-0.0237321888	0.1834723321	-0.0394149795	0.0736170018	-0.1448025006	-0.0191736623	0.172780384	0.0031882866	0.149596533	-0.0831779834	0.2148808555	-0.0470885444	0.052921129	0.1396314737	0.0289486543	-0.0705072644	0.0388131803	-0.0831318812	0.1013533162	0.028902884	0.1049087859	-0.1128440905	-0.1010598215	-0.1364737129	0.0625657673	-0.0529971663	0.0062203191	0.0461424338	-0.1154214087	-0.0484281634	-0.020576213	0.1971104586	-0.049920589	0.0002606017	0.0027975132	-0.0218050681	-0.068012492	0.0901662751	-0.0349410114	-0.0505383405	0.050593233	-0.0466776284	-0.0462149934	0.0394089762	0.0519677846	-0.0262693022	-0.0414140287	0.1899913449	-0.0180850043	0.0707603536	0.0710137937	0.0555418757	0.0865081441	-0.0045332897	0.0072659195	-0.0526292039	0.0286092175	0.0769770964	-0.023674042	-0.0192556203	0.023591069	0.2111381119	0.0828277448	-0.0904347527	-0.0825084213	-0.0509615135	-0.0853322132	0.0010809205	-0.0221027609	-0.0811647979	0.0937815055	-0.1389745519	0.1635749011	0.0775892641	-0.0546526143	0.0451381195	-0.099994209	-0.036248875	0.0070519849	-0.0477122439	-0.0914869756	0.0866302587	0.0843087659	-0.1372022072	0.0622420825	-0.0407465454	-0.1801558106	0.0317536906	-0.049448626	0.0636126609	0.0963325863	0.0251711695	-0.0163687098	0.0209120054	0.053874532	-0.1398510499	-0.0155718545	-0.0583252851	-0.0207877609	-0.1020372746	0.050268796	0.1280340146	0.0566385448	0.0352234548	0.0378920957	0.0429947279	0.0348425328	0.12047327	-0.0840896458	-0.088103632	0.1008261842	-0.0227501898	-0.0401727108	-0.0004737522	0.1280451585	0.0107299845	0.01372696	-0.10750916	0.0261896427	0.0197803375	0.1125519837	0.0839218283	-0.1377366591	0.0877448605	-0.0709805764	0.0590964684	-0.0151323265	0.0216701295	0.0627219261	-0.0774904751	0.0828624002	-0.054178072	0.2401248651	0.0459374968	0.0479334288	-0.0016370045	-0.0086698458	0.0024494468	-0.0679488367	0.0280371248	0.0530782384	-0.1372889473	0.0316973928	0.0913676491	0.0723850611	0.1090916204	0.0552077686	0.0500511443	-0.0200455219	0.1746197007	0.1089162281	-0.0869574099	-0.1369752675	-0.0570435006	0.1183225485	0.1172578276	0.115490384	0.0167947	-0.0029051	8.439606010000004e-06	0.0002820619480899	0.00805956	0.00598352	6.49565073936e-05	3.580251159040001e-05	-0.013164	0.0099003999999999	9.801792015999996e-05	0.000173290896	-0.00303135	-0.0004939799999999	2.4401624039999977e-07	9.1890828225e-06	0.000847314	-0.000189626	7.179410145960001e-07	3.595801987600001e-08	-0.000297975	2.063999999999972e-06	4.260095999999885e-12	8.878910062500002e-08	0.0	0.0
571.631129502125	-0.2838912951521024	326762.14821587515	0.0805942674631381	718.479458017958	-2.427308581927605	5.891826951899399	516212.73159377865	541.1581410614033	-0.6601723162957569	0.4358274872033049	292852.13363703364	568.1424632948147	653.4390571606997	1.17095	47.666313	0.11535366	0.0533137	0.0698094942	-0.1104094062	0.1048925969	-0.0664074987	-0.0808145319	-0.0039797048	0.0873306118	-0.0987468879	-0.065063581	-0.1176700971	0.0733935909	-0.0424882566	0.0248570883	0.1062606088	-0.0795922927	0.0523741241	-0.0725120522	0.1380937363	-0.1404233443	-0.0008736468	0.1001604914	0.070211509	0.0739629519	-0.0641714688	0.0358045055	0.0467257862	0.0166357437	0.0470876622	0.0346192125	-0.1092624476	0.0418237628	-0.0343420025	-0.0153815426	0.0746613748	-0.1383306496	0.0390903221	-0.0530235478	-0.0065611697	-0.0060477045	0.1275083609	-0.1210925277	0.0640317744	-0.0826743027	-0.0584447495	0.0835043701	-0.066726516	0.1230260699	-0.0503537069	0.0417009876	0.0007655284	0.0959894344	-0.0475548607	-0.1656020101	0.1033479841	-0.1409789591	-0.0588387347	-0.0654100862	0.0210123604	-0.001637119	-0.0080077337	-0.0034595081	-0.0865092561	0.0818461209	0.0850208429	0.0143128042	-0.0966118477	-0.0020750623	-0.0245799478	-0.0885991986	-0.1237708925	0.1116021997	0.0803251926	-0.1055492861	0.0068063399	-0.0077043301	-0.0172180393	-0.0857028664	-0.0389514534	0.0278774549	0.0498606413	0.1438307495	0.116225751	-0.10925153	-0.0389636701	-0.1185838434	0.0946304636	0.0083032422	-0.0745901386	-0.1261553326	-0.040350411	-0.0153495293	-0.099144662	0.1702495397	-0.1194649132	-0.1402292739	0.0184044139	0.0007215428	0.138075649	-0.0898427435	-0.0823138149	-0.0211654506	0.0655220243	-0.0588292491	-0.0361493016	-0.0163088183	0.0024054005	0.1097405094	-0.1003998931	0.1083562443	0.1148006118	0.035845662	-0.1608535579	-0.0671082678	-0.0127144826	0.0799685862	0.165347473	0.0896195233	0.0248455541	-0.0338655051	0.0553865314	0.0433019374	-0.0058181679	-0.0483591591	-0.018130092	0.1183321799	0.0353707275	-0.02807474	-0.0920506803	-0.0241827279	-0.1084924966	0.0871515589	-0.0776015713	-0.0334891135	-0.1398600922	-0.0345235313	-0.0633366037	0.093264743	0.0859025395	0.0049107586	0.0210115505	0.0386336884	0.0741705382	-0.1634106889	-0.0373117925	-0.0641222081	0.1165723608	0.1259375318	0.0546916558	-0.0197965707	-0.0656032467	-0.0735569479	-0.012590067	-0.03355859	0.0895295501	-0.0285310216	-0.2191781943	-0.0223697126	-0.0114844014	0.0587760375	-0.1061616913	0.0777555734	0.1269079219	0.0026110691	0.0310354484	0.0453838737	-0.0217918049	0.0399295967	-0.0849482622	0.1145547001	0.1176258064	-0.1371543386	-0.0384461361	0.0108848989	0.2196730245	-0.0043450193	0.1184614233	0.0122976285	-0.1079134893	-0.0028853433	-0.0021301203	0.0529514721	0.0126339811	0.0481751249	-0.1189158144	0.008168104	0.1311096487	-0.0248904934	-0.2079387219	-0.0810334197	-0.063403929	0.1180905004	0.1163333239	0.1134240387	0.0143371	-0.0024575999999999	6.0397977599999954e-06	0.00020555243641	-0.021147	-0.02920656	0.0004471956089999	0.0008530231470336	-0.0421139	-0.0289499	0.00083809671001	0.00177358057321	-0.00259561	0.00043574	1.898693476e-07	6.7371912721e-06	0.000486237	-0.000361077	2.3642642016900003e-07	1.3037659992900004e-07	0.0	0.000297975	8.878910062500002e-08	0.0	0.0	0.0
571.3823286725116	-0.2488008296134012	326477.765519222	0.0619018528163167	718.2698356787987	-0.2096223391592957	0.0439415250746148	515911.5568460485	540.9114429904254	-0.2466980709779136	0.0608599382242237	292585.1891579842	567.8963064094169	663.7647038570175	1.183567	48.179901	0.12281894	0.0693718	0.1562360294	-0.0091756299	0.0941180319	-0.1742792246	0.1161584873	0.0849041421	0.0887564005	-0.0077527428	-0.2002703401	-0.1005136821	-0.1240875624	-0.0852198457	0.0372979079	0.1018697614	0.1796218187	0.0366748231	-0.1006780215	0.0562293388	-0.0732985349	-0.0519560791	0.1089056572	-0.0224005677	0.0374222092	-0.0241482738	0.0747106267	-0.083312858	-0.0297756598	-0.0374666023	0.0743188118	0.0224394392	-0.1836599718	0.0714187687	-0.2366915344	-0.117262761	0.0506701469	0.1392400042	-0.0306235325	-0.0234830686	-0.0421170583	0.123469235	0.0844716759	-0.0210081273	0.0756190722	-0.1760415837	0.0095949648	-0.0201025045	0.0637499153	-0.2422829002	0.0257735977	0.080321439	0.1223994673	0.0480395458	0.0333289474	-0.0334720054	-0.0755719732	-0.0419049341	-0.0694924009	0.0141941252	0.117893463	-0.0610805012	0.0868808563	-0.043459805	0.0032293272	0.1162645282	0.1636304785	0.0987670167	0.0494792913	-0.029191359	0.0116624629	0.1061663021	-0.098050861	0.1368538182	-0.0129835509	0.075895967	-0.0693435727	0.0548229575	0.1797539758	-0.0642272921	0.0439960536	0.1236505453	-0.1524938182	0.0044392771	0.0543445988	-0.0765135304	0.1193071871	0.0057374142	0.1233747206	-0.109506137	-0.0211513935	-0.052204854	0.060100936	-0.0490195614	0.1034221568	-0.1453102303	0.1206168603	-0.0048822336	-0.0236996617	-0.0900621411	-0.0015851863	-0.0347107452	0.1001805877	-0.196595422	0.0105354147	0.0652501967	-0.0800875401	0.1448542702	0.1012226387	-0.0986666058	0.2014349456	-0.0219507008	0.1275960797	0.0003356083	-0.0600806029	-0.014661931	-0.0113267441	-0.0044361875	0.1084041397	0.0228251502	0.0931136494	-0.0214904721	0.0259017383	0.1447986142	-0.0359194182	0.0901347053	0.0931666995	0.0215682059	-0.2233020464	-0.1459630351	-0.1170201476	-0.0001858322	-0.075734561	0.1199467251	0.0158991016	0.0516123633	0.0404229082	-0.1456332129	-0.0718855338	-0.0517793067	0.0852907267	0.0891021776	-0.0387207299	-0.0912806683	-0.1989955372	0.0637115969	0.019950482	-0.1415235978	-0.0615170218	-0.0450569373	0.0459842139	-0.0666438956	-0.0254646229	-0.0934596484	0.0212937892	0.1010272405	-0.0314519039	0.0748497888	0.0125346993	-0.0057850495	0.1511693066	-0.0199997313	0.0428433944	0.0381655459	0.0165671013	-0.0204791928	-0.0344000467	-0.1504908447	0.1044681398	-0.1553018125	0.0558061298	0.1172877586	0.0652064185	-0.0080226581	-0.0290549571	0.1585562696	0.1816415844	-0.0470569944	-0.0566001284	-0.1182618933	-0.019292236	0.050375095	0.0558845895	0.1080952145	0.117726617	-0.0839864448	-0.082086085	0.0786808306	0.1188871816	0.0068897135	-0.0680330406	0.0203022904	0.1178006533	0.1151810923	0.1108582214	0.014368	3.090000000000037e-05	9.548100000000227e-10	0.000206439424	0.0344235	0.0555705	0.00118497735225	0.00308808047025	-0.00861956	0.03349434	0.0011218708120356	7.42968145936e-05	-0.00302326	-0.0004276499999999	1.8288452249999995e-07	9.1401010276e-06	0.000384674	-0.0001015629999999	1.47974086276e-07	1.0315042968999998e-08	-0.000145251	-0.000145251	2.1097853001e-08	2.1097853001e-08	0.0	0.0
