subject_id,condition,phase,node_l,node_r,trial_timestamp,response_timestamp,response_delay,crosscolor,response_key,response,accuracy
701,Interleaved,Study,2,4,12.050793000031263,4736.09190492,4724.041111919969,cyan,0,0,1
701,Interleaved,Study,4,12,21.19531450001523,4745.27653596,4724.081221459985,cyan,0,0,1
701,Interleaved,Study,2,3,26.33553399995435,4750.18407644,4723.848542440046,cyan,0,0,1
701,Interleaved,Study,8,9,30.96853039995767,4755.51466924,4724.546138840043,cyan,0,0,1
701,Interleaved,Study,7,13,36.59201579994988,4761.6225854,4725.0305696000505,cyan,0,0,1
701,Interleaved,Study,11,12,42.7118552000029,4766.95395708,4724.242101879997,cyan,0,0,1
701,Interleaved,Study,2,3,47.83280099998228,4771.49493724,4723.662136240017,cyan,0,0,1
701,Interleaved,Study,4,5,52.45182720001321,4776.12532892,4723.673501719987,cyan,0,0,1
701,Interleaved,Study,11,12,57.07242410001345,4780.64087724,4723.568453139987,cyan,0,0,1
701,Interleaved,Study,8,10,61.70404129999224,4785.26777788,4723.563736580008,cyan,0,0,1
701,Interleaved,Study,2,3,70.3226387000177,4793.96015724,4723.637518539982,cyan,0,0,1
701,Interleaved,Study,11,12,74.94372009998187,4798.54214796,4723.598427860018,cyan,0,0,1
701,Interleaved,Study,2,4,79.56199189997278,4803.08278076,4723.520788860027,cyan,0,0,1
701,Interleaved,Study,6,7,84.17601089994423,4808.72053452,4724.544523620056,cyan,0,0,1
701,Interleaved,Study,3,11,89.79480659996625,4813.31976892,4723.524962320033,cyan,0,0,1
701,Interleaved,Study,1,2,94.42195200000424,4818.42856604,4724.006614039996,cyan,0,0,1
701,Interleaved,Study,7,8,117.6417056999635,4841.2474742,4723.605768500037,cyan,0,0,1
701,Interleaved,Study,7,9,122.26195049996022,4847.32513692,4725.0631864200395,cyan,0,0,1
701,Interleaved,Study,4,5,128.37493589997757,4852.40549164,4724.0305557400225,cyan,0,0,1
701,Interleaved,Study,2,4,137.49347610003315,4861.09630876,4723.602832659967,cyan,0,0,1
701,Interleaved,Study,3,11,142.09926829999313,4866.2008782,4724.101609900007,cyan,0,0,1
701,Interleaved,Study,7,8,147.2062292000046,4871.23319308,4724.0269638799955,cyan,0,0,1
701,Interleaved,Study,2,4,152.31329620000906,4876.88329324,4724.569997039991,cyan,0,0,1
701,Interleaved,Study,8,10,157.92697230004705,4881.54891002,4723.621937719953,cyan,0,0,1
701,Interleaved,Study,3,11,162.54862290003803,4886.09133468,4723.542711779962,cyan,0,0,1
701,Interleaved,Study,7,13,167.16263909998816,4890.76900892,4723.606369820011,cyan,0,0,1
701,Interleaved,Study,3,11,171.7885677999584,4896.310423,4724.5218552000415,cyan,0,0,1
701,Interleaved,Study,3,6,181.4107200000435,4905.09366396,4723.682943959957,cyan,0,0,1
701,Interleaved,Study,6,7,186.03210129996296,4909.65118076,4723.619079460037,cyan,0,0,1
701,Interleaved,Study,8,10,190.6511582999956,4914.64651148,4723.995353180005,cyan,0,0,1
701,Interleaved,Study,4,5,195.77303899999242,4919.33137644,4723.558337440008,cyan,0,0,1
701,Interleaved,Study,8,10,200.38415699999314,4923.85831772,4723.474160720007,cyan,0,0,1
701,Interleaved,Study,9,11,223.08862189995125,4946.78399868,4723.695376780049,cyan,0,0,1
701,Interleaved,Study,11,12,227.69486159994267,4951.23215612,4723.537294520057,cyan,0,0,1
701,Interleaved,Study,4,12,232.31327399995644,4955.86657916,4723.553305160043,cyan,0,0,1
701,Interleaved,Study,9,11,236.92837740003597,4962.04404332,4725.115665919964,cyan,0,0,1
701,Interleaved,Study,7,9,247.0498254999984,4971.63768508,4724.587859580001,cyan,0,0,1
701,Interleaved,Study,2,4,252.65884349995758,4976.25169356,4723.592850060042,cyan,0,0,1
701,Interleaved,Study,7,8,257.2675154999597,4980.78393948,4723.516423980041,cyan,0,0,1
701,Interleaved,Study,4,5,261.87540430005174,4985.87174828,4723.9963439799485,cyan,0,0,1
701,Interleaved,Study,7,9,266.9850916999858,4990.56409276,4723.579001060014,cyan,0,0,1
701,Interleaved,Study,6,7,275.60590379999485,4999.63630364,4724.030399840005,cyan,0,0,1
701,Interleaved,Study,7,13,280.72077799995895,5004.28814668,4723.567368680041,cyan,0,0,1
701,Interleaved,Study,1,2,285.3376679000212,5009.8277246,4724.490056699979,cyan,0,0,1
701,Interleaved,Study,8,9,290.95619199995417,5014.98425868,4724.028066680045,cyan,0,0,1
701,Interleaved,Study,11,12,296.07709180004895,5019.68774492,4723.610653119951,cyan,0,0,1
701,Interleaved,Study,3,6,300.69486659998074,5024.88556476,4724.19069816002,cyan,0,0,1
701,Interleaved,Study,2,3,305.80447440000717,5029.35210268,4723.547628279993,cyan,0,0,1
701,Interleaved,Study,4,12,328.5076734999893,5052.1106406,4723.602967100011,cyan,0,0,1
701,Interleaved,Study,7,8,333.12114790000487,5057.68031132,4724.5591634199955,cyan,0,0,1
701,Interleaved,Study,8,9,338.7342438000487,5062.79424188,4724.059998079952,cyan,0,0,1
701,Interleaved,Study,4,12,343.8523288000142,5067.90481228,4724.052483479986,cyan,0,0,1
701,Interleaved,Study,3,11,348.96945079998113,5074.0401206,4725.070669800019,cyan,0,0,1
701,Interleaved,Study,7,9,355.09353279997595,5078.64056556,4723.547032760024,cyan,0,0,1
701,Interleaved,Study,2,3,359.70763520000037,5083.25524652,4723.547611319999,cyan,0,0,1
701,Interleaved,Study,9,11,364.3316786000505,5087.84121308,4723.509534479949,cyan,0,0,1
701,Interleaved,Study,6,7,372.94988249999005,5096.50799788,4723.55811538001,cyan,0,0,1
701,Interleaved,Study,7,8,377.5693355000112,5102.05833564,4724.489000139989,cyan,0,0,1
701,Interleaved,Study,4,5,383.1837294000434,5106.81267916,4723.628949759956,cyan,0,0,1
701,Interleaved,Study,4,12,387.8049089999404,5111.95525452,4724.15034552006,cyan,0,0,1
701,Interleaved,Study,7,8,392.920152900042,5116.54535308,4723.625200179958,cyan,0,0,1
701,Interleaved,Study,8,10,397.53571339999326,5121.07328748,4723.537574080006,cyan,0,0,1
701,Interleaved,Study,7,13,406.1552209999645,5130.06602652,4723.910805520036,cyan,0,0,1
701,Interleaved,Study,6,9,410.7663840999594,5134.795815,4724.029430900041,cyan,0,0,1
701,Interleaved,Study,7,9,433.9796696000267,5157.6106558,4723.630986199973,cyan,0,0,1
701,Interleaved,Study,1,2,438.59038489998784,5162.13179436,4723.541409460012,cyan,0,0,1
701,Interleaved,Study,3,6,443.19310589996167,5166.67217148,4723.479065580038,cyan,0,0,1
701,Interleaved,Study,2,3,447.81085719994735,5171.826351,4724.015493800052,cyan,0,0,1
701,Interleaved,Study,7,13,452.93199049995746,5176.46569356,4723.533703060042,cyan,0,0,1
701,Interleaved,Study,6,7,457.5457433999982,5181.10625676,4723.560513360002,cyan,0,0,1
701,Interleaved,Study,11,12,462.1765508999815,5186.65703084,4724.480479940018,cyan,0,0,1
701,Interleaved,Study,6,7,467.7929736999795,5191.37565196,4723.582678260021,cyan,0,0,1
701,Interleaved,Study,9,11,476.41807290003635,5199.94295132,4723.524878419964,cyan,0,0,1
701,Interleaved,Study,3,6,481.0379097999539,5205.08133692,4724.043427120046,cyan,0,0,1
701,Interleaved,Study,2,4,486.1648670999566,5209.69396892,4723.529101820043,cyan,0,0,1
701,Interleaved,Study,7,8,490.77765770000406,5215.26446364,4724.486805939996,cyan,0,0,1
701,Interleaved,Study,4,5,496.39693060005084,5220.42743436,4724.030503759949,cyan,0,0,1
701,Interleaved,Study,8,10,501.50603619997855,5226.5449366,4725.038900400022,cyan,0,0,1
701,Interleaved,Study,6,9,511.63396580005065,5235.23483052,4723.60086471995,cyan,0,0,1
701,Interleaved,Study,7,9,516.2562777999556,5240.34897308,4724.092695280045,cyan,0,0,1
701,Interleaved,Study,3,6,539.4747938000364,5263.03576092,4723.560967119964,cyan,0,0,1
701,Interleaved,Study,7,13,548.1046941999812,5271.73933548,4723.6346412800185,cyan,0,0,1
701,Interleaved,Study,9,11,552.7378059000475,5276.76749532,4724.029689419953,cyan,0,0,1
