global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	t_comp_cor_08	t_comp_cor_09	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00
636.474129363515	n/a	405099.3173490444	n/a	877.6388849678647	n/a	n/a	770250.0124076367	601.5764600100348	n/a	n/a	361894.237238205	622.9369453918796	704.5671768736595	n/a	n/a	n/a	n/a	-0.0841315018	0.0909098498	-0.0344116877	0.14563111	-0.0656329533	0.1002448049	-0.0067037739	0.0723301422	-0.1248261732	0.0081853156	0.0089238358	-0.1504030025	0.0049344708	-0.1127386192	0.179360081	-0.0670780479	0.1365704083	-0.2626916077	0.1729990587	-0.1982998898	0.3419559165	-0.0240361166	0.0913760228	-0.0300632485	0.0050152778	-0.0096113531	-0.0618471742	0.085091452	-0.176045681	0.0663084629	-0.0612445009	0.129374913	-0.0479925752	0.1267793762	-0.062558015	0.0099279372	-0.1313745876	0.215930826	-0.014837755	0.0303281553	-0.0715968845	0.1029100612	-0.0876359023	0.0255382359	-0.0255073386	0.0618178505	-0.0154402268	-0.0283820656	0.0395664447	-0.089923576	0.0044424238	-0.0303069029	0.0470637009	-0.058401599	0.0130486477	-0.0703640472	0.0106725898	-0.0452402077	0.0503848567	-0.0283724871	0.0639771244	0.085546054	-0.079463535	0.0649594666	0.072780802	-0.0870672611	0.064859167	0.0131438909	0.0342613724	-0.0711521517	0.1309739273	0.0323924392	0.0581019678	-0.0172523081	-0.001038527	-0.0121259213	-0.0096204088	-0.1616462723	0.1274377076	-0.0339388195	-0.0278952917	-0.005192758	-0.0674265278	0.0115656605	0.0286749374	0.1055228033	-0.0661093715	-0.0570777754	-0.018111381	0.0851893983	0.0173040451	0.121471864	-0.1038987197	-0.0022638077	-0.0080232714	-0.0358731048	0.0564805691	0.1034998187	0.1433260714	-0.0794377305	-0.0170126338	-0.0369984574	0.1002292037	-0.0305734019	0.3086899207	-0.0206195618	0.0503074563	-0.0004900878	0.0131978141	-0.0422304876	0.0349720728	0.0171226103	-0.0735359766	0.176888878	-0.1012403568	0.1778353509	-0.010629644	0.0954413383	-0.0411107618	0.1319921561	-0.0372515448	0.0951486224	-0.0555670498	0.0886680538	-0.0699723447	-0.0865772374	0.1011972665	-0.0220300744	-0.0378305473	0.0341822194	0.0393611234	-0.0186808586	-0.107879537	0.0031557985	0.0142859852	-0.1111376768	-0.0629655167	-0.0045668342	0.1175698954	0.1375059503	-0.0439215653	-0.0706844908	-0.0515373333	-0.0176624889	0.0429105686	0.0080990785	0.0392208352	0.0218996403	-0.0829475366	-0.0656728396	-0.0268153754	-0.0654403084	0.0810713527	0.1520737098	-0.0442437314	-0.0605813988	-0.0473935327	-0.0623300057	0.0844104734	0.0301274151	0.037533264	-0.2556043541	0.1537668249	-0.1581644547	0.1557917715	-0.0155472237	0.062895351	-0.0656640294	-0.1205299794	0.05511032	-0.0326727291	0.170910628	-0.0048953947	0.1678588596	-0.0429276916	0.0336199612	-0.1040075923	0.0765104605	-0.0213467207	-0.0152351745	0.1091221044	-0.1622010257	-0.0347297491	0.1344116462	-0.0483226143	0.1186709048	0.1186491225	0.1186128217	-0.0084811	n/a	n/a	7.192905721e-05	-0.15859	n/a	n/a	0.0251507881	-0.215485	n/a	n/a	0.046433785225	-0.0029453	n/a	n/a	8.67479209e-06	-0.00258472	n/a	n/a	6.6807774784e-06	-8.47033e-22	n/a	n/a	7.174649030889999e-43	0.0
634.6732540822151	-1.8008752812999091	402810.1394473079	3.243151778797027	860.4710124905808	-17.167872477283822	294.7358453962794	740410.3633365653	601.4300616276585	-0.1463983823763328	0.0214324863624069	361718.11902944907	621.5270727427289	696.097674682321	1.141199	50.431175	0.0372939999999999	0.0184527	0.085685689	0.0110108131	-0.0476470024	0.0308387838	-0.1504879858	-0.0132935424	-0.0667268808	0.1809918041	-0.0631297828	0.1053667246	-0.0470304925	-0.00602009	0.2672322828	-0.0355633455	0.0825116541	-0.0572766888	0.0687304719	-0.1465431174	0.1010785604	-0.1314464902	-0.0456515458	-0.0771702679	0.06272962	-0.0611364409	0.2818123532	-0.0356688285	0.0067469578	-0.0624217123	0.055697276	-0.0968823369	0.0736944262	-0.101248289	0.1428661195	0.0362434293	0.0473718722	-0.0313863296	0.0569268663	0.1070273722	-0.1181609504	-0.1266451558	-0.0770939994	-0.0574223933	-0.0203970825	0.0077475247	-0.1282875881	0.0919724187	0.0809083441	-0.1015343882	0.0482954595	-0.0308139427	0.0821029936	-0.0825885526	0.2072516231	-0.0586169949	-0.0599271412	-0.1140989986	0.0032531587	-0.0031718714	-0.024216131	-0.0800055812	-0.01546485	-0.0141829179	-0.0133302319	0.1210126726	0.1060228496	0.0420412042	0.0235467628	0.1346984535	0.0128154834	0.0390614969	-0.0134697656	-0.0526696146	0.1712694733	0.0071488291	-0.0863950364	-0.0047405913	0.0153868373	-0.2437603327	-0.0038682895	0.0171404371	-0.1011600327	0.0832935985	-0.0729143713	-0.0214551796	-0.0226979547	0.0231901005	0.1119360792	-0.0426268937	0.035452508	0.0628538283	-0.1424706984	0.0767189017	-0.0909951352	0.0746731984	0.0187325129	0.1101144467	-0.008761128	0.1159203715	0.0374952932	-0.0368651142	-0.0094774916	0.0720859869	-0.0541591525	-0.1850924102	0.2617603227	0.0146819439	0.0400772819	-0.0211449873	-0.0637406413	0.0116062403	-0.0228469335	-0.0862658815	-0.040893013	0.135268149	-0.060021723	0.1440511611	-0.0433755114	-0.07852697	-0.0007316313	-0.1483314842	-0.1164508663	0.0264682222	0.0568816496	0.0902426604	0.0676760338	-0.0144397097	0.1234068129	-0.0032960879	0.0351011058	0.0730619985	-0.0025502158	0.0032102468	0.0475913555	0.0174771889	-0.0255634853	-0.0637979497	-0.0062038822	-0.1274960437	0.0687794654	0.0929649933	-0.1054125053	0.0286745432	-0.0034552659	-0.0187229788	-0.0638663011	0.0351107777	0.0787649586	-0.0510684556	-0.1127096697	0.0773787396	-0.0871491188	0.0010918796	-0.0385890257	0.1107505134	0.0583576877	-0.0080829238	-0.0021797602	0.0555377022	-0.1065634837	-0.0595755387	0.0835387886	-0.2764963983	0.1568947999	0.0364612808	0.2277605945	-0.0187695852	0.0727201112	0.0640772977	-0.0314917434	0.0525326505	-0.0006519886	0.1756941577	0.0264721458	-0.0937745828	0.0230692259	-0.0780629049	-0.0596594975	0.0180724103	-0.0083674121	0.0818292514	-0.0032880423	0.0676857544	0.0895145945	9.31425e-05	0.1389446433	0.1186128217	0.1184168613	0.1180905004	-0.0167031	-0.0082219999999999	6.760128399999997e-05	0.0002789935496099	-0.170839	-0.0122489999999999	0.0001500380009999	0.0291859639209999	-0.219716	-0.0042309999999999	1.7901360999999872e-05	0.0482751206559999	-0.0028623	8.300000000000017e-05	6.8890000000000295e-09	8.192761289999999e-06	-0.00241588	0.0001688399999999	2.8506945599999988e-08	5.8364761744e-06	0.0	8.47033e-22	7.174649030889999e-43	0.0	0.0
634.5580793252535	-0.1151747569615508	402663.9560369547	0.0132652246411523	863.868795331798	3.397782841217122	11.5449282360695	746269.2955480119	601.9636418957459	0.5335802680874622	0.284707902492288	362360.2261643898	622.312849474627	698.3578143264223	1.091203	48.221783	0.0834726999999999	0.0430768	-0.0687295176	-0.0359613496	-0.0665935569	-0.0301004801	-0.1242671911	-0.0609847025	0.0918983906	0.1435197883	-0.0862671658	0.109630237	0.0752951273	-0.006484248	0.0724141246	0.0237720494	0.1941354937	0.0084176148	-0.0459715447	0.0133670879	0.1988383526	-0.1940269294	0.076929127	-0.1379748834	-0.0502541687	0.049249461	-0.0942548491	0.0401309539	-0.0563281021	-0.0971900563	0.1794968488	0.0162669632	0.0267084712	-0.0130567073	-0.1008612256	-0.0828188268	-0.0219087159	0.0890165933	0.0426323521	-0.0626871491	-0.0500807773	0.0939319779	0.0198216113	0.0017833294	-0.1292668262	-0.0254929157	0.0438421158	0.0390035728	0.133269335	-0.1632152921	0.0288513832	-0.2043175014	-0.0464409894	-0.0196222834	0.0232010123	-0.0650618023	-0.0337489862	0.0435512095	-0.0418341107	0.0639690312	-0.0621599305	-0.0330438813	0.0206919211	0.0766416886	0.1243145235	0.1449390728	-0.0118002203	-0.011746569	0.1474112946	0.007817965	-0.099269147	-0.0151438975	-0.0970736357	-0.1082495781	0.1278123845	0.0340970218	-0.129532303	-0.0486917093	0.1565236807	0.0451558929	-0.026369629	-0.1927100793	-0.0450020168	-0.0101506463	0.0601113997	0.1040844075	0.0881011108	0.0322072318	0.0996358144	-0.0770321478	0.0472937346	-0.0293234733	0.1136977249	-0.178829391	0.0219781526	-0.0414419348	-0.0656375314	-0.014166165	-0.0450279954	0.0156152937	-0.0360906437	0.0023980076	0.0267860438	-0.0760442117	-0.0123951152	-0.0576108418	0.2808502325	0.0165776178	0.051776523	-0.1925771267	-0.0645055045	-0.0722430362	-0.0465265553	-0.0280823074	-0.0650345525	0.1176455661	0.1458038945	0.0867963679	0.0199410694	-0.0503938789	0.0198006575	0.1349675625	0.1186658922	0.1075033419	0.085984996	-0.0886204461	0.067245684	0.1244363492	-0.037365248	0.0756458611	-0.0824298469	-0.0258903638	-0.048054313	0.0626185508	0.0321486759	-0.011162515	0.0898696647	0.0173749723	-0.0134793912	-0.141187737	-0.0914926854	0.0965011653	0.0113935954	0.0071678544	0.1477970154	0.0499939506	-0.1171991607	-0.0276318405	0.0673642304	0.0299180846	0.0155208103	-0.029532565	0.0291487355	-0.0467728698	-0.0435824885	-0.1404467687	-0.0214975971	0.0527232239	0.0279164045	-0.0350065725	-0.0883726852	-0.1414128722	-0.090684876	-0.2638487289	0.0810580311	-0.1114543835	0.2317012046	0.0599295153	0.0632457391	-0.0044315817	-0.1704448723	-0.0160976705	0.0146415848	0.0333947445	0.0923685495	0.1157850009	0.0497039361	-0.0274955004	-0.0263982695	0.0194128381	-0.0185104996	-0.1571922252	0.0564487861	-0.0476766838	0.0657902765	-0.0787007576	0.0425978374	0.118496684	0.1179527935	0.1170481578	-0.0197833	-0.0030802	9.48763204000001e-06	0.00039137895889	-0.13866	0.0321789999999999	0.0010354880409999	0.0192265956	-0.197823	0.0218929999999999	0.0004793034489999	0.039133939329	-0.00308433	-0.00022203	4.9297320900000105e-08	9.5130915489e-06	-0.0021115	0.0003043799999999	9.264718439999997e-08	4.45843225e-06	0.0	0.0	0.0	0.0	0.0
633.3565339004937	-1.2015454247598427	401140.4990344472	1.443711407761311	858.0099689416679	-5.858826390130048	34.32584666968429	736181.1068032819	601.241106037817	-0.7225358579289605	0.522058065993139	361490.8675895775	621.3255906950187	691.6707610300557	1.102723	48.730865	0.140891035	0.0744338999999999	0.0635986142	0.045905378	-0.0584818683	-0.062869512	-0.1105827429	0.0206902046	-0.0257700551	0.1012248052	-0.0400124417	0.0576210372	-0.0457556855	0.0087907586	0.1841419564	0.1078717766	0.0094008452	-0.0778787551	0.0726241816	-0.006446354	0.0924704145	-0.193996728	0.0204719932	-0.0183574145	0.0098578053	0.0795074675	0.1670178153	-0.0524989603	-0.0967689947	-0.0234616825	0.0582700676	-0.0769617112	0.0046723658	0.0599724124	0.0427086657	-0.0511482299	0.1753722347	0.0062043175	0.1456459274	-0.0420902573	-0.0520310561	-0.019068796	-0.1209607069	-0.0349780686	-0.0818736184	-0.0293963964	-0.0873976651	0.0307397887	0.1374105418	-0.0375346926	0.0476968431	-0.1101297318	0.079405064	-0.0782149223	0.1197251088	-0.0174534537	-0.0848542927	-0.0562699913	-0.1809676166	0.0199724045	0.0892208355	0.0139535238	-0.0701441161	0.1976130493	0.1124679032	-0.0426977038	-0.0854857309	0.0494356148	-5.28257e-05	-0.016329857	0.1655239174	0.0449423812	-0.0118107621	0.0077231006	0.0600533599	0.0551130137	-0.1005140727	-0.0871281597	-0.0157200976	0.1110808693	0.0010985421	0.0677401904	0.0659365049	-0.0910551828	-0.0579045194	-0.0333339771	0.1156517062	0.126300577	-0.0610859719	-0.097924788	-0.020247748	-0.0538625849	0.0588342156	-0.036048511	-0.0620428569	-0.0356841224	-0.2783968652	-0.1374273676	0.0639717653	-0.0711268986	0.0207412541	0.0721822027	-0.0219456098	0.089029578	-0.0061959932	-0.1501045345	0.2782566314	0.1082820482	-0.0172532004	-0.0120103843	-0.0544361919	-0.0700766599	-0.0285463606	-0.0697510071	-0.1169464771	0.1462892542	0.0527676447	0.0517654527	-0.0847724837	-0.0217555329	-0.0712372021	-0.0804725967	0.0189746707	0.0144768963	0.0750630314	0.0935945887	-0.1285780541	-0.0021575748	-0.177430853	0.0843641546	-0.0132103669	0.0162791808	-0.0040794503	-0.0177354211	0.0633250947	0.0889478416	-0.0856297675	-0.0124009609	-0.0709069632	0.0031615578	-0.0487166238	0.0039047581	0.0974308836	0.1052339523	0.0632508912	0.0311371253	0.2277586586	0.0328684209	0.0370191554	0.0463942175	0.1358297277	0.0112560862	0.0838450485	0.0966237677	0.0547205026	-0.0522129006	0.0709343116	-0.0325853385	0.0347267472	0.0310633657	0.0308261307	0.1701046054	0.0053052975	-0.2872730227	0.1761253807	0.0147948307	0.1411655387	-0.0517153671	0.0425097077	0.082442676	-0.0657612572	0.1419056844	0.0066267088	0.1536872869	0.0626812379	-0.0740002758	-0.0544042402	-0.1214587833	-0.0594966425	0.0096955043	-0.0570444377	0.0451548139	-0.0453879672	0.0854946504	0.144578196	0.0895197871	0.0964390346	0.1183225485	0.1172578276	0.115490384	-0.0237146	-0.0039312999999999	1.545511968999999e-05	0.00056238225316	-0.195301	-0.056641	0.003208202881	0.038142480601	-0.230576	-0.032753	0.001072759009	0.053165291776	-0.00351901	-0.0004346799999999	1.889467023999998e-07	1.23834313801e-05	-0.00165924	0.00045226	2.045391076000001e-07	2.7530773776e-06	6.43747e-05	6.43747e-05	4.14410200009e-09	4.14410200009e-09	0.0
634.8553781520541	1.4988442515603992	403041.3511685876	2.246534090435653	861.0358036190597	3.0258346773917992	9.155675494906731	741382.65511392	601.7788566342141	0.5377505963971316	0.2891757039254707	362137.792291982	622.0179184597293	693.6044758334577	1.193787	52.755116	0.387818935	0.196989	-0.04744929	-0.0929513548	-0.076730801	-0.0476994459	-0.0187717679	-0.155460676	0.0710463311	0.1771946882	0.0164270028	0.0293183612	0.1085599725	0.0458533372	0.0260715807	0.061115528	0.1181555929	0.0601621493	-0.138155773	0.0404817264	0.11404818	-0.1123396903	-0.0701048037	-0.237874432	-0.0734226439	-0.0557117159	-0.1629232961	0.0825810891	0.0473694267	-0.0354582879	0.0913352223	-0.1857919697	0.1049807965	-0.0138030401	0.0011399861	0.0661049641	-0.0825557912	-0.0240856509	-0.1221226909	-0.0449326056	-0.0592194772	0.0340953219	0.0769226058	-0.0545351131	-0.0064715701	-0.0592776984	-0.1025234923	-0.0279947902	-0.1110728391	-0.0699700115	0.1474753188	0.0627499211	-0.0293486266	-0.0607468511	0.1266670849	0.153303441	-0.1580305035	0.030593939	0.0107131935	-0.0001595211	-0.0144732312	-0.0437255374	-0.0965243177	-0.0953244912	0.0657434242	0.0517481776	0.0260213718	0.1424127121	0.0218546674	0.0908265641	0.0838794372	0.0693539613	-0.044789374	0.0698235087	-0.0657012684	0.1174740297	0.1438581786	0.0557248029	0.0907891361	-0.0152274301	0.0180716287	-0.0456664074	0.0343426445	-0.1092235224	0.0199088771	-0.0367086459	-0.0222819799	0.025077025	0.0283844732	0.0122000464	-0.0053823721	-0.0431224078	-0.0420637379	0.0657737994	-0.1428108293	0.0617127267	-0.0482318811	0.0561567858	0.1529165974	0.0955653434	-0.089641206	0.114861771	-0.0607785241	-0.0618901517	-0.0603968676	-0.1124670148	0.1129976381	-0.0886655585	-0.0261874285	-0.1191005168	0.0837337244	0.1290584363	0.0897841005	-0.1432007876	-0.050775392	0.0842833807	0.0554506187	-0.0986842009	-0.0236295223	-0.139148349	0.060844256	-0.1053461228	-0.1410581136	-0.0036419293	0.0276647958	-0.0406201998	0.0251466609	0.016177258	0.0332456916	-0.0314271385	-0.0740598455	0.0007397232	-0.0361388938	-0.1206856912	0.1527119737	-0.0237664276	0.0485754887	0.0838718908	0.1017953457	-0.0581516003	-0.0416151939	-0.1599258522	-0.0886656295	-0.1390738692	-0.1771570224	-0.05890301	0.0217728042	-0.0574490337	-0.1412736628	-0.0624045992	0.0401120938	-0.0426352494	0.0069411212	-0.033467229	0.0108707825	0.0865013474	0.0139515268	0.0312309829	-0.0724995197	-0.139618285	0.0066525636	0.0370591805	0.0236644372	-0.2324457122	-0.0999018902	0.066904862	0.0492939364	0.0061391326	-0.0992214534	0.0966994308	-0.0763188792	-0.1151316093	0.1428143419	-0.1823819622	0.1484638628	-0.1015779542	0.1625402481	0.0406622664	0.0259164062	0.0391915566	0.0172332834	-0.0707239017	-0.1109463124	0.0819476755	-0.1308184874	-0.0446966188	-0.0148910666	0.1180905004	0.1163333239	0.1134240387	-0.0650567	-0.0413420999999999	0.0017091692324099	0.00423237421489	-0.0999388	0.0953622	0.00909394918884	0.0099877637454399	-0.0785770999999999	0.1519989000000001	0.02310366560121	0.0061743606444099	-0.00388846	-0.0003694499999999	1.3649330249999996e-07	1.5120121171599998e-05	-0.00211731	-0.0004580699999999	2.098281248999999e-07	4.4830016361e-06	-0.00109042	-0.0011547947	1.33355079914809e-06	1.1890157764e-06	0.0
635.096688864004	0.24131071194995	403347.8042060216	0.0582308597017917	856.2124888511298	-4.823314767929901	23.264365350530674	733099.8260646461	602.3731979238169	0.5943412896027667	0.3532415685266797	362853.4695769658	621.9347635227057	692.4425126434543	1.239861	54.791203	0.0933775	0.0555787	0.0488148092	0.0842015217	-0.0703947613	-0.0838521532	0.0373258076	0.1144249922	0.0182647037	-0.1017773583	-0.1094352303	-0.0797256808	-0.0283684702	-0.0078889705	-0.0544363106	0.0581964687	-0.1183517011	0.0133877204	0.2269355234	0.1434689741	0.1420193878	-0.0125566883	0.0215413301	-0.0966594136	-0.063923319	-0.0033181713	0.1428376428	-0.1174111683	0.1449390816	0.0831721526	-0.0658504744	-0.029906513	0.0131439092	0.0627642863	0.0248229916	0.0239715844	-0.080124298	0.0752767358	-0.0070628861	-0.1028350523	0.2844981837	-0.0472845899	-0.1563419163	-0.017158853	-0.0832288834	0.0452728673	0.1521993707	0.0207583239	-0.0575535016	0.1136309002	0.0053936328	-0.0355451272	0.1015076875	-0.0623897988	-0.0749902477	-0.0033174172	0.0442237217	0.1319039688	0.1283858197	0.0297338755	0.020080653	-0.0039715391	-0.0958975934	0.1514573962	-0.1501176164	-0.1620717079	-0.1684882591	-0.026929676	-0.0790949009	-0.0969085859	-0.1195367758	0.0710569878	0.0853788331	-0.1570485903	0.1811723991	0.0151422797	0.0345718792	0.0570501124	0.1176976797	-0.0046690992	0.0473782576	-0.0936642529	-0.0374698786	-0.1053589614	0.0664262701	-0.0127278863	-0.0392495574	-0.2015595849	-0.0864614794	0.0413556886	-0.0770154276	0.0156144569	-0.0761233441	0.0450411665	-0.1421170157	0.0420048204	-0.1441460185	0.1190864713	-0.1438746272	-0.0351983487	0.0418235369	0.0652798056	-0.0676623897	0.0561029831	0.0612733534	0.1279501761	0.0796727136	0.0874523867	0.0344108101	0.064099802	0.0785614579	-0.1957942924	0.0503343646	-0.0321942774	0.0243574974	-0.0091636525	0.1542308207	-0.0974768545	0.053731914	0.0839171407	-0.0288354453	0.1358093754	-0.1507504149	0.0871477055	-0.01120695	-0.1401281286	-0.1230122424	-0.0800150654	0.0936104316	0.0137115407	0.1058158285	-0.108758309	-0.0009283087	0.2424608238	0.0791853015	-0.0991824305	0.0139072622	-0.1078695152	0.1054480971	-0.0012924322	-0.0777397404	-0.2034502374	0.0695158475	0.1664932134	-0.0595793607	-0.0613155975	-0.0514436355	-0.0972999204	-0.1589397132	-0.0538258879	-0.1574425385	0.1343096731	-0.1140841535	-0.0600095253	-0.0124940315	-0.0236303275	0.0421827214	0.1478261954	0.0770282982	0.0424086331	0.1177974753	0.1452039657	-0.0368263391	-0.1885509708	0.0204920682	-0.0866969658	-0.0557520461	-0.0839910098	-0.0849556144	-0.1511161164	0.0229638813	0.1622193911	0.1025452317	-0.1182939968	-0.0208273541	0.0127345144	-0.1196053986	0.1420557433	0.062418578	-0.1590445386	-0.0398378724	0.2120954482	0.0325007854	-0.1432019527	-0.1713395955	-0.0522735448	-0.2033866856	0.1178006533	0.1151810923	0.1108582214	-0.0628985	0.0021581999999999	4.657827239999996e-06	0.0039562213022499	-0.152905	-0.0529662	0.00280541834244	0.023379939025	-0.0752194999999999	0.0033576	1.1273477760000016e-05	0.0056579731802499	-0.00345423	0.0004342299999999	1.885556928999999e-07	1.19317048929e-05	-0.00230119	-0.0001838799999999	3.381185439999999e-08	5.295475416099999e-06	-0.00101062	7.979999999999988e-05	6.368039999999981e-09	1.0213527844000002e-06	0.0
