onset	duration	stim_type	response_time	accuracy
12	3	1	0.758	1
15	3	1	0.684	1
18	3	1	0.546	1
21	3	1	0.501	1
24	3	1	0.597	1
27	3	1	0.605	1
30	3	1	0.470	1
33	3	1	0.981	1
48	3	2	0.649	1
51	3	2	0.571	1
54	3	2	0.554	1
57	3	2	0.484	1
60	3	2	0.666	1
63	3	2	0.474	1
66	3	2	0.482	1
69	3	2	0.870	1
84	3	3	0.578	1
87	3	3	0.645	1
90	3	3	0.524	1
93	3	3	0.499	1
96	3	3	0.561	1
99	3	3	0.435	1
102	3	3	0.723	1
105	3	3	0.477	1
120	3	3	0.603	1
123	3	3	0.392	1
126	3	3	0.567	1
129	3	3	0.495	1
132	3	3	0.455	1
135	3	3	0.624	1
138	3	3	1.617	1
141	3	3	1.033	1
156	3	2	0.587	1
159	3	2	0.503	1
162	3	2	0.516	1
165	3	2	0.575	1
168	3	2	0.666	1
171	3	2	0.701	1
174	3	2	0.557	1
177	3	2	0.699	1
192	3	1	0.690	1
195	3	1	0.790	1
198	3	1	0.519	1
201	3	1	0.524	1
204	3	1	0.497	1
207	3	1	0.298	1
210	3	1	0.444	1
213	3	1	0.774	1
228	3	2	0.565	1
231	3	2	0.722	1
234	3	2	0.582	1
237	3	2	0.972	1
240	3	2	0.503	1
243	3	2	0.633	1
246	3	2	0.631	1
249	3	2	0.551	1
264	3	1	0.672	1
267	3	1	0.426	1
270	3	1	0.456	1
273	3	1	0.877	1
276	3	1	0.477	1
279	3	1	0.004	1
282	3	1	0.758	1
285	3	1	0.917	1
300	3	3	0.734	1
303	3	3	0.480	1
306	3	3	0.747	1
309	3	3	0.714	1
312	3	3	0.742	1
315	3	3	1.046	1
318	3	3	0.619	1
321	3	3	0.720	1
