onset	duration	stim_type	response_time	accuracy
12	3	1	0.764	1
15	3	1	0.404	1
18	3	1	0.398	1
21	3	1	0.421	1
24	3	1	0.490	1
27	3	1	0.485	1
30	3	1	0.531	1
33	3	1	0.390	1
48	3	3	0.586	1
51	3	3	0.421	1
54	3	3	0.433	1
57	3	3	0.735	1
60	3	3	0.536	1
63	3	3	0.710	1
66	3	3	0.826	1
69	3	3	0.707	1
84	3	2	0.439	1
87	3	2	0.576	1
90	3	2	0.404	1
93	3	2	0.399	1
96	3	2	0.747	1
99	3	2	0.468	1
102	3	2	0.447	1
105	3	2	0.413	1
120	3	3	0.837	1
123	3	3	0.555	1
126	3	3	0.544	1
129	3	3	0.556	1
132	3	3	0.599	1
135	3	3	0.493	1
138	3	3	1.081	1
141	3	3	1.233	0
156	3	1	0.613	1
159	3	1	0.577	1
162	3	1	0.741	1
165	3	1	0.571	1
168	3	1	0.471	1
171	3	1	0.523	1
174	3	1	0.643	1
177	3	1	0.546	1
192	3	2	0.641	1
195	3	2	0.574	1
198	3	2	0.623	1
201	3	2	0.897	1
204	3	2	0.512	1
207	3	2	0.604	1
210	3	2	0.568	1
213	3	2	0.639	1
228	3	1	1.000	1
231	3	1	0.435	1
234	3	1	0.535	1
237	3	1	0.568	1
240	3	1	0.478	1
243	3	1	0.405	1
246	3	1	0.374	1
249	3	1	0.430	1
264	3	3	0.383	1
267	3	3	0.421	1
270	3	3	0.428	1
273	3	3	0.481	1
276	3	3	0.640	1
279	3	3	0.572	1
282	3	3	1.269	1
285	3	3	0.758	1
300	3	2	0.626	1
303	3	2	0.475	1
306	3	2	0.976	1
309	3	2	0.693	1
312	3	2	0.684	1
315	3	2	0.580	1
318	3	2	0.575	1
321	3	2	0.629	1
