onset	duration	node	response_time	accuracy
12	1	6	0.386	1
16	1	3	0.301	1
20	1	12	0.395	1
24	1	4	0.321	1
28	1	1	0.318	1
36	1	5	0.335	1
40	1	2	0.475	1
44	1	9	0.355	1
56	1	8	0.366	1
60	1	10	0.493	1
64	1	11	0.379	0
68	1	7	0.624	1
80	1	5	0.412	1
84	1	3	0.357	1
88	1	6	0.382	1
96	1	10	0.290	1
100	1	8	0.398	1
104	1	12	0.368	1
108	1	1	0.413	1
116	1	9	0.288	1
120	1	7	0.504	1
132	1	2	0.345	1
136	1	4	0.416	1
144	1	11	0.353	1
148	1	7	0.286	1
152	1	9	0.368	1
156	1	12	0.476	1
160	1	2	0.418	1
164	1	3	0.562	1
168	1	11	0.402	1
172	1	5	0.382	1
176	1	1	0.355	1
180	1	10	0.297	1
188	1	4	0.390	1
192	1	6	0.402	1
200	1	8	0.456	1
204	1	9	0.410	1
208	1	7	0.404	1
212	1	8	0.478	1
216	1	1	NaN	0
220	1	3	0.444	1
224	1	11	0.357	1
228	1	6	0.357	1
232	1	10	0.366	1
236	1	12	0.333	1
240	1	2	0.317	1
244	1	5	0.315	1
248	1	4	0.285	1
