onset	duration	node	response_time	accuracy
12	1	2	0.712	1
20	1	3	0.288	1
36	1	10	0.384	1
48	1	6	0.344	1
52	1	7	0.524	1
56	1	1	0.502	1
64	1	11	0.587	1
68	1	5	0.325	1
72	1	9	0.558	1
76	1	4	0.317	1
80	1	8	0.477	1
84	1	12	0.529	1
88	1	13	0.504	1
92	1	13	0.316	1
96	1	6	0.325	1
100	1	10	0.595	1
104	1	2	0.435	1
108	1	7	0.336	1
112	1	3	0.454	1
116	1	12	0.375	1
120	1	5	0.618	1
124	1	1	0.486	1
128	1	4	0.628	1
132	1	9	0.767	1
136	1	11	0.442	1
144	1	8	0.340	1
148	1	5	0.994	1
152	1	6	0.330	1
156	1	2	0.339	1
164	1	11	0.399	1
168	1	8	0.369	1
172	1	4	0.529	1
176	1	7	0.570	1
188	1	12	0.929	1
192	1	1	0.552	1
196	1	3	0.498	1
200	1	9	0.451	0
204	1	10	0.866	1
208	1	13	0.588	1
212	1	1	0.415	1
216	1	3	0.572	1
220	1	11	0.369	1
224	1	12	0.553	1
228	1	13	NaN	0
232	1	9	0.522	1
236	1	5	0.593	1
240	1	4	0.318	1
244	1	2	0.440	1
248	1	6	0.518	1
252	1	10	0.567	1
256	1	7	0.549	1
260	1	8	0.468	1
