onset	duration	node	response_time	accuracy
12	1	6	0.714	1
16	1	4	NaN	0
20	1	3	0.739	1
24	1	9	0.996	1
28	1	10	1.014	1
32	1	8	0.519	1
36	1	11	0.625	1
40	1	7	0.611	1
44	1	13	1.392	1
48	1	2	1.050	1
60	1	12	NaN	0
64	1	1	0.558	1
68	1	5	0.488	1
72	1	11	0.636	1
76	1	4	NaN	0
80	1	5	0.591	1
84	1	2	0.383	0
92	1	12	0.799	0
100	1	10	0.887	1
104	1	3	NaN	0
108	1	13	1.556	1
112	1	9	1.079	1
116	1	8	NaN	0
120	1	7	0.609	1
124	1	6	1.271	0
132	1	1	0.490	1
136	1	2	0.761	1
140	1	12	0.782	1
144	1	9	0.413	0
148	1	11	NaN	0
152	1	1	0.854	1
156	1	3	NaN	0
164	1	4	0.552	1
172	1	8	0.396	1
176	1	7	0.564	1
180	1	10	0.455	1
184	1	5	0.595	1
192	1	6	0.521	1
200	1	13	NaN	0
204	1	3	0.695	1
216	1	13	NaN	0
220	1	1	NaN	0
224	1	12	0.512	1
228	1	9	0.463	1
232	1	2	0.420	1
236	1	10	0.376	1
244	1	11	0.596	1
248	1	7	0.347	0
252	1	5	0.580	1
256	1	6	0.714	1
260	1	4	0.475	1
264	1	8	NaN	0
