task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt
1	1	1	12	2	0.500	1	1	1	0.712
1	1	2	16	NaN	NaN	NaN	NaN	NaN	NaN
1	1	3	20	3	0.800	2	2	1	0.288
1	1	4	24	NaN	NaN	NaN	NaN	NaN	NaN
1	1	5	28	NaN	NaN	NaN	NaN	NaN	NaN
1	1	6	32	NaN	NaN	NaN	NaN	NaN	NaN
1	1	7	36	10	0.350	1	1	1	0.384
1	1	8	40	NaN	NaN	NaN	NaN	NaN	NaN
1	1	9	44	NaN	NaN	NaN	NaN	NaN	NaN
1	1	10	48	6	0.850	2	2	1	0.344
1	1	11	52	7	0.400	1	1	1	0.524
1	1	12	56	1	0.350	2	2	1	0.502
1	1	13	60	NaN	NaN	NaN	NaN	NaN	NaN
1	1	14	64	11	0.700	2	2	1	0.587
1	1	15	68	5	0.450	2	2	1	0.325
1	1	16	72	9	0.150	1	1	1	0.558
1	1	17	76	4	0.800	2	2	1	0.317
1	1	18	80	8	0.700	2	2	1	0.477
1	1	19	84	12	0.350	1	1	1	0.529
1	1	20	88	13	0.400	1	1	1	0.504
1	1	21	92	13	0.450	1	1	1	0.316
1	1	22	96	6	0.600	2	2	1	0.325
1	1	23	100	10	0.650	2	2	1	0.595
1	1	24	104	2	0.500	1	1	1	0.435
1	1	25	108	7	0.800	1	1	1	0.336
1	1	26	112	3	0.750	1	1	1	0.454
1	1	27	116	12	0.450	1	1	1	0.375
1	1	28	120	5	0.150	2	2	1	0.618
1	1	29	124	1	0.650	1	1	1	0.486
1	1	30	128	4	0.250	2	2	1	0.628
1	1	31	132	9	0.250	1	1	1	0.767
1	1	32	136	11	0.750	1	1	1	0.442
1	1	33	140	NaN	NaN	NaN	NaN	NaN	NaN
1	1	34	144	8	0.800	2	2	1	0.340
1	1	35	148	5	0.300	2	2	1	0.994
1	1	36	152	6	0.850	1	1	1	0.330
1	1	37	156	2	0.750	1	1	1	0.339
1	1	38	160	NaN	NaN	NaN	NaN	NaN	NaN
1	1	39	164	11	0.250	1	1	1	0.399
1	1	40	168	8	0.750	1	1	1	0.369
1	1	41	172	4	0.700	2	2	1	0.529
1	1	42	176	7	0.650	2	2	1	0.570
1	1	43	180	NaN	NaN	NaN	NaN	NaN	NaN
1	1	44	184	NaN	NaN	NaN	NaN	NaN	NaN
1	1	45	188	12	0.150	2	2	1	0.929
1	1	46	192	1	0.900	2	2	1	0.552
1	1	47	196	3	0.300	1	1	1	0.498
1	1	48	200	9	0.700	2	1	0	0.451
1	1	49	204	10	0.150	2	2	1	0.866
1	1	50	208	13	0.850	2	2	1	0.588
1	1	51	212	1	0.700	2	2	1	0.415
1	1	52	216	3	0.100	1	1	1	0.572
1	1	53	220	11	0.800	2	2	1	0.369
1	1	54	224	12	0.600	2	2	1	0.553
1	1	55	228	13	0.750	2	NaN	0	NaN
1	1	56	232	9	0.850	1	1	1	0.522
1	1	57	236	5	0.200	1	1	1	0.593
1	1	58	240	4	0.750	2	2	1	0.318
1	1	59	244	2	0.800	2	2	1	0.440
1	1	60	248	6	0.450	1	1	1	0.518
1	1	61	252	10	0.450	1	1	1	0.567
1	1	62	256	7	0.200	1	1	1	0.549
1	1	63	260	8	0.250	1	1	1	0.468
1	1	64	264	NaN	NaN	NaN	NaN	NaN	NaN
1	1	65	268	NaN	NaN	NaN	NaN	NaN	NaN
