global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	c_comp_cor_38	c_comp_cor_39	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
9503.160589860974	n/a	90310061.19668676	n/a	9212.725618811011	n/a	84874313.32749674	n/a	6830.774129076187	n/a	46659475.20245654	n/a	7192.567556632227	8057.703810149162	n/a	n/a	n/a	n/a	-0.14614179	-0.321941306	0.0047472846	-0.1750598157	0.2301235196	-0.1333296988	0.032393887	-0.1872207967	-0.0210094517	0.2455664041	-0.1504839835	0.423340611	-0.13802786	0.096978329	-0.1679016888	0.37874997	-0.3768467296	0.0770762136	-0.0921195196	0.0715307931	-0.0748282561	-0.0296923628	0.1270400399	-0.0136821295	0.0178647953	-0.028641333	0.1209076711	-0.2255985972	0.0215168762	-0.1392294075	0.0215973422	-0.015639517	0.0208753968	-0.0610777816	0.0601579	-0.0520877216	0.0557506932	0.0192643172	-0.085805287	0.0040468166	0.0177015029	-0.0645953522	0.067507016	0.0153485732	-0.0344173256	-0.0077792455	-0.0104619642	0.1734911037	0.0045619648	-0.0099831256	0.0496535033	-0.0318056527	0.1169469432	-0.1079104319	0.1149721764	-0.0224066945	0.0920247188	-0.2592398462	0.0215490546	-0.1021677277	0.0880541416	-0.0696411424	0.0085742648	-0.0809220432	0.1835122765	-0.0474902492	0.0434777324	-0.0819821251	-0.0052229263	-0.0046238932	0.0837962715	0.2793507633	-0.1470157391	0.0692187155	0.0013899697	-0.0960457764	0.0875020613	0.0137806219	0.0137348651	0.0424187658	0.0995960192	-0.0793529955	-0.0654952134	0.0821491949	0.0402757705	-0.0739500386	-0.0911362317	0.1368959998	0.057606653	0.0313417078	0.0705811648	-0.0765556508	-0.0071048947	-0.1134481809	0.1736390211	0.1066748881	-0.0813099666	-0.0163491962	-0.0727990881	0.009003828	0.0567346245	0.0484437498	0.0848874141	-0.0435995737	-0.030132876	-0.012676723	-0.0161645418	0.1490255287	-0.0288230436	0.0678673182	-0.2266869851	-0.2283117057	0.3016007181	-0.219951024	0.2471141158	-0.0112763103	0.3760738363	-0.2616435755	0.0001707359	-0.049371999	0.057361684	-0.0609034303	0.0012711137	-0.0426009083	0.0743950541	-0.0684902533	0.139370829	-0.0221593997	0.0893999659	-0.0861759104	0.1014560463	-0.0534528788	-0.0095611003	-0.1100279791	0.0331291427	0.0432831897	-0.1070504595	0.0187946897	0.0062176719	0.0470473463	-0.0171251661	-0.0292142183	-0.0640863043	0.0902660262	0.0016686673	0.0364288084	-0.0270751949	-0.1210167023	0.0657597212	0.0252597896	0.0001613491	0.0755168175	-0.0542928777	-0.0274613356	-0.0919919582	0.0078647274	0.0801844635	0.0205665855	-0.1215285496	-0.0163756493	-0.0073297902	0.0945969873	0.0239039789	0.0480016163	-0.1018798966	-0.0683118587	-0.1559005502	-0.1156526978	0.1681005955	-0.0425720065	0.0141563784	-0.0219006751	-0.0257320137	0.2607195503	-0.0578378362	0.0797500575	-0.0852176879	0.1712836887	-0.0848406849	0.2340695994	-0.1785594089	0.112800598	-0.1989650954	0.0232299976	-0.0068828711	-0.0257241838	0.0737967833	-0.0325292899	0.0458296889	-0.1547239719	0.1186709048	0.1186491225	0.1186128217	-0.00905231	n/a	8.194431633609999e-05	n/a	-0.0110666	n/a	0.00012246963556	n/a	0.0310985	n/a	n/a	0.00096711670225	-0.000719468	n/a	n/a	5.176342030240001e-07	-0.000500525	n/a	2.505252756250001e-07	n/a	0.0	n/a	n/a	0.0
9475.344929339126	-27.815660521848255	89782161.52995269	773.7109702667077	8963.04407803383	-249.681540777181	80336159.14477731	62340.8718048671	6826.981330501657	-3.792798574530025	46607674.08701818	14.385321026956989	7152.166032406552	7991.032544067664	1.127726	43.981007	0.0513499999999999	0.0264485	-0.1218533966	-0.3338054296	0.0905350363	-0.1626534552	0.2982910794	-0.0917399922	0.0058098954	-0.0118648454	0.1209822299	-0.0068804911	-0.0586441748	-0.0284450782	-0.1285953978	3.48013e-05	-0.0969939683	0.1123021005	-0.1288342626	0.1431152504	0.1635911965	0.0897313387	-0.10220413	0.0213130197	0.0940934219	-0.0230164808	-0.0237194798	0.1439265149	0.0294587229	0.0977197244	-0.0535734028	-0.059047586	0.0055284225	0.1699316817	-0.1679882084	0.098220811	-0.0371563606	0.109171176	-0.0465412336	-0.1046203248	0.0384254102	0.0334982431	-0.031337226	-0.0220489515	-0.0393662233	0.0412735924	0.0738962138	-0.1713270473	0.1529326252	0.227884233	0.0863409551	0.0209036326	0.0953989413	-0.0163381926	0.0860823121	-0.1195587172	0.1985941259	-0.0945133149	0.1218024422	-0.1796809954	-0.1299935575	0.0040442297	-0.0049662843	0.0599750306	0.0430966755	-0.0529818167	0.2566438868	-0.0433807571	0.0442879516	0.0878594344	0.0571847769	0.087243546	-0.0032432615	0.0065715596	-0.0752283559	0.0947092404	0.0852148087	0.060807135	0.1227214763	-0.0758613573	-0.0832472172	-0.1826686575	0.0257425797	0.2640295241	0.0842610027	-0.0472220749	0.0507761944	0.0641466923	0.0378624917	0.0242723623	-0.0274759871	-0.1866982933	-0.1085272199	0.006282488	-0.0984814951	0.101341756	0.0887960013	-0.0023375371	-0.0970579129	-0.1148490467	0.0592625016	0.0237169423	0.0543777734	-0.1322480355	0.1066218403	-0.0646681169	-0.0569653823	0.0541267917	-0.0952037624	0.0050134414	-0.069039512	0.1414334745	-0.1058208428	-0.0865799299	0.1871544771	0.1610398812	0.1200499586	-0.0145180899	0.2757135455	-0.048460068	0.123576726	0.0338470444	-0.0480359849	0.092754691	0.0705042719	-0.1481122329	-0.1497993924	0.0463712895	0.0990505098	0.0707316407	0.0664688533	-0.0236285311	-0.0529941022	0.1199952129	0.006394745	0.1106211582	-0.1559860999	0.0097552596	-0.0242591456	-0.1415173585	-0.0640975303	-0.0176114961	-0.1254901378	0.0383660079	-0.0159524491	-0.0474268247	-0.0961149048	0.0822760937	-0.05216214	0.0526363846	-0.1678500775	0.1381222328	-0.0625650143	-0.2143832439	0.0511803998	-0.0463531514	0.0302587689	0.1057019453	0.0383255172	-0.0636641784	0.0517775413	-0.1007371505	0.0375443725	-0.0923751266	-0.0201795137	-0.0480953955	0.1394390639	0.1505153106	-0.1513222389	-0.1063312505	0.129927313	-0.0495434624	0.0573115697	0.0087853038	-0.0200294945	0.2211014234	-0.0534423352	0.1319162712	-0.0517640956	0.0799238099	-0.1527967785	0.2108348146	-0.0583726263	0.1581419573	-0.086653324	0.0281432751	-0.0693302462	-0.007973694	0.0960813999	-0.0116528485	-0.0887839644	-0.0052727967	0.1186128217	0.1184168613	0.1180905004	-0.00637521	0.0026770999999999	4.06433025441e-05	7.166864409999995e-06	0.0114276	0.0224942	0.0001305900417599	0.00050598903364	0.0361108	0.0050122999999999	2.512315128999997e-05	0.00130398987664	-0.00084031	-0.000120842	1.4602788964000004e-08	7.061208961000001e-07	-0.000413249	8.727600000000006e-05	1.70774736001e-07	7.617100176000011e-09	-0.00021521	-0.00021521	4.63153441e-08	4.63153441e-08
9486.205803952527	10.860874613401393	89988100.55494261	117.95859736802686	8892.89551835394	-70.14855967989024	79083590.7003596	4920.820425163123	6829.38614169666	2.404811195003276	46640515.0723984	5.7831168836130855	7141.731925301156	8651.749880525791	1.410934	55.026009	0.0665222799999999	0.0439122	-0.1048434428	-0.1808702806	0.0327919941	-0.1432447175	0.0398942663	0.1105471595	-0.0407425782	0.0456761928	-0.0299708482	-0.1118699522	0.0463228705	0.0071365071	0.0560110054	0.1384110797	-0.1165527977	0.0495546117	-0.0837101196	-0.0582477516	0.1762763548	0.1732385553	-0.0783959974	-0.0551385546	0.0067183963	0.2039053341	0.0436756798	0.0450280008	0.0651872658	0.0028154331	-0.0600624488	0.2289065528	-0.0678193255	-0.0486205982	0.1571696068	0.0951147058	-0.0015817499	0.0102828811	-0.0527734205	0.1890161583	-0.0396789318	0.0034088747	0.0372528814	0.0211300123	-0.1150026688	0.0592782713	0.0185993791	0.1408558194	-0.0746805541	0.1759982908	0.1303872805	0.1469147665	-0.0681628517	-0.1059903943	-0.0647976732	-0.1323771486	0.1745319377	0.1899040775	0.0897769956	-0.1428713637	0.1295120773	-0.0309237475	0.0881242207	-0.0564939223	0.0488104815	0.0176879806	-0.0109381643	0.0413301185	-0.1670665598	-0.033672755	0.02751033	0.0575096558	-0.0836709865	-0.2086833803	0.0342742197	0.1191236216	0.0062274471	0.1537786418	0.0565971581	-0.1441972256	0.0562170119	0.1728244078	-0.1570065104	0.0910999341	-0.0694348679	-0.0461485555	-0.0743306935	0.041600125	0.1136860437	-0.0434604832	0.0177850334	0.2175786936	-0.1643723254	-0.0133864536	0.0776765252	-0.0414215831	-0.2242862711	-0.0663262607	-0.0102782848	0.0709527349	-0.0803775244	0.1218683204	-0.0534225357	-0.0063199741	-0.0271363742	0.0317968467	0.2431910698	0.0623071042	-0.0011102284	-0.0376715995	0.1089995393	0.1671633651	0.0236690215	-0.0697531189	0.0007353155	0.1149451563	0.0902093548	-0.0350786159	0.2170551483	0.081361944	0.1714997699	0.0709042603	-0.004677417	0.1291407411	-0.1421370544	0.0747415008	0.0434214019	0.0768074812	-0.2269633628	0.185639703	-0.1088955476	-0.0410410167	-0.0509542066	-0.0060249421	0.0063167069	-0.0007878186	-0.0194655867	-0.0183550682	0.0513066605	0.109582253	-0.1017754769	-0.1848364158	0.0390649236	0.1726766084	0.0252302002	-0.0259994704	-0.0832221987	-0.0180949816	0.2069564411	0.083742572	0.1846754231	-0.0656591328	0.0691327294	-0.0460521996	-0.1516982313	-0.0791934975	0.268421875	-0.1326244162	-0.045598119	0.1514785959	0.0589791098	0.1410953391	-0.0489721636	-0.1039308601	-0.0256945936	0.0454425378	0.0986667431	-0.1573248571	-0.1634986269	-0.0704833094	0.1249983906	-0.0223512561	0.0286969473	-0.0317019055	0.101659256	0.1245514417	-0.0707416461	0.1251961248	-0.1525507263	0.1438721902	-0.0347459999	0.1257079929	-0.1116641921	0.0574004136	-0.0727687875	0.0155031726	0.0091713415	0.016199752	-0.1040568593	-0.0032962061	0.0598162013	0.1601157098	0.118496684	0.1179527935	0.1170481578	-0.0073441899999999	-0.0009689799999998	5.3937126756098526e-05	9.389222403998056e-07	-0.0287665	-0.0401940999999999	0.00082751152225	0.0016155656748099	0.0193444	-0.0167663999999999	0.0002811121689599	0.00037420581136	-0.000745598	9.471200000000004e-05	8.97036294400001e-09	5.55916377604e-07	-0.000395243	1.800599999999999e-05	1.5621702904899998e-07	3.2421603599999964e-10	-0.000156072	5.9138e-05	3.497303044e-09	2.4358469184e-08
9527.235787374557	41.029983422029545	90768221.74823049	1683.4595396120194	8946.466274120392	53.57075576645184	80039258.79397361	2869.825873388833	6834.622204796406	5.236063099745479	46712060.68229608	27.416356784516235	7149.962839204118	9162.226527178364	1.066947	41.610626	0.05804939	0.0330533	-0.0372400383	-0.0846003785	-0.1280649179	-0.0827041848	-0.0464667999	0.0464845583	-0.1042896277	-0.1337081712	-0.0625926943	-0.0045908731	0.0886334185	0.0127608243	0.0608897544	-0.015921491	-0.0139690953	0.0718271014	-0.0129839232	-0.1581745132	0.00540467	0.136277905	-0.0130158109	0.0085538815	-0.0398279907	0.0877684938	-0.0838987198	0.1537298925	-0.0165324224	0.1627827981	-0.0412586277	0.0384758818	-0.0153068578	0.0489528975	-0.1478532614	-0.1637649608	-0.1537198581	0.0190782291	-0.0755007166	0.198844731	-0.0468056559	0.0392110573	0.0478761234	0.0948494077	-0.1241162989	0.0803025872	0.1231858542	0.1541100958	-0.079877071	0.1365069694	0.0956245612	-0.0291930353	-0.1962091008	-0.0108971205	-0.0491716234	-0.0216901867	0.0320755974	0.2090572944	0.1530435215	-0.0446172737	-0.0298983394	-0.0157295559	0.1965198351	-0.1072988049	0.1640990213	-0.0692976877	-0.138847654	-0.0057778766	0.0850135537	-0.1219662315	0.0038658247	0.1118337781	0.0215333903	0.0605667674	0.1540121958	0.0134471751	0.0643807239	-0.2219383521	-0.201310903	0.3239577407	-0.0955798024	0.0142390842	-0.1924010787	0.0681965188	0.1220559992	0.0628672579	0.0807624791	-0.066862497	0.0285304102	0.0103097679	0.0701817029	0.0248514122	0.1479138873	-0.0388058636	0.0435753239	0.0402318824	0.0299309203	0.1683165824	-0.0541003991	0.0050191702	-0.0575353156	0.0193154757	-0.041246544	-0.0735226077	-0.0660873482	-0.0836821958	-0.0875156443	0.0056210158	0.1653759679	0.1664435516	0.0993893855	0.0044340333	0.0231337094	-0.0869466834	0.0312042951	0.0491089484	0.065859787	-0.1364051048	0.0811007471	0.0454819267	0.086782587	-0.117979149	-0.0446898179	-0.012598853	-0.0577152691	0.0471699828	0.0320310924	-0.0273381889	-0.3555201589	-0.0108856312	0.0263937453	-0.1498122747	-0.0158427062	-0.1597170453	-0.0035218248	0.02495427	-0.11456541	-0.0578855379	0.1627913322	0.044822416	0.1690733805	-0.1175651377	0.0716848058	-0.0493495372	0.1230030143	-0.2016124702	0.1047590442	-0.1668100154	-0.2418500737	0.0274053725	-0.0491583329	-0.1233844001	0.1634899707	0.1393044749	0.0006075439	0.0203143545	-0.037560089	0.011881695	-0.0068211972	-0.1148837068	0.0482427589	-0.1533856781	0.1081131268	0.0802896348	0.1797519828	-0.0237807938	-0.1663677697	-0.06893075	-0.1431234963	-0.0523078965	0.0979844252	-0.0763060689	-0.0474173221	0.0589253453	0.0784080849	-0.0080846303	-0.0774096228	-0.0117999395	-0.1661921012	0.0894266785	-0.0700676745	0.0498539243	0.0250364093	0.0140575751	-0.0813822394	0.0034431081	-0.035949712	-0.0505533328	-0.2197869538	0.0678331441	-0.2370553041	0.0373369553	0.1183225485	0.1172578276	0.115490384	-0.00912903	-0.0017848400000001	8.33391887409e-05	3.185653825600357e-06	-0.0010533	0.0277132	1.1094408900000002e-06	0.00076802145424	0.0175677	-0.0017767	3.1566628900000094e-06	0.0003086240832899	-0.00110797	-0.000362372	1.31313466384e-07	1.2275975209e-06	-0.000512054	-0.0001168109999999	2.62199298916e-07	1.3644809720999996e-08	-0.000212382	-5.631000000000001e-05	3.1708161000000013e-09	4.5106113924e-08
9591.968644581422	64.73285720686545	92005862.47863317	4190.342802164432	8953.357873754314	6.891599633921942	80162617.21551837	47.49414551427304	6863.380738933351	28.758534136944945	47105995.16756131	827.0532857058278	7172.260499013589	9850.782376658355	1.083764	42.266483	0.06352519	0.0347433	0.1055901745	-0.0939873308	-0.1857759325	0.1442781401	-0.1902585007	-0.122695181	0.0725078076	-0.1069708963	0.10796318	0.0061282105	0.0458956591	-0.0119941425	0.0475821913	-0.153134889	0.0247744572	0.0125977475	0.052364401	0.0251281056	0.0005213555	0.0324748108	-0.1043578028	-0.0297436355	-0.0903497292	-0.1894199135	0.1211274515	0.0537542872	-0.1303845341	0.0513089048	-0.0442492448	-0.0855422996	-0.0992220185	0.108085917	-0.0543651266	-0.1331198194	0.2382796257	-0.1280477965	0.0340015929	-0.0203018409	0.1251883289	0.2265578894	0.0419665653	0.0505936188	-0.0289774366	-0.0461531384	0.0425197374	0.0091385385	-0.0161614634	0.060610579	-0.246363252	-0.1061383066	-0.090564162	0.2320442382	-0.1308926647	0.1745064737	0.1009868483	-0.2241244412	0.1341565909	0.0687701333	-0.0198130685	-0.2581513108	-0.0895895512	-0.0797966514	-0.0055919389	0.1460991088	0.0881396496	-0.0333841542	-0.174018285	0.1207440083	0.0311505344	0.1287894173	-0.068944938	-0.029322783	0.2119597581	-0.030760491	-0.218969779	0.0563805791	-0.0291160264	0.1170734633	0.1473788936	0.0825888912	-0.0813227099	0.046033786	0.0940019824	-0.2619386263	0.0151009054	0.0567751556	0.1562670348	-0.1044326273	-0.0618028829	0.0142424392	0.0358135702	-0.0361677875	-0.0610771423	-0.0299149946	0.1027511055	0.0300905452	0.0605897486	-0.0468212319	0.0587014309	-0.138405591	-0.1157087705	-0.0361400689	-0.0069195742	0.0818536068	-0.0187265498	0.0224913354	-0.0022637683	0.1419680239	-0.1631603987	-0.0202737099	0.1205153601	-0.0611406137	0.0308304114	0.1068874072	-0.1065431424	-0.1261783654	-0.2130293413	-0.0215455181	-0.025625191	0.2578326853	-0.0061609417	0.0011286644	-0.1244807266	-0.1460735048	-0.0821994438	-0.3232420325	0.0331416954	0.0670741348	0.0838133934	0.0416113677	0.0008284979	-0.0347495093	0.186267482	-0.084213482	-0.1573236024	-0.0184676363	-0.0018541558	-0.0493183769	0.1626182655	-0.0801543667	-0.0428601295	-0.0284664701	-0.1161113104	0.0331906372	-0.069675457	0.0627572154	0.0711121297	0.3206438445	-0.0860276714	0.0305634302	0.2232578805	-0.0155607437	-0.1124488121	-0.0506972667	-0.1529024173	0.0546131532	0.0698294558	-0.0527944282	-0.0174700624	0.1476620808	-0.0796187471	-0.0362484609	-0.0498464631	0.0341666964	0.0699277306	0.0633814187	-0.1317489694	0.0378993148	0.0404307503	-0.0556429207	-0.0578653433	0.0955612785	0.0311284799	0.1251780704	-0.1199961805	-0.104680198	-0.0937913207	-0.0158501391	0.0820679157	-0.1794433811	0.2026304935	-0.0244461785	0.1117084078	0.2167307659	0.0038696152	-0.0988479415	-0.2919048609	-0.0360913124	0.1228443474	-0.2510193446	0.1180905004	0.1163333239	0.1134240387	-0.0140761	-0.00494707	0.0001981365912099	2.44735015849e-05	-0.0223053	-0.021252	0.00049752640809	0.000451647504	-0.00857692	-0.02614462	0.0006835411549444	7.35635566864e-05	-0.00118589	-7.791999999999999e-05	6.0715263999999985e-09	1.4063350921e-06	-0.000655499	-0.000143445	4.296789390010001e-07	2.057646802500002e-08	-0.000214647	-2.2649999999999927e-06	5.130224999999967e-12	4.6073334609e-08
9579.97159217815	-11.997052403272392	91775855.70694035	143.92926636686386	8858.249006628177	-95.10886712613684	78468575.4634291	9045.69660601715	6858.678065559742	-4.702673373608377	47041464.806990325	22.115136858845197	7155.079003388151	9909.171843768	1.057011	41.223145	0.05595431	0.0294675	0.1391145443	-0.0468084384	0.0016564502	0.1722911329	-0.0651719531	-0.0948610264	0.1110107719	0.0345941908	0.1705775372	-0.0489784079	0.0098962325	-0.067351136	0.0044415562	0.0382649812	0.0654350699	0.0172553133	0.0220071951	0.1025504839	0.1390629451	0.0040904299	0.0232738622	-0.1923402984	-0.0330468828	-0.062776756	-0.0809387462	0.0594610415	0.1118365234	0.1366734927	0.132752167	-0.0511588464	0.0041470877	-0.1308739865	-0.0794890326	0.1218770284	0.1053011562	-0.0186362215	0.1052490278	0.0128753595	-0.0115252989	-0.010917505	-0.0224752053	-0.0262988526	-0.04219988	-0.0867550967	-0.0631908763	0.1529606584	-0.0083054931	0.0432574474	-0.186736258	0.0965650063	0.1692534775	0.1555809806	-0.0578183173	0.1186025325	0.0125940044	-0.0377814843	-0.1108206992	0.1896015235	0.0179415168	0.0148960641	-0.1918625496	-0.0948341652	-0.0460736149	-0.0301093456	0.1313999842	-0.0596157838	-0.0269675147	-0.0927374194	0.0539225772	0.1773291191	-0.0594939351	0.1089722835	-0.2618972718	0.1684841307	0.0112948153	-0.0366278836	0.1682673301	0.0046015655	0.0706810497	0.0066177599	-0.0336171012	-0.0438825307	-0.1799513567	-0.0059653921	0.0887167181	0.0029700537	-0.1287410546	-0.0053922773	0.1160040967	0.2518854188	0.1140542225	0.0253178932	0.1048430059	0.0784449207	-0.1807393446	0.0240604792	0.0239630242	0.0878880173	-0.0008217393	-0.0301258756	0.0730355646	-0.0636724077	0.0791859088	-0.1328952246	-0.0043590257	-0.0237125872	0.0552903072	-0.0459311235	-0.1698991631	0.0653966614	0.09669251	-0.0279321135	-0.0889109842	0.1367469569	0.0184750122	-0.0703126735	-0.0776401472	-0.1109840191	0.0415612155	0.0255308206	0.0573528048	-0.1046403259	0.1427818666	-0.095528775	-0.1087591428	0.0181416977	0.1583860303	0.0790875422	-0.136575893	-0.14050901	0.2726554053	-0.0421665173	0.0511741211	-0.1642520359	0.0233197088	0.1153809599	-0.1543097088	0.1592350215	-0.1717151935	-0.1057570363	0.1217609377	-0.1651392149	-0.055895077	0.1724352593	0.0456602449	-0.1542792704	0.0188016581	-0.0243664183	-0.031297358	-0.026915114	0.0176972431	0.0756928971	-0.0161862131	0.0819443652	0.0510668421	0.0123510142	-0.2206085449	0.0634687932	0.0773567224	-0.0235644336	-0.0715248575	-0.0339217464	-0.123735289	0.0369327444	-0.0444350482	0.0323779876	-0.0857593722	0.1038151365	-0.0161168765	0.0016988978	-0.0176069451	0.0170542821	0.0171726501	0.111580038	-0.0660923243	-0.075328377	0.0459453504	-0.1009828861	0.0102610075	-0.1035761718	0.0594239019	-0.0599047704	0.069404069	0.0598326823	0.198448291	0.1589393913	0.0812234158	0.0026235878	0.1131388704	-0.3340604069	0.1178006533	0.1151810923	0.1108582214	-0.0172737	-0.0031976	0.0002983807116899	1.022464576e-05	-0.0159701	0.0063351999999999	0.00025504409401	4.013475903999999e-05	0.00468454	0.01326146	0.0001758663213315	2.19449150116e-05	-0.0016256	-0.00043971	1.9334488410000007e-07	2.6425753600000003e-06	-0.000819425	-0.000163926	6.71457330625e-07	2.6871733476e-08	-0.000274212	-5.956500000000003e-05	3.5479892250000038e-09	7.519222094400003e-08
