global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03
9474.240151295196	n/a	89761226.44441403	n/a	9200.46029517337	n/a	84648469.64306167	n/a	6780.39650276875	n/a	45973776.7347587	n/a	7148.9762740203405	8090.520101552624	n/a	n/a	n/a	n/a	-0.0399456671	0.152633163	-0.0381355289	0.1000343308	0.058432128	-0.1463657942	0.0581553098	-0.0264498109	0.2990916394	-0.1863248455	0.0284245655	-0.569283944	0.0553599776	-0.0526505397	0.4063718178	-0.097197295	0.0669903223	-0.1874998992	0.0693807215	-0.1240782918	0.0318936491	-0.039507607	0.1067229493	-0.0322463043	0.056378124	-0.1034237865	0.0761891894	-0.0333233985	0.0199482038	-0.031524026	0.0460082489	-0.0393498339	0.0392317898	-0.0382563913	0.0084028878	0.0075243615	-0.0137573416	0.0474207782	-0.0230917539	-0.0118248021	-0.0109383238	0.0299095077	-0.220544651	0.0340231089	0.0172457392	-0.0748703385	0.0361316435	-0.0167751847	0.1032322034	0.0605657927	-0.0085609534	0.015732803	-0.1175471966	0.0531021227	-0.0136948636	0.0478150428	-0.0020838902	0.0477958983	0.0376420885	-0.1268110534	0.0689958684	-0.0272475834	-0.0640034379	0.033072321	-0.023805308	0.0206116766	0.0725351141	-0.005392808	-0.1692152866	0.0751393692	0.1053015366	-0.161350814	-0.0387562509	0.0030767298	0.1107390362	-0.0235629338	-0.0737284626	0.0529710008	0.0247673689	0.0099691218	0.1306114615	-0.0492323345	-0.069702206	-0.0050504909	0.1558740891	-0.0138928179	-0.0092869502	-0.0087905501	-0.05271677	-0.0651305688	0.0098480028	0.050075873	0.1035705669	0.0373264326	-0.1410336006	-0.0637221286	-0.0396823162	-0.2338436985	0.080722345	0.0478726147	-0.0416331021	-0.0847299322	0.0341158942	-0.0261610419	0.0508375064	-0.1818134533	0.0666706864	-0.0521238245	0.0112768021	-0.0450137631	0.2415106109	-0.3528602156	0.1684094182	-0.2752710741	0.0889455855	0.0667451175	-0.1116252233	0.2604652841	-0.1565333381	0.2394023319	-0.0514315152	0.044224534	-0.0140466577	0.0008590564	0.1026387673	-0.0107268751	0.0738506707	-0.05937058	0.0303924463	0.0100419927	-0.0631055203	0.1040322811	-0.1327066552	-0.0055075575	-0.0195244782	-0.0040653376	0.0263524478	0.0679076876	-0.0439158779	-0.0754768544	0.0224272182	0.0690384446	0.0399807786	-0.1175916289	-0.115013353	0.0558682684	0.0951250344	-0.0913118593	-0.0170161643	-0.0143639107	-0.0855494693	0.0655283565	0.0725301947	0.0121933521	0.0469192819	0.004098993	-0.0041198828	-0.0400924239	-0.0073447796	-0.0209651833	-0.0606954048	-0.0083706389	-0.0381097013	0.0537868202	-0.0112273133	0.1762351575	-0.095448881	0.205097415	0.0452098525	-0.1492436085	0.0526405436	-0.026683332	0.0649734987	-0.0323733654	0.0229682914	-0.1484715008	0.1715877257	-0.0222463396	0.1189919423	-0.014011878	-0.0575253773	0.0169538899	-0.0085392583	0.0051448588	-0.0998146444	0.1186709048	0.1186491225	0.1186128217	0.0126558	n/a	0.00016016927364	n/a	0.0392429	n/a	0.0015400052004099	n/a	-0.0122096	n/a	n/a	0.00014907433216	0.000792533	n/a	n/a	6.28108556089e-07	-0.000278361	n/a	7.7484846321e-08	n/a	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0
9472.711604442924	-1.528546852272484	89732265.14094764	2.3364554795921197	8862.500654390155	-337.95964078321595	78543917.84906591	114216.71879832036	6806.783358516031	26.38685574728061	46332299.68977077	696.2661562277956	7125.987174641454	9701.308999613691	1.548672	63.8778	0.06144665	0.0385375	-0.1071665362	-0.0430688911	0.1432922443	0.1926309905	0.0364099651	0.0782683585	-0.0437425075	0.2013606043	0.0486782579	0.0458010581	0.0311465635	-0.2191741685	-0.0503965624	0.066092951	-0.0384584293	0.066730944	-0.030513301	0.1222438299	0.2093769463	-0.041584384	-0.0049411787	0.0883935718	0.0187614288	-0.1743556532	-0.0147620082	-0.0447415741	-0.1633267247	0.1371520058	0.0319404518	0.032150105	0.0323754864	0.1345471746	-0.0677378012	-0.0554432493	-0.0233408995	0.0759202268	0.1170638973	-0.0926609022	-0.0007021	-0.0669794189	-0.1055674133	0.1310369571	-0.1685841974	-0.1032866784	-0.0500549821	-0.096281754	-0.0696953865	-0.0074613694	-0.0893411142	0.0937443797	0.0885082183	0.0710533012	-0.1552012294	-0.1438696489	-0.2697001292	-0.0962122133	-0.073039081	0.1283980622	-0.0838392336	-0.0696192782	-0.0696638613	-0.0927973434	-0.0724522448	0.0238923851	-0.0114449394	-0.1202105025	0.1306479116	-0.0252869628	-0.0775244544	0.0175988896	0.0793196579	-0.000388353	-0.0144619741	0.034660749	-0.0400879172	0.1502082057	-0.0280207921	0.0460678727	0.0020471493	-0.0489543605	-0.0351980799	0.022209242	0.0430956802	-0.0422474492	-0.1520874581	0.1036841753	-0.0821144782	-0.1752712961	0.1319856031	-0.011243782	-0.0583739396	-0.0399130868	-0.0521842085	-0.0664770496	0.0583762859	-0.1261293732	-0.0196238581	-0.0640029526	0.0099131368	-0.0170957617	0.0256991526	0.0186682179	0.0952045289	0.150746104	-0.0767514143	-0.1545883405	0.1573196777	-0.0197506105	-0.0622542513	0.0076796171	-0.0208025903	0.0444541423	0.0624838445	-0.2407330106	0.0070006667	0.2098708738	-0.041048196	0.1951688005	-0.1419895546	0.0637112194	-0.0196860616	-0.0484808125	-0.0185722086	0.0301208846	-0.0474696228	0.0353808278	-0.1118117679	-0.1467606922	-0.0729281798	-0.146757766	0.1674467538	0.0094328622	-0.0315681717	0.1078112076	0.0871387799	0.0173569428	-0.0095506314	-0.1677725149	0.1619553751	-0.0195589102	-0.0375061619	0.0069018829	-0.0885026581	0.0860175634	-0.0491345073	-0.0541611118	-0.0722949904	0.0826711502	-0.0006494156	0.0451472897	0.0316010814	-0.0344792272	0.011284701	0.0280963337	-0.1329261855	-0.0755181672	-0.0658990289	0.1100878395	-0.1260313584	-0.0059148462	0.064945763	-0.0433935081	-0.0940088686	0.0516173706	0.0048763831	0.1457384625	0.1162016767	0.0172914717	0.1344777908	-0.2328781686	0.0481045686	-0.0409013887	0.0164257242	0.0863251359	-0.0299077234	0.0503346845	-0.0042574309	-0.0958287814	0.0882409539	0.0604306914	-0.1065626145	-0.1080132644	0.126267658	-0.0778703043	-0.136058492	0.1186128217	0.1184168613	0.1180905004	0.0192396	0.0065837999999999	0.00037016220816	4.334642243999999e-05	0.0428992	0.0036563	0.00184034136064	1.3368529690000008e-05	-0.0498991	-0.0376895	0.00142049841025	0.00248992018081	0.000580445	-0.000212088	4.4981319744000015e-08	3.36916398025e-07	-0.000336614	-5.8253000000000027e-05	1.13308984996e-07	3.393412009000003e-09	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
9418.216337791171	-54.4952666517529	88702798.98543654	2969.734087445652	8888.604570151952	26.103915761797907	79007291.20452617	681.4144180990412	6787.568564469766	-19.21479404626461	46071087.01737816	369.2083102403661	7111.79926183106	9241.908439893175	1.020221	42.080845	0.0436916999999999	0.0269561	-0.0631424437	-0.0456760648	0.0821036633	0.0982425812	-0.0821139775	0.0283460625	0.0893336826	0.0605275184	0.0681968926	0.065229219	0.0910379237	-0.0692027876	-0.042610016	-0.205601949	-0.0368626242	-0.1069611911	0.0990152676	0.1877193224	-0.2146407539	0.0414139374	-0.0036103038	0.1128521766	0.1428513726	-0.0103756128	0.0351200123	0.0916763327	-0.0236509488	-0.0116764364	0.0207640454	-0.0900504708	0.1323827485	0.0612796363	-0.2049537441	0.0045470295	0.185974807	-0.0722568088	0.054016307	-0.0412359103	-0.0989576392	-0.0361556863	-0.0430283961	0.0978356602	-0.0309496646	-0.11975336	0.0193149091	-0.0326162166	0.0552255004	0.1312675981	0.0499358327	0.0380682486	0.1403350573	0.1322796697	0.0314477212	0.0325620321	-0.1592724451	-0.0365272845	-0.0660675762	0.0574540681	0.240275484	0.0263319918	-0.0778192636	0.0499097198	0.0776824341	0.0198212603	-0.0293644635	0.0641486116	-0.0958121233	-0.0509169945	0.0264763424	0.1005849913	0.0681978988	0.2138530458	0.1046874925	0.1050992187	-0.0931112603	-0.122805234	-0.1840844816	0.0086340939	0.1119554359	-0.0014808638	0.0596018495	-0.1454653168	-0.0414816297	0.0845795847	0.0076840764	-0.0494274107	0.1212259555	0.1219625663	0.0450389066	0.0915063637	-0.1014306536	-0.0371711536	-0.0375177373	-0.0339222113	0.2385932511	0.0104026726	-0.0891166621	0.1504028049	-0.1103381285	0.0222565911	0.0509133599	0.1485204829	-0.0031749582	0.1452454604	0.0403947686	-0.1419672753	-0.0431264336	-0.016421778	-0.0423386158	0.0660724382	-0.0686659885	0.0422283918	0.06196488	-0.0642737201	-0.1209526984	-0.0592064395	0.3548736707	-0.0981533637	-0.0415739199	0.0718766551	0.0040980414	0.070489363	0.0852254832	-0.0286333444	-0.119868603	-0.184813722	0.064318217	-0.0236325815	0.0008688775	-0.0122465998	-0.0733758941	0.0438458896	-0.0563672178	-0.1283142065	0.03071592	0.1647198771	0.1621875836	-0.0579552633	0.0792001896	0.0887094172	-0.0271740038	-0.0534379488	0.0892468421	-0.0525431106	0.0859021282	0.0108756514	-0.2436017134	-0.0031914714	-0.0309940996	0.1816309046	0.0539201027	0.0710923861	-0.010013685	-0.066583388	-0.097177506	0.0677064623	-0.1040146293	-0.0487069842	-0.0058581154	0.1152097152	0.0485633747	-0.0266174341	-0.0727348334	0.0508701172	0.0186584482	0.1412745648	-0.1117258721	-0.0871099833	0.0357491603	-0.2143648659	-0.006791683	0.024935936	0.0501262912	0.0452618769	-0.0171538381	-0.0187462877	0.1056709531	-0.0779954895	0.0390988067	-0.0916517844	-0.0699088225	-0.066473314	-0.0789549355	-0.0723232144	-0.0611928258	0.118496684	0.1179527935	0.1170481578	0.0186692	-0.0005703999999999	0.00034853902864	3.253561599999985e-07	0.0429769	7.769999999999999e-05	0.0018470139336099	6.037289999999999e-09	-0.0270214	0.0228777	0.00052338915729	0.00073015605796	0.000499913	-8.053199999999991e-05	6.485403023999986e-09	2.4991300756900004e-07	-0.000430763	-9.414900000000002e-05	1.8555676216900002e-07	8.864034201000004e-09	-0.000228637	-0.000228637	5.2274877769e-08	5.2274877769e-08	0.0	0.0	0.0	0.0
9406.977786188245	-11.238551602926236	88491231.06983909	126.30504213163589	8835.679799928463	-52.92477022348976	78069237.52686387	2801.031303209188	6767.354602728289	-20.21396174147685	45797088.31906776	408.60424928588986	7082.446135089251	9359.1009834469	1.030698	42.513008	0.0291561999999999	0.0159124	-0.0464661128	-0.1068594419	0.151524842	0.0873187571	-0.0552871759	0.1682459585	-0.0941901288	-0.0266497707	0.070896086	-0.0241890138	-0.0980992296	-0.0441077284	0.0286325198	0.1793372187	0.0182853523	0.1543848124	-0.0075417086	-0.1766155214	-0.2569865692	0.2499445527	-0.1304242851	0.0687926836	-0.0760930723	-0.0503585928	-0.0657629869	-0.0069715813	-0.0297672712	-0.0391766144	0.1169697858	0.0152459618	0.0805288212	-0.0853475888	-0.0194615386	0.164507099	-0.0085123933	-0.0206267473	0.0680322391	-0.0845188234	-0.0134916294	-0.052296732	0.0495817495	0.039188959	0.0595409186	-0.1248533242	-0.0492780822	0.0114566072	0.0621560094	-0.0034921029	0.0969401783	0.0385087697	0.235041826	-0.1658198134	-0.1057052188	0.0096690645	0.0903432674	-0.1814311073	-0.0906562145	-0.0540387883	0.0535555519	0.0478516688	-0.1113135569	-0.0373466327	-0.0488836212	-0.0698417432	-0.0603677061	0.204310737	-0.0027353342	-0.0563187872	-0.0921414382	-0.0558627127	0.0570840878	-0.0250910487	-0.0661618108	-0.1027077637	-0.1116694741	0.1486864878	0.0252196711	0.0667881674	0.0063292413	0.0976740195	-0.0280619271	-0.0172656275	-0.0714332023	0.0127835227	0.0767402851	-0.0105621359	0.132975689	0.0054944907	-0.0818282309	0.136304167	-0.0085135346	0.0792382531	-0.087710269	-0.0572466922	-3.44228e-05	0.1041530193	0.1830771094	-0.0752492203	0.1209912817	0.0393478877	-0.1156824872	-0.0385094249	-0.0453802405	0.1135981774	-0.0363833614	0.1049348934	0.0487925924	-0.0147911704	0.0848676153	0.107303627	-0.0629454526	0.0825985494	-0.0405183441	-0.2859139975	0.1399627776	-0.1643672807	-0.1121355522	-0.1419991188	0.0239854831	-0.0106055521	-0.0500577936	0.1369801523	-0.1519340374	0.0035271389	-0.0618738788	-0.0045449205	-0.002093488	0.0033079564	-0.0888696006	0.0538973845	-0.2296177133	-0.1009715957	0.0418429341	0.0524000628	-0.0138284951	-0.0423355015	0.0826699665	-0.0449109399	0.0054101311	0.0019726876	-0.0255836283	0.0024664622	0.1479529372	-0.0328157238	0.0910201449	-0.0083812617	0.1422400201	0.1052603556	-0.0356954107	0.0618695955	-0.1330400768	0.1550832016	0.0911484282	-0.0019484643	-0.1494718518	0.0054417001	0.1274457734	0.0112948787	-0.0038951531	0.0482410548	0.0342744659	-0.0220711892	-0.0478241411	0.0144656914	0.004209385	0.1333026206	0.1232238688	-0.0044060133	-0.0308963233	-0.1622070704	0.1845192904	-0.0074426749	-0.0706901368	-0.000883798	-0.089858975	0.0881000221	0.0403624084	0.0118202365	0.1292060324	-0.017085262	-0.0977099566	-0.0568417672	-0.1108605757	0.0865682158	-0.0464835988	0.1183225485	0.1172578276	0.115490384	0.0195675	0.0008983	0.00038288705625	8.069428900000021e-07	0.0450774	0.0021004999999999	0.0020319719907599	4.412100249999993e-06	-0.0396728	-0.0126514	0.00016005792196	0.00157393105984	0.000608009	0.0001080959999999	1.168474521599998e-08	3.6967494408100006e-07	-0.000337996	9.2767e-05	1.1424129601600001e-07	8.605716289e-09	-0.00015938	6.9257e-05	4.796532049e-09	2.5401984400000003e-08	0.0	0.0	0.0	0.0
9402.245009755565	-4.732776432680112	88402211.22347341	22.399172761732284	8926.37775474397	90.69795481550682	79680219.82038799	8226.119007715717	6735.231956157542	-32.12264657074684	45363349.50324576	1031.8644227091136	7065.430710729995	8423.656493623865	1.221632	50.388435	0.044417	0.0241243	-0.0049625121	0.0299022639	-0.0326302536	0.0595213976	0.0354030551	-0.0644049808	0.0954372067	-0.1829813276	-0.0890024715	-0.1309028703	-0.0077308783	-0.0696528352	0.1126406318	0.0192669253	-0.0927557363	0.0983661318	-0.1149212374	0.2209026845	0.0708384773	-0.0101540527	-0.0851293696	-0.0476125085	-0.1456863083	-0.0709649528	0.1064694072	0.0521716578	-0.0841149375	0.0984928535	0.1345712101	0.0256497304	-0.1138054384	-0.0732197557	0.016532884	0.0016378262	0.2103667951	0.0280647874	-0.0166438132	0.0598006457	0.0196453184	0.0283648855	-0.0871179124	-0.0327053873	0.090151237	0.0890641949	-0.1481782872	0.0245545513	0.1341189022	-0.0274906414	0.0472695321	-0.1357363103	-0.0095878117	-0.1539979688	0.0898902074	-0.0061607565	-0.0728577678	0.0778113638	-0.0369901915	-0.081061031	0.0259341122	0.0213029428	-0.0633675472	-0.0394315287	0.0286827132	-0.1200675088	-0.0213896712	-0.1175542081	0.0282387823	-0.0474298944	0.0344084626	0.0310729263	-0.1663174233	0.0600465683	-0.1628681896	-0.0883198713	0.0268417894	-0.0239237629	0.0131435298	0.0264335326	-0.0774185979	-0.1505423462	-0.2327564743	0.0080768072	-0.0408703943	-0.1746284742	0.0506075643	0.0952231303	-0.0172738971	0.096618656	0.1456803544	0.0641145769	0.0258140996	0.052507129	-0.0902972953	-0.0909318316	0.0682215173	-0.1810441012	0.0024324072	-0.0430503332	0.0832372565	-0.1927519373	-0.1766608664	-0.0188543252	0.0169515566	-0.132033744	0.0521653515	0.0779694205	-0.0956967425	0.167734009	0.023009944	0.0753440399	-0.0912554208	-0.0904054358	0.025588907	-0.0891913282	0.0755979492	-0.105733277	-0.0483286502	0.0586748516	0.0547561962	-0.1398948531	0.1255923389	0.0226577315	0.0130985611	0.1372620241	-0.0516871988	-0.1120786094	-0.1122844219	0.0214532825	0.1130889997	-0.091413734	0.1503817356	0.0086842055	0.1178056295	0.0541189679	0.0677720706	0.0462055911	-0.0058145598	0.0728373114	0.0295827944	-0.0535871557	-0.0555676561	0.0338413135	0.0946998408	0.1743566571	-0.0138502601	0.1393992218	0.0395489131	0.1208985604	-0.0514453289	-0.0039869782	0.1232988587	-0.0268016755	0.07624623	0.0108382289	0.1442567627	-0.080255569	0.19890377	0.0415387524	-0.0448368985	-0.069012809	-0.0181071706	-0.0052334544	-0.0382870143	0.0301809707	0.0095018822	0.112625087	-0.1353775812	-0.0048668375	0.0830309952	-0.0405100671	0.124763516	-0.1753873689	0.0345000183	-0.0122283585	0.0202174444	-0.023245038	0.1566697309	-0.0242829347	0.0467844697	0.0283620834	-0.0150663037	-0.0758425787	-0.0538684501	0.0311545453	-0.0243316884	0.1180905004	0.1163333239	0.1134240387	0.0201974	0.0006298999999999	0.00040793496676	3.96774009999999e-07	0.0531904	0.008113	0.0028292186521599	6.582076900000003e-05	-0.0195661	0.0201067	0.00040427938489	0.00038283226921	0.000712034	0.000104025	1.0821200625e-08	5.06992417156e-07	-0.000533337	-0.000195341	2.8444835556900004e-07	3.8158106281000014e-08	-0.000147398	1.1982000000000008e-05	1.435683240000002e-10	2.1726170404e-08	0.0	0.0	0.0	0.0
9407.592175351883	5.347165596318519	88502790.53774197	28.592179914452377	8841.425457732279	-84.95229701169046	78170804.12463644	7216.892767562472	6734.045787728324	-1.1861684292180144	45347372.671221584	1.4069955424735314	7052.675628841658	7997.090431869377	1.432667	59.092945	0.0478694	0.0236143	-0.0354092901	0.1484301478	-0.0184065964	0.0475650705	-0.0298210256	-0.1133910658	-0.1815560387	0.0347824057	-0.1085759875	0.0852052026	-0.0145447549	0.1421428239	0.0184146656	0.0236231691	0.107001393	-0.0921004082	-0.0150128196	-0.0229417613	-0.1245034151	-0.0649142755	-0.1437799713	0.1104912427	0.0543982358	0.0258687256	0.0208575552	-0.0735772135	-0.0266541322	0.0841850778	-0.1535960854	-0.1327540204	0.1255199856	-0.1442165292	0.0750411819	-0.0360410186	0.076567694	-0.0147648736	0.0313800407	-0.0207694985	-0.0336799358	0.1098415184	0.0810483099	-0.0293879529	0.0666224419	0.1785143966	-0.1713629547	-0.0498222252	0.0102000269	-0.0546292265	-0.0121874734	0.0538922327	0.0525074572	-0.0316279803	-0.063814228	0.1900658708	-0.1088034213	0.0875952001	-0.0993144579	-0.1020530206	0.0058888347	0.0674520492	0.0636109067	-0.0047641909	-0.0440627968	0.0360058686	0.0313916988	0.0029293667	0.0974868046	-0.0501975535	-0.0292699517	0.0964619626	-0.0064329509	0.0629620097	0.0300013269	0.0051936758	0.0872320807	-0.1359704497	-0.2093720104	-0.106792377	0.0320781666	0.0597547433	-0.1175645008	-0.0427165048	0.0810206922	-0.1111092412	0.102233275	-0.1475167302	0.157349336	-0.0714398338	-0.0234641188	0.02849051	0.1496327441	-0.0545641359	-0.0259588922	-0.0590857174	-0.0669847417	0.0570703343	-0.060454683	0.0408503081	0.0791046786	0.000447409	0.0305114441	0.0669090691	0.061324827	-0.154336497	0.0864696202	0.1010407866	0.1209579038	-0.0702453836	-0.0482977841	0.0286656815	-0.0527004097	0.0544771354	-0.0937217737	0.0045386853	-0.0576731786	-0.0354552307	0.0529595495	-0.1112519548	-0.2276219899	0.1120952971	0.041119985	-0.1025172291	-0.0148284744	0.074854662	-0.0633958915	-0.084605153	0.0702195541	-0.0378781213	0.0630715867	-0.0832609243	-0.1309236538	0.1219027287	0.0537437524	-0.0897479218	0.0321542269	0.156918998	0.0792662985	0.2219007868	-0.1345854751	-0.1016856948	-0.0979437034	0.0479118273	0.0818308134	-0.053468993	0.0337719647	0.0084778076	0.0681352457	0.0778446167	0.1606859196	-0.0019785054	0.1338438508	-0.0005517335	-0.1811210838	0.0705459656	-0.0663543319	-0.0643025208	-0.0075088412	-0.0926273701	0.0308444778	-0.0023824605	-0.1632205328	-0.0110227184	-0.0481717382	0.0647426176	-0.0295612142	0.1214035094	0.1088610131	0.175063301	0.0026068305	-0.1192900849	0.0105067345	0.0026825011	0.0626531823	0.0235549482	-0.0214621261	-0.141498009	0.2153260358	-0.0043440549	0.0868723456	0.0030649112	0.0575463561	0.0473498073	-0.0111289511	0.0085040162	-0.0179380132	0.1178006533	0.1151810923	0.1108582214	0.0179767	-0.0022206999999999	0.00032316174289	4.931508489999996e-06	0.035905	-0.0172854	0.001289169025	0.00029878505316	-0.0153971	0.0041689999999999	1.7380560999999994e-05	0.00023707068841	0.0010245	0.000312466	9.763500115600005e-08	1.04960025e-06	-0.000381657	0.00015168	1.4566206564899997e-07	2.3006822400000015e-08	-0.000127658	1.974e-05	3.8966759999999987e-10	1.6296564964000002e-08	0.0	0.0	0.0	0.0
