global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	t_comp_cor_08	t_comp_cor_09	t_comp_cor_10	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	c_comp_cor_38	c_comp_cor_39	c_comp_cor_40	c_comp_cor_41	c_comp_cor_42	c_comp_cor_43	c_comp_cor_44	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
9008.014487261637	n/a	81144325.00271553	n/a	8921.356886951557	n/a	79590608.70435797	n/a	6623.059635329521	n/a	43864918.93313121	n/a	6987.58179113518	8059.868291313769	n/a	n/a	n/a	n/a	-0.1232457098	-0.1413769103	0.0205314871	-0.0302418169	0.0373831148	-0.080423202	0.0533713861	-0.0180636121	0.093619947	-0.0392249454	-0.137745583	-0.0002905177	-0.0304993715	0.0384082498	-0.2967183518	0.1932230916	-0.0733114069	0.0159472754	-0.0710259992	-0.3562515153	0.1551473695	-0.4654205561	0.1611188498	-0.102286735	0.0529040433	-0.2959440472	0.0716321008	-0.067592781	0.0221436306	-0.0801308392	0.1158670485	-0.1256539194	0.0432503083	-0.1963520486	0.1136861226	-0.0145109687	0.0712687893	-0.0195658294	0.1510018541	-0.0250600616	0.0069536847	-0.0679681917	0.0260103057	-0.0146911411	0.0289479192	-0.0290441403	-0.0141246139	0.0373784785	0.0268411232	-0.0300241372	0.0376057986	0.0158975687	-0.066594483	0.0585482891	0.0158436702	-0.0769198885	-0.0495830236	0.0626904806	-0.0153405592	0.0090625969	-0.0387422369	0.06870322	-0.0584684502	0.0621272928	-0.0173555322	0.0717470168	-0.0850141725	0.0285551499	-0.0331208082	0.0195740217	-0.0194299278	0.0036073366	-0.0072388692	0.0161238791	-0.0232537741	0.0042783966	-0.0350280683	0.0289105068	-0.0719761224	-0.0139116563	0.0869236394	-0.1085471289	-0.0200185629	0.0836099637	-0.0073425366	-0.015935109	0.0638196758	0.0689818796	-0.0518959242	-0.0301643537	-0.0660032232	0.0513213025	0.0372626431	-0.08868425	0.076170343	0.0153441666	0.0216207462	-0.0458103947	-0.0407035949	-0.009238493	-0.1216679152	0.1424964112	0.142249025	-0.0689159047	-0.0987000624	0.0472690114	0.0202274137	0.0636526786	0.0150081823	-0.0262978027	-0.0283309787	-0.0831854005	-0.0354848245	0.0502633499	0.0654604148	-0.0372156575	-0.0453266802	-0.0309824115	-0.0073241276	-0.0606183111	0.063317928	0.0413014756	0.0911732451	-0.1635016646	-0.0226240381	-0.0191591974	0.0649557374	0.105249221	-0.0201695529	-0.0847576321	-0.0217377321	-0.0102984191	0.0339349052	-0.0830789557	0.0388641751	-0.1658006452	0.1928283114	0.0576368689	-0.1333954826	0.0243938756	-0.1136379742	0.0112109406	-0.290137545	0.0590792667	-0.0444226696	0.0453343512	-0.0435653509	0.1479981836	-0.0752655391	0.0779315573	-0.2616322653	0.0703385952	-0.0825128045	0.2091853835	-0.016271772	0.0197574376	-0.0697810803	0.024721524	-0.1728228162	-0.10050892	0.1026318918	-0.1042049096	0.063952795	0.0280943073	0.019155177	-0.0296862883	-0.0688584783	0.0222779149	0.0981315863	-0.0827042004	-0.038987928	0.0372035073	0.0023959878	0.0553066696	-0.0260598741	-0.0657627365	-0.0512411964	0.1309820488	0.0168719912	0.1009012786	-0.0432913264	-0.1686636296	-0.1190941016	0.074728861	0.0689648858	0.0376769823	-0.0743310632	-0.0204167145	-0.0422567253	0.1036969944	0.0267021641	0.0026230475	0.026964931	-0.0573851129	-0.0228518459	-0.02399277	-0.0498819369	0.1347883738	0.0477847678	-0.0206476605	-0.1136874534	-0.0270495795	0.0550193173	0.0557465059	-0.0321392112	0.030802375	-0.0697552864	0.0972415163	-0.0532133475	0.0307105964	-0.1903973322	0.064350322	-0.033444936	0.0554714645	-0.0249847611	0.1229646313	-0.0811283354	0.1135316031	-0.0084350598	0.1008381301	-0.1766684886	0.0702674604	-0.053638779	0.0469516919	-0.047316899	0.0759874646	0.0723938749	-0.0413071059	0.1069001902	0.106887271	0.1068657401	0.1068355993	0.00654897	n/a	4.2889008060900006e-05	n/a	-0.0103413	n/a	0.0001069424856899	n/a	0.0526226	n/a	n/a	0.00276913803076	0.000338571	n/a	n/a	1.1463032204100001e-07	-6.27598e-05	n/a	3.93879249604e-09	n/a	0.0	n/a	n/a	0.0
8978.640294423925	-29.374192837711234	80615981.53665295	862.843204867046	8714.890442704136	-206.46644424742044	75949315.42833589	42628.39260017317	6621.000764015361	-2.058871314160569	43837651.11709199	4.238951088273271	6953.433092651749	7926.637629678612	0.956383	40.693409	0.0685235999999999	0.0387213	-0.1505118528	-0.0582857898	-0.0627158461	-0.0607136882	0.0271145895	0.044199367	0.0266910587	0.0416452761	0.1039242553	0.0042955643	-0.2059313374	-0.0018365536	0.0635178584	0.0116081947	-0.0578401486	-0.0034061115	0.0379416335	0.091605129	0.1095601652	-0.0876856296	0.0978693297	-0.1260884938	0.035396586	-0.0366868943	0.0206983546	-0.0346088717	-0.014602809	-0.045485462	-0.0160155483	-0.0779167569	0.0207227486	-0.0276759165	-0.0008554001	-0.0146244142	-0.12707648	0.0777453799	-0.0092976907	0.0414961411	-0.0104352579	-0.1073851609	-0.0438287636	-0.0151291073	-0.086135873	0.0358270772	0.0414149628	-0.0242621934	0.1001867699	-0.0835090574	-0.0063725885	-0.1046507918	-0.0052416529	-0.0564729935	0.1503556404	-0.0572554082	0.0532900631	-0.0717769556	-0.1185079462	0.0608382516	0.0358449828	0.0488020644	0.0288428531	-0.0167274863	-0.0170522746	0.0289938349	-0.1200806007	-0.0687839934	-0.0812947326	-0.1081520756	-0.0227777822	0.0398725983	-0.0256486977	0.0380453183	0.0169760206	-0.0443376239	-0.0614002408	0.1271826457	-0.0005738545	-0.0125174434	-0.0984996795	-0.0009737589	0.1198278977	0.108909239	0.0366934117	-0.0085571521	-0.121065421	-0.0588489807	-0.0162121773	0.0412679185	0.0073681995	0.0685726109	-0.004717562	0.0869382365	0.0694150205	-0.1045613954	-0.0365403001	0.1349316815	-0.0824185039	-0.1696744966	-0.0928625644	0.013245265	-0.1191876339	0.1701117345	-0.0013500591	-0.1162624644	0.1020198048	0.0890087877	0.1156926111	-0.0544606142	-0.1058386684	0.0925241126	-0.058584672	0.0106687435	-0.1491167259	0.0158054657	-0.051324819	-0.0013403119	0.006545257	-0.0030649527	0.0198907881	0.0568343008	0.0149082432	0.0761339919	0.1296634074	-0.0763971718	-0.0075404767	0.0353686537	0.0470314278	0.0387392805	0.0216601265	-0.0884131387	0.0258908223	0.0148366946	-0.0325079095	0.059337162	0.1093733783	-0.0520014486	0.0569185478	-0.0493361149	-0.1288168972	0.0583784906	-0.0445985007	-0.0394046679	-0.2241689618	-0.0490708416	-0.0218827198	0.0544009331	0.0325520541	-0.015190865	0.049108101	0.092622399	-0.1436461592	0.0080997938	-0.079043889	0.0916578671	0.0688702498	-0.0612757656	-0.1323714936	-0.0104944942	-0.0331015266	0.0290262914	0.0047103372	-0.0486413207	0.1169306802	-0.0357085064	-0.0456344004	0.0259483921	-0.0624092245	0.0448771064	-0.0418788744	0.075420891	0.0386888727	-0.1640648157	-0.0689425845	-0.0500386855	-0.0765399365	-0.0562214958	-0.1788035704	0.0777012056	0.0486629543	0.0924065147	0.0177611569	-0.0050476829	0.0155774198	0.1121644447	-0.0155418355	-0.0515768127	0.0160546511	0.0963054413	0.0720045075	-0.032184811	-0.0140902953	-0.0377377139	0.0532187706	0.0759677966	0.0666173156	0.0044080521	0.0346183717	-0.0537924998	-0.1617495795	0.0436277595	-0.0372378044	-0.0019836248	0.0108106426	0.0452733346	0.0653981897	-0.0233555302	-0.0228403124	0.2002538125	-0.0330514903	0.0154806872	-0.1421272416	-0.0204783659	-0.0366716422	0.0683037075	-0.0014510467	-0.0028243343	-0.2372112372	-0.0438563012	0.0987212153	0.0879574614	-0.1738969589	0.0804263711	-0.0603905136	0.1016151199	-0.047523752	0.0618043115	0.0951480978	-0.1506916361	0.1068657401	0.1067494984	0.1065558558	0.1062849527	0.00382821	-0.00272076	1.4655191804099998e-05	7.402534977600002e-06	0.0128415	0.0231828	0.00016490412225	0.00053744221584	0.0625052	0.0098825999999999	9.766578275999996e-05	0.0039069000270399	-0.000253418	-0.000591989	3.50450976121e-07	6.4220682724e-08	-0.0	6.27598e-05	0.0	3.93879249604e-09	0.0	0.0	0.0	0.0
8988.006932967364	9.366638543438969	80784268.6270694	87.73391760343645	8621.454717187735	-93.43572551640136	74329481.44051865	8730.234802776296	6620.422627894293	-0.5781361210674731	43829995.77193478	0.3342413744829439	6939.147719578264	7935.51343401509	0.969191	41.238373	0.11090012	0.0718693	-0.1366630328	0.0610899871	-0.0514762821	-4.81447e-05	-0.0357740919	-0.0097063839	0.0693214898	0.0499598654	0.0481527721	-0.0610915838	-0.1978905803	-0.0631155431	0.0414539677	0.0280877072	0.0131478309	-0.0879740995	-0.03283684	0.0165358894	-0.0349664398	0.057288429	0.1614439841	-0.0679102368	0.0076933713	-0.0134181067	-0.0982394739	0.067052989	-0.019045549	0.0659371326	-0.0051746573	0.0795490374	0.0767609467	0.0192429254	-0.0584257309	0.0635192479	0.0917199027	0.1248608984	0.1378469414	0.0542793832	-0.0322218736	0.0999795309	-0.0116361707	0.104019667	-0.0438538636	0.0009470836	-0.1408066731	-0.0700220176	-0.2002555978	-0.0390955482	0.0059411331	0.1299026378	-0.0173997953	0.0433018924	-0.0452983231	0.108695674	0.0444570702	0.0507366755	-0.1197741468	-0.0523546303	0.0961695064	-0.0243939888	0.0294845498	0.0361406015	-0.1014034678	-0.0083638256	-0.1426421795	-0.0612197853	-0.139153251	-0.0524138686	-0.0007471921	0.0188270541	0.0940185581	0.1313846924	-0.0001095393	0.0562517224	-0.0397478154	-0.0595640072	-0.0332793057	-0.034248824	-0.1980792486	0.0083020896	-0.0459757895	-0.0018616572	0.0206038868	-0.0018732064	-0.024877523	-0.0115414615	-0.07911111	-0.0733816837	-0.0104763338	0.0844916188	0.2131419901	-0.0515547208	-0.0754165815	0.0968762985	0.0108049226	-0.01957194	0.1194517491	-0.0255694808	-0.0922122843	-0.0202364785	0.0249467194	-0.0955066019	-0.0990228825	-0.0748609152	0.1353506491	-0.0309037147	-0.0418804539	-0.0242356791	-0.0302895408	0.0660208452	0.089494816	-0.03584237	-0.0640097619	0.085782493	-3.0865e-05	0.1331201789	-0.0194439831	-0.0174817647	0.0402081469	0.0975999948	-0.0156902207	-0.1009773305	-0.0157073441	0.0664544566	0.0517370676	-0.0007554754	-0.1214901806	-0.0832908499	0.0040493167	0.0357846653	0.0142536752	0.0542408648	0.0668297326	0.0769481008	0.0646258163	0.0651200175	0.0321311838	0.0370198518	0.0402012412	0.0073476904	0.0162970006	-0.1284573148	-0.1424319627	-0.0025821193	0.0126647673	-0.0574246221	0.0045664849	0.0187845938	0.1573210789	0.0615981395	0.0513887023	-0.0227141317	0.0519796608	0.0395835241	-0.0639046327	-0.0100927447	-0.0305076583	0.0170544557	0.102464027	-0.0885666386	-0.1085595862	0.1393318399	0.088822084	-0.002838834	0.1445210857	-0.0093830998	0.0838513958	0.0121882777	0.0736052826	0.240929954	0.0355271113	-0.1229529297	-0.0173531984	-0.0221274985	-0.0236985593	0.1368798743	0.0674563609	-0.0615438638	0.0778080024	0.0150884011	-0.0067345804	-0.0006951307	0.0726795589	0.0910438075	-0.0813845393	-0.1009528798	-0.0947194671	-0.0204125126	0.0303460178	-0.0918942648	0.096816527	0.1392188038	0.0878343458	0.0643000787	-0.0751743917	0.0238472288	-0.0572709722	-0.0612485751	0.0546296306	-0.0193845698	0.1253976247	-0.0004910998	0.0403249352	-0.0838006883	-0.0790227278	-0.0154515532	-0.0421068192	0.1023281462	-0.1155292943	0.0687656015	-0.0208435845	-0.0802417891	0.0737787976	0.1487719534	-0.1375930636	0.0279162751	-0.1177078091	0.0950446215	0.011229363	0.0851426191	-0.1492868961	0.0499104283	-0.0794874746	0.0452298453	-0.0100619224	-0.0956460743	0.0213587224	0.0356461872	0.1067968511	0.1064741307	0.1059369856	0.1051864975	0.00506066	0.00123245	2.56102796356e-05	1.5189330024999998e-06	-0.0562601	-0.0691016	0.00316519885201	0.00477503112256	0.0570906	-0.0054145999999999	2.9317893159999984e-05	0.00325933660836	0.000286032	0.0005394499999999	2.910063024999999e-07	8.181430502399999e-08	5.07674e-05	5.07674e-05	2.5773289027599997e-09	2.5773289027599997e-09	0.000112812	0.000112812	1.2726547344e-08	1.2726547344e-08
9005.350775224822	17.343842257458164	81096342.58484231	300.8088642515915	8642.078620252842	20.623903065106788	74685522.87863126	425.3453776389212	6632.215340276526	11.79271238223282	43986280.31979928	139.0680653300673	6949.192764432813	8028.044456342706	0.97465	41.470646	0.1106502	0.0713042	-0.0738723643	0.0669027996	0.0692944335	-0.024865509	-0.1035583487	0.0423424845	-0.0297871071	0.055173092	0.0112288708	-0.0074428013	-0.1185709459	0.0012319706	0.1004944817	0.0687283685	0.084707441	0.0545400647	-0.071478514	0.0489341918	0.064128699	0.0219625839	0.0343550314	0.0729584803	-0.0600054248	-0.0357413368	0.0831462584	0.009473455	-0.0281109408	-0.0319175204	0.0546060283	-0.0616246377	-0.059208498	0.0267664967	0.0654762862	-0.0600666854	0.0856678325	-0.0304887162	0.0517078901	0.1441143724	0.0333997215	0.1352242703	-0.0841118237	0.0502879111	0.0127226823	0.0049080935	0.0192086091	0.0361239353	-0.0107898919	0.0326705178	0.0583494804	-0.0245842879	0.0632722376	0.0436152886	-0.0194522311	-0.023461231	-0.1324460749	0.0300125596	-0.0122382941	0.0297414983	-0.1266491181	-0.0646096606	0.110193086	0.0062329928	-0.0628438091	0.0417887934	-0.0631157111	0.1369094642	0.0533935299	-0.0108975785	0.0093447605	-0.0370554029	-0.0576164857	0.0747286741	-0.0891159332	-0.0719751656	0.014470945	-0.0013736929	-0.0194474252	-0.017092781	0.0689938442	-0.0276793948	0.0856897135	-0.0982331863	-0.1122541436	0.1240913995	0.0253494533	-0.0109735569	-0.0879626875	0.0310296379	-0.1117730136	-0.1530925423	-0.060491156	-0.1041095514	0.051708809	0.0813800823	0.02176175	0.1243685998	0.0630955741	0.0329858122	0.0776599581	0.0750784465	-0.0573881594	0.0285898345	0.1470169641	0.0203157814	0.0515105057	-0.0326258746	-0.0352082391	-0.0272544467	-0.092148878	-0.0014745564	0.101027033	0.0264128207	0.124977025	0.0903421488	-0.0423950621	0.0044655339	0.1187347455	-0.1957854933	0.0764023893	-0.0151833114	-0.1148726906	-0.0132685792	0.0704614888	-0.0540246522	0.0619950588	0.0781961923	0.0123097701	-0.1309842011	-0.1070880513	0.0673785652	0.0148020606	-0.0237637949	0.0207066026	0.1020458168	-0.0912321613	0.0030208541	0.031496972	-0.060496481	-0.121447599	0.0627007686	-0.0794491639	-0.0687190892	-0.0078392555	-0.026071129	0.0348321309	-0.0201218125	-0.1514281736	0.0370451462	-0.0303806149	0.0049230422	-0.0064088949	-0.1163959122	0.019084922	0.0124012404	0.0250487883	0.1286418148	0.0209852379	-0.0811536213	0.0057093966	0.0847115559	-0.0007089054	0.1142688521	-0.04042195	-0.1095632265	-0.027708506	-0.0022403194	-0.0035714976	-0.0312218513	0.0928545812	0.0150625719	-0.1734316503	0.0451188401	-0.0198191626	-0.0091429539	-0.079621214	-0.1217951391	0.0377033016	-0.0070676764	-0.0256873654	-0.0531978188	-0.0279361323	-0.1045167411	0.0303820651	-0.110288386	0.0357597361	0.0835142189	-0.0512479488	0.1192784492	-0.0128276235	-0.0059024381	-0.0214744515	0.0207525074	0.0486246407	-0.0866142485	-0.0450403974	0.1710289655	0.0049141287	0.1044397694	0.0625686477	0.01835377	-0.0393703468	0.0659640076	-0.0281235467	0.0272539065	0.0620716439	-0.0032600581	-0.0327205933	0.0995114201	-0.0632628782	0.0044234505	0.1110253233	-0.0338803151	-0.0832281142	0.0197084388	-0.0226810719	0.092994971	-0.2132426543	-0.0442139671	-0.0594018332	0.0286317053	-0.0958561885	0.0382277501	0.0851336996	-0.0258175846	0.0058138902	-0.1120056006	0.0840527795	-0.0409242117	0.1066935452	0.1060615229	0.1050109242	0.1035458954	0.00493017	-0.0001304899999999	2.43065762289e-05	1.7027640099999896e-08	0.00994634	0.06620644	9.89296793956e-05	0.0043832926974736	0.0590004	0.0019098	3.647336040000012e-06	0.00348104720016	-0.000398458	-0.00068449	4.685265601000001e-07	1.5876877776400002e-07	-0.0	-5.07674e-05	0.0	2.5773289027599997e-09	0.0	-0.000112812	1.2726547344e-08	0.0
9020.884217329978	15.5334421051557	81376352.06247309	241.28782363422397	8578.836719847463	-63.241900405379056	73596439.46580318	3999.537966883884	6637.697086722611	5.481746446084799	44059022.61508584	30.04954409916332	6945.3448823489225	8172.393965456914	0.987413	42.013702	0.087950945	0.0605301	0.0041198728	-0.0745035724	0.0914118571	0.0394953147	-0.0660571997	-0.0759363336	-0.0505360316	0.0812340793	-0.0061821045	-0.0184052885	-0.1312580737	-0.0718181889	-0.0464040628	0.0066010429	0.0935015566	0.1262561089	0.0010331198	0.0180487963	0.0411249744	0.0938488355	0.0893499516	0.094290149	0.0869732461	0.1206928433	0.0076433739	0.0306712743	0.0666655876	-0.0571476353	0.0584083381	0.1049657458	-0.022958795	0.0408342362	-0.023690757	0.0040525334	0.0404854755	0.0653329842	-0.0934470805	-0.0401131036	-0.0228239801	0.1833302029	-0.0281939132	-0.0590093559	0.1446842313	-0.0038107003	0.1458064291	-0.038983485	0.050430159	0.0260494268	0.0522112207	-0.0760180561	0.0242962902	-0.0284787175	-0.0178062669	0.0420690565	-0.0903691394	-0.0714529756	0.0763535255	-0.0552898709	-0.098737325	-0.0285574805	-0.1078427271	0.0457111948	-0.007726642	0.0451707083	-0.1845182433	-0.0137392005	0.0566619854	-0.0164002805	-0.0011867488	-0.0396271707	0.0424086235	0.0398113752	0.1004917487	-0.0286288897	-0.1396697399	-0.0254207415	-0.0707227672	-0.0328516323	0.0336423411	0.0044330006	0.0896497257	-7.80587e-05	-0.0582640189	-0.0961153137	0.0186278796	0.0042487032	0.1067466846	0.0656986004	0.0403970748	0.0782956374	0.0175336482	-0.0190687032	0.0456337408	0.0952561594	-0.1463258819	0.0620117756	-0.0160655724	-0.0916805155	0.1179901399	-0.0139486696	0.1386921767	0.0599806655	-0.0893030391	0.0493563379	-0.0090459188	0.0170545006	0.0244600351	-0.0676336005	0.0565287298	-0.0045892714	0.0393202156	0.1847715254	-0.1019544966	0.0308527874	0.0495679923	-0.0809534747	0.1178561615	-0.1041996086	-0.1613868939	0.0871843452	-0.0478386753	0.1453261936	0.0124506379	0.0887600662	-0.0079256001	0.0684974606	0.0357581654	0.0522160972	0.041331097	-0.0565665597	0.0957708948	0.0446759147	0.0225220081	-0.0550306009	-0.1392994934	-0.0634660587	-0.0634869115	-0.0599467734	-0.0300365606	-0.0455602522	-0.0415338444	-0.0978762098	-0.0568307555	-0.0590478723	-0.0476636023	-0.0237443608	-0.0631038098	-0.1214001073	0.142556759	0.0105090772	0.0386390157	-0.0264540733	0.0571630051	-0.0853784658	0.0308189523	-0.0029868897	-0.0669504513	0.0005342316	0.1105242852	0.0301048628	-0.1119955768	-0.0855396638	0.0105272529	0.0036743016	-0.1053377886	0.0869065738	0.0537455981	-0.0125259075	-0.1181355033	-0.0581375982	-0.0540108617	0.1162241004	-0.008999131	-0.0341358461	-0.1138450022	0.080281775	0.0114657568	-0.0820082563	0.0794232437	0.0510454751	0.0718127352	0.0562988166	0.0569453513	0.0416136648	0.1102614898	-0.1423407112	0.0296786319	0.0095120561	0.1464992967	0.0410495919	-0.0335059487	-0.0584478183	-0.0693666717	0.0375865808	-0.1047888934	0.0698375882	0.0351789463	-0.0411166424	-0.0444009838	-0.1731335725	-0.0502732472	-0.0415492393	0.0369524818	0.031786204	-0.0662336801	-0.0395284948	-0.0343349586	-0.0285691006	-0.1339507632	-0.0133035863	-0.0033678522	0.1175881746	-0.0900058085	0.0049933638	-0.0714272457	-0.0615825545	-0.125396159	0.0184626873	0.0075454344	0.1047018007	-0.1065006587	0.0519184737	-0.0482254652	0.0052186782	0.0470101465	-0.0218371496	-0.0006073461	0.0389082509	0.1065558558	0.1055122068	0.103780357	0.1013716023	0.0073914999999999	0.0024613299999998	5.463427224999852e-05	6.0581453688995065e-06	-0.0485423	-0.0584886399999999	0.0023563548892899	0.0034209210090495	0.0544608	-0.0045396	2.0607968160000044e-05	0.0029659787366399	5.07695e-05	0.0004492275	2.0180534675625006e-07	2.57754213025e-09	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
