ev_001	ev_002	ev_003
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0003136336594978731	0.0	0.0
0.11959664023166974	0.0	0.0
0.6801574795468827	0.0	0.0
1.2933072384854873	0.0	0.0
1.54870509886879	0.0	0.0
1.4887749857970194	0.0	0.0
1.3145832178092156	0.0	0.0
1.1626504377295446	0.0	0.0
1.0710892066474724	0.0	0.0
1.0271270632932552	0.0	0.0
1.0092484643933384	0.0	0.0
1.0028653881233132	0.0	0.0
1.0005027728891596	0.0	0.0
0.8806746916517945	0.0	0.0
0.32001443039565	0.0	0.0
-0.2932182751689233	0.0	0.0
-0.548692805158756	0.0	0.0
-0.4888011722388702	0.0	0.0
-0.3146145395426622	0.00031265990419633094	0.0
-0.1626721592705189	0.11950960450807725	0.0
-0.07110062190823728	0.6799731551634143	0.0
-0.027132022518907475	1.293184335210653	0.0
-0.009250328110747958	1.548686658303739	0.0
-0.002866011787376013	1.4888142654597967	0.0
-0.000815947040329934	1.3146302004093853	0.0
-0.00021336128672571733	1.162683020041007	0.0
-4.904096163979158e-05	1.0711063295386198	0.0
-7.0312414332441805e-06	1.0271345021317337	0.0
0.0	1.0092512599694532	0.0
0.0	1.0028663236194078	0.0
0.0	1.0005040311372713	0.0
0.0	0.8807618072038734	0.0
0.0	0.32019877569124516	0.0
0.0	-0.293095366731948	0.0
0.0	-0.548674364593705	0.0
0.0	-0.4888404519016471	0.0
0.0	-0.314661522142832	0.0003116861488947888
0.0	-0.16270474158198087	0.11942256878448372
0.0	-0.07111774479938492	0.679788830779946
0.0	-0.027139461357386034	1.2930614319358171
0.0	-0.009253123686862708	1.5486682177386881
0.0	-0.002866947283470505	1.4888535451225726
0.0	-0.0008162315331401162	1.314677183009555
0.0	-0.0002134411152111212	1.162715602352469
0.0	-4.906187377141505e-05	1.0711234524297675
0.0	-7.0364035725952184e-06	1.0271419409702123
0.0	0.0	1.009254055545568
0.0	0.0	1.0028672591155021
0.0	0.0	1.000505289385383
0.0	0.0	0.8808489227559502
0.0	0.0	0.3203831209868496
0.0	0.0	-0.2929724582949726
0.0	0.0	-0.5486559240286545
0.0	0.0	-0.488879731564425
0.0	0.0	-0.3143977923494084
0.0	0.0	-0.04340179083255288
0.0	0.0	0.6084696387059502
0.0	0.0	1.2657916284651132
0.0	0.0	1.5393938579106596
0.0	0.0	1.4860249420057843
0.0	0.0	1.3139076495837734
0.0	0.0	1.1625346637202343
0.0	0.0	1.0710914925350121
0.0	0.0	1.027142338242979
0.0	0.0	1.0092568511216826
0.0	0.0	1.0028681946115967
0.0	0.0	1.0005065476334947
0.0	0.0	0.8809360383080292
0.0	0.0	0.3205674662824495
0.0	0.0	-0.2928495498579973
0.0	0.0	-0.5486374834636035
0.0	0.0	-0.4889190112271999
0.0	0.00030973863829170616	-0.31475548734317144
0.0	0.11924849733729638	-0.1627699062049049
0.0	0.679420182013014	-0.07115199058167976
0.0	1.2928156253861423	-0.027154339034343326
0.0	1.5486313366085862	-0.009258714839092201
0.0	1.4889321044481263	-0.002868818275659539
0.0	1.3147711482098934	-0.0008168005187604735
0.0	1.162780766975393	-0.00021360077218192874
0.0	1.0711576982120627	-4.910369803466202e-05
0.0	1.0271568186471693	-7.046727851297167e-06
0.0	1.0092596466977972	0.0
0.0	1.0028691301076913	0.0
0.0	1.0005078058816066	0.0
0.0	0.8810231538601082	0.0
0.0	0.32075181157804933	0.0
0.0	-0.29272664142102256	0.0
0.0	-0.5486190428985526	0.0
0.0	-0.4889582908899767	0.0
0.00030876488299016433	-0.31480246994334116	0.0
0.11916146161370275	-0.1628024885163669	0.0
0.6792358576295456	-0.0711691134728274	0.0
1.2926927221113065	-0.027161777872821882	0.0
1.5486128960435352	-0.00926151041520695	0.0
1.4889713841109034	-0.0028697537717540557	0.0
1.3148181308100633	-0.0008170850115706558	0.0
1.1628133492868549	-0.00021368060066733258	0.0
1.0711748211032104	-4.912461016628549e-05	0.0
1.0271642574856479	-7.051889990648207e-06	0.0
1.009262442273912	0.0	0.0
1.0028700656037857	0.0	0.0
1.0005090641297183	0.0	0.0
0.8811102694121873	0.0	0.0
0.32093615687364924	0.0	0.0
-0.29260373298404735	0.0	0.0
-0.5486006023335015	0.0	0.0
-0.4889975705527536	0.0	0.0
-0.31484945254351093	0.0003077911276886225	0.0
-0.1628350708278289	0.11907442589010914	0.0
-0.07118623636397586	0.6790515332460683	0.0
-0.027169216711300077	1.2925698188364765	0.0
-0.009264305991321713	1.5485944554784843	0.0
-0.002870689267848613	1.4890106637736817	0.0
-0.0008173695043808382	1.314865113410233	0.0
-0.00021376042915273683	1.1628459315983168	0.0
-4.914552229790785e-05	1.0711919439943571	0.0
-7.0570521299992465e-06	1.0271716963241264	0.0
0.0	1.0092652378500269	0.0
0.0	1.0028710010998803	0.0
0.0	1.00051032237783	0.0
0.0	0.88119738496427	0.0
0.0	0.32112050216924026	0.0
0.0	-0.2924808245470714	0.0
0.0	-0.5485821617684498	0.0
0.0	-0.4890368502155305	0.0
0.00030681737238707514	-0.31489643514368093	0.0
0.11898739016652016	-0.16286765313928916	0.0
0.6788672088626089	-0.07120335925512267	0.0
1.292446915561634	-0.027176655549779036	0.0
1.5485760149134342	-0.009267101567436313	0.0
1.489049943436457	-0.0028716247639430895	0.0
1.3149120960104046	-0.0008176539971910323	0.0
1.1628785139097773	-0.00021384025763813644	0.0
1.0712090668855057	-4.916643442953244e-05	0.0
1.0271791351626052	-7.0622142693505004e-06	0.0
1.0092680334261415	0.0	0.0
1.0028719365959748	0.0	0.0
1.0005115806259417	0.0	0.0
0.8812845005163453	0.0	0.0
0.3213048474648501	0.0	0.0
-0.2923579161101027	0.0	0.0
-0.5485637212033996	0.0	0.0
-0.489076129878309	0.0	0.0
-0.3149434177438482	0.0	0.00030584361708558476
-0.1629002354507529	0.0	0.1189003544429219
-0.071220482146271	0.0	0.6786828844791329
-0.0271840943882572	0.0	1.2923240122868047
-0.009269897143551212	0.0	1.5485575743483824
-0.0028725602600375563	0.0	1.4890892230992319
-0.0008179384900012027	0.0	1.3149590786105725
-0.0002139200861235446	0.0	1.162911096221241
-4.9187346561154796e-05	0.0	1.0712261897766524
-7.067376408701327e-06	0.0	1.0271865740010835
0.0	0.0	1.0092708290022563
0.0	0.0	1.0028728720920692
0.0	0.0	1.0005128388740534
0.0	0.0	0.8813716160684278
0.0	0.0	0.32148919276044025
0.0	0.0	-0.29223500767312083
0.0	0.0	-0.5485452806383496
0.0	0.0	-0.4891154095410843
0.0	0.0	-0.3149904003440205
0.0	0.0	-0.16293281776221316
0.0	0.0	-0.07123760503741795
0.0	0.0	-0.02719153322673605
0.0	0.0	-0.009272692719665814
0.0	0.0	-0.002873495756132123
