global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02
575.4433834998773	n/a	331135.08761378686	n/a	732.6050296159024	n/a	n/a	536710.1294185172	541.95734534147	n/a	n/a	293717.76416957343	570.87397439441	656.1521248304505	n/a	n/a	n/a	n/a	-0.0144321451	0.0082287589	0.1158870048	-0.0092947219	0.0520881531	-0.1842379027	0.0684987831	-0.0775504723	0.0441666838	-0.0467620515	0.1333713651	-0.0548694368	0.2309733923	0.0838126345	-0.1784897572	0.1123738451	-0.069582125	0.2063038475	-0.0325497612	0.1716412095	0.0534860619	-0.0412926025	0.19942313	-0.0645554455	0.0113490923	-0.0476507265	0.1596594297	-0.1455463294	0.0344961581	-0.005072336	0.0151446379	-0.0521585272	0.1759405526	-0.0769309996	0.0109648259	-0.0642664897	0.0499922706	0.0679267283	-0.2958559809	0.0598345733	0.0554424632	0.0287560615	-0.0333631102	0.0162349066	-0.007085626	0.038925529	-0.0100194345	0.0155020945	-0.0447950529	0.0665054047	-0.0319548222	0.0913364705	-0.0784241762	0.0417466049	-0.0107060185	0.0391333576	-0.0061792787	0.0318231912	-0.0804168833	0.0837355557	-0.2289584588	0.0390060809	-0.0974363046	-0.0702551385	0.0081621227	0.0517857877	-0.0814227401	-0.00600937	0.0600865662	0.0999067558	-0.0128920619	-0.0376861197	0.0578475646	0.0366082675	0.1335430743	-0.0331476238	-0.1490764122	0.0123260776	0.1051181343	-0.0009546009	-0.0106913053	-0.1336261646	0.0277924149	0.0160567851	0.0579262544	-0.1321072315	-0.0037693614	-0.066922092	0.1055261825	0.0272883962	0.0647665006	-0.035376574	-0.0668321244	-0.0780801343	0.1253893399	0.173725626	0.0077006191	-0.0290907403	-0.1209400276	-0.0534220774	0.0545642754	-0.0517106822	0.0319262257	-0.0211305302	0.047728324	-0.0039788828	0.0080699616	-0.0237961227	0.1443404154	-0.0576931841	-0.1973660834	0.1052648365	-0.1004384134	0.0301151698	-0.1318308619	0.0541909241	-0.0511996027	0.1628006331	-0.0131640688	0.0806353088	-0.2006147519	0.0986818834	-0.0937335925	0.1550683278	-0.0101229128	-0.0736877643	0.0177408065	0.0034147781	-0.0530324002	0.0959320797	0.0059496778	0.0094436045	0.0371555781	0.1021823999	-0.0647402154	-0.0577483067	0.0030640449	0.1857949539	-0.0686527302	-0.120297576	0.094833696	0.0140704886	0.0181474235	0.0909507614	-0.0812096164	-0.1173336217	0.1336774202	0.1171047846	0.0372276251	0.0516646725	-0.0606845495	-0.027791199	-0.0694226065	0.115378971	0.0366532879	0.0578535137	-0.0412200873	-0.1236911372	-0.0336725712	0.1792951274	-0.0207974306	0.0018611665	-0.0983995812	0.0355754523	-0.0952316348	0.071989469	-0.0057269605	0.0747332138	-0.0051752655	0.0989885307	-0.0801692818	0.0897444103	-0.0532864711	0.1059413302	-0.0617981163	0.057904434	-0.1236313699	0.0014780178	0.0967440004	-0.0050635606	0.0073249228	-0.0475182509	0.1676351515	-0.2989630131	0.1186709048	0.1186491225	0.1186128217	0.0211656	n/a	n/a	0.00044798262336	0.0105579	n/a	0.00011146925241	n/a	-0.0216001	n/a	n/a	0.00046656432001	-0.00110394	n/a	n/a	1.2186835236000002e-06	0.000341174	n/a	1.1639969827600003e-07	n/a	-0.000752754	n/a	n/a	5.66638584516e-07	0.0	0.0	0.0
574.0651507383712	-1.3782327615060694	329550.7972922689	1.899525544888646	722.7732415862534	-9.83178802964892	96.66405585994778	522401.1587531007	541.7875213888078	-0.1698239526622273	0.0288401748978224	293533.7183326279	569.4051026114948	653.1303153321421	1.160302	46.670906	0.0527263	0.0274791	-0.119075851	0.0013828204	0.0454068901	-0.0652151047	0.0976306424	-0.0042414102	-0.035925084	0.0731903902	0.0246197202	0.0440796023	0.07416695	0.086272054	0.2218843549	-0.0625495417	-0.0913531166	0.0091184775	0.1303500353	0.1006905135	-0.1384620268	-0.0003098223	0.0686050796	-0.058991693	0.0950047158	-0.1417705298	0.0901972206	0.0076216415	-0.0060486308	-0.1281081741	0.2488435466	0.0357124033	0.0294099253	0.0351180392	0.0568495697	-0.0722322644	0.118150645	-0.0499838447	0.1012569364	0.04773317	0.0496629733	-0.1354082593	-0.07611981	0.0230526251	-0.0341149005	-0.0735699498	-0.076268849	0.1354415743	-0.0290838091	0.0204038634	0.024139428	0.061300547	-0.0367266538	0.0214214455	-0.1604041768	0.0476540552	-0.0458392194	-0.1117232349	-0.1311417775	0.1399646767	0.0023745701	0.1195040986	-0.1301574407	-0.0687258911	-0.050553196	-0.0781640819	-0.0084447187	-0.0801674067	-0.0992242552	-0.0484066189	0.1066239988	0.0893182184	0.0812954343	0.0731554761	-0.0697892689	0.0895067037	0.0243512997	0.1670935927	0.1042212115	0.0449993697	-0.0050567523	-0.0970401596	-0.1329313129	0.0799123591	-0.0101614757	-0.0894775013	-0.1560530738	0.0238509337	-0.074339792	0.0404587402	0.0157220584	0.1453840711	0.0352058811	-0.033423562	-0.074896402	0.0377508525	0.1816413094	0.075174275	0.0481735202	0.1022815167	0.0527532317	-0.0533474813	0.065323995	-0.0275007439	-0.1016746187	-0.0043719935	0.0824618204	-0.0877886053	0.0183511418	0.0488549216	0.0654071573	-0.0391428129	-0.1371104577	-0.0096406144	-0.0705596548	0.0405626317	-0.1798399106	0.1523759289	-0.0071712731	0.1581853441	-0.2096356747	0.0466662756	-0.1833967476	-0.0309070887	0.0142040248	0.0917432989	0.0383825922	-0.0703141238	0.0117019584	-0.0267477235	-0.1148299326	-0.008570317	-0.0724566775	0.1331199279	0.0180734191	0.066154751	-0.095845192	-0.0833686885	-0.007630229	-0.1475365475	-0.0724950857	0.007689684	-0.0276975847	0.1352648943	-0.0869149951	-0.0873409497	-0.0477362597	0.0452799387	-0.0315480869	0.1556188991	0.1214037953	-0.0519419304	-0.0552780429	0.0161614583	-0.0759866844	0.1252882305	0.0092178964	-0.1218680525	0.0862795463	-0.0878066247	-0.125832714	0.0443836401	-0.0979488777	0.0585339268	-0.1164634379	-0.0413502042	0.058997332	-0.0052813925	-0.0690288278	0.0398953633	0.0401583364	0.0717875634	0.0362705282	0.0342824524	-0.0348885806	0.2356813601	-0.1513119418	0.0822245852	-0.1041234277	-0.0984569776	0.0294638825	-0.0565422467	0.0754097298	0.0638708623	0.2521860252	0.0066118575	0.1186128217	0.1184168613	0.1180905004	0.0301445	0.0089789	8.062064521000002e-05	0.00090869088025	-0.0126849	-0.0232428	0.00016090668801	0.00054022775184	-0.0273922	-0.0057920999999999	3.3548422409999975e-05	0.0007503326208399	-0.00105758	4.6360000000000064e-05	2.149249600000006e-09	1.1184754564e-06	0.000158857	-0.000182317	2.5235546448999995e-08	3.3239488489000016e-08	-0.000818327	-6.557299999999998e-05	4.299818328999997e-09	6.69659078929e-07	0.0	0.0	0.0
572.6735751444878	-1.3915755938834309	327955.02366876934	1.9364826334920235	716.9524452679522	-5.820796318301291	33.88166977914986	514020.8087756959	540.642037540976	-1.1454838478317697	1.3121332456434769	292293.8127564582	567.8794278297514	653.3165423181458	1.082279	43.532578	0.0655962215	0.0333459	-0.1309225494	-0.0372614874	0.0109530094	-0.0254324546	0.1211938874	-0.0285119529	-0.0774301792	0.1048670934	0.0402415553	0.099252699	-0.0027152628	-0.0829509236	0.0852226367	-0.0110047039	-0.0048391788	0.1504573751	0.1858278115	0.0923405677	0.0987744707	-0.0324614604	0.1037538908	0.0943790118	-0.1047446639	-0.0364365046	-0.0944729693	-0.038502747	-0.0158472945	0.0782852323	-0.0364618034	0.0001826312	-0.0874396217	0.1177302382	-0.0424728799	0.0542587077	0.1978900316	0.1865230225	-0.0133915547	-0.0404391009	-0.0128925556	-0.116721594	0.0755159651	0.0831479765	-0.0297928341	-0.1422789144	-0.0524803304	0.0669272426	-0.0268957149	0.0112755439	0.0526649635	0.0191245105	-0.0409966107	-0.0764447658	-0.0219934197	-0.1743829336	-0.0188593707	0.0767216484	-0.0955405125	0.0538964209	-0.0590947897	0.0693085291	0.2519608364	0.0871777979	0.046108759	-0.0092220563	-0.1024408034	-0.1180550446	0.1045219802	0.0791231546	0.0153660061	-0.0311692231	0.0955019989	-0.1321789635	0.0062353689	0.0550770046	-0.0763744764	0.0128034293	0.0788649245	-0.0089019869	0.0432692021	0.0181585918	0.0989917129	0.1369575154	-0.0356438574	0.0011387313	-0.2092816276	-0.0962891264	-0.0695371226	0.1484359682	-0.0448264774	0.0549361659	-0.0514926818	0.0650069538	0.1182464921	0.0888204024	-0.1931248244	-0.0503488857	0.0475751635	0.1911750725	-0.0646947284	-0.108686175	0.0969951077	-0.0127777978	-0.1558275958	0.0502181932	0.0485839865	-0.0737712652	-0.0003259193	0.0353754968	-0.0375734985	0.0419839352	0.0537522279	-0.1402605531	0.0194651781	0.0386090033	-0.014895207	-0.0801805318	0.0092098326	-0.0362580438	-0.1088183872	-0.2497673605	0.0218934488	-0.0911199521	0.0430250399	-0.0576453608	0.0326075766	-0.091385889	0.0126908417	0.1405805027	-0.0767519342	-0.0840058695	0.0309926533	0.1293412924	-0.0774836804	0.1277160367	-0.0077217224	0.1554955491	0.0026770958	-0.1976978251	0.0431212949	0.1814977819	-0.0084958813	0.0897149463	0.0247888026	0.0541666975	-0.140995913	0.0962244889	0.0821250313	-0.1802674508	-0.0075432214	-0.0771007161	-0.052678618	0.0974223065	0.0071969033	-0.0871687378	-0.012428212	-0.1053232033	-0.0255132325	0.0182626711	-0.1579297221	0.083441672	-0.0901446154	0.0668494505	-0.1415472854	-0.1095026034	0.1599698404	-0.0896706003	0.0139066658	0.126509658	0.0422485893	0.0230037229	-0.0252545425	0.0051341028	-0.0231118164	0.2014945221	-0.1606859614	0.0634496737	-0.0323574282	-0.247084537	-0.1141671896	-0.0263547961	0.261127177	-0.075319493	0.0529409944	0.0205728704	0.118496684	0.1179527935	0.1170481578	0.0361537	0.0060091999999999	3.611048463999995e-05	0.0013070900236899	3.66115e-05	0.0127215115	1.34040193225e-09	0.0001618368548446	-0.0276782	-0.000286	8.179600000000087e-08	0.00076608275524	-0.00157462	-0.00051704	2.673303616000001e-07	2.4794281444000003e-06	-9.73012e-05	-0.0002561582	9.46752352144e-09	6.561702342723999e-08	-0.000659935	0.000158392	2.508802566400001e-08	4.355142042249999e-07	0.0	0.0	0.0
569.7013339298558	-2.9722412146320494	324559.609881457	8.8342178379574	715.3990572186565	-1.5533880492956769	2.413014431694628	511795.81106934254	539.2814685822905	-1.360568958685576	1.851147891338753	290824.502356272	566.2664370139644	649.2502858608678	1.272379	51.178997	0.3398838785	0.166392	-0.1169699746	0.0131813285	0.08611862	-0.1712277155	0.0696960766	-0.1397357191	0.0124916411	0.0316575895	0.0653656333	0.2813344568	0.1283340651	-0.2903519272	-0.2933762864	0.1569892747	-0.0302689703	-0.0273578566	0.0382276196	0.0692183145	-0.0124667058	-0.1179965021	-0.1430844265	-0.0122376548	-0.0107387824	-0.1369197463	-0.0794977841	-0.1403114543	-0.0766011773	0.0890430179	-0.1021937892	0.089539961	-0.0211778496	0.0845841786	-0.0312820878	-0.1646755457	-0.0187034348	-0.002285738	0.0413392757	0.1014442404	0.0113782545	0.0674639837	0.0140993163	0.179402003	-0.0108603015	-0.21050804	-0.1039219579	-0.0952483084	0.0946983824	-0.1331348437	0.0513649516	0.0905845002	-0.212029534	-0.0173669326	0.2476176647	-0.0500171769	-0.0411499309	0.0039554759	-0.1738049979	-0.0482188021	0.0222537342	-0.094809962	0.1621217832	0.1066456182	0.1472024486	0.1499462709	0.0377747787	0.2094340572	-0.0643449993	0.185613388	0.0698851371	0.0219496722	-0.0703484765	0.0375131114	0.0934383108	0.0717531943	0.0759331768	-0.0031476634	0.0817534114	0.0329553053	0.0004149044	-0.143528877	-0.1281239234	0.0224935215	0.0192641758	0.0051005618	0.1303076552	-0.0939294412	0.0102920503	0.0185607749	0.0470973761	0.0011425924	0.051857827	0.035886025	-0.0629907474	0.0025155589	0.0267768268	0.0571977125	0.0619598223	-0.0064260027	-0.0196353068	0.037050392	-0.0117286808	0.0057211271	-0.2113990573	0.1626294003	0.0386081673	0.2837746908	0.1685603793	-0.2340304982	-0.0154087453	0.1908146052	0.2389589412	-0.0162191356	-0.0305180413	0.0144260236	0.2267364562	0.0801130076	0.1059296378	-0.0531076144	0.0607669598	-0.1227947514	-0.0669042834	-0.1083671237	-0.0461294136	0.0009241895	-0.0560981779	-0.0453959657	0.0390046039	0.0355727136	-0.0378406256	0.0702691892	0.022327601	-0.0457652913	-0.061158558	0.1319866734	-0.1462079526	-0.0935341452	0.0066938552	0.0722366163	-0.0171811737	0.0837405838	0.05852345	-0.0530605142	-0.1019146997	-0.1338484326	-0.1257889585	-0.033705528	0.0444521282	0.0843366182	-0.0261405788	-0.0466752898	-0.0382830988	-0.0105717289	0.0103143679	-0.0382906196	0.0386699853	0.0033201203	0.0824116359	-0.0262026334	0.0453563549	0.0441526896	-0.2538261793	-0.0063563116	0.0564866001	0.1069439219	0.249686257	0.0203619259	0.3573724575	-0.1441972051	0.0637199948	0.0566651623	-0.0599078667	-0.0289971933	0.1284102946	-0.2249498532	-0.3778917167	-0.0303435326	0.0668962162	-0.0429858691	-0.2168961027	0.0097850039	0.0061065855	-0.0054658529	-0.1834910054	-0.1851664219	0.1183225485	0.1172578276	0.115490384	0.0121319	-0.0240217999999999	0.0005770468752399	0.00014718299761	0.0169973	0.0169606885	0.00028890820729	0.000287664954394	-0.136663	-0.1089848	0.01187768663104	0.018676775569	-0.000193892	0.001380728	1.9064098099840005e-06	3.7594107664e-08	-0.00143126	-0.0013339588	2.0485051876e-06	1.7794460800974398e-06	-0.00174358	-0.001083645	1.1742864860250002e-06	3.0400712164e-06	0.0	0.0	0.0
572.0879689297396	2.3866349998838814	327284.6441941548	5.696026622670734	717.9664689695509	2.5674117508943937	6.591603098630616	515475.850564605	540.6467490913061	1.3652805090156337	1.8639908682979875	292298.9073029977	567.6408690472625	643.3907081592668	1.221162	49.118896	0.11909748	0.0632037	-0.1129638313	-0.0158512432	0.0499595984	-0.1227580656	0.02287551	-0.0020584189	0.0440909152	0.0723601145	0.0131130079	0.1135579987	0.1001013831	0.0700656731	-0.1606007514	0.1898403807	-0.1155977218	-0.3270816892	-0.0427630867	0.0645810356	-0.1146953297	-0.0531483976	-0.100137958	-0.0303381438	-0.0299419781	-0.0782328914	-0.0345497914	0.0677949621	-0.1633037621	-0.1454790586	0.1404541251	0.03537777	-0.0441666344	-0.1449831208	-0.0075405642	-0.0183620246	-0.0462005909	0.0431046373	-0.1416191059	0.0802363969	0.020254403	-0.0228120099	-0.027231928	-0.1419736362	-0.0159530734	-0.1481141592	-0.1440413761	0.0042918252	0.0347801629	-0.1496729837	0.0710046423	0.0427971564	-0.030857926	-0.1617571517	0.2688278903	0.1382975573	-0.0182921068	0.0786407982	0.0103412117	-0.1739769075	-0.0046073105	0.0972670835	-0.0095655259	-0.0067051438	0.0006882966	0.0134475228	0.0111881711	-0.0989369907	-0.0077133399	0.010498909	0.0386797623	0.0083155731	0.0064373266	0.0516457038	0.0157104464	-0.025257203	-0.0605091154	0.079684457	-0.0527226515	-0.082817405	-0.1248440558	0.022325055	0.0295117546	-0.0139711422	-0.0827950478	-0.0902774723	0.0618171835	0.1542799654	-0.0267444889	-0.0196265742	0.079477693	0.120525829	-0.0927936173	0.018267126	0.0313540252	0.0597397917	0.0637713695	-0.0460839216	0.1001543974	-0.0966915183	0.0778622248	-0.0809475866	-0.0183255095	-0.0066872033	-0.1832182044	0.0526549392	0.0460384818	0.1802998673	0.1209886584	-0.0921627364	0.0261299236	-0.1050648194	0.1685811538	0.0218500723	0.2703965149	-0.0718054512	0.1331023207	0.0676741585	-0.0888443537	0.0360921447	0.1030502927	0.0269189684	-0.1057206052	0.038525826	0.0137455496	0.1138028102	-0.0362878335	-0.0564769213	0.0227764473	0.0189170939	0.0335550899	-0.1000853235	-0.0469377435	0.0092654395	0.1205887002	-0.1900953912	0.0776795311	0.0214325721	-0.0319642291	-0.0452621203	-0.0104468126	-0.1386363946	-0.0635764024	0.1045567049	-0.0919835081	-0.0424736025	0.0795741897	-0.0851184828	-0.1035676719	-0.1387569988	0.0751404122	0.1685448078	-0.0162380594	0.0621817836	-0.0962256306	0.052301449	-0.1406455546	0.1287813803	-0.1292380836	0.0235467804	0.0306816626	0.0357649309	-0.2605913686	-0.0111145907	-0.0137325041	0.0595768687	-0.2074977921	0.1373205406	0.2517631416	-0.1255142365	0.1125012367	-0.0343219942	0.0028309272	-0.0604417371	0.1115528507	-0.1658342614	-0.1309293007	0.1561452939	0.0019791231	0.2167681868	0.2282254129	-0.0482133256	-0.1008164113	0.1341768582	0.0856488868	0.1585938589	0.1180905004	0.1163333239	0.1134240387	0.00121332	-0.0109185799999999	0.0001192153892163	1.4721454223999995e-06	0.0170164	1.910000000000106e-05	0.00028955786896	3.648100000000405e-10	-0.103438	0.033225	0.001103900625	0.010699419844	-0.00092275	-0.000728858	5.31233984164e-07	8.514675624999999e-07	-0.0008438519999999	0.0005874080000001	7.120861979038312e-07	3.450481584641175e-07	-0.00192601	-0.0001824299999999	3.328070489999997e-08	3.7095145201e-06	0.0	0.0	0.0
572.9049835835032	0.8170146537635219	328220.12021481403	0.6675129444643275	716.9818481160731	-0.984620853477736	0.9694782251032256	514062.9705279398	541.0961912568337	0.4494421655275573	0.2019982601541002	292785.0881926519	567.9393514508417	643.1067288186188	1.182189	47.551266	0.1186824999999999	0.0518213	-0.139965276	-0.050145791	0.0049409192	-0.0032808366	0.0480688914	0.0411349275	0.011741106	0.1443073852	-0.0067936633	-0.0100111702	0.0541045402	0.1701576204	-0.0146737802	0.0961658435	-0.1414863499	-0.1260606876	0.1143914252	-0.1207161198	0.0634456372	-0.1510976152	-0.1393745195	-0.0185062925	-0.0002939449	-0.0609289272	-0.1064394848	-0.0208314337	0.12209084	0.1748775921	-0.077424131	0.1865654226	0.0823920061	-0.0185457906	0.0583134225	0.0536992331	-0.1900887895	0.0290587151	0.027073638	0.0214687512	-0.0515425741	0.0309976317	-0.0389166701	0.0104854411	-0.0200499488	-0.0350657522	-0.1694613896	0.0232448566	-0.0187444783	-0.0180522052	-0.0426025045	-0.0020545221	0.0271959701	-0.104419789	0.0267669421	-0.0567219008	-0.0053284131	0.0394696798	-0.0483844298	0.0858335819	-0.0215162006	0.1453713307	0.145491592	0.0644599202	-0.0762483914	-0.0091076332	-0.0956048583	0.0618104754	-0.0948623834	-0.1094930114	-0.1037831522	-0.0419846202	-0.0091523761	-0.0759650403	0.1358412214	-0.0951132175	-0.2380344776	-0.0893596734	-0.1492538123	-0.2421282816	0.1281637057	-0.0202790208	-0.0128905343	-0.0147570286	0.1156753582	-0.0144264569	0.0343678479	-0.0019599324	0.0473862868	-0.0038951333	-0.038972133	-0.0951962623	-0.1701786592	-0.0681167355	-0.0867331065	-0.0536892233	0.2190893629	0.0556176071	-0.0537579039	0.098361247	-0.0923209603	-0.115350173	0.0378255844	-0.0055418926	-0.1512974205	-0.0790142271	0.0133440724	0.0067523183	-0.1032122697	0.0029709436	-0.0939163892	-0.0291417086	0.0096580341	-0.0259413212	0.1204284687	-0.0267136598	0.0404150441	0.11705259	-0.0559529763	0.1449754392	-0.0314999412	-0.1232759887	-0.0068346249	-0.0016160594	0.0109108335	-0.0480469008	-0.1301461993	-0.0555974709	0.0902977014	-0.011160696	-0.0003419567	-0.0093276908	0.242867172	-0.0024005015	0.1249552725	-0.1681139534	-0.1170398065	0.0919292927	0.0381648236	0.057497837	0.2044931846	0.0374373225	0.2159518622	-0.0562702531	0.1100105449	0.1124488461	-0.0589609706	0.1551718611	-0.0345871812	-0.0627278232	0.0163421926	0.1420720051	0.0673962532	-0.2039567809	0.0033444415	0.1460289935	0.0547503085	0.051505494	-0.0804951169	-0.0119755555	0.0008009365	0.0542550544	-0.2146053938	0.0098709529	-0.0429600685	-0.0153087238	0.0735751037	0.071611371	-0.0230629725	-0.1818660285	0.0300345291	-0.0905227525	-0.0047886381	-0.0637149411	0.1392140862	-0.0285639098	-0.0025830643	0.1070744949	-0.1122456286	-0.0566443351	0.0919763004	-0.1321014503	-0.0319918503	0.066467722	0.0687710458	0.0551208429	0.1178006533	0.1151810923	0.1108582214	0.00254177	0.00132845	1.7647794025000002e-06	6.4605947329e-06	-0.0118228	-0.0288392	0.0001397785998399	0.00083169945664	-0.0760191	0.0274188999999999	0.0007517960772099	0.00577890356481	-0.000540264	0.0003824859999999	1.4629554019599993e-07	2.918851896960001e-07	-0.000368589	0.0004752629999999	1.35857850921e-07	2.25874919168905e-07	-0.00156184	0.0003641699999999	1.3261978889999985e-07	2.4393441856e-06	0.0	0.0	0.0
