global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	c_comp_cor_38	c_comp_cor_39	c_comp_cor_40	c_comp_cor_41	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01
574.0601102671219	n/a	329545.01019990013	n/a	847.2285514688014	n/a	717796.2184239234	n/a	536.2953443321579	n/a	n/a	287612.69635234785	566.608744536781	660.3184436258925	n/a	n/a	n/a	n/a	-0.013081217	0.0658599437	-0.1550498456	-0.0634151217	0.0147830329	0.2064899485	-0.0919683174	0.0575829491	-0.1087145627	0.0540957262	0.1369552281	-0.0787852198	0.1863146578	-0.3988887684	0.1426185412	-0.162443209	0.0155146041	-0.0956489254	0.1957420701	-0.1067315914	0.0470650742	-0.2545060246	0.0458915854	-0.0062892521	0.0172904567	-0.0940986127	0.0354575137	-0.0157471207	0.2680260279	-0.01055835	0.0505294977	-0.0656998026	0.084548578	-0.0046885439	-0.0236455128	-0.0143470598	0.0319435427	0.0197205333	0.0935826051	-0.0055151404	-0.0844418374	0.1281379763	0.0431408612	-0.1078286144	-0.0025990526	0.0561079281	0.1402485979	0.0047893672	0.0364433962	-0.0649665451	0.078614156	-0.0388354879	0.0039547938	-0.0689574331	-0.069222462	0.0903956499	-0.0509722751	0.0580767687	-0.0436013179	0.0111005822	-0.0342288814	0.0429928929	-0.0396769162	0.063603407	-0.0408857317	0.0683025545	-0.0744879643	0.0189221295	-0.0424678366	0.0151524939	0.0046188481	0.0125934296	0.10871863	-0.0629382263	-0.0518084867	0.0012344026	0.0539843693	-0.0733980373	-0.1102489307	0.0300181762	0.0349215467	-0.0725163051	-0.0426495931	-0.0167789296	0.0124091272	0.0414103182	0.0309654893	-0.125291124	-0.038204756	-0.0117804744	0.0074108129	0.0179654566	0.0349836143	-0.0061399463	-0.0129049597	-0.0350308364	0.0050340635	0.0249787603	0.0164836019	0.0021666932	0.0572042266	-0.1228943284	-0.0266090343	0.0423352604	0.0084275065	0.0543670693	0.0381537314	-0.0585641672	-0.0195542398	-0.0176666248	-0.0752203412	0.1033447857	-0.1115249737	-0.0157955292	0.0522127092	-0.026107147	0.0403859397	-0.0377808949	0.1132700748	-0.0065030972	0.0677048027	-0.0744353618	0.107558297	-0.0221360588	0.1409846526	-0.1066958105	0.0689813677	-0.0626777905	0.0631212961	-0.0604729937	0.1243160102	-0.0383102293	-0.1355196852	0.0094710549	0.1703948498	-0.0527109525	0.0230244906	0.0579357909	0.0065311618	-0.0535469586	-0.0222999967	0.1335811301	-0.1000743494	-0.004818531	-0.1044331248	0.0058227973	0.034118374	0.0137086776	0.022776407	0.0718324282	-0.1439049944	-0.0496753541	0.0455516971	0.0349660815	0.0157458212	0.0177647156	-0.1098470405	-0.0148721023	-0.0409028292	0.1091058535	0.0197383314	0.0715923294	-0.0195161511	-0.0679285719	-0.0696596297	0.0328954922	0.0017275934	0.0006747316	0.0789762404	0.0186656268	0.0096854924	-0.1134737233	0.1453580129	-0.1264109642	0.1287667288	-0.018399817	0.1082098209	-0.0967588675	0.052901303	-0.055940344	0.0645821264	-0.0688783209	0.0411129502	-0.0168018933	0.0663855285	-0.0373419575	0.0129869579	-0.0328606141	0.0908740246	0.0424368205	-0.0753445186	0.0921544142	-0.0219353769	0.0602832834	0.1186709048	0.1186491225	0.1186128217	0.0469445	n/a	0.00220378608025	n/a	-0.0161004	n/a	0.00025922288016	n/a	-0.0591249	n/a	0.00349575380001	n/a	0.0	n/a	0.0	n/a	-0.000594577	n/a	n/a	3.53521808929e-07	0.0012552	n/a	n/a	1.5755270399999998e-06	0.0	0.0
573.2296453187041	-0.8304649484177844	328592.22627220734	0.6896720305505533	833.2950947779822	-13.933456690819185	694380.7149810463	194.1412153549339	536.2284496014106	-0.0668947307473217	0.0044749050017566	287540.95016193256	565.3352613638092	645.3694685020128	1.09185	44.812145	0.0549974267	0.0258265	-0.1077118488	0.0192962786	-0.1212268327	-0.0423007154	0.0454691525	0.0571907583	-0.1045478031	0.1075048696	0.0180848184	0.0405508489	-0.0907696743	0.0265921446	-0.0475257711	-0.0388627759	0.112626606	-0.0920931016	-0.02565711	0.0349525621	0.0916388839	-0.009996409	-0.0004164018	-0.1378362635	0.1535770577	-0.0117251857	0.0973872092	-0.0897643988	0.1488421442	0.0652588607	0.1282147526	0.0577944915	0.0103156047	-0.0938540151	0.142099142	0.0029096182	-0.0478692563	-0.0401189014	0.0531535487	-0.0142876696	0.0011946247	0.0144879893	0.1993524199	0.0386750879	0.0547770257	-0.0187526545	0.0228995189	0.0107866446	-0.168415815	0.0028410427	-0.0498561481	-0.0861108078	0.0845571988	-0.0683100837	0.0200685093	-0.1287936795	-0.0374740526	0.0771322088	-0.091841255	-0.0267755317	-0.0107375561	0.1794705529	-0.0063771617	0.0097122053	-0.0147268752	-0.0441276341	-0.0575387313	0.0128685142	-0.0704516775	-0.0967928334	0.1080448722	-0.0434374806	-0.0114110814	-0.1820918514	0.1244041649	-0.043274042	0.0139392459	0.0918215468	0.0245917509	-0.0761383287	-0.0119728666	0.0101519464	0.1143489163	0.1079146667	0.0910648046	0.0760796822	-0.0469450469	0.0113649053	0.0099962323	-0.0057626795	-0.0650204209	-0.0655444874	0.1513184154	0.0762188068	0.1028520313	0.0086767388	0.0315124452	-0.0620186733	-0.0138472386	-0.0346287919	0.0703448965	-0.0921123879	0.0851823107	-0.0574945801	-0.0311253473	0.0146538126	0.0098754464	0.0556505961	-0.0999411529	-0.0739889951	-0.0420141989	4.1419e-05	-0.00043928	0.1449602235	-0.0966654686	-0.0322352547	0.1049468946	0.016836392	0.0305102323	0.0108787781	0.0944980179	0.1106015312	0.1136509207	-0.0411851509	0.1084085222	0.0787051046	0.076361308	0.0178343918	0.0149292034	-0.0697866144	0.1456584519	-0.086462254	0.0186360937	-0.0315105726	-0.0361700915	0.150840536	-0.1057617682	0.0111940104	0.0041570854	0.0664376105	0.056173803	-0.170709749	0.0680266832	0.070648223	0.015193844	0.0338529264	-0.067959263	-0.0407571279	0.0681292342	-0.0245441346	-0.0696699683	0.1642182876	-0.0561921303	0.0866450706	0.0511385059	-0.0155085215	-0.0464873367	-0.0218361227	0.0874246983	0.0321755883	-0.0266798923	0.0916334316	0.0749274602	0.024572982	0.1223446798	-0.0893627975	-0.0241151299	-0.0694838101	-0.051208118	0.0022482491	0.0110017699	-0.0463171962	-0.0190755413	-0.0152315831	0.2061017766	-0.1507299615	-0.0387396226	0.0733430687	0.0983428315	-0.0962878931	-0.047990595	-0.0462393135	0.1044208317	0.0573986221	0.0851082708	-0.081987588	0.0312917387	0.0002447138	0.0012998282	0.0838751992	0.0904528913	-0.1433973149	-0.2358548879	0.0641943704	-0.1222735164	0.0333619544	0.1186128217	0.1184168613	0.1180905004	0.0447748	-0.0021697	0.0020047827150399	4.707598090000015e-06	-3.14233e-05	0.0160689767	9.8742378289e-10	0.0002582120121851	-0.0478708	0.0112541	0.0022916134926399	0.00012665476681	-0.000132597	-0.000132597	1.7581964409e-08	1.7581964409e-08	-0.000696359	-0.000101782	1.0359575524000004e-08	4.849158568810001e-07	0.000979486	-0.000275714	7.601820979600002e-08	9.593928241959995e-07	0.0	0.0
574.3427818633741	1.113136544669942	329869.63107855927	1.2390729670797376	835.0380719085313	1.742977130549093	697288.5815367175	3.03796927761715	536.7310340435024	0.502584442091802	0.2525911214327278	288080.2029054073	565.7156236228217	656.8439719613255	1.204567	49.438316	0.0530902767	0.0269491	-0.0616027203	-0.1379065334	-0.0639165532	-0.0038858583	-0.1021491048	-0.0119409948	0.1158819126	0.0734157071	0.0303663582	0.0045801291	-0.0319181478	0.0402324566	0.0138433723	0.05099581	0.1693286429	-0.1031316842	-0.0928324742	-0.1467976155	-0.0355888769	-0.0350563872	-0.0465386545	0.0578426517	-0.0166826058	0.0191157312	-0.1472751729	0.0108223691	0.1401664828	0.2012539126	-0.0008445366	-0.0176589306	0.031997171	0.0549668526	0.0427815645	0.0891871724	-0.0029103452	0.1114620951	-0.0786022044	0.0744439788	-0.0223510019	-0.0264703419	0.2052816137	0.0184895631	-0.1124687654	0.0675815629	0.0994431342	-0.0352275588	-0.1218243921	-0.0018695281	-0.0881699591	0.0881288172	0.0461396868	-0.1168136032	-0.022757472	-0.0811285851	0.1108665571	0.0026652385	-0.0271576117	-0.1104706886	-0.0020527136	0.1688453235	-0.1306018195	0.0569072462	-0.0283405226	0.0813234646	0.082237996	-0.0453355477	-0.1190054451	-0.0465864821	0.0337364331	-0.0743204207	-0.056188344	0.0898702841	0.0974783485	-0.0458080631	-0.0994730229	0.0444030025	0.0150064096	0.0551027658	0.2076992337	-0.0102346315	-0.1214201317	0.1438828217	0.1695782109	-0.0886727839	-0.0167337722	0.0248488069	-0.0529700191	0.0922240032	-0.0858827194	0.0959613501	0.14134141	-0.0689375177	0.0213615859	0.0224563784	-0.1262785407	-0.0372046784	0.101393836	0.0285726575	0.0337432742	-0.1034353384	0.0104588222	0.0761307976	-0.0546658082	0.0882298188	0.1238031052	-0.1181758557	0.0516451854	0.0962026144	0.1022382305	-0.0012812524	0.1342229471	-0.0432943989	-0.0107131189	-0.0034836003	0.0986078169	-0.062782356	0.0823099666	-0.0530864614	0.1049738346	0.1377539243	-0.0093917804	-0.0218421531	0.1035586707	0.153986434	-0.0017922466	0.0932499694	0.0585888692	0.0315712124	0.0899917523	0.1047295441	0.0543860835	-0.0995243651	0.0858976905	0.0782024698	0.0275667055	-0.0798641561	-0.0083707828	0.08250087	-0.1164067442	-0.0440941228	0.1753873426	-0.1430867825	0.2252937466	-0.0982460607	0.0636434762	-0.0273107946	-0.0771216866	0.0970306709	-0.1136360717	-0.0734830842	-0.0899384445	-0.0043130197	0.0963117269	-0.0477621881	0.0101285111	-0.0768924267	0.1036329059	0.0813327477	0.0112199147	-0.0059942322	0.0028984542	-0.006176557	-0.0100071965	-0.1054165209	-0.0440891035	-0.0174354152	-0.1646225774	-0.0082430287	0.0231237329	0.0085280913	-0.1856274056	0.0180102963	0.1564337108	-0.0964658778	0.0012508463	-0.0942924409	0.2107293708	-0.0169340247	0.0471599574	0.0120914346	-0.0585075148	-0.0402094218	0.1072962276	-0.0697289838	0.1383184672	-0.0637303332	-0.1478198195	0.0609516575	-0.0627622887	0.124111708	-0.0152580756	0.0302418051	-0.08939378	-0.0084222213	0.118496684	0.1179527935	0.1170481578	0.0384911	-0.0062836999999999	0.00148156477921	3.948488568999996e-05	-0.0070417	-0.0070102767	4.958553888999999e-05	4.914397941056289e-05	-0.0442044	0.0036664	0.00195402897936	1.344248896e-05	-0.000561281	-0.0004286839999999	3.15036360961e-07	1.8376997185599997e-07	-0.000866009	-0.00016965	2.8781122500000012e-08	7.49971588081e-07	0.00110375	0.000124264	1.5441541696000004e-08	1.2182640625e-06	0.0	0.0
573.2181632336473	-1.1246186297267968	328579.0626609563	1.264767062328578	833.8968522997693	-1.1412196087619575	695383.9602754633	1.302382195422796	536.4322188567413	-0.2988151867610895	0.0892905158390648	287759.52542756684	565.3296032753136	661.6894488801836	1.152957	47.320114	0.0438194	0.0227658	0.0533639908	-0.1465316625	-0.0607557239	-0.0648899015	0.1067648922	0.0171506227	0.0786022283	-0.0544430042	0.101401869	0.0066678226	0.1575387401	0.0157152287	0.0584699847	0.0702934072	0.1367092779	-0.1420233805	-0.0502614246	0.0866134259	-0.0960996021	-0.1513114396	0.0835552381	-0.0111650075	0.0294843403	-0.0041289214	0.0436875539	0.1041872367	0.147684151	0.017229252	-0.0611527046	0.1150110405	0.0731078525	0.0169481605	-0.0453578103	-0.0122427526	-0.0236337494	0.1010918826	-0.1033707558	-0.0007292313	-0.0032335484	-0.0256043624	-0.0014068541	0.0237253923	0.0747746789	-0.0491968449	-0.0496833536	0.0861219288	-0.068140023	0.0160561325	0.0329717071	0.1075151567	0.0812306005	-0.0971356198	0.0590322836	-0.0989998926	0.0222734856	0.1490961443	0.0049403601	0.1059153586	-0.0791203066	0.0277487986	0.0273007851	-0.0117192637	0.0603718942	0.0767870553	-0.0163646852	-0.2141932189	-0.0843366102	-0.0106777352	-0.080566829	0.0327923608	0.0733523305	0.0741661837	-0.0192148359	-0.1226432876	-0.1664003201	0.1414835544	-0.0238063677	0.0823693128	0.0320669391	0.1114507275	-0.0488187597	-0.0345155968	0.030461193	-0.0658591654	0.0988890055	0.1325050312	0.0178238701	-0.0766388759	0.1407738478	-0.0573265567	-0.0525015365	-0.1284291627	0.0421802817	0.0261894723	-0.0887596817	-0.0098903764	0.054718178	-0.0006787331	-0.0974362471	0.122583073	-0.1402283246	0.046698464	0.0927736071	-0.0688034151	-0.0016858285	-0.0296049817	-0.0088960824	-0.0935456604	-0.0044669083	0.0147149757	0.024980093	-0.0929518558	-0.0840267861	0.0428942702	0.092903023	-0.0759092761	0.0448299095	-0.1535076255	0.0737678461	-0.0282784517	0.1587139517	0.0101713275	-0.0249142468	-0.1542267488	0.0758207043	0.1019755937	0.0511992451	0.0658150006	0.0366667398	-0.0638702321	-0.0229204842	-0.1891245043	0.0213987781	-0.1738722111	0.0024146367	-0.0346577485	-0.0671857086	-0.0131679797	-0.0959967585	-0.1231968026	0.0162509883	-0.0221096039	0.0139908994	-0.0725233806	0.1159949506	-0.0891425333	-0.0408836197	0.0789513127	0.018758347	-0.0896142173	-0.0346319428	-0.0778415916	-0.0370853668	0.094483108	-0.0455953028	0.0302007143	-0.1012212181	-0.0832467414	0.0516495075	0.0645889712	0.0127827993	0.0415277452	-0.1290779361	0.1120132647	-0.0150200071	-0.0401296267	-0.0179111909	-0.0094971341	0.1131499985	0.0035227544	-0.1879757486	-0.0516822711	0.0893792276	-0.0786154069	0.1306082823	-0.0639807112	0.162755514	-0.0960932737	-0.0121800755	-0.1393548277	0.0483453046	-0.1883692874	-0.0725438976	-0.0246962491	-0.0836467566	-0.0101601203	-0.0905209203	0.1151316701	-0.0558433504	-0.016907448	0.0921442794	-0.0702889723	-0.0669977121	0.0501095835	0.1183225485	0.1172578276	0.115490384	0.0404705	0.0019793999999999	0.00163786137025	3.9180243599999965e-06	-0.0267055	-0.0196638	0.00071318373025	0.00038666503044	-0.0356639	0.0085405	0.00127191376321	7.294014024999998e-05	-0.000456719	0.0001045619999999	2.0859224496100002e-07	1.0933211843999987e-08	-0.000849743	1.6266000000000023e-05	2.6458275600000077e-10	7.220631660490001e-07	0.000951864	-0.0001518859999999	2.3069356995999984e-08	9.06045074496e-07	0.0	0.0
572.0248455419442	-1.1933176917031003	327212.42391728505	1.424007113331616	831.3174480210934	-2.579404278675952	691088.6993843033	6.653326432851808	536.0205809008345	-0.4116379559068264	0.1694458067431503	287318.06314926804	564.774797961464	659.9882110047907	1.124168	46.138523	0.0665612199999999	0.0391938	0.0919784172	-0.1102756667	-0.0780624574	-0.0342200419	0.0466946001	0.0471126084	-0.0235819141	-0.1248453223	0.0944775412	0.0526098632	0.0150445582	0.0029582843	-0.0124152814	0.0953836573	0.0231517824	-0.0312803378	-0.0124571405	0.0602821549	0.0322762657	0.0586579951	0.0122411327	-0.042683063	-0.0456222265	0.1826427373	0.1414083496	0.0234821561	0.0583189544	0.1166559472	-0.0271471804	-0.0983014469	0.0710278622	-0.0533595787	-0.0898322877	0.0343389655	0.1437493677	-0.0370322673	-0.0123615311	0.0416888354	0.0574540832	0.0802641743	-0.0779317992	-0.0780455219	0.0652709861	0.0628258905	0.0535687008	-0.0172413316	-0.0393725437	0.022603608	0.0956088715	0.0483573347	0.0872111874	-0.1213135858	0.0290239742	-0.0331991064	0.0106047608	0.0699952394	-0.0887327714	0.092713452	-0.0798559214	-0.0737840365	-0.0567060281	-0.0378417497	-0.0844631028	-0.0751926246	0.0909641536	-0.1202747066	0.0551833296	-0.0029487106	-0.1487407459	-0.0450160561	-0.0557118812	-0.1064904611	0.1087654205	0.0820099067	-0.0757474932	-0.0535539081	0.0975062977	0.0417386436	0.0741212055	0.0772431995	0.0217826107	0.1616090133	-0.0611408132	-0.0841134767	-0.0258122274	0.0210989302	-0.0238742923	-0.036482489	0.1188487358	0.0044211822	-0.1201814483	-0.0075217068	-0.1372724261	-0.0217651024	0.0649030161	-0.0645295186	-0.0419700122	0.0548162591	-0.0710928613	0.1127119011	-0.1504148428	0.1025083689	0.0838309461	0.1041323431	0.0345269867	-0.0776119904	-0.158384635	-0.0854783908	0.0175296581	0.0168374213	-0.0754082638	-0.0642587731	-0.1438733544	0.0282044662	0.1093113739	-0.0513308167	-0.014250221	0.0004763449	0.0350567707	-0.0508875673	0.0607528256	-0.0703001959	-0.0098339251	-0.0756466329	0.0292517593	0.0746249783	0.0036818676	0.0097113621	-0.0465158786	0.1805230421	-0.0490785061	-0.0876278258	-0.1123256402	0.1004944229	-0.0246160778	-0.0640509985	-0.0032095145	-0.0831723926	-0.0496651466	-0.1130765452	0.0288606908	-0.1043920252	-0.0820481041	-0.0735363258	0.0577500856	0.0925224463	-0.0034633861	0.0162929595	0.0162268943	-0.138651505	0.1362613834	0.0417637918	-0.1784082297	-0.0549514889	-0.038266104	0.0468923909	-0.0496814313	-0.0802069855	0.068605706	-0.200286256	-0.1203626426	-0.0002837591	-0.0763337558	0.1479227687	0.046040336	-0.0235358579	-0.0513566942	0.0237242316	0.0745665218	0.0788925286	-0.1513577119	-0.0910333415	0.0712338138	-0.0920831326	0.1113201724	0.0565441861	0.109996776	-0.0983561775	-0.0664952469	0.095754094	0.1067079282	-0.0369221388	-0.0151784535	-0.0354440251	0.1044244027	0.100094199	0.0754367772	0.0077153565	-0.2238131585	0.1324207382	0.08352134	0.0319902351	-0.0401658789	-0.1541683192	0.1180905004	0.1163333239	0.1134240387	0.0357445	-0.004726	0.0012776692802499	2.233507600000001e-05	0.00819187	0.03489737	6.710673409690001e-05	0.0012178264329168	-0.049732	-0.0140681	0.0024732718239999	0.00019791143761	-0.000416156	4.0563000000000025e-05	1.73185816336e-07	1.645356969000002e-09	-0.000725459	0.000124284	1.5446512656e-08	5.262907606810001e-07	0.000859316	-9.254799999999991e-05	8.565132303999984e-09	7.38423987856e-07	0.0	0.0
572.5321766181529	0.5073310762087431	327793.0932631198	0.2573848208871214	829.3834709163061	-1.933977104787232	687876.9418291792	3.7402674418412034	536.3301959042363	0.3096150034018592	0.0958614503315332	287650.0790386765	564.8621776063127	651.5641406932517	1.173837	48.177086	0.05533618	0.0373158	0.1006652585	0.0123210615	-0.141121961	-0.080371222	-0.0649020766	-0.0101714241	-0.075320304	-0.1264469396	-0.039123309	0.0324609334	-0.1203421633	-0.0719212369	0.0533957186	0.0678275972	0.1345804317	0.0095601669	0.036203332	0.0105758429	0.0877824827	0.085420736	0.0099097947	-0.1404147175	0.0918153917	-0.1476701551	-0.0225632294	-0.006073554	-0.0753089703	-0.0574425852	-0.1138155876	-0.0797417379	-0.0682374883	-0.0666063266	-0.0311664653	-0.1730676541	0.0415175696	-0.0738923939	0.0398234384	-4.54054e-05	0.0205107106	-0.0140284458	0.0196027111	-0.0100090702	-0.068790916	0.1534518108	-0.0804150404	0.0535545489	-0.0500578796	0.0100747948	0.113809831	-0.0553114299	0.132504271	0.0291497494	0.0580597333	-0.0822987286	-0.0842442979	-0.0326054592	-0.0232394107	0.0006654837	0.0378605254	0.1544940342	-0.0214840548	0.0881401518	0.0531949827	0.0860181549	-0.0485375754	-0.0536173324	0.1044546911	-0.1638008559	0.0772377214	-0.0071943886	0.1566371383	-0.0305630329	0.0299962918	-0.0200066281	-0.0823077102	-0.0350997805	0.0648013125	0.0916480549	-0.110955547	-0.106592539	0.0061779933	0.0116345451	-0.0897775507	-0.0561095172	-0.0494644053	-0.110905353	-0.0348238361	0.1514268814	0.0476873047	-0.0367680501	-0.0679895389	0.0288771664	-0.0456666977	-0.0238111117	-0.0367011625	0.0969894984	-0.0233279062	0.0469901454	0.217189856	0.0228366849	-0.0428737397	0.0217365571	-0.0075404304	0.0154362431	0.0326783125	-0.0519815711	0.0174086157	-0.0452911789	0.0005906794	0.0102407758	-0.1420315761	-0.0130569943	-0.0146913766	-0.0819220174	0.1300916503	0.0801739565	-0.0380345013	0.0213238594	0.0166961614	0.1065455901	0.156031793	0.0383031733	-0.0282813365	0.108358893	0.0887941293	-0.0754793468	-0.0847631699	0.1391785611	0.1036523904	-0.0619621937	-0.1058379923	-0.0021330314	-0.0230479765	-0.0642590808	-0.0301001907	0.0460293514	0.1133797548	-0.0516048308	0.0153386414	-0.0430383258	-0.0079306262	0.0768794447	0.044865343	0.1118310596	-0.0047884589	0.0447987445	-0.1023314705	-0.0313117794	-0.0236896485	-0.0313265357	0.0466618148	-0.0943594971	-0.0243106778	-0.0976172896	0.0161820126	-0.1325990499	0.0089065285	-0.1030036864	-0.0801412938	-0.0705675764	0.0533876968	-0.0768317665	0.0172955644	0.0744408913	0.0358629005	0.0879757107	-0.1033221405	0.1393659042	0.0553169188	0.044052728	-0.0412679256	-0.1464479523	0.1024351829	-0.04295723	-0.1185683547	0.0735539913	0.1195392985	-0.1128097789	0.0021658597	0.0337036742	0.0633990588	0.0510765815	0.0663311495	-0.0387971452	-0.0560237719	-0.0910012469	0.057606762	-0.0198900784	0.0869692152	-0.2233222939	-0.1053507882	0.1033452396	0.0743984827	-0.0473427887	0.1178006533	0.1151810923	0.1108582214	0.0324696	-0.0032748999999999	0.00105427492416	1.0724970009999982e-05	0.0207917	0.01259983	0.00043229478889	0.0001587557160289	-0.0525024	-0.0027703999999999	0.0027565020057599	7.675116159999996e-06	0.000233411	0.000649567	5.4480694921e-08	4.21937287489e-07	-0.000657422	6.803700000000007e-05	4.629033369000009e-09	4.3220368608400004e-07	0.000843099	-1.621700000000001e-05	2.6299108900000035e-10	7.108159238010001e-07	0.0	0.0
