onset	duration	node	response_time	accuracy
12	1	7	0.433	1
16	1	13	0.428	1
20	1	11	0.329	1
24	1	4	0.221	1
32	1	6	0.360	1
40	1	5	0.275	1
48	1	1	0.347	1
52	1	3	0.368	1
56	1	9	0.364	1
60	1	8	0.352	1
64	1	2	0.275	1
72	1	10	0.274	1
76	1	12	0.359	1
80	1	4	0.259	1
84	1	7	0.265	1
88	1	6	0.284	1
92	1	11	0.241	1
100	1	8	0.293	1
108	1	2	0.362	1
112	1	1	0.376	1
116	1	12	0.392	1
120	1	10	0.333	1
124	1	13	0.291	1
132	1	9	0.422	1
140	1	3	0.264	1
144	1	5	0.371	1
148	1	9	0.365	0
152	1	3	0.321	1
156	1	2	0.356	1
160	1	8	0.322	1
164	1	12	0.296	1
168	1	10	0.397	1
172	1	7	0.406	1
176	1	11	0.417	1
180	1	4	0.403	1
184	1	13	0.402	1
188	1	1	0.336	1
192	1	5	0.292	1
196	1	6	0.417	1
200	1	1	0.399	1
208	1	3	0.465	1
212	1	2	0.378	1
220	1	6	0.317	1
224	1	10	0.308	1
232	1	9	0.383	1
236	1	4	0.439	1
240	1	12	0.354	1
252	1	5	0.324	0
256	1	13	0.421	1
260	1	11	0.395	1
264	1	7	0.335	1
268	1	8	0.409	1
