onset	duration	node	response_time	accuracy
12	1	1	0.345	1
16	1	9	0.371	1
20	1	10	0.351	1
24	1	11	0.418	0
28	1	6	0.272	1
32	1	7	0.293	1
36	1	5	0.257	1
40	1	4	0.644	1
44	1	3	0.269	1
48	1	12	0.393	1
56	1	13	0.483	1
60	1	2	0.339	1
64	1	8	0.289	1
68	1	10	0.504	1
72	1	6	0.365	1
80	1	9	0.301	1
84	1	12	0.411	1
88	1	13	0.360	1
92	1	1	0.307	1
104	1	7	0.390	1
108	1	5	0.338	1
112	1	2	0.465	1
116	1	8	0.355	1
120	1	11	0.258	1
132	1	4	0.438	1
136	1	3	0.346	0
140	1	2	0.438	1
144	1	10	0.392	1
148	1	12	0.291	1
156	1	3	0.390	1
160	1	13	0.328	1
164	1	11	0.355	1
168	1	5	0.390	1
180	1	6	0.352	1
184	1	1	0.402	1
192	1	8	0.329	1
196	1	9	0.348	1
200	1	4	0.424	1
204	1	7	0.367	1
208	1	9	0.424	1
212	1	8	0.295	1
216	1	4	0.395	1
220	1	5	0.445	1
224	1	7	0.386	1
228	1	12	0.478	1
232	1	3	0.288	1
244	1	2	0.459	1
248	1	11	0.438	1
252	1	13	0.271	1
256	1	1	0.298	1
260	1	10	0.337	1
264	1	6	0.402	1
