global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	t_comp_cor_08	t_comp_cor_09	t_comp_cor_10	t_comp_cor_11	t_comp_cor_12	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	c_comp_cor_38	c_comp_cor_39	c_comp_cor_40	c_comp_cor_41	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00
578.0612836708708	n/a	n/a	334154.84767921496	826.6361455016026	n/a	n/a	683327.3170497468	543.4958358738734	n/a	295387.7236122403	n/a	581.994573805726	558.9002155903328	n/a	n/a	n/a	n/a	-0.0946434477	0.2002310225	-0.0101880906	0.0265503319	-0.0789123497	0.0292493058	-0.0906580054	0.1295534073	-0.0226222554	0.0834027992	-0.0187016371	0.0226141748	-0.0990309605	-0.0859662539	0.22069154	-0.0498441529	-0.0715118636	0.1950916602	-0.2230991897	0.4093917872	-0.2868894773	0.1323137866	-0.0779989785	0.0717734018	-0.0229569192	0.0234685688	-0.0203343764	0.0394443295	-0.0432289926	0.0569431104	-0.1713612552	0.1446213477	-0.0656951865	0.0023919167	-0.0359464742	0.1139100853	-0.1005459596	0.1251790857	-0.023701403	0.0610611091	-0.0034677182	-0.0754882411	0.0881843634	-0.076594494	-0.0382141722	-0.1063765207	0.141954689	0.0541670701	-0.0917353697	0.0620667335	0.1047750791	-0.0679382253	-0.0651497908	-0.0508731795	0.0710018666	-0.1954747962	-0.0559255557	0.0317905127	-0.1338754963	0.0822311851	-0.0669737873	0.0345395865	0.0045658594	-0.0039945443	0.0246046525	-0.0162625647	0.0497955141	-0.0283935205	0.0105567599	-0.0096817084	0.0790062226	-0.0641423936	0.0058379328	-0.0219023867	0.0801199611	-0.0097878856	-0.0172973619	0.008463211	0.1583200677	-0.0489743667	-0.0028244846	-0.0286324752	0.0946492388	-0.0393592717	-0.060441937	0.0119641061	0.1376797095	-0.129512357	-0.030663314	0.0364663197	0.0587729854	0.0302070272	-0.0515551931	-0.106414324	0.0435064445	0.0732904173	0.0305690212	-0.0800410013	-0.0587208138	-0.0755147796	0.0958169675	0.0399862774	0.0385512192	0.1064767775	-0.0114597095	-0.0082178382	-0.0748007167	-0.1006750231	0.0986598544	0.0020648262	-0.1158964169	-0.0014517738	-0.0198599911	-0.0323931698	-0.1233598018	0.103384558	0.1743232648	-0.0487010032	0.0165224883	0.1054003858	-0.1353208432	0.0204319628	-0.0635385238	0.0333697808	-0.1434222141	0.0703137502	-0.0100125891	0.1848743721	-0.0758719258	0.1172270518	-0.1718233413	0.0319552016	-0.0435378272	0.0398857208	-0.1292097334	0.0072540562	-0.0317563706	0.1479026679	-0.0910401902	0.0999413331	-0.0258903068	-0.0379206566	0.1547519462	0.0648667527	-0.0826721544	-0.0402858922	0.0005118012	0.0135059448	0.043852819	-0.0074441872	-0.0344307952	-0.0097268686	-0.0063702367	0.1345665699	0.0178401802	-0.1533826863	-0.0129261233	0.0614787008	0.0018411138	0.0451448716	0.0839558122	-0.0021547121	-0.0802453434	-0.0297213812	0.0695665823	0.0095676277	0.0735419779	-0.0844546229	-0.0813732046	0.0866401432	0.0062636766	0.0451625215	0.0459306949	0.0249189701	-0.0774641802	-0.0116777474	-0.0861365801	-0.1192296812	0.0160980515	-0.1957441411	0.0309049711	-0.0717721294	0.0208015792	-0.0564327638	0.0334809908	-0.0191184959	0.0345923859	-0.0201998008	0.1127454237	-0.0657125904	0.1243902271	-0.0025825261	0.0382504397	-0.1004402688	0.0077126993	-0.033591648	-0.0485372545	0.0188655458	-0.0770922147	-0.0147597957	0.0402614914	0.1186709048	0.1186491225	0.1186128217	-0.0254353	n/a	0.00064695448609	n/a	-0.0341698	n/a	n/a	0.00116757523204	0.0472674	n/a	n/a	0.00223420710276	-0.00114799	n/a	n/a	1.3178810401e-06	0.000836991	n/a	7.005539340810001e-07	n/a	0.0	n/a	0.0	n/a	0.0
578.3888918766086	0.3276082057377607	0.1073271364667149	334533.7102462512	819.4959835184256	-7.140161983176995	50.98191314600604	671573.6670028317	544.3865759616958	0.8907400878224507	296356.7440872992	0.7934179040539473	581.6308263078954	565.8930912566116	1.08161	44.313808	0.11821277	0.0576162	-0.082632839	0.1193623896	0.1727690808	0.1205978138	-0.1132623526	-0.0546012953	-0.0656096692	0.0125664729	0.027846756	0.1060483716	0.0128290661	-0.0746919148	-0.1102261986	-0.1284245306	0.2296145468	-0.0933230276	-0.0838398577	0.1617628949	-0.0989506372	-0.0352587134	-0.0977694792	-0.0889205354	0.13887945	0.0466385059	0.053717254	0.0035068294	0.0671361142	0.036668212	-0.0138783087	0.0884187579	-0.0580214457	0.1032284767	-0.149574746	0.0067234711	-0.151145486	-0.0035362719	0.0295530594	0.0708850598	0.0227862635	0.0037711708	-0.1188983957	-0.0501910587	0.0500421208	0.1389741267	-0.0368530221	0.103213913	0.0247643261	0.009559464	0.0205139269	-0.021729289	0.0512149615	0.0021181839	0.2783575835	-0.039397222	-0.0850909823	-0.2693394964	-0.0388620003	0.1061351327	-0.1150736609	-0.0963390397	-0.0732634994	-0.0032617829	-0.0413701115	-0.0345815045	-0.024996114	0.1004464717	-0.0307262628	-0.0247249414	-0.0240614438	-0.1012798776	-0.0201116263	-0.0066128577	0.036051193	-0.0982072925	-0.1407195945	0.0494455182	0.0005125954	0.0185299578	0.1333096876	-0.0630116152	-0.0327983465	-0.0266637824	0.0557794543	-0.0342524351	-0.0312201718	0.0080158078	0.0714506241	-0.072659952	-0.1196605448	0.1536546912	0.0637794053	-0.0260533721	-0.1245928297	0.0091390409	-0.03558009	-0.1268680452	0.0010834859	0.0536353002	-0.105662784	-0.1245578391	0.0483755116	0.0919351103	0.0013639376	0.0262137961	-0.1394757977	0.0990691666	0.033829918	0.0356796098	-0.0079987472	-0.0485030715	-0.0074789832	-0.0108135846	-0.1588363559	0.0030257527	-0.0269518306	0.0268444162	0.3004347767	-0.0400676267	0.103921078	0.1290953843	-0.016386964	-0.0020718385	-0.0491386627	0.0167629241	-0.1238433604	-0.0292022503	-0.0791107032	0.030742696	-0.0765295699	0.074782245	-0.0995046798	-0.1096146235	0.060592903	0.0479959988	-0.1416407484	0.0424342907	0.0300242466	0.1418235731	0.0949555156	0.0209598838	0.1025418639	-0.0559583008	0.0302642381	-0.0177798562	-0.0622725183	-0.0307604858	0.0048929634	0.0080357796	0.1130966111	0.0378763836	-0.0401562107	0.0499527834	0.0190835993	0.0346735448	0.1446510082	-0.049771426	-0.0771844127	0.0741954133	-0.0536614631	0.0797580584	-0.0504285353	0.0736990305	0.0390281279	0.0025158815	0.0556620896	-0.0051264506	0.0159752447	0.0283678501	0.0330103536	-0.1625394187	-0.1115236054	-0.0856142643	-0.1792562989	0.0049638871	0.0343529173	0.041641659	0.1861754979	-0.1782762311	0.0629625333	-0.1944519383	-0.0210938257	0.0313672585	0.0588471859	-0.0798435773	0.0734677753	-0.104589854	0.018857074	-0.005501017	0.1034408676	0.0483950233	0.1080757726	0.0491720299	-0.0470762254	-0.0225895136	0.069191589	-0.0149967807	-0.0467441893	-0.0204723775	-0.0618712708	-0.0465019162	-0.0373420617	0.1186128217	0.1184168613	0.1180905004	-0.015241	0.0101943	0.0002322880809999	0.00010392375249	-0.00488538	0.02928442	0.0008575772547363	2.38669377444e-05	0.0868322	0.0395648	0.0015653733990399	0.0075398309568399	-0.00140645	-0.00025846	6.680157160000003e-08	1.9781016025e-06	0.00125875	0.000421759	1.5844515625000002e-06	1.7788065408100009e-07	-0.000103166	-0.000103166	1.0643223555999998e-08	1.0643223555999998e-08	0.0
577.9590099881389	-0.4298818884697084	0.1847984380342828	334036.6172264696	815.5784738124162	-3.917509706009469	15.346882296678393	665168.24694619	543.41558389152	-0.9709920701758392	295300.4968161616	0.942825600344362	580.5355610989569	562.1001100172882	1.098875	45.021183	0.11247207	0.0658537	-0.1074788004	0.1336096963	-0.0545141182	0.0764308687	0.0224831894	-0.1044923828	-0.1048816842	0.0691602298	-0.0718409517	0.1030208827	-0.010793872	-0.1713215397	-0.0788406571	-0.1496833317	0.115235068	0.0925034757	-0.0640423268	0.1849724369	-0.0574506825	-0.087149511	-0.1203463812	-0.0476508115	0.0769435756	-0.0476942904	-0.0330418648	-0.1062302437	0.0840825039	0.1314738884	0.1977277206	-0.0599278941	0.0366190571	0.0217854728	0.1150262828	-0.0030139205	-0.1196222585	-0.0432019195	0.0313450631	-0.0554229191	0.1511958728	-0.0712942951	0.052042831	-0.2210417639	-0.1604925336	0.1626832162	0.0188365589	0.0742186477	-0.095384776	-0.1880703596	0.1517320229	0.0185786148	-0.0554274679	0.0103712181	-0.0569791116	0.0599709742	-0.039085818	-0.177455352	0.0209332341	0.1326552416	-0.0504133101	-0.1619229233	0.1072972693	0.065904409	0.0823306156	0.0167434559	0.0341482553	-0.0274748446	0.1404304852	0.1080057996	0.1262277568	-0.004897479	0.0307190785	-0.0403051156	-0.0094156645	-0.0106976826	0.0362894164	-0.0418969651	0.0426090587	-0.1233836817	0.0117026802	-0.0266140333	-0.1545353501	0.0362364979	-0.0368367783	0.0563792028	0.0185525823	-0.0433389175	-0.1003271185	0.0488758893	0.0335164027	0.0835627948	0.0046521263	0.057046866	-0.1239349262	0.0144428421	0.0639404945	-0.2331991484	0.131172497	-0.0484636568	-0.0546062063	-0.0458136231	0.0457205401	-0.0568344996	-0.0978992832	0.0951134072	0.0707833143	0.0710862199	0.065489448	0.1914754152	-0.0939367211	-0.0842217911	-0.04177243	-0.0236082574	-0.0270618355	0.1321594148	0.128721677	-0.0777843855	0.2365837305	-0.0139861386	0.0262301359	0.010493585	0.1067513332	0.1564558412	-0.1530513788	0.0654708667	0.0177537757	0.088900438	0.0696090346	0.0070284134	0.0500877332	-0.1108956468	-0.108926622	-0.0029807896	0.0318362489	0.0821994122	0.0582857271	-0.1729159347	0.1068551199	0.059060809	0.0223116337	0.053699721	0.0504135842	-0.0369011758	-0.1172704435	0.017920814	-0.1125929218	-0.0483629747	0.0098689989	-0.0069566593	-0.1238130628	0.074839084	0.0348832973	-0.0004220637	0.122663851	-0.1183712467	-0.0002979864	0.1220714485	-0.1695360741	-0.0028461806	-0.0763818325	0.0643783894	0.1078025006	-0.0439637358	0.1440768727	0.0975266354	-0.0267944772	-0.0222968866	0.0760181802	-0.0758457539	-0.0214462286	-0.1475843924	-0.2053321549	-0.0624310968	-0.0708759498	-0.0630546923	0.0504890883	0.1199564834	-0.0191916038	-0.1189871439	0.0612573707	-0.2201416799	0.0563798687	0.043764072	-0.0007028103	-0.0650886722	-0.0793923252	-0.0104399664	0.111780695	-0.0419289223	0.0593481158	-0.0496402226	0.0655137169	0.021421606	-0.0126856733	-0.0841557672	0.0672702469	-0.0876405241	-0.0393274739	-0.0468061668	0.0621795206	-0.0541150049	0.0522042258	0.118496684	0.1179527935	0.1170481578	-0.0215051	-0.0062641	0.0004624693260099	3.923894881e-05	-0.0608159	-0.05593052	0.0031282230674703	0.00369857369281	0.0576757	-0.0291564999999999	0.0008501014922499	0.00332648637049	-0.00111448	0.00029197	8.524648090000009e-08	1.2420656703999998e-06	0.00120874	-5.001000000000007e-05	1.4610523876e-06	2.501000100000007e-09	-0.000183605	-8.0439e-05	3.3710796025e-08	6.470432720999999e-09	0.0
576.7768901248522	-1.18211986328663	1.3974073711768005	332671.58098209585	816.2717420531139	0.6932682406977619	0.48062085356017	666299.5568744254	543.5330906913256	0.1175067998055965	295428.2206764648	0.0138078480005525	580.7521588616293	572.3703697942525	1.120814	45.92001	0.1096681	0.0580052	-0.0600125792	0.0995171652	0.1304291012	-0.067286281	-0.1239018996	-0.1187137728	-0.1732675461	-0.0770189497	-0.1283062212	-0.0289945363	0.046176976	-0.024238886	-0.0126292226	-0.1261892633	0.0227199728	-0.0205987865	0.0253169218	0.1277661182	0.171558881	-0.0298422801	0.0123900978	-0.112725557	0.1696604922	0.1330412651	0.1276388913	0.0776867924	0.0995001833	-0.0627599316	-0.036759222	-0.0502745411	0.1060667473	-0.1426280518	0.0955791303	-0.0728760034	-0.0700444812	-0.0489661037	0.1395767129	0.0163003289	0.0079434051	0.0096473158	-0.0051369263	0.0702017822	0.1038291736	-0.0769702924	-0.0107288081	-0.1401432204	0.0948561882	0.1009098375	0.0475820605	-0.0799586495	0.1342661696	-0.1061406107	0.0200666152	-0.0200412235	0.007672436	-0.1813448108	-0.1138402728	0.1034365115	-0.1848656297	0.0844915827	0.0187161902	0.1314585819	0.0948037333	0.0061229379	0.017159237	-0.0270204688	-0.0648266783	0.1370076397	0.0721334316	0.0626209582	0.117706465	0.0398099311	-0.1074634026	-0.0713764844	0.0249443434	-0.057741692	0.0746189677	-0.0384266513	-0.0720436968	-0.0312255596	-0.1582828382	0.0588118665	0.0242144724	-0.1711590939	0.0265213522	-0.0875757261	0.0977388876	-0.0170680558	0.1766742453	-0.1797019	-0.0200230098	0.0453060316	0.2494980625	-0.0430173034	-0.0414565808	0.0406810336	0.0217782443	-0.0565531333	0.0405371221	-0.0004308277	-0.0608435094	-0.1020755339	0.0781710833	-0.0539898666	0.0267215945	-0.0635842816	-0.0535997723	-0.0784718275	0.1140716368	-0.0654836769	0.0365355072	0.1042826118	0.0840295281	0.1399778339	-0.0205672006	-0.079467491	0.1850672774	0.0402570916	0.0505466279	0.0814818898	-0.1272821856	0.1645166328	-0.1127327818	-0.1232290384	0.0499869744	-0.0832754165	0.006134586	-0.141734505	0.0727488956	-0.0305508433	-0.06972648	0.1678094625	-0.082324282	0.0236887046	0.0600047257	-0.0421302006	0.125308018	-0.1458425636	0.0691283323	0.0585244667	-0.1091102289	0.025146097	-0.0956899155	0.10948331	-0.1136160936	0.0021882082	0.1083555292	0.0065985618	-0.0653222473	-0.1430150227	0.0137391183	-0.0114224591	-0.0606146958	0.0646834582	-0.0265674676	-0.0256478283	0.1787966488	0.0063794159	0.090825439	-0.0532597984	0.1571067734	-0.0184649374	0.032461172	-0.1386754035	0.0433901591	0.0599701771	0.0562090438	-0.0289187529	-0.1156985609	0.2171416014	0.029647705	0.0673587846	-0.0445107076	0.0680238772	-0.0635303082	0.0380349462	-0.1630989697	-0.1687622355	-0.0025994548	-0.2267498916	0.0455657639	-0.0681189151	0.0846648669	0.0192359443	0.0678818119	-0.0632395032	0.0806338808	0.0441190749	0.0474443104	0.0779145246	-0.0456577798	-0.0083429059	-0.0101879999	-0.1124969139	-0.0700673674	-0.1076975263	0.0525818786	-0.1263763077	0.0608973858	0.0837613638	0.0229048119	0.1183225485	0.1172578276	0.115490384	-0.0191018	0.0024033	0.0003648787632399	5.775850890000003e-06	-0.0145778	0.0462381	0.0021379618916099	0.00021251225284	0.0633598	0.0056840999999999	3.230899280999989e-05	0.0040144642560399	-0.0016471	-0.00053262	2.836840644000002e-07	2.71293841e-06	0.0008181129999999	-0.0003906270000001	6.693088807688364e-07	1.5258945312907813e-07	0.0	0.000183605	0.0	3.3710796025e-08	0.0
575.9574647764913	-0.8194253483609373	0.6714579015364434	331727.0012317632	813.6806411909918	-2.5911008621221754	6.71380367769028	662076.1858489835	543.5420507820455	0.0089600907199383	295437.96096835175	8.028322570952457e-05	580.3364624577594	564.3209090863712	1.116277	45.734131	0.0200291599999999	0.0121156	-0.0408818967	0.1242214491	0.041947512	0.1457897909	0.0089564169	0.0142858838	-0.1910066797	-0.0662864979	-0.0462787551	0.0017994766	0.0093138361	0.0209983882	-0.0514211897	-0.0368728887	0.0470890407	0.0280684502	0.0721146615	0.0897857126	-0.0683777776	-0.0713798166	-0.0342887235	-0.1852854818	-0.1237642593	-0.1314230662	-0.0872608546	0.0020129973	-0.0164286117	0.0225420356	0.0202124943	0.0180533744	-0.0606854886	-0.2837967491	-0.0606680392	0.060115027	-0.0301024372	-0.1582300683	-0.0484687373	-0.0813942425	-0.0270000551	-0.1094903483	0.1467610351	0.0747696865	-0.0361180125	-0.0763310114	-0.1068502125	-0.0226811238	0.0854646385	-0.0257672464	-0.0615412674	-0.0711587636	-0.0873169109	0.0384296261	-0.0830376253	-0.2887560065	-0.1251387978	-0.1801178518	-0.0103373455	0.0652051476	-0.0987321958	-0.2141404654	0.0534833562	0.0645701219	0.0161517552	-0.1355703772	0.0089631284	0.0598209209	0.0102401344	0.0624403452	0.1007036471	-0.1474970904	0.0750519636	-0.0099333039	0.0881881446	0.1252417382	0.1195528496	0.0086449708	-0.2200052534	0.0690604051	0.0630341459	-0.0088631997	0.0766627765	0.0213262052	-0.1322655968	0.0339208492	0.0184145943	-0.0780819321	-0.0256212861	0.0439462016	-0.101766555	-0.0928935657	0.0820871072	-0.0638930184	0.1167986971	0.0407358092	0.0168690829	0.0264432313	0.015485142	0.084494032	-0.026149257	0.046989103	-0.0358507255	-0.1388897094	0.0933839385	-0.1642986584	-0.1376633471	-0.0396321731	0.0316647858	-0.1632453232	0.0840849351	0.1005144105	-0.0382311929	-0.0015111254	0.0117883357	0.0022640957	0.0616511163	0.1068624473	0.1499023117	-0.0367986238	0.0907327139	0.1213433908	0.1224146481	0.0649376811	-0.1332057084	0.0718976256	-0.0568085594	-0.089926642	0.0331422795	0.0285817532	-0.0836784519	-0.0067850031	-0.0322022007	-0.0981732602	-0.030296409	0.0875192278	0.1524977884	0.0868371589	-0.0070639694	-0.0253468158	-0.1671842837	-0.1315420206	-0.0927657965	-0.0066112719	-0.2011218427	-0.1841870581	0.0728658897	0.0998499625	0.042972315	-0.1563077411	0.1179654535	-0.0004407177	0.0255143411	0.1286079974	-0.0678882719	-0.028546412	-0.0918084318	0.0820387809	0.0483770405	-0.002022847	-0.0652064425	-0.0015943494	0.0266481103	-0.0074389227	-0.0527271659	-0.1454110022	-0.0230316186	0.1073134003	-0.1422409922	0.0904151241	-0.101952161	0.0443267052	0.0964199824	-0.1189574973	0.0704078875	-0.046670385	0.0750820387	-0.0828495688	-0.0738447023	-0.1635694985	0.0105290363	-0.1572861027	-0.0121324442	0.0987539582	0.1068520663	-0.1235280644	0.0187397582	-0.0043134292	0.0510164079	0.0333384018	0.014726127	-0.0296386061	0.0738822764	-0.0144299737	-0.038446838	-0.1144642312	-0.043533098	0.0059093322	0.0501273614	-0.1041153622	0.0204538261	0.0308332783	-0.0391126347	0.1180905004	0.1163333239	0.1134240387	-0.0139764	0.0051253999999999	0.00019533975696	2.6269725159999986e-05	-0.00405429	0.01052351	0.0001107442627201	1.6437267404100004e-05	0.0625518	-0.0008079999999999	6.528639999999827e-07	0.00391272768324	-0.00163529	1.181000000000012e-05	1.3947610000000278e-10	2.6741733841e-06	0.000877748	5.963500000010001e-05	7.704415515040001e-07	3.556333225011928e-09	0.0	0.0	0.0	0.0	0.0
576.7125247636664	0.7550599871750592	0.5701155842328005	332597.3362192825	815.2229784594401	1.5423372684483638	2.37880424964476	664588.5046082808	543.6072283979362	0.0651776158906614	295508.818766486	0.0042481216131905	580.6368980639905	560.9048131112148	1.085188	44.460392	0.02321841	0.0121211	-0.0857218167	0.1787746018	0.1301166366	0.0460248338	-0.0269353192	-0.1391171081	-0.0017425107	-0.0418607236	0.0414202587	0.1025369171	0.0466873878	-0.0315354078	0.0121270796	-0.0533914636	0.133972835	0.1263879937	0.0125340026	0.0931448403	-0.0089358553	0.1049989789	-0.009552567	-0.1840222469	0.0514760079	-0.0725599351	0.0179543947	0.0855860903	0.00342356	0.0151525439	-0.0792975568	-0.0236882117	0.0235334417	-0.0831503742	0.0253458654	0.0159716869	-0.0112996732	-0.0631161287	-0.0373840282	-0.0898061895	-0.0775939627	0.042683959	-0.2437619073	-0.12330268	-0.0448572613	-0.0405927861	0.0359688384	0.0652578581	-0.1037891824	0.0794122198	0.0073272548	-0.1190578159	0.0215417447	0.0384232284	-0.0972159509	-0.1319513994	0.1000383223	-0.2170050125	0.0546910994	-0.0246829813	-0.0900374799	-0.0707183424	0.0623852893	-0.0267205977	0.1631647419	0.1040380157	0.1157814938	0.0553268228	0.1292180625	-0.1206776612	-0.0557376138	-0.0277005106	0.0782119326	0.0591032356	0.0389631721	-0.0752269198	0.0424737757	0.0701900964	-0.0685238181	-0.1062745692	0.0648050732	0.0518470503	-0.0168255383	-0.0336854571	0.0217114529	0.0717800331	0.1360128998	-0.0767650027	0.0635527003	0.1898087153	-0.0629786867	0.0765522814	-0.0746234461	-0.0386631771	0.1051479598	-0.0214042513	0.0443015594	0.1663952998	-0.0549002116	-0.0364217135	0.0222621364	0.0222944076	-0.1522869225	0.1137979406	-0.1208372804	0.1385503831	0.0600357748	-0.1336976193	0.0620037576	-0.1440530218	-0.0129923966	0.0502408113	0.0305315926	-0.1681193963	-0.0611162203	-0.1076633729	-0.0936910423	-0.0988780106	0.1811128993	-0.0866594869	-0.0610776576	0.0835526885	0.0327477743	0.0423042527	-0.2292580744	-0.0108069219	-0.0957321724	0.0162582852	0.0260752796	0.1023643744	0.1351963304	0.0348964494	0.0739625825	0.0268025445	0.1773289452	0.01219261	-0.059725857	0.0276774009	0.0311046633	-0.0085258466	0.0975586273	-0.0834554287	-0.0985959109	0.0991753188	0.0672522129	-0.0667374769	0.1119249049	-0.1042805748	-0.0433197519	-0.1840647	-0.0182847061	-0.0946129316	0.0590818107	-0.1722300372	-0.1013931796	-0.0043888589	0.1137096511	-0.0037170078	0.0033856543	-0.1088167061	0.0549637922	-0.0333068425	-0.1706134632	0.0965869813	-0.013107187	-0.0477414005	0.074824793	-0.123609471	-0.1104276337	-0.0856541852	0.0914739803	0.0443127346	0.0200150708	0.0612700665	0.2679246591	-0.0286143924	-0.0328885023	-0.0408291648	0.0496651406	-0.1840415683	0.0242775469	-0.1872636059	-0.0148963054	0.0678482844	-0.0154564155	-0.030048231	-0.0543789993	-0.0484199893	-0.0052250434	0.0891896832	0.0927693574	0.0329667736	0.0216387659	0.0018237366	0.0047917483	-0.0869888701	0.0548896482	-0.0396203554	0.0601471297	-0.0426877945	-0.0663394551	-0.0057529906	-0.0226969872	0.1178006533	0.1151810923	0.1108582214	-0.00481761	0.00915879	2.32093661121e-05	8.38834342641e-05	-0.00602106	-0.0019667699999999	3.868184232899999e-06	3.62531635236e-05	0.0602977	-0.0022541	5.080966810000009e-06	0.00363581262529	-0.00151351	0.0001217799999999	1.4830368399999985e-08	2.2907125201e-06	0.000952743	7.499500000000001e-05	9.07719224049e-07	5.624250025000001e-09	0.0	0.0	0.0	0.0	0.0
