task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt	flip1	flip2	flip3	flip4
1	2	1	12	11	0.450	1	1	1	0.384	5556.460	5556.925	5557.461	5557.472
1	2	2	16	4	0.100	1	1	1	0.468	5560.484	5560.574	5561.466	5561.479
1	2	3	20	10	0.850	1	1	1	0.366	5564.487	5565.324	5565.459	5565.473
1	2	4	24	12	0.900	2	2	1	0.264	5568.480	5569.388	5569.461	5569.464
1	2	5	28	8	0.250	1	1	1	0.405	5572.497	5572.730	5573.470	5573.486
1	2	6	32	3	0.650	2	2	1	0.431	5576.508	5577.118	5577.463	5577.479
1	2	7	36	1	0.600	1	1	1	0.282	5580.498	5581.068	5581.464	5581.479
1	2	8	40	13	0.650	1	1	1	0.366	5584.494	5585.137	5585.472	5585.486
1	2	9	44	6	0.300	2	2	1	0.344	5588.499	5588.776	5589.464	5589.467
1	2	10	48	7	0.400	1	1	1	0.370	5592.498	5592.880	5593.478	5593.493
1	2	11	52	2	0.650	2	2	1	0.326	5596.489	5597.136	5597.459	5597.472
1	2	12	56	5	0.600	1	1	1	0.268	5600.489	5601.079	5601.461	5601.472
1	2	13	60	NaN	NaN	NaN	NaN	NaN	NaN	5604.500	NaN	NaN	NaN
1	2	14	64	9	0.250	2	2	1	0.389	5608.462	5608.720	5609.467	5609.470
1	2	15	68	8	0.400	2	2	1	0.465	5612.489	5612.871	5613.471	5613.476
1	2	16	72	6	0.400	2	2	1	0.343	5616.480	5616.872	5617.458	5617.472
1	2	17	76	7	0.400	2	2	1	0.279	5620.494	5620.866	5621.471	5621.486
1	2	18	80	11	0.450	1	1	1	0.339	5624.480	5624.922	5625.467	5625.479
1	2	19	84	NaN	NaN	NaN	NaN	NaN	NaN	5628.479	NaN	NaN	NaN
1	2	20	88	13	0.300	2	2	1	0.264	5632.459	5632.775	5633.466	5633.479
1	2	21	92	9	0.250	1	1	1	0.467	5636.483	5636.742	5637.459	5637.480
1	2	22	96	NaN	NaN	NaN	NaN	NaN	NaN	5640.479	NaN	NaN	NaN
1	2	23	100	NaN	NaN	NaN	NaN	NaN	NaN	5644.461	NaN	NaN	NaN
1	2	24	104	NaN	NaN	NaN	NaN	NaN	NaN	5648.461	NaN	NaN	NaN
1	2	25	108	2	0.100	1	1	1	0.510	5652.459	5652.585	5653.464	5653.479
1	2	26	112	NaN	NaN	NaN	NaN	NaN	NaN	5656.480	NaN	NaN	NaN
1	2	27	116	10	0.200	2	2	1	0.357	5660.459	5660.672	5661.478	5661.493
1	2	28	120	5	0.650	2	2	1	0.407	5664.479	5665.115	5665.466	5665.478
1	2	29	124	12	0.850	1	1	1	0.277	5668.478	5669.322	5669.464	5669.468
1	2	30	128	3	0.650	2	2	1	0.273	5672.481	5673.138	5673.458	5673.462
1	2	31	132	1	0.200	1	1	1	0.365	5676.500	5676.673	5677.473	5677.487
1	2	32	136	4	0.200	1	1	1	0.386	5680.474	5680.669	5681.465	5681.468
1	2	33	140	NaN	NaN	NaN	NaN	NaN	NaN	5684.479	NaN	NaN	NaN
1	2	34	144	NaN	NaN	NaN	NaN	NaN	NaN	5688.471	NaN	NaN	NaN
1	2	35	148	8	0.750	1	1	1	0.410	5692.460	5693.225	5693.470	5693.487
1	2	36	152	NaN	NaN	NaN	NaN	NaN	NaN	5696.479	NaN	NaN	NaN
