task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt	flip1	flip2	flip3	flip4
2	1	1	12	3	0.650	1	1	1	0.466	7550.404	7551.059	7551.407	7551.411
2	1	2	16	13	0.850	2	2	1	0.269	7554.438	7555.263	7555.408	7555.412
2	1	3	20	9	0.400	2	2	1	0.364	7558.428	7558.833	7559.406	7559.426
2	1	4	24	NaN	NaN	NaN	NaN	NaN	NaN	7562.423	NaN	NaN	NaN
2	1	5	28	8	0.350	2	2	1	0.317	7566.419	7566.762	7567.410	7567.426
2	1	6	32	11	0.800	1	1	1	0.437	7570.426	7571.231	7571.412	7571.423
2	1	7	36	7	0.400	1	1	1	0.498	7574.422	7574.817	7575.406	7575.426
2	1	8	40	4	0.750	2	2	1	0.472	7578.439	7579.187	7579.408	7579.426
2	1	9	44	2	0.900	2	2	1	0.283	7582.427	7583.317	7583.418	7583.430
2	1	10	48	12	0.450	1	1	1	0.359	7586.423	7586.861	7587.409	7587.431
2	1	11	52	NaN	NaN	NaN	NaN	NaN	NaN	7590.416	NaN	NaN	NaN
2	1	12	56	5	0.200	1	1	1	0.440	7594.401	7594.615	7595.409	7595.413
2	1	13	60	1	0.400	1	1	1	0.416	7598.431	7598.819	7599.409	7599.412
2	1	14	64	6	0.800	2	2	1	0.248	7602.422	7603.208	7603.406	7603.416
2	1	15	68	10	0.450	1	1	1	0.340	7606.428	7606.860	7607.405	7607.416
2	1	16	72	7	0.100	2	2	1	0.332	7610.432	7610.511	7611.407	7611.423
2	1	17	76	NaN	NaN	NaN	NaN	NaN	NaN	7614.437	NaN	NaN	NaN
2	1	18	80	2	0.250	2	2	1	0.314	7618.402	7618.662	7619.405	7619.416
2	1	19	84	10	0.400	2	2	1	0.269	7622.441	7622.818	7623.420	7623.437
2	1	20	88	NaN	NaN	NaN	NaN	NaN	NaN	7626.423	NaN	NaN	NaN
2	1	21	92	13	0.750	2	2	1	0.401	7630.402	7631.177	7631.412	7631.423
2	1	22	96	12	0.800	2	2	1	0.278	7634.427	7635.234	7635.405	7635.410
2	1	23	100	11	0.100	2	2	1	0.341	7638.421	7638.532	7639.420	7639.436
2	1	24	104	4	0.850	1	1	1	0.386	7642.429	7643.265	7643.411	7643.423
2	1	25	108	6	0.850	2	2	1	0.251	7646.437	7647.277	7647.421	7647.426
2	1	26	112	8	0.350	1	1	1	0.283	7650.430	7650.758	7651.405	7651.416
2	1	27	116	1	0.350	2	2	1	0.298	7654.433	7654.763	7655.425	7655.437
2	1	28	120	3	0.900	2	2	1	0.309	7658.422	7659.311	7659.402	7659.407
2	1	29	124	9	0.400	2	2	1	0.218	7662.436	7662.820	7663.420	7663.424
2	1	30	128	5	0.300	2	2	1	0.401	7666.438	7666.713	7667.418	7667.421
2	1	31	132	NaN	NaN	NaN	NaN	NaN	NaN	7670.419	NaN	NaN	NaN
2	1	32	136	NaN	NaN	NaN	NaN	NaN	NaN	7674.407	NaN	NaN	NaN
2	1	33	140	6	0.850	1	1	1	0.362	7678.426	7679.266	7679.409	7679.413
2	1	34	144	2	0.300	1	1	1	0.341	7682.441	7682.735	7683.414	7683.429
2	1	35	148	9	0.150	1	1	1	0.359	7686.432	7686.583	7687.404	7687.409
2	1	36	152	11	0.450	1	2	0	0.362	7690.423	7690.863	7691.427	7691.443
2	1	37	156	12	0.300	1	1	1	0.462	7694.425	7694.732	7695.408	7695.412
2	1	38	160	NaN	NaN	NaN	NaN	NaN	NaN	7698.415	NaN	NaN	NaN
2	1	39	164	4	0.500	1	1	1	0.368	7702.399	7702.916	7703.415	7703.429
2	1	40	168	7	0.800	1	1	1	0.392	7706.425	7707.217	7707.404	7707.409
2	1	41	172	5	0.900	2	2	1	0.361	7710.431	7711.329	7711.409	7711.413
2	1	42	176	8	0.750	1	1	1	0.328	7714.444	7715.161	7715.414	7715.429
2	1	43	180	13	0.750	1	1	1	0.388	7718.432	7719.178	7719.403	7719.416
2	1	44	184	10	0.300	2	2	1	0.433	7722.431	7722.734	7723.411	7723.422
2	1	45	188	3	0.600	1	1	1	0.271	7726.420	7727.016	7727.405	7727.415
2	1	46	192	1	0.150	1	1	1	0.556	7730.421	7730.557	7731.406	7731.423
2	1	47	196	6	0.200	1	1	1	0.426	7734.433	7734.608	7735.408	7735.423
2	1	48	200	3	0.150	2	1	0	0.425	7738.437	7738.577	7739.408	7739.412
2	1	49	204	10	0.300	2	2	1	0.292	7742.424	7742.718	7743.412	7743.429
2	1	50	208	11	0.500	2	2	1	0.306	7746.416	7746.913	7747.406	7747.430
2	1	51	212	7	0.500	2	2	1	0.289	7750.426	7750.908	7751.410	7751.415
2	1	52	216	13	0.550	1	1	1	0.337	7754.417	7754.982	7755.403	7755.409
2	1	53	220	9	0.750	2	2	1	0.391	7758.429	7759.168	7759.403	7759.415
2	1	54	224	NaN	NaN	NaN	NaN	NaN	NaN	7762.422	NaN	NaN	NaN
2	1	55	228	4	0.400	2	2	1	0.384	7766.400	7766.827	7767.408	7767.431
2	1	56	232	5	0.450	1	1	1	0.458	7770.417	7770.861	7771.403	7771.425
2	1	57	236	NaN	NaN	NaN	NaN	NaN	NaN	7774.422	NaN	NaN	NaN
2	1	58	240	1	0.700	2	1	0	0.320	7778.402	7779.108	7779.402	7779.415
2	1	59	244	NaN	NaN	NaN	NaN	NaN	NaN	7782.415	NaN	NaN	NaN
2	1	60	248	NaN	NaN	NaN	NaN	NaN	NaN	7786.422	NaN	NaN	NaN
2	1	61	252	NaN	NaN	NaN	NaN	NaN	NaN	7790.403	NaN	NaN	NaN
2	1	62	256	NaN	NaN	NaN	NaN	NaN	NaN	7794.407	NaN	NaN	NaN
2	1	63	260	12	0.800	1	1	1	0.308	7798.400	7799.209	7799.407	7799.422
2	1	64	264	8	0.550	1	1	1	0.322	7802.435	7802.960	7803.405	7803.422
2	1	65	268	2	0.100	1	1	1	0.363	7806.441	7806.519	7807.407	7807.422
