task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt	flip1	flip2	flip3	flip4
1	3	1	12	6	0.400	2	2	1	0.392	5887.055	5887.479	5888.059	5888.080
1	3	2	16	4	0.550	1	1	1	0.442	5891.077	5891.621	5892.060	5892.065
1	3	3	20	NaN	NaN	NaN	NaN	NaN	NaN	5895.074	NaN	NaN	NaN
1	3	4	24	7	0.900	1	1	1	0.373	5899.055	5899.963	5900.074	5900.078
1	3	5	28	12	0.700	1	1	1	0.354	5903.100	5903.770	5904.060	5904.074
1	3	6	32	13	0.800	2	2	1	0.297	5907.093	5907.865	5908.056	5908.067
1	3	7	36	10	0.900	1	1	1	0.247	5911.082	5911.965	5912.060	5912.065
1	3	8	40	3	0.700	1	1	1	0.330	5915.091	5915.782	5916.060	5916.083
1	3	9	44	9	0.900	2	2	1	0.450	5919.072	5919.969	5920.063	5920.074
1	3	10	48	2	0.550	1	1	1	0.393	5923.095	5923.629	5924.079	5924.099
1	3	11	52	1	0.550	1	1	1	0.381	5927.078	5927.613	5928.060	5928.063
1	3	12	56	8	0.900	1	1	1	0.400	5931.077	5931.988	5932.059	5932.064
1	3	13	60	5	0.750	2	2	1	0.356	5935.094	5935.820	5936.059	5936.078
1	3	14	64	NaN	NaN	NaN	NaN	NaN	NaN	5939.074	NaN	NaN	NaN
1	3	15	68	11	0.800	2	2	1	0.352	5943.073	5943.868	5944.058	5944.074
1	3	16	72	5	0.350	1	1	1	0.413	5947.081	5947.439	5948.064	5948.080
1	3	17	76	13	0.400	2	2	1	0.340	5951.092	5951.464	5952.065	5952.081
1	3	18	80	NaN	NaN	NaN	NaN	NaN	NaN	5955.079	NaN	NaN	NaN
1	3	19	84	10	0.550	1	1	1	0.313	5959.056	5959.618	5960.055	5960.060
1	3	20	88	3	0.750	1	1	1	0.343	5963.086	5963.832	5964.059	5964.077
1	3	21	92	NaN	NaN	NaN	NaN	NaN	NaN	5967.081	NaN	NaN	NaN
1	3	22	96	4	0.550	2	2	1	0.295	5971.054	5971.643	5972.057	5972.079
1	3	23	100	12	0.550	1	1	1	0.338	5975.095	5975.615	5976.062	5976.078
1	3	24	104	2	0.600	1	1	1	0.322	5979.099	5979.679	5980.060	5980.064
1	3	25	108	6	0.900	1	1	1	0.381	5983.091	5983.961	5984.058	5984.063
1	3	26	112	1	0.300	2	2	1	0.410	5987.090	5987.366	5988.061	5988.066
1	3	27	116	8	0.300	1	1	1	0.333	5991.071	5991.368	5992.063	5992.080
1	3	28	120	7	0.100	1	1	1	0.390	5995.076	5995.162	5996.064	5996.080
1	3	29	124	11	0.850	2	2	1	0.383	5999.073	5999.929	6000.062	6000.066
1	3	30	128	9	0.100	2	1	0	0.336	6003.088	6003.169	6004.078	6004.098
1	3	31	132	4	0.700	1	1	1	0.368	6007.098	6007.767	6008.065	6008.080
1	3	32	136	3	0.250	1	1	1	0.424	6011.112	6011.322	6012.078	6012.096
1	3	33	140	NaN	NaN	NaN	NaN	NaN	NaN	6015.075	NaN	NaN	NaN
1	3	34	144	9	0.200	2	2	1	0.420	6019.056	6019.288	6020.069	6020.080
1	3	35	148	2	0.700	2	2	1	0.398	6023.077	6023.763	6024.055	6024.059
1	3	36	152	1	0.600	2	2	1	0.352	6027.071	6027.663	6028.077	6028.097
1	3	37	156	NaN	NaN	NaN	NaN	NaN	NaN	6031.073	NaN	NaN	NaN
1	3	38	160	12	0.450	1	1	1	0.471	6035.055	6035.519	6036.057	6036.077
1	3	39	164	5	0.100	1	1	1	0.348	6039.076	6039.165	6040.057	6040.062
1	3	40	168	8	0.300	1	1	1	0.355	6043.097	6043.363	6044.072	6044.087
1	3	41	172	13	0.300	2	2	1	0.538	6047.078	6047.369	6048.057	6048.075
