onset	duration	node	response_time	accuracy
12	1	3	0.321	1
16	1	13	0.514	1
20	1	9	0.446	1
28	1	8	0.484	1
32	1	11	0.366	1
36	1	7	0.420	1
40	1	4	0.362	1
44	1	2	0.363	1
48	1	12	0.309	1
56	1	5	0.352	1
60	1	1	0.390	1
64	1	6	0.266	1
68	1	10	0.395	1
72	1	7	0.388	1
80	1	2	0.270	0
84	1	10	0.392	1
92	1	13	0.361	1
96	1	12	0.383	1
100	1	11	0.456	1
104	1	4	0.367	1
108	1	6	0.379	1
112	1	8	0.359	1
116	1	1	0.373	1
120	1	3	0.352	1
124	1	9	0.236	1
128	1	5	0.306	1
140	1	6	0.423	1
144	1	2	0.302	1
148	1	9	0.376	1
152	1	11	0.319	1
156	1	12	0.306	1
164	1	4	0.346	1
168	1	7	0.419	1
172	1	5	0.374	0
176	1	8	0.386	1
180	1	13	0.376	1
184	1	10	0.348	1
188	1	3	0.384	1
192	1	1	0.417	1
196	1	6	0.455	1
200	1	3	0.385	1
204	1	10	0.367	1
208	1	11	0.373	1
212	1	7	0.279	1
216	1	13	0.365	1
220	1	9	0.371	1
228	1	4	0.376	1
232	1	5	0.351	1
240	1	1	0.369	1
260	1	12	0.384	1
264	1	8	0.363	1
268	1	2	0.437	1
