onset	duration	node	response_time	accuracy
12	1	12	0.543	1
20	1	7	0.366	1
24	1	6	0.328	1
28	1	1	0.408	1
32	1	5	0.373	1
36	1	9	0.368	1
40	1	10	0.340	1
44	1	2	0.298	1
56	1	3	0.421	1
60	1	11	0.319	1
64	1	4	0.337	1
72	1	8	0.272	1
76	1	1	0.303	1
80	1	6	0.287	1
88	1	4	0.252	1
92	1	3	0.308	1
96	1	7	0.334	1
100	1	5	0.291	1
104	1	10	0.241	1
108	1	2	0.325	1
112	1	11	0.388	1
116	1	8	0.309	1
120	1	12	0.349	1
124	1	9	0.241	1
128	1	4	0.331	1
132	1	11	0.342	1
140	1	10	0.345	1
152	1	1	0.459	1
156	1	7	0.305	1
160	1	5	0.302	1
164	1	2	0.244	1
172	1	9	0.267	1
176	1	8	0.294	1
184	1	3	0.308	1
188	1	6	0.262	1
192	1	12	0.348	1
196	1	5	0.268	1
200	1	2	0.289	1
204	1	8	0.252	1
208	1	10	0.434	1
212	1	6	0.278	1
216	1	12	0.304	1
224	1	9	0.378	1
228	1	3	0.359	1
232	1	1	0.271	1
236	1	4	0.267	1
240	1	7	0.319	1
248	1	11	0.282	1
